para_idx,h1,h2,core,entry,block
1751,经济全球化,产业链供应链与开放安全,核心答题点：维护全球产业链供应链稳定畅通，服务共同现代化,1. 2026丰台期末Q20,"1. 2026丰台期末Q20
【材料触发点】 中拉“发展工程”强调产业链供应链稳定畅通，设问问“五大工程”如何扩大中拉利益汇合点。
【设问】 结合材料，运用《当代国际政治与经济》知识，阐释“五大工程”如何扩大中拉利益汇合点。
【为什么能想到】 “发展工程”把产业链供应链稳定畅通作为中拉经济合作的重要内容，说明现代化需要稳定的跨国产业协作基础。问“五大工程”如何扩大中拉利益汇合点，要把工程安排转化为经济全球化中的产业链供应链支撑。先说明维护全球产业链供应链稳定畅通，再接深化国际分工合作，最后指向为双方现代化提供稳定经济基础。
【答案落点】 中拉双方维护全球产业链供应链稳定畅通，有利于深化国际分工合作，为双方现代化提供稳定经济基础。
【同题组】 （本题8分）
· 经济全球化：维护多边贸易体制；维护开放合作的国际经济环境
· 政治多极化：坚持主权平等与安全保障；推动构建人类命运共同体
· 中国：共同落实全球发展倡议；倡导文明平等互鉴，弘扬全人类共同价值，尊重世界文明多样性；聚焦发展中国家紧迫需求，以灵活快速的小而美项目形成共同发展品牌；推动构建中拉命运共同体；与发展中国家共享发展新机遇，惠民生增福祉，实现互利共赢
· 联合国：坚定维护以联合国为核心的国际体系和以国际法为基础的国际秩序
数字经济、绿色转型与新兴领域"
1863,经济全球化,贸易保护主义与多边贸易体制,核心答题点：维护多边贸易体制,3. 2026丰台期末Q20,"3. 2026丰台期末Q20
【材料触发点】 “发展工程”把多边贸易体制、产业链供应链稳定畅通和开放合作国际环境放在同一段，说明中拉现代化协同需要稳定开放的国际经贸规则。
【设问】 结合材料，运用《当代国际政治与经济》知识，阐释“五大工程”如何扩大中拉利益汇合点。
【为什么能想到】 “发展工程”把多边贸易体制、全球产业链供应链稳定畅通和开放合作国际环境放在同一段。问“五大工程”如何扩大中拉利益汇合点，经济规则层要说明稳定开放的外部经贸秩序如何成为共同利益。先说明维护多边贸易体制，再接全球产业链供应链稳定畅通和开放合作国际环境，最后指向扩大中拉发展工程的利益汇合点。
【答案落点】 中拉双方坚定维护多边贸易体制，维护全球产业链供应链稳定畅通和开放合作的国际环境，有利于扩大双方“发展工程”中的利益汇合点。
【同题组】 （本题8分）
· 经济全球化：维护全球产业链供应链稳定畅通，服务共同现代化；维护开放合作的国际经济环境
· 政治多极化：坚持主权平等与安全保障；推动构建人类命运共同体
· 中国：共同落实全球发展倡议；倡导文明平等互鉴，弘扬全人类共同价值，尊重世界文明多样性；聚焦发展中国家紧迫需求，以灵活快速的小而美项目形成共同发展品牌；推动构建中拉命运共同体；与发展中国家共享发展新机遇，惠民生增福祉，实现互利共赢
· 联合国：坚定维护以联合国为核心的国际体系和以国际法为基础的国际秩序"
1885,经济全球化,贸易保护主义与多边贸易体制,核心答题点：维护开放合作的国际经济环境,1. 2026丰台期末Q20,"1. 2026丰台期末Q20
【材料触发点】 材料强调中拉在发展工程中维护开放合作环境，题目指向说明共同现代化的外部条件。
【设问】 结合材料，运用《当代国际政治与经济》知识，阐释“五大工程”如何扩大中拉利益汇合点。
【为什么能想到】 “发展工程”强调开放合作环境，并与维护多边贸易体制、维护全球产业链供应链稳定畅通并列。问共同现代化的推进条件，除了具体产业合作，还需要说明开放合作的国际经济环境。先说明维护开放合作的国际经济环境，再接多边贸易体制和全球产业链供应链稳定畅通，最后指向拓展双方现代化合作空间。
【答案落点】 中拉双方维护开放合作的国际经济环境，有利于稳定“发展工程”的外部条件，为双方现代化拓展合作空间。
【同题组】 （本题8分）
· 经济全球化：维护多边贸易体制；维护全球产业链供应链稳定畅通，服务共同现代化
· 政治多极化：坚持主权平等与安全保障；推动构建人类命运共同体
· 中国：共同落实全球发展倡议；倡导文明平等互鉴，弘扬全人类共同价值，尊重世界文明多样性；聚焦发展中国家紧迫需求，以灵活快速的小而美项目形成共同发展品牌；推动构建中拉命运共同体；与发展中国家共享发展新机遇，惠民生增福祉，实现互利共赢
· 联合国：坚定维护以联合国为核心的国际体系和以国际法为基础的国际秩序"
2660,政治多极化,共体：人类命运共同体,核心答题点：推动构建人类命运共同体,20. 2026丰台期末Q20,"20. 2026丰台期末Q20
【材料触发点】 中拉“发展工程”强调产业链供应链稳定畅通，设问问“五大工程”如何扩大中拉利益汇合点。
【设问】 结合材料，运用《当代国际政治与经济》知识，阐释“五大工程”如何扩大中拉利益汇合点。
【为什么能想到】 设问问“五大工程”如何扩大中拉利益汇合点，五大工程整体指向中拉携手，要把落点拔高到推动构建新型国际关系、共谱中拉命运共同体新篇，最终归到推动构建人类命运共同体。
【答案落点】 ""五大工程""推动构建新型国际关系,扩大同拉方利益汇合点,携手共谱构建中拉命运共同体新篇章,推动构建人类命运共同体。
【同题组】
· 经济全球化：维护多边贸易体制；维护全球产业链供应链稳定畅通，服务共同现代化；维护开放合作的国际经济环境
· 政治多极化：坚持主权平等与安全保障
· 中国：共同落实全球发展倡议；倡导文明平等互鉴，弘扬全人类共同价值，尊重世界文明多样性；聚焦发展中国家紧迫需求，以灵活快速的小而美项目形成共同发展品牌；推动构建中拉命运共同体；与发展中国家共享发展新机遇，惠民生增福祉，实现互利共赢
· 联合国：坚定维护以联合国为核心的国际体系和以国际法为基础的国际秩序"
3053,政治多极化,国际秩序与国际法治,核心答题点：坚持主权平等与安全保障,2. 2026丰台期末Q20,"2. 2026丰台期末Q20
【材料触发点】 中拉“发展工程”强调产业链供应链稳定畅通，设问问“五大工程”如何扩大中拉利益汇合点。
【设问】 结合材料，运用《当代国际政治与经济》知识，阐释“五大工程”如何扩大中拉利益汇合点。
【为什么能想到】 五大工程中的团结工程、和平工程对应安全维度，要从坚定维护以联合国为核心的国际体系、落实全球安全倡议切入，落到坚持主权平等与共同安全这一术语。
【答案落点】 团结工程坚定维护以联合国为核心的国际体系,和平工程落实全球安全倡议,坚持主权平等与共同安全,扩大中拉安全利益汇合点。
【同题组】
· 经济全球化：维护多边贸易体制；维护全球产业链供应链稳定畅通，服务共同现代化；维护开放合作的国际经济环境
· 政治多极化：推动构建人类命运共同体
· 中国：共同落实全球发展倡议；倡导文明平等互鉴，弘扬全人类共同价值，尊重世界文明多样性；聚焦发展中国家紧迫需求，以灵活快速的小而美项目形成共同发展品牌；推动构建中拉命运共同体；与发展中国家共享发展新机遇，惠民生增福祉，实现互利共赢
· 联合国：坚定维护以联合国为核心的国际体系和以国际法为基础的国际秩序
具体治理议题与文明互鉴"
3716,中国,智慧,核心答题点：推动构建中拉命运共同体,1. 2026丰台期末Q20（中拉命运共同体）,"1. 2026丰台期末Q20（中拉命运共同体）
【材料触发点】 设问问""五大工程""如何扩大中拉利益汇合点。要把团结／发展／文明／和平／民心五项工程分别接到共同利益、合作领域和机制支撑，不能把材料里的结果句当成设问。
【设问】 结合材料，运用《当代国际政治与经济》知识，阐释""五大工程""如何扩大中拉利益汇合点。
【为什么能想到】 题面列出团结工程、发展工程、文明工程、和平工程、民心工程五大工程，覆盖中拉合作的五大领域。题目让学生阐释""五大工程""如何扩大中拉利益汇合点，要把五项工程分别接到共同利益、合作领域和机制支撑。把团结、发展、文明、和平、民心五项工程串成一条主线，再把这条主线归到推动构建中拉命运共同体新篇章的总目标上。
【答案落点】 中拉""五大工程""覆盖团结、发展、文明、和平、民心五大领域，扩大中拉利益汇合点，推动构建中拉命运共同体新篇章。
【同题组】 （本题8分）
· 经济全球化：维护多边贸易体制；维护全球产业链供应链稳定畅通，服务共同现代化；维护开放合作的国际经济环境
· 政治多极化：坚持主权平等与安全保障；推动构建人类命运共同体
· 中国：共同落实全球发展倡议；倡导文明平等互鉴，弘扬全人类共同价值，尊重世界文明多样性；聚焦发展中国家紧迫需求，以灵活快速的小而美项目形成共同发展品牌；与发展中国家共享发展新机遇，惠民生增福祉，实现互利共赢
· 联合国：坚定维护以联合国为核心的国际体系和以国际法为基础的国际秩序"
3727,中国,智慧,核心答题点：共同落实全球发展倡议,1. 2026丰台期末Q20（全球发展倡议）,"1. 2026丰台期末Q20（全球发展倡议）
【材料触发点】 设问问""发展工程""如何作用于双方现代化。要回答中国发展合作的中国方案抓手，必须用""全球发展倡议""作为中国对外发展合作的总倡议名——以中国主张接到拉美现代化目标。
【设问】 结合材料，运用《当代国际政治与经济》知识，阐释""五大工程""如何扩大中拉利益汇合点。
【为什么能想到】 材料在""发展工程""部分写出中拉双方共同推进发展合作，需要一个中国主张的总抓手与之对接。题目让学生说明""发展工程""如何作用于中拉双方现代化，要扣住中国对外发展合作的中国方案抓手。把""发展工程""与中国的全球发展倡议对接，再把全球发展倡议接到拉美现代化目标上，推动双方共享发展机遇。
【答案落点】 中拉双方在""发展工程""中共同落实全球发展倡议，把中国发展合作主张与拉美现代化目标对接，推动双方共享发展机遇。
【同题组】 （本题8分）
· 经济全球化：维护多边贸易体制；维护全球产业链供应链稳定畅通，服务共同现代化；维护开放合作的国际经济环境
· 政治多极化：坚持主权平等与安全保障；推动构建人类命运共同体
· 中国：倡导文明平等互鉴，弘扬全人类共同价值，尊重世界文明多样性；聚焦发展中国家紧迫需求，以灵活快速的小而美项目形成共同发展品牌；推动构建中拉命运共同体；与发展中国家共享发展新机遇，惠民生增福祉，实现互利共赢
· 联合国：坚定维护以联合国为核心的国际体系和以国际法为基础的国际秩序"
3775,中国,智慧,核心答题点：倡导文明平等互鉴，弘扬全人类共同价值，尊重世界文明多样性,5. 2026丰台期末Q20,"5. 2026丰台期末Q20
【材料触发点】 中拉“发展工程”强调产业链供应链稳定畅通，设问问“五大工程”如何扩大中拉利益汇合点。
【设问】 结合材料，运用《当代国际政治与经济》知识，阐释“五大工程”如何扩大中拉利益汇合点。
【为什么能想到】 五大工程中的文明工程对应文明维度，要从共同落实全球文明倡议切入，落到树立平等、互鉴、对话、包容的文明观、弘扬全人类共同价值。
【答案落点】 文明工程共同落实全球文明倡议,树立平等、互鉴、对话、包容的文明观,弘扬全人类共同价值,扩大中拉文明层面的利益汇合点。
【同题组】
· 经济全球化：维护多边贸易体制；维护全球产业链供应链稳定畅通，服务共同现代化；维护开放合作的国际经济环境
· 政治多极化：坚持主权平等与安全保障；推动构建人类命运共同体
· 中国：共同落实全球发展倡议；聚焦发展中国家紧迫需求，以灵活快速的小而美项目形成共同发展品牌；推动构建中拉命运共同体；与发展中国家共享发展新机遇，惠民生增福祉，实现互利共赢
· 联合国：坚定维护以联合国为核心的国际体系和以国际法为基础的国际秩序
责任"
3960,中国,责任,核心答题点：与发展中国家共享发展新机遇，惠民生增福祉，实现互利共赢,6. 2026丰台期末Q20,"6. 2026丰台期末Q20
【材料触发点】 中拉“发展工程”强调产业链供应链稳定畅通，设问问“五大工程”如何扩大中拉利益汇合点。
【设问】 结合材料，运用《当代国际政治与经济》知识，阐释“五大工程”如何扩大中拉利益汇合点。
【为什么能想到】 五大工程中的发展工程对应发展维度，要从共同落实全球发展倡议切入，落到与拉美共享发展新机遇、惠民生增福祉、实现互利共赢。
【答案落点】 发展工程共同落实全球发展倡议,与拉美共享发展新机遇,惠民生、增福祉,实现互利共赢,扩大中拉发展利益汇合点。
【同题组】
· 经济全球化：维护多边贸易体制；维护全球产业链供应链稳定畅通，服务共同现代化；维护开放合作的国际经济环境
· 政治多极化：坚持主权平等与安全保障；推动构建人类命运共同体
· 中国：共同落实全球发展倡议；倡导文明平等互鉴，弘扬全人类共同价值，尊重世界文明多样性；聚焦发展中国家紧迫需求，以灵活快速的小而美项目形成共同发展品牌；推动构建中拉命运共同体
· 联合国：坚定维护以联合国为核心的国际体系和以国际法为基础的国际秩序"
4183,中国,责任,核心答题点：聚焦发展中国家紧迫需求，以灵活快速的小而美项目形成共同发展品牌,2. 2026丰台期末Q20,"2. 2026丰台期末Q20
【材料触发点】 中拉“发展工程”强调产业链供应链稳定畅通，设问问“五大工程”如何扩大中拉利益汇合点。
【设问】 结合材料，运用《当代国际政治与经济》知识，阐释“五大工程”如何扩大中拉利益汇合点。
【为什么能想到】 五大工程中的民心工程对应民生维度，材料给出“300个小而美民生项目”，要落到聚焦发展中国家紧迫需求、以灵活快速的小而美项目形成共同发展品牌。
【答案落点】 民心工程实施300个""小而美""民生项目,聚焦拉美发展中国家紧迫需求,灵活快速惠及民生,形成共同发展品牌,扩大民心汇合点。
【同题组】
· 经济全球化：维护多边贸易体制；维护全球产业链供应链稳定畅通，服务共同现代化；维护开放合作的国际经济环境
· 政治多极化：坚持主权平等与安全保障；推动构建人类命运共同体
· 中国：共同落实全球发展倡议；倡导文明平等互鉴，弘扬全人类共同价值，尊重世界文明多样性；推动构建中拉命运共同体；与发展中国家共享发展新机遇，惠民生增福祉，实现互利共赢
· 联合国：坚定维护以联合国为核心的国际体系和以国际法为基础的国际秩序"
