year,district,exam_stage,suite_status,question_ids_in_suite_exhaustive_core,source_file_ids,paper_file_ids,rubric_or_answer_file_ids,core_question_count,boundary_or_blocked_case_ids,notes
2024,东城,一模,has_suite_exhaustive_core_rows,RECOVER_2024_东城_一模_19,F0009;F0010;F0011;F0234;F0235;F0236,F0011;F0236,F0009;F0010;F0234;F0235,1,,本轮套卷穷尽补入核心法律主观题。
2024,东城,二模,has_suite_exhaustive_core_rows,RECOVER_2024_东城_二模_19_1;RECOVER_2024_东城_二模_19_2,F0029;F0030;F0031;F0032;F0033;F0034;F0035;F0036;F0037;F0038;F0039;F0040;F0041;F0042;F0043;F0062;F0063;F0254;F0255;F0256;F0257;F0258;F0259;F0260;F0261;F0262;F0263;F0264;F0265;F0266;F0284;F0285,F0043;F0254,F0030;F0031;F0032;F0033;F0034;F0035;F0036;F0037;F0038;F0039;F0040;F0041;F0042;F0255;F0256;F0257;F0258;F0259;F0260;F0261;F0262;F0263;F0264;F0265;F0266,2,UNCERTAIN_2024_东城_二模_18_2_MIXED,本轮套卷穷尽补入核心法律主观题。
2024,丰台,一模,has_suite_exhaustive_core_rows,CC0002_2024_丰台_一模_17,F0044;F0045;F0046;F0267;F0268;F0269,F0046;F0269,F0044;F0045;F0267;F0268,1,,核心法律主观题已入库。
2024,丰台,二模,has_suite_exhaustive_core_rows,CC0011_2024_丰台_二模_17,F0047;F0048;F0270;F0271,F0048;F0271,F0047;F0270,1,,核心法律主观题已入库。
2024,朝阳,一模,has_suite_exhaustive_core_rows,CC0019_2024_朝阳_一模_19,F0012;F0013;F0014;F0015;F0237;F0238;F0239;F0240,F0015;F0237,F0013;F0014;F0239;F0240,1,,核心法律主观题已入库。
2024,朝阳,二模,has_suite_exhaustive_core_rows,CC0025_2024_朝阳_二模_17,F0016;F0017;F0018;F0241;F0242;F0243,F0018;F0241,F0016;F0017;F0242;F0243,1,,核心法律主观题已入库。
2024,朝阳,期中,no_law_subjective_confirmed,,F0019;F0020;F0021;F0022;F0023;F0244;F0245;F0246;F0247;F0248,F0022;F0023;F0246;F0247,F0019;F0020;F0021;F0244;F0245;F0248,0,,主观题为文化/哲学/逻辑/经济，未见选必二法律主观题。
2024,海淀,一模,has_suite_exhaustive_core_rows,CC0040_2024_海淀_一模_19,F0024;F0025;F0026;F0249;F0250;F0251,F0026;F0251,F0024;F0025;F0249;F0250,1,,核心法律主观题已入库。
2024,海淀,二模,has_suite_exhaustive_core_rows,CC0045_2024_海淀_二模_19,F0051;F0052;F0053;F0054;F0272;F0273;F0274;F0275,F0053;F0054;F0274;F0275,F0051;F0052;F0272;F0273,1,,核心法律主观题已入库。
2024,海淀,期中,has_suite_exhaustive_core_rows,CC0051_2024_海淀_期中_21_1,F0027;F0028;F0252;F0253,F0028;F0253,F0027,1,,核心法律主观题已入库。
2024,石景山,一模,has_suite_exhaustive_core_rows,CC0054_2024_石景山_一模_17,F0055;F0056;F0276;F0277,F0056;F0277,F0055;F0276,1,,核心法律主观题已入库。
2024,西城,一模,has_suite_exhaustive_core_rows,CC0061_2024_西城_一模_18,F0057;F0058;F0059;F0060;F0061;F0278;F0279;F0280;F0281;F0282,F0057;F0060;F0061;F0280;F0281;F0282,F0058;F0059;F0278;F0279,1,,核心法律主观题已入库。
2024,西城,二模,has_suite_exhaustive_core_rows,CC0063_2024_西城_二模_16,F0064;F0065;F0066;F0067;F0283;F0286;F0287;F0288,F0066;F0067;F0283;F0288,F0064;F0065;F0286;F0287,1,,核心法律主观题已入库。
2024,顺义,二模,has_suite_exhaustive_core_rows,RECOVER_2024_顺义_二模_17,F0068;F0069;F0289;F0290,F0069;F0289,F0068;F0290,1,,核心法律主观题已入库。
2025,东城,一模,has_suite_exhaustive_core_rows,CC0077_2025_东城_一模_19,F0072;F0073;F0074;F0291;F0292,F0074;F0291,F0073;F0292,1,,核心法律主观题已入库。
