rubric_atom_id,question_id,rubric_or_answer_phrase,evidence_type,evidence_level,plain_reward_description,related_material_atom_ids,what_expression_is_rewarded,what_judgment_student_must_make_before_writing,legal_knowledge_or_rule_if_explicit,value_expression_if_explicit,knowledge_material_value_type,can_be_written_without_material,source_locator,uncertainty
R_CC0143_2025_朝阳_一模_19_11,CC0143_2025_朝阳_一模_19,①审析材料： 分层获取解读 翻译替换 问题和原因 问题1：提取信息——案情分析有困难 比如：平台销售机票捆绑隐形增值服务构成欺诈的网络服务合同纠纷案，有同学写为侵犯“隐私权” 问题2.不知道抄什么、怎么抄——不能有效提取材料的关键信息，提取之后不能将条件写全 比如：A公司擅自搭售10元外卖红包，王某在购买界面不能清楚地知悉费用支出细节，也无法拒绝支付10元额外费用。（1分）材料3个条件必须写全才得分。关于侵权事实分析，有同学分开写，虽得材料分，但存在因果关系不清的遗憾。 改进措施,grading_commentary,formal,教学反思/阅卷问题记录，不是独立给分细则：①审析材料： 分层获取解读 翻译替换 问题和原因 问题1：提取信息——案情分析有困难 比如：平台销售机票捆绑隐形增值服务构成欺诈的网络服务合同纠纷案，有同学写为侵犯“隐私权” 问题2.不知道抄什么、怎么抄——不能有效提取材料的关键信息，提取之后不能将条件写全 比如：A公司擅自搭售10元外卖红包，王某在购买界面不能清楚地知悉费用支出细节，也无法拒绝支付10元额外费用。（1分）材料3个条件必须写全才得分。关于侵权事实分析，有同学分开写，虽得材料分，但存在因果关系不清的遗憾。 改进措施,M_CC0143_2025_朝阳_一模_19_08,①审析材料： 分层获取解读 翻译替换 问题和原因 问题1：提取信息——案情分析有困难 比如：平台销售机票捆绑隐形增值服务构成欺诈的网络服务合同纠纷案，有同学写为侵犯“隐私权” 问题2.不知道抄什么、怎么抄——不能有效提取材料的关键信息，提取之后不能将条件写全 比如：A公司擅自搭售10元外卖红包，王某在购买界面不能清楚地知悉费用支出细节，也无法拒绝支付10元额外费用。（1分）材料3个条件必须写全才得分。关于侵权事实分析，有同学分开写，虽得材料分，但存在因果关系不清的遗憾。 改进措施,判断法律关系/行为性质/责任承担或程序路径(回源细化),欺诈；隐私权,,knowledge+material,uncertain,F0086:text | F0087:page 6 | F0087:page 9 | F0301:text,heuristic_atom_split_from_text_layer; needs回源核细则原文; teaching_reflection_not_scoring_atom_not_core_code_support
R_CC0143_2025_朝阳_一模_19_12,CC0143_2025_朝阳_一模_19,1.平时教学中注意对学生进行解构材料的训练，划清层次，找准关键词，注重材料与所学知识的链接。,grading_commentary,formal,教学反思/阅卷问题记录，不是独立给分细则：1.平时教学中注意对学生进行解构材料的训练，划清层次，找准关键词，注重材料与所学知识的链接。,M_CC0143_2025_朝阳_一模_19_01|M_CC0143_2025_朝阳_一模_19_02,1.平时教学中注意对学生进行解构材料的训练，划清层次，找准关键词，注重材料与所学知识的链接。,判断法律关系/行为性质/责任承担或程序路径(回源细化),,,material,uncertain,F0086:text | F0087:page 6 | F0087:page 9 | F0301:text,heuristic_atom_split_from_text_layer; needs回源核细则原文; teaching_reflection_not_scoring_atom_not_core_code_support
R_CC0143_2025_朝阳_一模_19_13,CC0143_2025_朝阳_一模_19,2.对于法律因果关系的翻译训练要加强,grading_commentary,formal,教学反思/阅卷问题记录，不是独立给分细则：2.对于法律因果关系的翻译训练要加强,M_CC0143_2025_朝阳_一模_19_01|M_CC0143_2025_朝阳_一模_19_02,2.对于法律因果关系的翻译训练要加强,判断法律关系/行为性质/责任承担或程序路径(回源细化),,,uncertain,uncertain,F0086:text | F0087:page 6 | F0087:page 9 | F0301:text,heuristic_atom_split_from_text_layer; needs回源核细则原文; teaching_reflection_not_scoring_atom_not_core_code_support
R_CC0143_2025_朝阳_一模_19_14,CC0143_2025_朝阳_一模_19,②审辨设问： 翻译替换 范围主体角度 结合材料分值 问题和原因,grading_commentary,formal,教学反思/阅卷问题记录，不是独立给分细则：②审辨设问： 翻译替换 范围主体角度 结合材料分值 问题和原因,M_CC0143_2025_朝阳_一模_19_01|M_CC0143_2025_朝阳_一模_19_02,②审辨设问： 翻译替换 范围主体角度 结合材料分值 问题和原因,判断法律关系/行为性质/责任承担或程序路径(回源细化),,,material,uncertain,F0086:text | F0087:page 6 | F0087:page 9 | F0301:text,heuristic_atom_split_from_text_layer; needs回源核细则原文; teaching_reflection_not_scoring_atom_not_core_code_support
R_CC0143_2025_朝阳_一模_19_15,CC0143_2025_朝阳_一模_19,1.不认真、不仔细。没有看到设问的重点是人民法院做出判决的理由。 一些同学审成这一判决是否正确，并在判决上进行加工。 还有同学审成怎么做,grading_commentary,formal,教学反思/阅卷问题记录，不是独立给分细则：1.不认真、不仔细。没有看到设问的重点是人民法院做出判决的理由。 一些同学审成这一判决是否正确，并在判决上进行加工。 还有同学审成怎么做,M_CC0143_2025_朝阳_一模_19_01|M_CC0143_2025_朝阳_一模_19_02,1.不认真、不仔细。没有看到设问的重点是人民法院做出判决的理由。 一些同学审成这一判决是否正确，并在判决上进行加工。 还有同学审成怎么做,判断法律关系/行为性质/责任承担或程序路径(回源细化),,,material,uncertain,F0086:text | F0087:page 6 | F0087:page 9 | F0301:text,heuristic_atom_split_from_text_layer; needs回源核细则原文; teaching_reflection_not_scoring_atom_not_core_code_support
R_CC0143_2025_朝阳_一模_19_16,CC0143_2025_朝阳_一模_19,2.没有区分是几个诉讼请求。没有区分的意识 比如：王某遂向该市互联网法院提起诉讼，要求A公司退还其支付的票款310元，并予以三倍赔偿。 改进措施 →教学中加强法律基础知识的落实、运用与变式训练。 →注重审题训练，一定要有审几个设问的意识，以典型问题试卷为例，进行课堂训练，形成好的审题习惯，圈点勾画关键信息，解读设问关键词和层次,grading_commentary,formal,教学反思/阅卷问题记录，不是独立给分细则：2.没有区分是几个诉讼请求。没有区分的意识 比如：王某遂向该市互联网法院提起诉讼，要求A公司退还其支付的票款310元，并予以三倍赔偿。 改进措施 →教学中加强法律基础知识的落实、运用与变式训练。 →注重审题训练，一定要有审几个设问的意识，以典型问题试卷为例，进行课堂训练，形成好的审题习惯，圈点勾画关键信息，解读设问关键词和层次,M_CC0143_2025_朝阳_一模_19_06|M_CC0143_2025_朝阳_一模_19_07,2.没有区分是几个诉讼请求。没有区分的意识 比如：王某遂向该市互联网法院提起诉讼，要求A公司退还其支付的票款310元，并予以三倍赔偿。 改进措施 →教学中加强法律基础知识的落实、运用与变式训练。 →注重审题训练，一定要有审几个设问的意识，以典型问题试卷为例，进行课堂训练，形成好的审题习惯，圈点勾画关键信息，解读设问关键词和层次,判断法律关系/行为性质/责任承担或程序路径(回源细化),三倍赔偿；起诉；诉讼请求,,knowledge+material,uncertain,F0086:text | F0087:page 6 | F0087:page 9 | F0301:text,heuristic_atom_split_from_text_layer; needs回源核细则原文; teaching_reflection_not_scoring_atom_not_core_code_support
R_CC0143_2025_朝阳_一模_19_17,CC0143_2025_朝阳_一模_19,③运用知识： 模板套路运用 术语准确 问题和原因 →学生按照权利命名法律，法律名称的书写混乱：得强调。 消费者权益保护法写成：消费者权益法、消费者保护法； →遗漏分析第一个诉讼请求 比如合同：即使分析到了，也没有按照合同成立、生效、履行的逻辑来分析。 还有同学直接写违约责任，这是不对的，应该从合同成立开始分析。 →对于第二个三倍赔偿的诉讼请求 大部分同学可以扣住法条进行进行解读 →部分写反不正当竞争，对于反不正当竞争内涵不了解 →还有同学生搬硬套、写错消费者权利 比如：看到网络就写隐私权 比如：消费者同意权 改进措施,grading_commentary,formal,教学反思/阅卷问题记录，不是独立给分细则：③运用知识： 模板套路运用 术语准确 问题和原因 →学生按照权利命名法律，法律名称的书写混乱：得强调。 消费者权益保护法写成：消费者权益法、消费者保护法； →遗漏分析第一个诉讼请求 比如合同：即使分析到了，也没有按照合同成立、生效、履行的逻辑来分析。 还有同学直接写违约责任，这是不对的，应该从合同成立开始分析。 →对于第二个三倍赔偿的诉讼请求 大部分同学可以扣住法条进行进行解读 →部分写反不正当竞争，对于反不正当竞争内涵不了解 →还有同学生搬硬套、写错消费者权利 比如：看到网络就写隐私权 比如：消费者同意权 改进措施,M_CC0143_2025_朝阳_一模_19_06|M_CC0143_2025_朝阳_一模_19_07|M_CC0143_2025_朝阳_一模_19_08,③运用知识： 模板套路运用 术语准确 问题和原因 →学生按照权利命名法律，法律名称的书写混乱：得强调。 消费者权益保护法写成：消费者权益法、消费者保护法； →遗漏分析第一个诉讼请求 比如合同：即使分析到了，也没有按照合同成立、生效、履行的逻辑来分析。 还有同学直接写违约责任，这是不对的，应该从合同成立开始分析。 →对于第二个三倍赔偿的诉讼请求 大部分同学可以扣住法条进行进行解读 →部分写反不正当竞争，对于反不正当竞争内涵不了解 →还有同学生搬硬套、写错消费者权利 比如：看到网络就写隐私权 比如：消费者同意权 改进措施,判断法律关系/行为性质/责任承担或程序路径(回源细化),违约责任；隐私权；消费者权益保护法；三倍赔偿；诉讼请求,,knowledge+material,uncertain,F0086:text | F0087:page 6 | F0087:page 9 | F0301:text,heuristic_atom_split_from_text_layer; needs回源核细则原文; teaching_reflection_not_scoring_atom_not_core_code_support
R_CC0143_2025_朝阳_一模_19_18,CC0143_2025_朝阳_一模_19,①加强主干知识、教材重难点，进行案例教学，,grading_commentary,formal,教学反思/阅卷问题记录，不是独立给分细则：①加强主干知识、教材重难点，进行案例教学，,M_CC0143_2025_朝阳_一模_19_01|M_CC0143_2025_朝阳_一模_19_02,①加强主干知识、教材重难点，进行案例教学，,判断法律关系/行为性质/责任承担或程序路径(回源细化),,,uncertain,uncertain,F0086:text | F0087:page 6 | F0087:page 9 | F0301:text,heuristic_atom_split_from_text_layer; needs回源核细则原文; teaching_reflection_not_scoring_atom_not_core_code_support
R_CC0143_2025_朝阳_一模_19_19,CC0143_2025_朝阳_一模_19,②注重教材中出现的法律名称和重点内容的法律逻辑，要让学生记准记牢，尤其像民法典这种最基本的法律，是不能错的。,grading_commentary,formal,教学反思/阅卷问题记录，不是独立给分细则：②注重教材中出现的法律名称和重点内容的法律逻辑，要让学生记准记牢，尤其像民法典这种最基本的法律，是不能错的。,M_CC0143_2025_朝阳_一模_19_01|M_CC0143_2025_朝阳_一模_19_02,②注重教材中出现的法律名称和重点内容的法律逻辑，要让学生记准记牢，尤其像民法典这种最基本的法律，是不能错的。,判断法律关系/行为性质/责任承担或程序路径(回源细化),民法典,,knowledge,uncertain,F0086:text | F0087:page 6 | F0087:page 9 | F0301:text,heuristic_atom_split_from_text_layer; needs回源核细则原文; teaching_reflection_not_scoring_atom_not_core_code_support
R_CC0143_2025_朝阳_一模_19_20,CC0143_2025_朝阳_一模_19,④结合材料： 紧扣材料 对应材料 迁移材料 问题和原因,grading_commentary,formal,教学反思/阅卷问题记录，不是独立给分细则：④结合材料： 紧扣材料 对应材料 迁移材料 问题和原因,M_CC0143_2025_朝阳_一模_19_01|M_CC0143_2025_朝阳_一模_19_02,④结合材料： 紧扣材料 对应材料 迁移材料 问题和原因,判断法律关系/行为性质/责任承担或程序路径(回源细化),,,material,uncertain,F0086:text | F0087:page 6 | F0087:page 9 | F0301:text,heuristic_atom_split_from_text_layer; needs回源核细则原文; teaching_reflection_not_scoring_atom_not_core_code_support
