"question_id","year","district","evidence_status","main_entry","sub_entry","candidate_entry","secondary_entry","mapping_note"
"CC0002_2024_丰台_一模_17","2024","丰台","PASS","问法院减轻赔偿责任的理由与意义","法律制度意义","E2_判决裁判责任理由","E5_意义价值作用保护推动","rule_mapped"
"CC0011_2024_丰台_二模_17","2024","丰台","PASS","问法律规定的生态保护作用","规则意义","E5_意义价值作用保护推动","","rule_mapped"
"CC0019_2024_朝阳_一模_19","2024","朝阳","PASS","问法律原则的现实作用","合同诚信履行；经营者诚信经营","E5_意义价值作用保护推动","","rule_mapped"
"CC0025_2024_朝阳_二模_17","2024","朝阳","PASS","问仲裁裁决理由与典型意义","制度意义","E2_判决裁判责任理由","E5_意义价值作用保护推动","rule_mapped"
"CC0054_2024_石景山_一模_17","2024","石景山","PASS","问合同成立理由与判决意义","绿色交易意义","E2_判决裁判责任理由","E5_意义价值作用保护推动","rule_mapped"
"CC0063_2024_西城_二模_16","2024","西城","PASS","问判决意义","规则意义","E5_意义价值作用保护推动","","rule_mapped"
"CC0077_2025_东城_一模_19","2025","东城","PASS","完成表格 / 一格一链","纠纷解决；劳动权利义务；遗产管理","E1_表格裁判要点补链","","rule_mapped"
"CC0084_2025_东城_二模_19","2025","东城","PASS","完成表格 / 一案一原则","人格权益；消费者权益；格式条款","E1_表格裁判要点补链","","rule_mapped"
"CC0103_2025_丰台_一模_19","2025","丰台","PASS","问典型案例意义","规则意义","E5_意义价值作用保护推动","","rule_mapped"
"CC0119_2025_丰台_期末_19","2025","丰台","PASS","问法院裁判理由","劳动纪律；解除劳动合同","E2_判决裁判责任理由","","rule_mapped"
"CC0125_2025_延庆_一模_19","2025","延庆","PASS","问调解理由","材料证明","E6_调解维权纠纷解决证据路径","","rule_mapped"
"CC0131_2025_房山_一模_19","2025","房山","PASS","问法治价值/意义","知识产权保护","E5_意义价值作用保护推动","","rule_mapped"
"CC0137_2025_昌平_二模_20","2025","昌平","PASS","裁判理由 / 补表 / 完成理由","一格一链","E1_表格裁判要点补链","","rule_mapped"
"CC0143_2025_朝阳_一模_19","2025","朝阳","PASS","问消费者诉求能否支持及理由","合同效力|撤销","E3_诉求请求能否支持","","rule_mapped"
"CC0150_2025_朝阳_二模_20","2025","朝阳","PASS","问如何保护权利或判决认识","","E4_评析认识谈看法","","rule_mapped"
"CC0157_2025_朝阳_期末_20","2025","朝阳","PASS","完成裁判要点 / 一案一链","数据不正当竞争；旅游安全保障","E1_表格裁判要点补链","","rule_mapped"
"CC0180_2025_海淀_期末_20","2025","海淀","PASS","解释法律规则的意义","无过错侵权责任；消费者保护","E5_意义价值作用保护推动","","rule_mapped"
"CC0181_2025_海淀_期末_21","2025","海淀","PASS","问裁判","","E2_判决裁判责任理由","","rule_mapped"
"CC0195_2025_西城_一模_20","2025","西城","PASS","问做法如何平衡公平与效率","集体协商；劳动权益","E5_意义价值作用保护推动","","rule_mapped"
"CC0200_2025_西城_二模_18","2025","西城","PASS","问判决结果 / 责任分担理由","多方过错 / 未成年人交易行为效力","E2_判决裁判责任理由","","rule_mapped"
"CC0206_2025_西城_期末_19","2025","西城","PASS","问判决分析","不正当竞争；商标抢注/混淆","E2_判决裁判责任理由","","rule_mapped"
"CC0213_2025_门头沟_一模_20","2025","门头沟","PASS","完成裁判要点 / 参照示例","著作权；劳动合同诚信","E1_表格裁判要点补链","","rule_mapped"
"CC0214_2025_门头沟_一模_20_2","2025","门头沟","PASS","裁判理由补写","劳动合同诚信","E1_表格裁判要点补链","","rule_mapped"
"CC0223_2025_顺义_一模_19","2025","顺义","PASS","问纠纷如何解决","诉讼调解；相邻关系；不正当竞争/行政裁决","E6_调解维权纠纷解决证据路径","","rule_mapped"
"CC0238_2026_东城_二模_19","2026","东城","PASS","问评析 / 谈认识","一主体一链","E4_评析认识谈看法","","rule_mapped"
"CC0244_2026_东城_期中_18","2026","东城","PASS","问法律认识","","E4_评析认识谈看法","","rule_mapped"
"CC0245_2026_东城_期中_18_2","2026","东城","PASS","问维权准备和路径","合同/侵权证据；纠纷解决","E6_调解维权纠纷解决证据路径","","rule_mapped"
"CC0254_2026_丰台_二模_18","2026","丰台","PASS","问对法治温度/法德结合的认识","调解方案理由","E4_评析认识谈看法","","rule_mapped"
"CC0283_2026_朝阳_一模_18","2026","朝阳","PASS","问法院如何保护知识产权","多案例意义题；一案一手段","E5_意义价值作用保护推动","","rule_mapped"
"CC0289_2026_朝阳_二模_18","2026","朝阳","PASS","补问答并任选权利保护","权利救济路径","E1_表格裁判要点补链","E6_调解维权纠纷解决证据路径","rule_mapped"
"CC0325_2026_石景山_一模_18","2026","石景山","PASS","完成举证责任表","诉讼程序；举证责任","E1_表格裁判要点补链","","rule_mapped"
"CC0340_2026_西城_一模_17","2026","西城","PASS","问规定如何推动绿色发展","","E5_意义价值作用保护推动","","rule_mapped"
"CC0364_2026_通州_期中_19_1","2026","通州","PASS","问判决结果及理由","相邻关系；停止妨害","E2_判决裁判责任理由","","rule_mapped"
"CC0045_2024_海淀_二模_19","2024","海淀","PASS_RECOVERED","问判决社会价值","规则意义","E5_意义价值作用保护推动","","rule_mapped"
"CC0051_2024_海淀_期中_21_1","2024","海淀","PASS_RECOVERED","评析观点","婚姻家庭法律变迁；良法评析","E4_评析认识谈看法","","rule_mapped"
"CC0061_2024_西城_一模_18","2024","西城","PASS_RECOVERED","问对督促履行义务告知书的认识","家庭赡养制度意义","E4_评析认识谈看法","","rule_mapped"
"CC0092_2025_东城_期末_19_1","2025","东城","PASS_RECOVERED","识别法律问题","共有部分；相邻权；安全责任","E6_调解维权纠纷解决证据路径","","rule_mapped"
"CC0189_2025_石景山_一模_20","2025","石景山","PASS_RECOVERED","完成表格 / 法律护航创新","委托合同违约；不正当竞争","E1_表格裁判要点补链","","rule_mapped"
"CC0229_2026_东城_一模_18","2026","东城","PASS_RECOVERED","问司法如何守护创新 / 知识产权制度意义","多案例意义题","E5_意义价值作用保护推动","","rule_mapped"
"CC0332_2026_石景山_二模_19","2026","石景山","PASS_RECOVERED","问惩教并行认识","行为评价","E4_评析认识谈看法","","rule_mapped"
"CC0305_2026_海淀_一模_18_3","2026","海淀","PASS_RECOVERED_FORMAL_BUT_ASK_TEXT_PARTIAL","问诉求能否支持","隐私权链 / 消费者欺诈链","E3_诉求请求能否支持","","rule_mapped"
"CC0373_2026_顺义_一模_18","2026","顺义","PASS_RECOVERED","问诉求能否支持并说明理由","材料证明","E3_诉求请求能否支持","","rule_mapped"
