question_id,year,district,exam_stage,question_no,sub_question_no,flags,evidence_level,source_locator,must_fix_before_reasoner,sample_text
CC0011_2024_丰台_二模_17,2024,丰台,二模,17,,full_equals_answer|full_equals_rubric,formal,F0047:text | F0270:text,yes,17.运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境的作用。（8分） 参考答案：民法典规定的绿色原则为生态环境保护提供了基本遵循。在上述案例中，民法典强调对知识产权的保护，能够鼓励技术创新，为生态环境保护提供技术支撑。依据民法典规定，甲公司污染、破坏环境应承担相应的侵权责任。民法典上述条款合理地确定了民事主体的权利义务，既能保护合法权益，又能惩罚违法行为，有助于平衡个人利益和公共利益，合理预防损害，维护良好的生态
CC0019_2024_朝阳_一模_19,2024,朝阳,一模,19,,missing_ask_text|full_equals_answer|full_equals_rubric|material_equals_answer|material_equals_rubric|question_layer_may_be_scoring_text|material_layer_may_be_scoring_text,formal,F0014:text | F0239:text,yes,"19.（7分） 社会主义市场经济本质上是法治经济。民法典将诚信原则确立为基本原则之一，凸显了社会主义核心价值观对社会主义市场经济建设的引导和规范。 诚信原则要求合同当事人按照约定全面履行义务，有利于规范民事主体行为，尊重和维护民事主体合法权利；司法机关可根据诚信原则定分止争,维护公平正义，维护诚信、健康的市场秩序。 诚信原则要求经营者依法、诚信经营，保护消费者的合法权益。这不仅有利于平衡经营者与消费者之间的关系，而且有助于守法诚信的经营"
CC0077_2025_东城_一模_19,2025,东城,一模,19,,missing_ask_text,formal,F0073:page 4 | F0074:page 5 | F0074:page 8 | F0292:page 4,yes,19.(8 分) 法治以“固根本、稳预期、利长远”的治理效能，夯实人民群众可感可及的公平正义。以下三个案例生 动展现了法治的实践与成效。 案件一 张某与某公司签订《家庭装修合同》，因公司未按工期完工，张某诉至法院，要求赔偿损失并 支付违约金。在诉讼程序启动后，法官了解双方需求、耐心释法析理，最终该公司主动赔偿工期延误损失， 既解“法结”又解“心结”。 案件二  柳某入职某医院时，双方在合同中约定“若柳某提出解约，培训费补偿见《培训协议》
CC0084_2025_东城_二模_19,2025,东城,二模,19,,missing_ask_text,formal,F0100:page 3 | F0101:page 5 | F0101:page 7 | F0317:page 3,yes,19.(8 分)法律以清晰的边界和公正的尺度守护社会秩序，营造美好生活。 案件一 龙某为13 周岁的钱某在所经营的美容工作室进行了大面积文身并收取费用。钱某母亲发现后，为 避免对钱某求学及就业造成影响，要求龙某为钱某清洗文身并赔偿。因协商未果，钱某诉至法院，最终法 院判决龙某退还文身费用并赔偿精神损失。 案件二 杨某在其运营的自媒体账号发布文章，在没有事实依据的情况下，评价某公司“搅乱市场”“打劫同 行”“无赖”“强盗”，引发社会关注，
CC0092_2025_东城_期末_19_1,2025,东城,期末,19,1,missing_ask_text|full_equals_answer|full_equals_rubric|material_equals_answer|material_equals_rubric|question_layer_may_be_scoring_text|material_layer_may_be_scoring_text,formal,F0128:page 11 | F0129:slide 11 | F0129:slide 12 | F0338:page 11,yes,19（1）评分细则（两种思路都可以得分，如果在同样的思路中，要求涉及具体问题不同， 1个问题1分） • 思路1.充电桩方案的具体内容是否符合/违反规定（依法依规） • 如： • 设置充电柜是否违反消防规定； • 改变公有部分用途的法律程序问题； • 涉及民法典对公共区域功能改变的规定； • 思路2.充电桩方案的具体内容涉及哪些权利？ • 如： • 公共区域设置充电柜是否涉及侵权问题； • 可能侵害部分业主对公共部分的合法权利 • 充电柜
CC0131_2025_房山_一模_19,2025,房山,一模,19,,missing_ask_text,formal,F0080:page 3 | F0081:page 14 | F0081:page 6 | F0298:page 3,yes,19. 【答案】 ①激励创新积极性。通过高额赔偿和惩罚性赔偿，保障创新者的合法权益，使其获得合理回报，激发社会 创新动力。 ②维护市场公平竞争。严惩以不正当手段获取技术秘密的行为，保障市场规则的公平性，促进健康有序的 竞争环境。 ③彰显法治权威。严格执法和公正司法强化了法律对侵权行为的威慑力，提升公众对法治的信任，推动法 治社会建设。 （原卷无答案，本答案仅供参考） 【分析】背景素材：知识产权侵权诉讼案例 考点考查：依法治国、尊重知识产
CC0157_2025_朝阳_期末_20,2025,朝阳,期末,20,,missing_ask_text|question_layer_may_be_scoring_text|material_layer_may_be_scoring_text,formal,F0135:page 6 | F0135:page 9 | F0133:slides around Q20; F0343:teacher answer Q20,yes,20. （10 分）人民法院审理案件，必须坚持以事实为根据、以法律为准绳，做到公正司法。 了解案件，分析事实，印证法理，参考示例，完成下表。 案件事实 拟写裁判要点 案件一  甲公司在 2016 年与乙公司终 止合作后，继续在甲公司运营的相关地图软 件、应用和第三方服务中使用乙公司数据。 乙公司以甲公司侵犯署名权、修改权、复制 权、信息网络传播权等理由向人民法院提起 诉讼。 示例： 裁判理由：根据著作权法，甲公司在 应用软件中使用被诉侵
CC0180_2025_海淀_期末_20,2025,海淀,期末,20,,missing_ask_text|question_layer_may_be_scoring_text|material_layer_may_be_scoring_text,formal,F0139:text | F0138:slides 39-41; F0139:text Q20,yes,20．（6分） ①生产者产品责任是无过错侵权责任，行为人只要损害了他人的民事权益，不论其有无过错，均应当承担侵权责任。《解释》从保护消费者角度作出解释，明确缺陷产品造成的产品自身损害属于产品责任赔偿范围，切实维护消费者合法权益。 ②禁止饲养的烈性犬等危险动物造成他人损害的，动物饲养人或者管理人应承担无过错侵权责任，没有任何免责事由和减责事由。《解释》阐明民法典“最严格的无过错责任”立法精神，强化动物饲养人、管理人责任意识，维护动物饲养管
CC0189_2025_石景山_一模_20,2025,石景山,一模,20,,missing_ask_text,formal,F0091:text | F0092:page 11 | F0092:page 8 | F0309:text,yes,20. (8 分) 新质生产力鼓励新业态拓展创新。人民法院能动履职、保护创新，为发展新质生产力提供重要保障。下列 是石景山法院以司法护航新质生产力发展的两个案例。 案例一 集成电路产业是信息产业的核心，为新质生产力发展提供重要支撑。原告科技公司与被告电路公司就某集 成电路技术研发项目签订委托合同，约定由被告按相关技术标准在规定时间内完成产品研发交付，原告分 期付酬 16 万元。研发过程中，原告支付了两期研发费共9.6 万元，经检验，阶段
CC0195_2025_西城_一模_20,2025,西城,一模,20,,missing_ask_text|question_layer_may_be_scoring_text|material_layer_may_be_scoring_text,formal,F0093:text | F0094:page 10 | F0094:page 7 | F0311:text,yes,20．（8分）劳动法的首要原则是保护劳动者权益，工会搭建协商平台，劳动者以集体力量与用人单位签订 集体合同，可以确保双方协商一致，更加公平、平等自愿。更好地保护劳动者合法权益，促进广大劳 动者特别是低薪劳动者群体实现体面劳动，实现社会公平。促进企业依法规范用工，构建和谐劳动关 系，激发劳动者积极性，推动生产效率的提高，培育良好商誉，实现社会公平与经济效率的平衡。
