suite_id,year,district,stage,suite_name,question_no,answer,answer_source,overview_sentence,wrong_option_sentences,question_excerpt,rubric_source,notes,curation_status,curation_reason
2024_东城_一模_001,2024,东城,一模,2024东城一模,9,,,在张某因房屋产权纠纷，向人民法院提起物权确认之诉，人民法院依法判决涉案房屋 归张某所有。下列说法正确的是中，本题暂不写死答案，因为 v2 未从可靠答案表锁定客观答案；先保留题面，等待答案源核验。,答案未锁定，暂不生成错项句。,9.张某因房屋产权纠纷，向人民法院提起物权确认之诉，人民法院依法判决涉案房屋 归张某所有。下列说法正确的是 A. 张某应尽快办理房产登记，以免影响物权变动 B.该案所涉的他物权对应着物的使用价值 C.涉案房产与占地，二者法律关系的内容一致 D.张某对于房屋的物权自一审判决宣告时生效 高三思想政治 第3页（共10页） [ocr page 4],,答案未从可靠答案表或逐题解析锁定,defer_answer_missing,选择题像选必二，但答案未锁定，暂不生成正式错项。
2024_朝阳_二模_003,2024,朝阳,二模,2024朝阳二模,11,,,"在小李父母名下有一套房产,其母 2018 年去世,未立遗嘱。 小李的外祖父母 2020 年去 世,舅舅在世。 小李父亲 2022 年去世,去世前立下遗嘱,将名下房产由小李继承。 此 后,小李携父亲遗嘱到公证处,欲办理该套房产的继承手续。 对此,下列说法正确的是中，本题暂不写死答案，因为 v2 未从可靠答案表锁定客观答案；先保留题面，等待答案源核验。",答案未锁定，暂不生成错项句。,"11. 小李父母名下有一套房产,其母 2018 年去世,未立遗嘱。 小李的外祖父母 2020 年去 世,舅舅在世。 小李父亲 2022 年去世,去世前立下遗嘱,将名下房产由小李继承。 此 后,小李携父亲遗嘱到公证处,欲办理该套房产的继承手续。 对此,下列说法正确的是 ①小李父亲拥有的房产份额按照遗嘱全部由小李继承 ②小李无需取得其舅舅的同意,就可以取得该房产的全部产权 ③小李母亲去世后,其名下房产份额依法定继承规定,一般应当均等分配 ④小李外祖父母去世后,小李以第二顺序继承人身份可继承相应房产份额 A. ①② B. ①③ C. ②④ D. ③④",,答案未从可靠答案表或逐题解析锁定,defer_answer_missing,选择题像选必二，但答案未锁定，暂不生成正式错项。
2024_朝阳_二模_003,2024,朝阳,二模,2024朝阳二模,12,,,"在刘某和张某在某场地进行羽毛球比赛。 比赛中刘某举拍防守未果,被羽毛球击中右 眼,右眼视力受损严重。 刘某遂诉至法院,要求张某赔偿多项费用。 一审法院判决驳 回刘某诉讼请求,二审法院维持原判。 关于本案,下列说法正确的是中，本题暂不写死答案，因为 v2 未从可靠答案表锁定客观答案；先保留题面，等待答案源核验。",答案未锁定，暂不生成错项句。,"12. 刘某和张某在某场地进行羽毛球比赛。 比赛中刘某举拍防守未果,被羽毛球击中右 眼,右眼视力受损严重。 刘某遂诉至法院,要求张某赔偿多项费用。 一审法院判决驳 回刘某诉讼请求,二审法院维持原判。 关于本案,下列说法正确的是 A. 本次诉讼中,刘某和张某都有委托辩护人、申请回避和上诉的权利 B. 自诉人刘某可就张某的行为向法院提起诉讼,追究张某的刑事责任 C. 刘某提起的诉讼属于解决平等主体之间的民事权利和义务纠纷的民事诉讼 D. 刘某不服二审裁判,可以请求启动审判监督程序或向上一级法院提出上诉",,答案未从可靠答案表或逐题解析锁定,defer_answer_missing,选择题像选必二，但答案未锁定，暂不生成正式错项。
2024_丰台_二模_009,2024,丰台,二模,丰台二模,5,,,在《中华人民共和国消费者权益保护法实施条例》将于2024年7月1日起施行。部分内容 如下： 《中华人民共和国消费者权益保护法实施条例》 第一条 根据《中华人民共和国消费者权益保护法》等法律，制定本条例。 第三条 国家加大消费者合法权益保护力度，建立和完善经营者守法、行业自律、消费者……中，本题暂不写死答案，因为 v2 未从可靠答案表锁定客观答案；先保留题面，等待答案源核验。,答案未锁定，暂不生成错项句。,5.《中华人民共和国消费者权益保护法实施条例》将于2024年7月1日起施行。部分内容 如下： 《中华人民共和国消费者权益保护法实施条例》 第一条 根据《中华人民共和国消费者权益保护法》等法律，制定本条例。 第三条 国家加大消费者合法权益保护力度，建立和完善经营者守法、行业自律、消费者参与、 政府监管和社会监督相结合的消费者权益保护共同治理体系。 第四条 国家统筹推进消费环境建设，营造安全放心的消费环境，增强消费对经济发展的基础 性作用。 以上规定能够 ①促使经营者依法、诚信经营，切实维护消费者合法权益 ②强化政府保护消费者权益的工作职责，加大监督检查和执法力度 ③及时查处侵害消费者合法权益的行为，避免消费投诉、举报 ④营造更加安全、公平的消费环境，确保消费规模的扩大 A. ①② B.①④ C. ②③ D.③④,,答案未从可靠答案表或逐题解析锁定,defer_answer_missing,选择题像选必二，但答案未锁定，暂不生成正式错项。
2024_丰台_二模_009,2024,丰台,二模,丰台二模,6,,,在“一函两书”制度是由最高人民检察院和中华全国总工会联合提出的一种制度，旨在通 过工会及相关单位提醒用人单位落实好劳动法律法规或纠正其违法劳动用工行为。“一 函”即工会劳动法律监督提示函，“两书”即工会劳动法律监督意见书和工会劳动法律 监督建议书。“一函两书”制度有利于中，本题暂不写死答案，因为 v2 未从可靠答案表锁定客观答案；先保留题面，等待答案源核验。,答案未锁定，暂不生成错项句。,6.“一函两书”制度是由最高人民检察院和中华全国总工会联合提出的一种制度，旨在通 过工会及相关单位提醒用人单位落实好劳动法律法规或纠正其违法劳动用工行为。“一 函”即工会劳动法律监督提示函，“两书”即工会劳动法律监督意见书和工会劳动法律 监督建议书。“一函两书”制度有利于 ①提高协作配合质效，推动构建和谐劳动关系 ②构建起全链条的保障体系，促进用人单位规范健康发展 ③加强源头预防，通过多种方式保障劳动者合法权益 ④强化检察机关和工会组织的检察监督职能，促进化解劳动纠纷 A. ①② B. ①③ C.②④ D.③④,,答案未从可靠答案表或逐题解析锁定,defer_answer_missing,选择题像选必二，但答案未锁定，暂不生成正式错项。
2024_石景山_一模_011,2024,石景山,一模,石景山一模,11,,,在买家赵某连续多年在某牙膏旗舰店购买了多支“专业蛀牙修复”牙膏，因最终未达到商家宣传疗效反而导致自己错失口腔疾病最佳治疗时间而将商家诉至法院，请求 判决商家承担价款的三倍赔偿责任，以及自己看牙的医疗费损失。法院最终判决商 家赔偿其三倍价款，驳回了赵某要求商家赔偿医疗费用的诉讼请求。……中，本题暂不写死答案，因为 v2 未从可靠答案表锁定客观答案；先保留题面，等待答案源核验。,答案未锁定，暂不生成错项句。,11．买家赵某连续多年在某牙膏旗舰店购买了多支“专业蛀牙修复”牙膏，因最终未达到商家宣传疗效反而导致自己错失口腔疾病最佳治疗时间而将商家诉至法院，请求 判决商家承担价款的三倍赔偿责任，以及自己看牙的医疗费损失。法院最终判决商 家赔偿其三倍价款，驳回了赵某要求商家赔偿医疗费用的诉讼请求。以下理解正确的是 ①商家虚假宣传行为侵犯了赵某作为消费者的知情权、自主选择权及安全消费权利 ②由于涉案双方之间存在买卖合同关系，商家应当承担三倍惩罚性赔偿的违约责任 ③牙膏不属于医疗器械、药品的范围，商家构成欺诈行为，应承担惩罚性赔偿责任 ④赵某如不能证明其牙病的发生与涉案产品间存在因果关系需承担举证不能的责任 A．①② B．①④ C．②③ D．③④,,答案未从可靠答案表或逐题解析锁定,defer_answer_missing,选择题像选必二，但答案未锁定，暂不生成正式错项。
2024_西城_二模_013,2024,西城,二模,西城二模,11,B,/Users/wanglifei/Desktop/2024模拟题/西城二模/细则/细则.docx,在H省第一公立小学旧址位于J县内，为该省文物保护单位。但J县文化和旅游局对该旧址一直未采取有效措施加强监督管理，致使其建筑面临损毁灭失的风险。J县人民检察院提起公益诉讼，请求判令J县文化和旅游局履行文物监管职责。J县人民法院查明事实后依法作出一审判决，责令被告J县文化和旅游局继续履……中，应选B，核心判断是“炒股本金10万元属于王某个人财产，炒股所得的5万元收益属于夫妻共同财产”；其他项主要错在没有同时扣准主体关系、行为事实和法律后果。,A项不对在主体、行为、权利义务或适用条件没有扣准，因为“王某所欠的3万元是其个人债务，而非夫妻共同债务”与题面事实或法律规则不匹配。；C项不对在继承规则或协议效力判断不准，因为“赵某继承其父房子的时间因在婚姻关系存续期间，房子属于夫妻共同财产”与题面事实或法律规则不匹配。；D项不对在条件说绝对或忽略法定前提，因为“应将王某和赵某的所有财产加在一起，离婚时平均分配，一人一半”与题面事实或法律规则不匹配。,11．H省第一公立小学旧址位于J县内，为该省文物保护单位。但J县文化和旅游局对该旧址一直未采取有效措施加强监督管理，致使其建筑面临损毁灭失的风险。J县人民检察院提起公益诉讼，请求判令J县文化和旅游局履行文物监管职责。J县人民法院查明事实后依法作出一审判决，责令被告J县文化和旅游局继续履行对H省第一公立小学旧址的监管职责。在这起案件中 ① J 县文化和旅游局应当提供证据证明其行为的合法性 ②法庭辩论和宣告判决是整个诉讼过程中最重要的环节 ③人民法院应当严格按照民事诉讼法规定的程序进行审理 ④ J 县文化和旅游局可以在一审判决书下达后15日内提起上诉 A．①② B．①④ C．②③ D．③④ 12．2018年王某因个人做生意的需要，向朋友借款3万元，一直未还。2020年王某和赵某登记结婚。2021年，赵某基于遗嘱继承了父亲指定给她的房子。现在，王某和赵某感情破裂，准备协议离婚。王某表示，他这两年炒股所用的本金10万元是他的工资奖金，因此炒股所得的5万元收益属于自己的“私房钱”，不是夫妻共同财产。下列观点正确的是 A．王某所欠的3万元是其个人债务，而非夫妻共同债务 B．炒股本金10万元属于王某个人财产，炒股所得的5万元收益属于夫妻共同财产 C．赵某继承其父房子的时间因在婚姻关系存续期间，房子属于夫妻共同财产 D．应将王某和赵某的所有财产加在一起，离婚时平均分配，一人一半,,,defer_mixed_module,法律材料与非选必二模块混在同一题段，需人工拆分或复核。
2024_顺义_二模_014,2024,顺义,二模,顺义思政二模,10,B,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx,在近年来，越来越多的商家通过直播带货吸引消费者。经营者吴某与某文化传媒公司合作，约定由该公司负责吴某所经营店铺在某平台上的运营与推广。合同约定平均每日可增加营销额数百元，吴某支付推广费用2万余元。合作期间，引流带货效果与在签订协议时对方承诺的相差甚远，吴某总共只赚了200元。由此引……中，应选B，核心判断是“传媒公司违背诚信经营，因未完全履行合同需承担违约责任”；其他项主要错在没有同时扣准主体关系、行为事实和法律后果。,A项不对在主体、行为、权利义务或适用条件没有扣准，因为“订立合同就能规范市场主体的交易行为，维护民事权利”与题面事实或法律规则不匹配。；C项不对在纠纷解决程序或法律效力错位，因为“吴某可以申请仲裁，对仲裁不服可提起诉讼解决合同纠纷”与题面事实或法律规则不匹配。；D项不对在主体、行为、权利义务或适用条件没有扣准，因为“传媒公司履行合同义务不符合约定，应该向吴某公开道歉”与题面事实或法律规则不匹配。,10.近年来，越来越多的商家通过直播带货吸引消费者。经营者吴某与某文化传媒公司合作，约定由该公司负责吴某所经营店铺在某平台上的运营与推广。合同约定平均每日可增加营销额数百元，吴某支付推广费用2万余元。合作期间，引流带货效果与在签订协议时对方承诺的相差甚远，吴某总共只赚了200元。由此引起合同纠纷。以下分析正确的是 A.订立合同就能规范市场主体的交易行为，维护民事权利 B.传媒公司违背诚信经营，因未完全履行合同需承担违约责任 C.吴某可以申请仲裁，对仲裁不服可提起诉讼解决合同纠纷 D.传媒公司履行合同义务不符合约定，应该向吴某公开道歉,,,defer_mixed_module,法律材料与非选必二模块混在同一题段，需人工拆分或复核。
2025_丰台_一模_016,2025,丰台,一模,2025丰台一模,11,,,在赵某经销售人员朱某介绍与其所在养老产业公司签订《养老卡合同》 ，并预付10 万元购买 60 个月的养 老服务。合同约定缴费后有 3 天考虑期，期内提出退款并填写退款申请，可在7 个工作日内全额退款。赵 某缴费后，当日即联系朱某要求办理退费，但朱某未作回应。后来，该公司以赵某未提交……中，本题暂不写死答案，因为 v2 未从可靠答案表锁定客观答案；先保留题面，等待答案源核验。,答案未锁定，暂不生成错项句。,11. 赵某经销售人员朱某介绍与其所在养老产业公司签订《养老卡合同》 ，并预付10 万元购买 60 个月的养 老服务。合同约定缴费后有 3 天考虑期，期内提出退款并填写退款申请，可在7 个工作日内全额退款。赵 某缴费后，当日即联系朱某要求办理退费，但朱某未作回应。后来，该公司以赵某未提交书面退款申请及 拨打公司退款电话为由，不予全额退款。赵某诉至法院，请求判令该公司全额退款并赔偿利息损失。下列 分析正确的是（ ） ①合同约定明确，赵某未按约定方式申请退款，其诉求不应得到法院支持 ②朱某作为公司销售人员，赵某联系朱某要求退款可视为履行了退款申请手续 ③该公司以未提交书面申请、未拨打电话为由拒绝退款，违背了诚信原则 ④该公司在法院判决后全额退款并赔偿利息损失，属于违约责任中的继续履行 A. ①② B. ①④ C. ②③ D. ③④,,答案未从可靠答案表或逐题解析锁定,defer_answer_missing,选择题像选必二，但答案未锁定，暂不生成正式错项。
2025_延庆_一模_017,2025,延庆,一模,2025延庆一模,10,,,在甲、乙两公司分别是自动驾驶领域知名品牌“萝卜快跑”的运营者及商标权人。丙公司未经允许将 “萝卜快跑”注册为企业名称并从事相关经营活动，甲、乙两公司将其诉至法院。下列认识正确的是 （ ）中，本题暂不写死答案，因为 v2 未从可靠答案表锁定客观答案；先保留题面，等待答案源核验。,答案未锁定，暂不生成错项句。,10. 甲、乙两公司分别是自动驾驶领域知名品牌“萝卜快跑”的运营者及商标权人。丙公司未经允许将 “萝卜快跑”注册为企业名称并从事相关经营活动，甲、乙两公司将其诉至法院。下列认识正确的是 （ ） A. 丙公司属“搭便车”行为，构成不正当竞争，需承担违约的民事责任 B. 丙公司行为妨害健康的市场秩序，本案事实清楚，甲、乙公司无需承担举证责任 C. 因为丙公司企业名称是经工商部门核准注册，其行为无侵权恶意，法院应不予受理 D. 法院应以司法裁判树立清晰法律边界，维护健康的市场秩序，护航新质生产力发展,,答案未从可靠答案表或逐题解析锁定,defer_mixed_module,法律材料与非选必二模块混在同一题段，需人工拆分或复核。
