source_id,root_label,root_path,relative_path,filename,suffix,size_bytes,mtime,year_hint,district_hint,stage_hint,evidence_guess,file_flags,status,notes
SRC_e61b8f13001a,2024模拟题,/Users/wanglifei/Desktop/2024模拟题,202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修1.docx,2024届各区一模试题分类汇编必修1.docx,.docx,568828,1776935375,2024,,一模,P3_candidate_paper,word,not_started,
SRC_98d21522da5e,2024模拟题,/Users/wanglifei/Desktop/2024模拟题,202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修2 .docx,2024届各区一模试题分类汇编必修2 .docx,.docx,1633889,1776935370,2024,,一模,P3_candidate_paper,word,not_started,
SRC_dc86b569e8e2,2024模拟题,/Users/wanglifei/Desktop/2024模拟题,202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修3.docx,2024届各区一模试题分类汇编必修3.docx,.docx,366309,1776935358,2024,,一模,P3_candidate_paper,word,not_started,
SRC_f3d24ca7308c,2024模拟题,/Users/wanglifei/Desktop/2024模拟题,202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修4.docx,2024届各区一模试题分类汇编必修4.docx,.docx,1517404,1776935384,2024,,一模,P3_candidate_paper,word,not_started,
SRC_2cc62698b97c,2024模拟题,/Users/wanglifei/Desktop/2024模拟题,202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必1.docx,2024届各区一模试题分类汇编选必1.docx,.docx,1940457,1776935371,2024,,一模,P3_candidate_paper,word,not_started,
SRC_022512b3acc6,2024模拟题,/Users/wanglifei/Desktop/2024模拟题,202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必2.docx,2024届各区一模试题分类汇编选必2.docx,.docx,779706,1776935377,2024,,一模,P3_candidate_paper,word,not_started,
SRC_7e91ca9d6ed4,2024模拟题,/Users/wanglifei/Desktop/2024模拟题,202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必3.doc,2024届各区一模试题分类汇编选必3.doc,.doc,674304,1776935374,2024,,一模,P3_candidate_paper,word,not_started,
SRC_1f17f2c91d92,2024模拟题,/Users/wanglifei/Desktop/2024模拟题,2024东城一模/细则/细则.pptx,细则.pptx,.pptx,18611296,1776935574,2024,东城,一模,P0_candidate_scoring,ppt,not_started,
SRC_fa4ea186dba9,2024模拟题,/Users/wanglifei/Desktop/2024模拟题,2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,.pdf,2611809,1776935528,2024,东城,一模,P0_candidate_scoring,pdf,not_started,
SRC_a1c55f582bad,2024模拟题,/Users/wanglifei/Desktop/2024模拟题,2024东城一模/试卷/试卷.pdf,试卷.pdf,.pdf,12078779,1776935561,2024,东城,一模,P3_candidate_paper,pdf,not_started,
SRC_9c72a99890c0,2024模拟题,/Users/wanglifei/Desktop/2024模拟题,东城二模/细则/分题细则/阅卷总结/16题/16题二模阅卷总结.docx,16题二模阅卷总结.docx,.docx,1030669,1776935345,2024,东城,二模,P0_candidate_scoring,word,not_started,
SRC_6f5e364530de,2024模拟题,/Users/wanglifei/Desktop/2024模拟题,东城二模/细则/分题细则/阅卷总结/16题/16题评分细则.pptx,16题评分细则.pptx,.pptx,42333,1776935339,2024,东城,二模,P0_candidate_scoring,ppt,not_started,
SRC_242c241d6288,2024模拟题,/Users/wanglifei/Desktop/2024模拟题,东城二模/细则/分题细则/阅卷总结/17题/17(1).docx,17(1).docx,.docx,887638,1776935352,2024,东城,二模,P0_candidate_scoring,word,not_started,
SRC_76b0722d57f1,2024模拟题,/Users/wanglifei/Desktop/2024模拟题,东城二模/细则/分题细则/阅卷总结/17题/17-2.docx,17-2.docx,.docx,819612,1776935349,2024,东城,二模,P0_candidate_scoring,word,not_started,
SRC_c94e22c92a69,2024模拟题,/Users/wanglifei/Desktop/2024模拟题,东城二模/细则/分题细则/阅卷总结/18题/18(1).docx,18(1).docx,.docx,1488308,1776935337,2024,东城,二模,P0_candidate_scoring,word,not_started,
SRC_f89c1a3533f5,2024模拟题,/Users/wanglifei/Desktop/2024模拟题,东城二模/细则/分题细则/阅卷总结/18题/18（2）.docx,18（2）.docx,.docx,1472682,1776935344,2024,东城,二模,P0_candidate_scoring,word,not_started,
