question_id,ask_text,entry_node,complete_exam_answer,status
CC0137_2025_昌平_二模_20,运用《法律与生活》知识，完成裁判理由。,一格一句,李某虽然使用 AI 软件制作图片，但该图片体现其智力投入并具有独创性，依法受著作权法保护，李某享有著作权。刘某未经许可将图片作为文章配图使用，还抹去平台署名水印，侵害李某的信息网络传播权和署名权，应承担侵权责任。小王申请开通信用卡并认可合约，合同合法有效，对双方具有约束力；小王透支消费后经催告仍不还款，构成违约，违反诚信原则和全面履行原则，应偿还本金并按约支付利息。,rewritten_student_clean
CC0025_2024_朝阳_二模_17,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。",定关系定责 + 价值从规则长出来,甲公司通过平台向王某派单，并依据制度对王某进行管理和奖惩，体现人格从属性；甲公司掌握运输服务数据并单方制定结算标准，王某收入依赖平台，体现经济从属性；王某从事的运输服务属于甲公司业务组成部分，体现组织从属性。因此，王某与甲公司之间存在事实劳动关系，仲裁委员会支持其请求有依据。该案例有利于保护新就业形态劳动者合法权益，也提醒平台企业依法规范用工。,rewritten_student_clean
CC0002_2024_丰台_一模_17,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。,定关系定责 + 价值从规则长出来,本案属于好意同乘。乙某无偿搭载甲某，发生事故后主动垫付部分费用，主观上没有故意或重大过失；甲某未按提醒系好安全带，对损害后果也有一定影响。民法典规定，非营运机动车发生交通事故造成无偿搭乘人损害，属于机动车一方责任的，应减轻其赔偿责任。法院酌情减轻乙某责任，既以事实为根据、以法律为准绳，也有利于平衡双方权益，鼓励善意互助，维护公平公正。,rewritten_student_clean
CC0011_2024_丰台_二模_17,运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境的作用。,价值从规则长出来,民法典绿色原则为生态环境保护提供基本遵循。案例中，民法典保护知识产权，可以鼓励环保技术创新，为生态环境保护提供技术支撑；对污染、破坏环境的行为要求承担侵权责任，能够惩戒违法行为、预防生态损害。民法典通过明确民事主体的权利义务，既保护合法权益，又平衡个人利益和公共利益，有助于维护良好生态环境。,rewritten_student_clean
CC0143_2025_朝阳_一模_19,结合材料，运用《法律与生活》知识，说明人民法院支持王某的诉讼请求的理由。,定关系定责,王某通过 A 公司平台购买机票并出票，双方合同已经成立，但合同成立不等于当然有效。A 公司擅自搭售外卖红包，王某不能清楚知悉费用支出细节，也无法拒绝支付额外费用，说明 A 公司存在欺诈，使王某在违背真实意思的情况下订立合同，王某可以请求撤销相关交易。A 公司提供服务存在欺诈，法院支持退还票款并承担惩罚性赔偿，有利于保护消费者合法权益，规范在线文旅平台经营，优化网络消费环境。,rewritten_student_clean
CC0289_2026_朝阳_二模_18,结合材料，《法律与生活》，补充完整。,一格一句,补表时要准确写出权利名：涉及人身损害的，可写生命权、身体权或健康权；涉及证据责任的，可写举证责任倒置；涉及邻里不动产利益的，可写相邻关系。任选一项权利展开时，应先写民法典保护该类民事权利，再结合材料说明任何组织和个人不得侵害该权利；权利受到侵害时，权利人可以依法请求停止侵害、排除妨碍、赔礼道歉或赔偿损失。这样才能从权利名走到保护路径。,rewritten_student_clean
CC0332_2026_石景山_二模_19,结合材料，运用《法律与生活》知识，谈谈对未成年人校园欺凌违法行为“惩”“教”并行的认识。,价值从规则长出来,校园欺凌可能侵害未成年人的生命权、身体权、健康权等人格权益，依法惩治欺凌行为，能为保护学生合法权益提供更有力支持，维护校园秩序。父母对未成年子女负有教育、引导和合理惩戒义务，学校、家庭和执法机关也应协同治理。“惩”让未成年人认识法律边界，“教”帮助其树立法治观念、回归正途，二者并行才能实现保护受害者和教育矫治涉事未成年人的统一。,rewritten_student_clean
CC0206_2025_西城_期末_19,运用法律知识分析法院的判决。,定关系定责,“小爱同学”已经成为有一定影响的唤醒词和商品名称，受到反不正当竞争法保护。陈某明知他人已经使用并形成影响，仍抢先大量注册相关商标，并与公司合作使用、宣传，容易造成消费者混淆，也发布了引人误解的商业宣传信息，构成不正当竞争，违背诚信原则和商业道德。法院判令停止侵权并赔偿损失，有利于保护科技企业品牌商誉，规范数字经济竞争秩序，营造良好的法治化营商环境。,rewritten_student_clean
CC0181_2025_海淀_期末_21,结合材料，运用《法律与生活》知识，说明法律规定“竞业限制”并对其加以限制的原因。,价值从规则长出来,法律规定竞业限制，是为了保护企业商业秘密和知识产权，推动创新发展。案例一中，李某是 A 公司高级管理人员，掌握不为公众知悉的技术信息，离职后立即到竞争企业从事相同岗位，违反竞业限制义务，应承担赔偿责任。法律同时限制竞业限制，是为了防止用人单位过度限制劳动者就业权，促进人才合理流动。案例二中，刘某只是普通冷菜制作员工，不属于负有保密义务的核心人员，公司与其签订过宽的竞业限制协议无效。这样才能平衡企业商业秘密保护和劳动者合法权益。,rewritten_student_clean
CC0200_2025_西城_二模_18,结合材料，运用《法律与生活》的知识，分析人民法院的判决结果。,定关系定责,小刘是限制民事行为能力人，其大额打赏行为与年龄、智力和消费能力不相适应，且家长事先不知情、事后不追认，相关交易行为无效。平台发现异常消费后虽采取限制措施，但之后又因审核不完善解除限制，存在过错；小刘父母疏于监管，未尽到监护职责，也有过错；小刘本人沉迷打赏并通过欺骗规避监管，同样有过错。法院综合各方过错分担责任，符合公平原则，也能警示平台健全审核机制、监护人履行监护义务，引导未成年人树立正确消费观。,rewritten_student_clean
