question_id,source_batch,type,framework_node,evidence_level,source,recheck_reason
Q-2026顺义一模-19-2,batch04_fengtai_shunyi_tongzhou,main_thinking,科学思维>客观性,A-formal,S-2026顺义一模 Q19(2),entry marked needs_codex_recheck=yes before student final
Q-2026顺义一模-19-2,batch04_fengtai_shunyi_tongzhou,main_thinking,科学思维>预见性,A-formal,S-2026顺义一模 Q19(2),entry marked needs_codex_recheck=yes before student final
Q-2026顺义一模-19-2,batch04_fengtai_shunyi_tongzhou,main_thinking,科学思维>可检验性,A-formal,S-2026顺义一模 Q19(2),entry marked needs_codex_recheck=yes before student final
Q-2026通州期末-11,batch04_fengtai_shunyi_tongzhou,choice_trap,认识发展历程-思维抽象与思维具体（C正解，硬规则§九硬样本）,B-choice-signal,S-2026通州期末 Q11,entry marked needs_codex_recheck=yes before student final
Q-2026朝阳期中-13,batch02_chaoyang_controlled_input,choice_trap,创新思维>联想思维（与认识发展历程综合）,B-choice-signal,Q-2026朝阳期中-13,entry marked needs_codex_recheck=yes before student final
Q-2025东城期末-18-2,batch03_dongcheng,main_thinking,创新思维>思维特征（思路新方法新结果新）,A-formal,S-2025东城期末 Q18(2),entry marked needs_codex_recheck=yes before student final
Q-2025东城期末-18-2,batch03_dongcheng,main_thinking,创新思维>发散思维与聚合思维,A-formal,S-2025东城期末 Q18(2),entry marked needs_codex_recheck=yes before student final
Q-2025东城期末-18-2,batch03_dongcheng,main_thinking,创新思维>联想思维,A-formal,S-2025东城期末 Q18(2),entry marked needs_codex_recheck=yes before student final
Q-2025东城期末-18-2,batch03_dongcheng,main_thinking,创新思维>超前思维,A-formal,S-2025东城期末 Q18(2),entry marked needs_codex_recheck=yes before student final
Q-2026东城一模-19-4,batch03_dongcheng,main_thinking,创新思维>思路新方法新结果新（实践基础+创新思维特征）,A-formal,S-2026东城一模 Q19(4),entry marked needs_codex_recheck=yes before student final
Q-2026东城一模-19-4,batch03_dongcheng,main_thinking,创新思维>发散思维与聚合思维,A-formal,S-2026东城一模 Q19(4),entry marked needs_codex_recheck=yes before student final
Q-2026东城一模-19-4,batch03_dongcheng,main_thinking,创新思维>超前思维,A-formal,S-2026东城一模 Q19(4),entry marked needs_codex_recheck=yes before student final
Q-2026顺义一模-5,batch04_fengtai_shunyi_tongzhou,choice_trap,创新思维-形象思维以感性形象为基本单元（D正解）,B-choice-signal,S-2026顺义一模 Q5,entry marked needs_codex_recheck=yes before student final
Q-2026顺义一模-6,batch04_fengtai_shunyi_tongzhou,choice_trap,创新思维-迁移和想象（A正解）,B-choice-signal,S-2026顺义一模 Q6,entry marked needs_codex_recheck=yes before student final
Q-2024朝阳二模-19-1-动态性,batch02_chaoyang_controlled_input,main_thinking,辩证思维>动态性,A-formal,Q-2024朝阳二模-19-1-动态性,entry marked needs_codex_recheck=yes before student final
Q-2026东城一模-19-4,batch03_dongcheng,main_thinking,辩证思维>整体性·分析与综合（同类索引到必修四系统观念）,A-formal,S-2026东城一模 Q19(4),entry marked needs_codex_recheck=yes before student final
Q-2025东城期末-5,batch03_dongcheng,choice_trap,辩证思维>整体性+动态性+矛盾分析法,B-choice-signal,S-2025东城期末 Q5,entry marked needs_codex_recheck=yes before student final
Q-2026东城一模-5,batch03_dongcheng,choice_trap,辩证思维>分析与综合,B-choice-signal,S-2026东城一模 Q5,entry marked needs_codex_recheck=yes before student final
Q-2025丰台期末-16,batch04_fengtai_shunyi_tongzhou,main_thinking,辩证思维>矛盾分析法,A-support,S-2025丰台期末 Q16,entry marked needs_codex_recheck=yes before student final
Q-2025丰台期末-16,batch04_fengtai_shunyi_tongzhou,main_thinking,辩证思维>整体性,A-support,S-2025丰台期末 Q16,entry marked needs_codex_recheck=yes before student final
Q-2025丰台期末-16,batch04_fengtai_shunyi_tongzhou,main_thinking,辩证思维>质量互变（适度原则）,A-support,S-2025丰台期末 Q16,entry marked needs_codex_recheck=yes before student final
Q-2025丰台期末-16,batch04_fengtai_shunyi_tongzhou,main_thinking,辩证思维>动态性,A-support,S-2025丰台期末 Q16,entry marked needs_codex_recheck=yes before student final
Q-2026顺义一模-3,batch04_fengtai_shunyi_tongzhou,choice_trap,辩证思维-整体性与独立性的对立统一（②正解）,B-choice-signal,S-2026顺义一模 Q3,entry marked needs_codex_recheck=yes before student final
Q-2024朝阳二模-19-2,batch02_chaoyang_controlled_input,main_thinking,形式逻辑>判断>联言判断（真值条件）,A-formal,Q-2024朝阳二模-19-2,entry marked needs_codex_recheck=yes before student final
Q-2024朝阳期中-8,batch02_chaoyang_controlled_input,choice_trap,形式逻辑>判断>必要条件假言判断（三种等价表达式）,B-choice-signal,Q-2024朝阳期中-8,entry marked needs_codex_recheck=yes before student final
Q-2024朝阳期中-10,batch02_chaoyang_controlled_input,choice_trap,形式逻辑>概念>外延关系>属种关系,B-choice-signal,Q-2024朝阳期中-10,entry marked needs_codex_recheck=yes before student final
Q-2026朝阳期中-12,batch02_chaoyang_controlled_input,choice_trap,形式逻辑>判断>相容选言判断,B-choice-signal,Q-2026朝阳期中-12,entry marked needs_codex_recheck=yes before student final
Q-2026朝阳期中-15,batch02_chaoyang_controlled_input,choice_trap,形式逻辑>判断>联言判断（真值条件）,B-choice-signal,Q-2026朝阳期中-15,entry marked needs_codex_recheck=yes before student final
Q-2024朝阳二模-19-1-类比推理,batch02_chaoyang_controlled_input,main_thinking,推理>类比推理,A-formal,Q-2024朝阳二模-19-1-类比推理,entry marked needs_codex_recheck=yes before student final
