priority,question_id,parent_question_id,source_batch,type,framework_node,evidence_level,source,source_id,stable_locator,base_decision_reason,recheck_reason
P0,Q-2024朝阳二模-19-1-动态性,Q-2024朝阳二模-19-1,batch02_chaoyang_controlled_input,main_thinking,辩证思维>动态性,A-formal,Q-2024朝阳二模-19-1-动态性,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q19(1),phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=Batch03 Lane B confirmed for evidence fusion only; no student draft；note=已进入 74-row review-only expanded body。,entry marked needs_codex_recheck=yes before student final
P0,Q-2024朝阳二模-19-1-类比推理,Q-2024朝阳二模-19-1,batch02_chaoyang_controlled_input,main_thinking,推理>类比推理,A-formal,Q-2024朝阳二模-19-1-类比推理,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q19(1),phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=Batch03 Lane B confirmed for evidence fusion only; no student draft；note=已进入 74-row review-only expanded body。,entry marked needs_codex_recheck=yes before student final
P0,Q-2024朝阳二模-19-2,Q-2024朝阳二模-19-2,batch02_chaoyang_controlled_input,main_thinking,形式逻辑>判断>联言判断（真值条件）,A-formal,Q-2024朝阳二模-19-2,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q19(2),phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=Batch03 Lane B confirmed for evidence fusion only; no student draft；note=已进入 74-row review-only expanded body。,entry marked needs_codex_recheck=yes before student final
P0,Q-2025东城期末-18-2,Q-2025东城期末-18-2,batch03_dongcheng,main_thinking,创新思维>发散思维与聚合思维,A-formal,S-2025东城期末 Q18(2),012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q18(2),重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-18-2; canonical_conclusion=入正文,entry marked needs_codex_recheck=yes before student final
P0,Q-2025东城期末-18-2,Q-2025东城期末-18-2,batch03_dongcheng,main_thinking,创新思维>思维特征（思路新方法新结果新）,A-formal,S-2025东城期末 Q18(2),012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q18(2),重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-18-2; canonical_conclusion=入正文,entry marked needs_codex_recheck=yes before student final
P0,Q-2025东城期末-18-2,Q-2025东城期末-18-2,batch03_dongcheng,main_thinking,创新思维>联想思维,A-formal,S-2025东城期末 Q18(2),012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q18(2),重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-18-2; canonical_conclusion=入正文,entry marked needs_codex_recheck=yes before student final
P0,Q-2025东城期末-18-2,Q-2025东城期末-18-2,batch03_dongcheng,main_thinking,创新思维>超前思维,A-formal,S-2025东城期末 Q18(2),012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q18(2),重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-18-2; canonical_conclusion=入正文,entry marked needs_codex_recheck=yes before student final
P0,Q-2026东城期末-17-2,Q-2026东城期末-17-2,batch03_dongcheng,main_thinking,推理>演绎推理>三段论·中项不周延,A-formal,S-2026东城期末 Q17(2),044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q17(2),phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=Batch03 Lane B confirmed for evidence fusion only; no student draft；note=已进入 74-row review-only expanded body。,entry marked needs_codex_recheck=yes before student final
P0,Q-2026东城期末-17-2,Q-2026东城期末-17-2,batch03_dongcheng,main_thinking,推理>演绎推理>充分条件假言推理（肯后必肯前的无效式）,A-formal,S-2026东城期末 Q17(2),044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q17(2),phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=Batch03 Lane B confirmed for evidence fusion only; no student draft；note=已进入 74-row review-only expanded body。,entry marked needs_codex_recheck=yes before student final
P0,Q-2026东城期末-17-2,Q-2026东城期末-17-2,batch03_dongcheng,main_thinking,推理>逻辑思维基本要求>矛盾律,A-formal,S-2026东城期末 Q17(2),044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q17(2),phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=Batch03 Lane B confirmed for evidence fusion only; no student draft；note=已进入 74-row review-only expanded body。,entry marked needs_codex_recheck=yes before student final
