suite,question,source_kind,evidence_level_candidate,framework_node,material_action,trigger_logic_short,student_answer_direction_short,original_source_path_or_cache,needs_original_recheck,notes
2026顺义一模,Q19(2),rubric_formal,A-formal_pending,科学思维→客观性+预见性+可检验性,企业深入调研产品方向/追踪趋势预判市场/产品反复检测迭代,调查动作触发客观性；预判未来市场触发预见性；迭代检验触发可检验性,运用科学思维追求认识客观性+把握市场发展趋势预判应用前景+在实践中反复检验持续优化,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/细则/,YES_confirm_rubric_wording,细则文件已在本机；需确认正式细则原词；旧稿定位为硬样本抽检套卷
2026通州期末,Q11,paper_only,B-choice-signal_pending,辩证思维→思维抽象与思维具体,河合和三字理念从水德流润现象→融通各层含义→回到完整文化整体图景,认识从感性具体杂多现象出发抽象提炼核心→再上升为思维具体整体图景；口令固定,感性具体→思维抽象→思维具体（选项判断）,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/试卷/,YES_must_get_answer_key,永久硬样本；题面已在cache；答案键必须从原卷答案表核实；禁止混淆分析综合/系统整合/联想
2026朝阳期中,Q21(2),rubric_formal,A-formal_pending,创新思维→超前+逆向+联想+发散聚合,首发经济朝外样本业态规划/品牌引进/策展型零售/价值耦合,业态规划=超前思维；品牌引进=逆向思维；策展型零售=联想思维；价值耦合=发散→聚合,运用超前思维前瞻规划业态布局+逆向思维打破传统品牌引进惯例+联想思维跨界嫁接策展模式+发散聚合思维统合多元价值方案,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/细则/,YES_confirm_rubric_wording,细则文件已在本机；需确认各方法给分口径；创新思维四子方法复合题
2026东城期末,Q17(2),paper_only,C-boundary_pending,推理部分→纯形式逻辑（边界题）,设问含形式逻辑推理规则判断,前半是推理类型识别；后半若有思维方法应用才收入思维主链,待原卷核实设问后确认,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026东城期末/试卷/,YES_must_read_full_question,硬规则：纯形式逻辑排除思维主链；若设问分拆则只收后半思维方法部分
2025海淀二模,Q20,rubric_index_only,A-support_index,辩证思维→分析与综合+整体性+动态性+质量互变+辩证否定,共享发展四层（全民/全面/共建/渐进）铺开+渐进共享从低到高+继承传统回应现实,四层共享铺开→分析综合整体性；渐进共享→动态性质量互变；继承改造→辩证否定；硬样本抽检套卷,多层共享整合体现分析综合与整体性+渐进共享量变积累体现质量互变+批判继承传统体现辩证否定,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/,YES_must_find_rubric,旧稿有详细分析；必须找到原卷细则才能升级evidence；硬样本抽检套卷
2025丰台一模,Q18(1),rubric_support,A-support,科学思维→客观性+预见性+可检验性,人工智能从实际出发+准确预判趋势提前部署+在实践中检验并完善,从实际出发=客观性；预判趋势提前部署=预见性；实践检验=可检验性；三特征全覆盖,追求认识客观性从实际出发把握规律+预见性准确判断AI发展趋势提前部署+可检验性在实践中不断检验完善,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/,YES_confirm_rubric_wording,旧稿有分析；需确认细则是否覆盖三特征全部；若只有部分需标A-support
2025东城一模,Q18(1),rubric_index_only,A-support_index,辩证思维→整体性+动态性+抓主要矛盾,两重实施：硬投资和软建设+当前和长远+重点领域和整体布局,硬软结合+当前长远=整体性+动态性；重点领域=抓主要矛盾；复合辩证思维,统筹硬投资与软建设两方面体现辩证思维整体性+把握当前与长远的动态关系体现动态性+聚焦重点领域体现矛盾分析法,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/,YES_must_find_rubric,旧稿有定位；需找到细则核实
2025延庆一模,Q18,rubric_index_only,A-support_index,辩证思维→动态性+质量互变,低空经济潜力大与基础薄弱/稳步扩大规模由小散走向大优,潜力大基础薄→辩证思维应对矛盾；稳步扩大规模=量变积累→质量互变,用辩证思维看待低空经济潜力与现实问题的矛盾+稳步扩大规模积累量变推动质的飞跃,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/,YES_must_find_rubric,旧稿有定位；需找细则
2025门头沟一模,Q21(1),rubric_index_only,A-support_index,辩证思维+创新思维→辩证否定+整体性+动态性+联想+发散+超前,煤城转智谷：破路径依赖+产业生态社会协同+文旅农林商跨界+布局人工智能+立足资源约束果断转型,破旧路径=辩证否定；协同=整体性动态性；跨界=联想发散；布局AI=超前思维；典型复合题,辩证否定突破煤炭路径依赖推动转型+整体性动态性统筹产业生态社会协同+联想发散思维跨界融合文旅农林商+超前思维布局AI抢占先机,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/,YES_must_find_rubric,近三年最典型复合题之一；旧稿定位清晰；必须找细则才能确认各点分值
2025昌平二模,Q19,rubric_index_only,A-support_index,创新思维→逆向思维+发散与聚合+迁移和想象,沉浸式演艺：观众由被动变主动+从多角度开发传统经典+身临其境新场景,被动变主动=逆向思维（存在状态转换）；多角度开发=发散聚合；新场景=迁移想象,逆向思维将观众被动接受转化为主动沉浸+发散聚合从多角度开发传统经典+迁移想象创造沉浸式新场景,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/,YES_must_find_rubric,旧稿有分析；需找细则
2025东城期末,Q18(2),rubric_index_only,A-support_index,创新思维→联想+迁移和想象+三新,登月服：飞天飘带+火箭尾焰文化元素重组+材料视效功能技术整合,文化元素重组=联想迁移想象；技术材料整合=创新思维三新；典型创新题,联想思维将传统文化元素迁移至航天装备设计+创新思维实现思路新方法新结果新,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/,YES_must_find_rubric,旧稿有分析；需找细则
2025海淀期末,Q18,rubric_index_only,A-formal_index,创新思维→逆向思维+联想思维,城市图书馆：从人找书到书找人+赤印意象迁移进建筑设计,人找书→书找人=逆向思维（功能认识反向）；赤印意象迁移=联想思维；细则已锁定,逆向思维将人找书的传统模式转化为书找人的主动服务+联想思维把赤印文化意象迁移融入建筑空间设计,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期末/,YES_confirm_rubric_wording,旧稿标明细则已锁；需核实原词
2025房山一模,Q16(3),rubric_index_only,A-support_index,创新思维→联想思维+发散思维,琉璃河遗址如何热起来：文化遗址博物馆传统资源出圈,出圈=跨界嫁接=联想；多方案生成=发散思维；不是判断对错而是方案生成,运用联想思维跨界嫁接遗址资源与现代文旅消费场景+发散思维多角度生成活化方案,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025房山一模/,YES_must_find_rubric,旧稿有定位；需找细则
2025石景山一模,Q19,rubric_index_only,A-support_index,科学思维→客观性+可检验性→创新思维外溢,科学建议奖：问题意识+多元方法+实验数据+从生活捕捉灵感,问题意识+数据=科学思维客观可检验；从生活捕捉灵感=创新思维；后半已向创新外溢,追求认识客观性立足实验数据验证+从生活场景捕捉灵感体现创新思维的多向性,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/,YES_must_find_rubric,旧稿标注科学→创新外溢；边界需原卷细则确认
2024海淀二模,Q17(1),rubric_formal,A-formal,科学思维→客观性+三新（创新思维）+整体性,时间利用调查：全面真实准确+思路方法新+分阶段整体安排,全面真实准确=客观性；思路方法新+用新工具=创新思维三新；分阶段整体=整体性分析综合,追求认识客观性全面真实准确了解居民时间利用情况+思路方法工具创新体现创新思维+分阶段整体安排体现整体性,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/text_cache/da60e3ae25614f1e_高三二模：政治答案(2).txt,YES_confirm_suite_identity,cache文本已找到含答案；需确认套卷是哪区哪年（cache文件名需回原卷核实）
2024海淀二模,Q17(2),rubric_formal,A-formal,辩证思维→思维抽象与思维具体,调查两阶段：调查了解阶段属感性具体→分析研究→思维具体,感性具体（调查了解）→思维抽象（分析提纯）→思维具体（完整整体认识）；答案已在cache,调查了解阶段获得感性具体认识→通过思维抽象分析提纯→上升为思维具体的整体图景，两阶段相互依赖不可分割,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/text_cache/da60e3ae25614f1e_高三二模：政治答案(2).txt,YES_confirm_suite_identity,答案原文已在cache确认；需核实套卷为海淀二模；与通州期末Q11同类型但设问形式不同
2024朝阳二模,Q19(1),rubric_index_only,A-support_index,辩证思维→动态性,生生宇宙观：生生不息/变化流转/四时推移,材料核心是变化流转不是整体协同；稳定触发动态性；不触发分析综合或系统整合,生生宇宙观把握事物生生不息变化流转的动态本质体现辩证思维的动态性,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/,YES_must_find_rubric,旧稿有分析；动态性触发稳定；需找细则确认
2024海淀一模,Q17(2),rubric_index_only,A-support_index,辩证思维→分析与综合,京津冀协同：三地各有定位+最后写成整体新图景,三地分析各自功能再综合成整体格局；不是只背协同口号；典型分析综合题,分析各地资源禀赋和功能定位+综合形成京津冀协同发展整体格局+体现辩证思维分析与综合,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/,YES_must_find_rubric,旧稿定位；需找细则
2024东城一模,Q18(3),rubric_index_only,A-support_index,辩证思维→辩证否定+创新思维→超前思维,传统产业+未来产业：不能丢传统+又要布局未来,辩证否定（改造提升旧的）+超前思维（前瞻布局新的）双触发；不是二选一而是并行,辩证否定传统产业完成扬弃改造提升+超前思维前瞻布局未来产业抢占先机,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/,YES_must_find_rubric,旧稿定位；典型辩证否定+超前双触发；需找细则
2024西城一模,Q19(5),rubric_formal,A-formal,创新思维→超前思维+调查研究+矛盾分析+推理和想象,研判未来产业发展方向：根据现在推未来,超前思维：注重调查研究+运用矛盾分析法+运用推理和想象；答案text在cache已确认,注重调查研究把握产业发展状况与规律+运用矛盾分析法研究内在动力+合理运用推理和想象由现在推知未来方向,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/text_cache/ae7373932e0bd8b7_2024.4高三统一测试思想政治答案.txt,YES_confirm_suite_identity,cache中已确认答案原文；需确认套卷为西城一模（file名为2024.4高三统一测试）
