bucket,core_cluster,question_count,atom_count,source_questions,expression_accumulation
时代背景,全球性挑战、逆全球化、保护主义和治理赤字凸显,3,3,2024朝阳二模 Q20；2025东城期末 Q20；2025西城期末 Q20(2),全球性挑战、逆全球化、保护主义和治理赤字凸显；实施出口市场多元化战略，走出去开展合作以克服贸易壁垒；出口市场多元化；减少对单一市场依赖；走出去；投资设厂；开展多种合作。
时代背景,和平与发展仍是时代主题,7,5,2024西城二模 Q19；2025丰台期末 Q20；2025海淀期中 Q21(2)；2026朝阳一模 Q20；2026朝阳期末 Q20；2026通州期末 Q20；2026顺义一模 Q20,和平与发展仍是时代主题；顺应和平与发展的世界大势；中国做法符合和平与发展时代主题；各国人民渴望和平稳定和共同发展；回应治理赤字和共同挑战。
时代背景,在动荡变化的时代为国际社会注入稳定性和确定性,1,1,2024东城二模 Q20,在动荡变化的时代为国际社会注入稳定性和确定性；百年未有之大变局；发展困难；安全挑战；文明冲突；稳定性和确定性。
理论,国家间共同利益是国家合作的基础,5,5,2025延庆一模 Q20(2)；2025西城一模 Q21(1)；2026石景山一模 Q20；2026西城期末 Q20；2026顺义一模 Q20,国家间共同利益是国家合作的基础；共同利益；共同利益是国家合作的基础；理念蕴含普遍价值，能够形成共识并促成合作和发展；理念蕴含普遍价值；全人类共同价值；人类共同利益。
理论,在平等互利基础上开展合作,1,1,2025丰台期末 Q20,在平等互利基础上开展合作；平等互利；战略性共识。
理论,处理好中国发展和世界发展的关系,1,1,2026朝阳期中 Q17,处理好中国发展和世界发展的关系；中国发展与世界发展。
理论,处理好发展和安全的关系；统筹发展和安全,1,1,2026朝阳期中 Q17,处理好发展和安全的关系；统筹发展和安全；总体国家安全观；底线思维；维护国家经济安全、科技安全；在释放发展动能的同时防范数据安全、模型缺陷、伦理失控等风险。
理论,处理好自力更生和对外开放的关系,1,1,2026朝阳期中 Q17,处理好自力更生和对外开放的关系；自力更生与对外开放。
理论,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量,2,2,2025海淀期中 Q21(2)；2026朝阳一模 Q20,中国综合国力不断增强，国际地位不断提升，承担越来越多国际责任；国际影响力；话语权不断提升；当前国际竞争的实质是以经济和科技实力为基础的综合国力较量；坚持创新驱动战略；综合国力较量；经济和科技实力。
理论,核心技术自主可控；把握创新主动权,1,1,2026朝阳期中 Q17,核心技术自主可控；把握创新主动权；核心技术自主可控；把握创新主动权；自主研发；核心竞争力。
理论,维护国家利益并兼顾他国合理关切，坚持正确义利观,2,2,2025房山一模 Q18(2)；2026朝阳期末 Q20,维护国家利益并兼顾他国合理关切，坚持正确义利观；主权；安全；发展利益是国家核心利益；国家利益是国际关系的决定性因素；国家核心利益；国家利益决定性因素。
经济全球化,中国新能源汽车发展促进资源优化配置和国际贸易，让经济全球化更有活力,1,1,2025东城期末 Q20,中国新能源汽车发展促进资源优化配置和国际贸易，让经济全球化更有活力；促进资源优化配置；促进国际贸易；为世界新能源产业注入活力；让经济全球化更有活力。
经济全球化,促进生产要素全球流动、资源优化配置、优势互补和国际分工合作,5,5,2024丰台一模 Q20；2026房山一模 Q19；2026朝阳一模 Q20；2026西城一模 Q20(2)；2026门头沟一模 Q20,促进生产要素全球流动、资源优化配置、优势互补和国际分工合作；促进人才；商品；服务和生产要素在全球范围内流动；人才流；商品流；资金流。
经济全球化,充分利用国内国际两个市场、两种资源，增强国内国际循环联动,11,11,2024东城一模 Q20；2024朝阳一模 Q21；2024海淀一模 Q18(1)；2024西城一模 Q19(6)；2025丰台一模 Q20；2025昌平二模 Q21；2026房山一模 Q19；2026朝阳一模 Q20；2026朝阳期中 Q17；2026海淀一模 Q20；2026门头沟一模 Q20,充分利用国内国际两个市场、两种资源，增强国内国际循环联动；参与经济全球化；参与国际分工；充分利用国内国际两个市场；两种资源；国际交流合作；两个市场两种资源。
