review_id,bucket,status,question,sentence_exact_in_19,question_key_in_19
1,时代背景,✅基本匹配,2026通州期末Q20,YES,YES
2,时代背景,✅高度匹配,2025海淀期中Q21(2),YES,YES
3,时代背景,❌细则无支撑片段,2024海淀二模Q18(1)多极化世界中的民主与全球治理,YES,YES
4,时代背景,✅高度匹配,"2025延庆一模Q20(2)外交部发言人回应""脱钩断链""",NO,YES
5,时代背景,✅高度匹配,2024西城二模Q19中国答案的国际关系新思路,NO,YES
6,时代背景,✅高度匹配,2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴,NO,YES
7,时代背景,✅基本匹配,2026西城二模Q19(1),YES,YES
8,时代背景,✅高度匹配,2026朝阳期末Q20,YES,YES
9,时代背景,❌细则无支撑片段,2026海淀期中Q22(1),YES,YES
10,时代背景,✅高度匹配,2025朝阳期末Q21,YES,YES
11,时代背景,✅高度匹配,2025东城二模Q20,YES,YES
12,时代背景,✅高度匹配,2024朝阳一模Q21,YES,YES
13,时代背景,✅高度匹配,2024朝阳二模Q20,YES,YES
14,理论,✅基本匹配,2025海淀期中Q21(2),YES,YES
15,理论,✅基本匹配,2025东城期末Q20——评价欧盟对中国新能源汽车征收临时反补贴税,YES,YES
16,理论,✅高度匹配,2026朝阳期末Q20,YES,YES
17,理论,✅基本匹配,2025东城一模Q20,YES,YES
18,理论,✅高度匹配,2026石景山一模Q20,YES,YES
19,理论,✅高度匹配,2026丰台一模Q19,YES,YES
20,理论,⚠部分匹配,2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴,YES,YES
21,理论,✅高度匹配,"2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴",YES,YES
22,理论,✅基本匹配,2026石景山二模Q18,YES,YES
23,理论,✅基本匹配,2025东城二模Q20（同球共济精神）,YES,YES
24,理论,✅基本匹配,2024西城一模Q19(6),YES,YES
25,理论,✅高度匹配,2024顺义思政二模Q19(2),YES,YES
26,理论,⚠部分匹配,2024西城二模Q17,YES,YES
27,理论,✅高度匹配,2026朝阳一模Q20,YES,YES
28,理论,✅基本匹配,2025东城一模Q21,YES,YES
29,经济全球化,✅高度匹配,2026朝阳期中Q17,YES,YES
30,经济全球化,✅高度匹配,2025海淀期中Q16(2),YES,YES
31,经济全球化,✅基本匹配,"2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴",YES,YES
32,经济全球化,✅高度匹配,2026门头沟一模Q20——海南自贸港全岛封关的国内国际意义,YES,YES
33,经济全球化,✅高度匹配,2024东城一模Q20,YES,YES
34,经济全球化,✅高度匹配,2024朝阳期中Q20(3),YES,YES
35,经济全球化,✅高度匹配,2026朝阳一模Q20,YES,YES
36,经济全球化,✅高度匹配,2026房山一模Q19,YES,YES
37,经济全球化,✅高度匹配,2024海淀一模Q18(1)免签政策与高水平对外开放,YES,YES
38,经济全球化,✅高度匹配,2026门头沟一模Q20,YES,YES
39,经济全球化,✅高度匹配,2026海淀一模Q20中国标准走出国门撬动两个市场两种资源,YES,YES
40,经济全球化,✅高度匹配,2025昌平二模Q21稳外资举措激活两个市场两种资源,YES,YES
41,经济全球化,✅高度匹配,2026石景山二模Q18,YES,YES
42,经济全球化,✅高度匹配,2024东城一模Q20,YES,YES
43,经济全球化,✅高度匹配,2024朝阳期中Q20(3),YES,YES
44,经济全球化,✅基本匹配,2024朝阳期中Q20(3),YES,YES
45,经济全球化,✅高度匹配,2026东城一模Q19(3),YES,YES
46,经济全球化,✅高度匹配,"2024朝阳期中Q20(3)""数字驱动商通全球""短评",YES,YES
47,经济全球化,✅高度匹配,"2025东城一模Q20元首外交""精彩""之处",YES,YES
48,经济全球化,✅高度匹配,2025延庆一模Q20(2),YES,YES
49,经济全球化,✅高度匹配,2025顺义一模Q20,YES,YES
50,经济全球化,✅基本匹配,2025昌平二模Q21,YES,YES
51,经济全球化,✅高度匹配,2025西城一模Q21,YES,YES
52,经济全球化,✅高度匹配,2026石景山二模Q18,YES,YES
53,经济全球化,✅基本匹配,2026顺义一模Q20,YES,YES
54,经济全球化,✅高度匹配,2025朝阳期末Q21,YES,YES
55,经济全球化,✅高度匹配,2025西城二模Q19(2),YES,YES
56,经济全球化,✅高度匹配,2026朝阳一模Q20,YES,YES
57,经济全球化,✅高度匹配,2025丰台一模Q20北京“两区”通关创新,YES,YES
58,经济全球化,✅基本匹配,"2026房山一模Q19海南""一线放开""自由便利",YES,YES
59,经济全球化,✅高度匹配,2024海淀一模Q18(1),YES,YES
60,经济全球化,✅高度匹配,2026门头沟一模Q20——海南自贸港全岛封关的国内国际意义,YES,YES
61,经济全球化,✅高度匹配,2025昌平二模Q21,YES,YES
62,经济全球化,✅高度匹配,2026朝阳一模Q20,YES,YES
63,经济全球化,✅高度匹配,2026房山一模Q19,YES,YES
64,经济全球化,✅高度匹配,2026门头沟一模Q20,YES,YES
65,经济全球化,✅高度匹配,2026朝阳一模Q20,YES,YES
66,经济全球化,✅高度匹配,2026东城一模Q19(3),YES,YES
67,经济全球化,✅高度匹配,2025丰台一模Q20,YES,YES
68,经济全球化,✅高度匹配,2026房山一模Q19,YES,YES
69,经济全球化,✅高度匹配,2026门头沟一模Q20,YES,YES
70,经济全球化,✅高度匹配,2026通州期末Q21,YES,YES
71,经济全球化,✅高度匹配,2024西城一模Q19(6),YES,YES
72,经济全球化,⚠部分匹配,2026东城一模Q19(3),YES,YES
73,经济全球化,✅高度匹配,2024西城一模Q19(6),YES,YES
74,经济全球化,⚠部分匹配,2026海淀一模Q20,YES,YES
75,经济全球化,✅高度匹配,2025昌平二模Q21,YES,YES
76,经济全球化,✅高度匹配,2024西城一模Q19(6),YES,YES
77,经济全球化,✅高度匹配,2026海淀一模Q20中国标准与全球经济治理参与,YES,YES
78,经济全球化,✅高度匹配,2025昌平二模Q21稳外资行动提升全球经济治理话语权,YES,YES
79,经济全球化,✅高度匹配,2026东城一模Q19(3),YES,YES
80,经济全球化,✅高度匹配,2026东城一模Q19(3),YES,YES
81,经济全球化,✅高度匹配,2025西城期末Q20(2),YES,YES
82,经济全球化,✅高度匹配,2025西城期末Q20(2),YES,YES
83,经济全球化,✅高度匹配,2025西城期末Q20(2),YES,YES
84,经济全球化,✅高度匹配,2025房山一模Q18(2),YES,YES
85,经济全球化,✅高度匹配,2026石景山一模Q20,YES,YES
86,经济全球化,⚠部分匹配,2026丰台期末Q20,YES,YES
87,经济全球化,✅高度匹配,2025昌平二模Q21稳外资举措推动开放包容全球经济格局,YES,YES
88,经济全球化,✅高度匹配,2026顺义二模Q20,YES,YES
89,经济全球化,✅基本匹配,2025东城期末Q20,YES,YES
90,经济全球化,⚠部分匹配,2025东城期末Q20,YES,YES
91,经济全球化,⚠部分匹配,2025东城期末Q20,YES,YES
92,经济全球化,✅高度匹配,2026门头沟一模Q20,YES,YES
93,经济全球化,✅基本匹配,2026丰台期末Q20,YES,YES
94,经济全球化,✅基本匹配,2026丰台期末Q20,YES,YES
95,经济全球化,✅高度匹配,2026海淀一模Q20,YES,YES
96,经济全球化,✅基本匹配,2026门头沟一模Q21,YES,YES
97,经济全球化,✅基本匹配,2025西城一模Q18,YES,YES
98,经济全球化,✅高度匹配,2025西城二模Q19(2),YES,YES
99,经济全球化,✅高度匹配,2025西城二模Q19(2),YES,YES
100,经济全球化,⚠部分匹配,2026朝阳期末Q20,YES,YES
101,经济全球化,⚠部分匹配,2026朝阳期末Q20,YES,YES
102,经济全球化,✅基本匹配,2026朝阳期末Q20,YES,YES
103,经济全球化,❌细则无支撑片段,2026西城二模Q19(2),YES,YES
104,经济全球化,✅高度匹配,2024海淀期中Q16(2),YES,YES
105,政治多极化,✅基本匹配,2026通州期末Q20,YES,YES
106,政治多极化,✅高度匹配,2026朝阳一模Q20,YES,YES
107,政治多极化,✅高度匹配,2024朝阳二模Q20——完善全球气候治理基本原则与各方共识表格,YES,YES
108,政治多极化,✅基本匹配,2024丰台二模Q19,YES,YES
109,政治多极化,✅高度匹配,2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴,YES,YES
110,政治多极化,✅高度匹配,"2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴",YES,YES
111,政治多极化,✅基本匹配,"2025顺义一模Q20——""小而美""项目为何成为中国开展国际发展合作的亮点和名片",YES,YES
112,政治多极化,⚠部分匹配,2026顺义二模Q20,YES,YES
113,政治多极化,✅高度匹配,2026丰台一模Q19（共商共建共享全球治理观）,YES,YES
114,政治多极化,✅基本匹配,2026西城二模Q19(1),YES,YES
115,政治多极化,✅基本匹配,2026西城期末Q20——参与全球气候治理中的中国实践,YES,YES
116,政治多极化,✅基本匹配,2026通州期末Q20,YES,YES
117,政治多极化,✅基本匹配,2025东城一模Q20,YES,YES
118,政治多极化,✅基本匹配,2025顺义一模Q20,YES,YES
119,政治多极化,✅基本匹配,2026通州期末Q20,YES,YES
120,政治多极化,⚠部分匹配,2024海淀二模Q18(1)多极化世界中的民主与全球治理,YES,YES
121,政治多极化,✅高度匹配,"2025延庆一模Q20(2)外交部发言人回应""脱钩断链""",YES,YES
122,政治多极化,✅基本匹配,2025房山一模Q18(2)中国开源战略,YES,YES
123,政治多极化,✅高度匹配,"2024丰台二模Q19中国""答卷""如何彰显大国担当",YES,YES
124,政治多极化,✅基本匹配,2024西城二模Q19中国答案的国际关系新思路,YES,YES
125,政治多极化,✅基本匹配,2026门头沟一模Q21,YES,YES
126,政治多极化,✅高度匹配,2026朝阳一模Q20,YES,YES
127,政治多极化,✅高度匹配,2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴,YES,YES
128,政治多极化,✅高度匹配,"2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴",YES,YES
129,政治多极化,✅高度匹配,2026顺义二模Q20,YES,YES
130,政治多极化,✅高度匹配,2024西城二模Q19,YES,YES
131,政治多极化,✅高度匹配,2025顺义一模Q20,YES,YES
132,政治多极化,✅高度匹配,2026海淀一模Q20中国标准走出国门推动治理体制公正合理,YES,YES
133,政治多极化,✅高度匹配,2026顺义二模Q20,YES,YES
134,政治多极化,⚠部分匹配,2026西城二模Q19(2),YES,YES
135,政治多极化,✅高度匹配,2026西城二模Q19(1),YES,YES
136,政治多极化,⚠部分匹配,2025西城二模Q19(2),YES,YES
137,政治多极化,✅基本匹配,2024朝阳二模Q20,YES,YES
138,政治多极化,✅高度匹配,2026丰台一模Q19（真正的多边主义）,YES,YES
139,政治多极化,✅基本匹配,2024朝阳二模Q20,YES,YES
140,政治多极化,✅高度匹配,2024朝阳二模Q20,YES,YES
141,政治多极化,✅高度匹配,2024朝阳二模Q20,YES,YES
142,政治多极化,✅高度匹配,2024顺义思政二模Q19(2),YES,YES
143,政治多极化,✅基本匹配,2026朝阳期末Q20,YES,YES
144,政治多极化,✅高度匹配,2025朝阳期末Q21,YES,YES
145,政治多极化,❌细则无支撑片段,2024海淀二模Q18(1),YES,YES
146,政治多极化,✅高度匹配,2024西城二模Q19,YES,YES
147,政治多极化,✅高度匹配,2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴,YES,YES
148,政治多极化,⚠部分匹配,2025东城期末Q20——评价欧盟对中国新能源汽车征收临时反补贴税,YES,YES
