review_id,review_para,bucket,core,status,question,sentence,hit,same_group,missing_clause
1,232,时代背景,和平与发展仍是时代主题（出现10次）,✅基本匹配,2026通州期末Q20,全球治理倡议回应世界变乱交织和治理赤字，符合和平与发展时代主题、经济全球化发展趋势和各国人民求和平、谋发展、促合作的共同愿望。,命中片段（10字）：时代主题、经济全球化,（本题8分） | 政治多极化：共商共建共享的全球治理观；推动国际关系民主化；推动构建人类命运共同体 | 中国：贡献中国智慧、中国方案、中国力量 | 联合国：维护《联合国宪章》宗旨和原则,
2,237,时代背景,和平与发展仍是时代主题（出现10次）,✅高度匹配,2025海淀期中Q21(2),新中国外交所处时代背景不断变化，政治多极化、经济全球化深入发展，和平与发展成为时代主题，外交重点和国际合作方式也随之发展。,命中片段（36字）：时代背景不断变化，政治多极化、经济全球化深入发展，和平与发展成为时代主题,理论：维护国家利益是主权国家对外活动的出发点和落脚点 | 政治多极化：推动构建人类命运共同体 | 中国：中国综合国力、国际地位和话语权提升；习近平外交思想指导中国特色大国外交（外交为民、服务中国式现代化）；新中国外交始终服务国家性质并坚持党对外交统一集中领导；中国坚持独立自主的和平外交政策；和平共处五项原则是我国对外关系基本准则,外交重点和国际合作方式也随之发展
3,243,时代背景,和平与发展仍是时代主题（出现10次）,❌细则无支撑片段,2024海淀二模Q18(1)多极化世界中的民主与全球治理,和平与发展仍是时代主题，面对人工智能与大数据带来的治理缺口、全球南方诉求增多的现实，各方应在和平与发展的国际潮流中加强对话合作，共同推动全球治理民主化。,命中片段（4字）：时代主题,（本题8分） | 政治多极化：推动构建人类命运共同体；国际组织,面对人工智能与大数据带来的治理缺口、全球南方诉求增多的现实；各方应在和平与发展的国际潮流中加强对话合作；共同推动全球治理民主化
4,249,时代背景,和平与发展仍是时代主题（出现10次）,✅高度匹配,"2025延庆一模Q20(2)外交部发言人回应""脱钩断链""",维护全球产供链韧性和稳定是世界经济可持续发展的重要保障，符合国际社会的共同利益，顺应和平与发展的时代主题。,命中片段（40字）：世界经济可持续发展的重要保障，符合国际社会的共同利益，顺应和平与发展的时代主题。,经济全球化：推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展 | 政治多极化：推动构建人类命运共同体,
5,254,时代背景,和平与发展仍是时代主题（出现10次）,✅高度匹配,2024西城二模Q19中国答案的国际关系新思路,人类命运共同体理念顺应时代潮流（细则可替代为「和平与发展」），倡导全球协作，推动国际秩序朝着更加公正合理的方向发展。,命中片段（28字）：，倡导全球协作，推动国际秩序朝着更加公正合理的方向发展。,政治多极化：推动构建人类命运共同体；推动国际秩序和全球治理体系更加公正合理；超越集团政治、实力至上和少数国家垄断价值定义的治理逻辑,
6,259,时代背景,和平与发展仍是时代主题（出现10次）,✅高度匹配,2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴,中非达成一系列战略性共识符合和平与发展的时代主题，为发展中国家联合应对全球挑战提供合作土壤。,命中片段（25字）：中非达成一系列战略性共识符合和平与发展的时代主题，,理论：国家间共同利益是国家合作的基础 | 政治多极化：共商共建共享的全球治理观；相互尊重、公平正义、合作共赢的新型国际关系；在平等互利基础上开展合作，实现互利共赢 | 中国：中国推动构建人类命运共同体,为发展中国家联合应对全球挑战提供合作土壤
7,265,时代背景,和平与发展仍是时代主题（出现10次）,✅基本匹配,2026西城二模Q19(1),数字经济发展推动数据跨境流动，全球化发展趋势使数据治理成为各国共同面对的问题，中国参与全球数据治理符合和平与发展、全人类共同价值和人类共同利益。,命中片段（10字）：中国参与全球数据治理,（本题6分） | 政治多极化：共商共建共享的全球治理观；推动国际秩序和全球治理体系更加公正合理 | 中国：展现大国责任担当,
8,270,时代背景,和平与发展仍是时代主题（出现10次）,✅高度匹配,2026朝阳期末Q20,和平与发展是当今时代的主题，中国携手周边国家共建和平家园、安宁家园，妥善管控矛盾分歧，扩大共同利益，有利于推动周边命运共同体建设和全球治理更加公正合理。,命中片段（13字）：和平与发展是当今时代的主题,（本题8分） | 理论：维护国家利益是主权国家对外活动的出发点和落脚点 | 经济全球化：顺应经济全球化趋势，反对贸易保护主义；建设开放型世界经济，扩大开放合作；共享经济全球化成果，促进世界经济共同繁荣 | 政治多极化：世界多极化与全球南方联合自强 | 中国：习近平外交思想指导中国特色大国外交（外交为民、服务中国式现代化）,中国携手周边国家共建和平家园、安宁家园；妥善管控矛盾分歧
9,276,时代背景,和平与发展仍是时代主题（出现10次）,❌细则无支撑片段,2026海淀期中Q22(1),全球治理倡议顺应和平与发展的时代潮流，符合世界各国人民的共同愿望，因此能够获得国际社会广泛认同。,命中片段（4字）：时代潮流,（本题6分） | 政治多极化：共商共建共享的全球治理观；推动国际秩序和全球治理体系更加公正合理；践行真正的多边主义 | 联合国：维护《联合国宪章》宗旨和原则,符合世界各国人民的共同愿望
10,282,时代背景,和平与发展仍是时代主题（出现10次）,✅高度匹配,2025朝阳期末Q21,中国开展中国特色大国外交，促进世界和平与发展，维护和平稳定的国际环境，回应单边霸凌、脱钩断链和意识形态分歧等外部风险，为推进中国式现代化营造稳定的外部条件。,命中片段（12字）：，维护和平稳定的国际环境,经济全球化：推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展 | 政治多极化：推动国际关系民主化；相互尊重、公平正义、合作共赢的新型国际关系；世界多极化与全球南方联合自强；反对单边主义、霸权主义和强权政治；建设以合作共赢为核心的新型国际关系，坚持共商共建共享观念，坚持胸怀天下，借鉴吸收人类一切优秀文明成果；推动国际关系民主化，推动全球治理体系变革完善，推动建立更加公正合理的国际政治经济新,中国开展中国特色大国外交；促进世界和平与发展；回应单边霸凌、脱钩断链和意识形态分歧等外部风险
