flag_order,review_para,bucket,core,question,sentence,hit,missing_clause,rubric_excerpt
1,16,时代背景,和平与发展仍是时代主题（出现10次）,2024海淀二模Q18(1)多极化世界中的民主与全球治理,和平与发展仍是时代主题，面对人工智能与大数据带来的治理缺口、全球南方诉求增多的现实，各方应在和平与发展的国际潮流中加强对话合作，共同推动全球治理民主化。,· 最长命中片段（4 字）：时代主题,面对人工智能与大数据带来的治理缺口、全球南方诉求增多的现实；各方应在和平与发展的国际潮流中加强对话合作；共同推动全球治理民主化,（1）【答案】 可从时代主题、世界多极化、人类命运共同体、国际组织等角度作答。 （1）【细则】
2,23,时代背景,和平与发展仍是时代主题（出现10次）,2026海淀期中Q22(1),全球治理倡议顺应和平与发展的时代潮流，符合世界各国人民的共同愿望，因此能够获得国际社会广泛认同。,· 最长命中片段（4 字）：时代潮流,符合世界各国人民的共同愿望,JANEDUCA 海淀期中政治试卷讲评 2025.11.06 --- p-001.png --- 试题结构 必修1 必修2 必修3 选择性必修1 合计 客观题题号 2-6 7-11 12-15 1-15 主观题题号 22_2 16、17 18、19、20 21、22_1 16-22 必修1 必修2 必修3 选择性必修1 合计 客观题分值 3 15 15 12 45 主观题分值 8 12 21 14 55 合计 11 27 36 28 100 --- p-002.png --- 3．从1元秒杀的网红奶茶、9.9元包邮的纯棉卫衣，到不足5万元的新能源汽车·…·…·部分企业为 争夺市场份额，不惜以牺
3,30,理论,国家间共同利益是国家合作的基础（出现7次）,2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴,国家间共同利益是合作的基础，中非在维护发展中国家共同利益、反对脱钩断链、推进全球治理公平方面具有共同关切，因此能够达成战略性共识。,· 最长命中片段（7 字）：国家间共同利益,,20.（8分） 中非达成一系列战略性共识符合和平与发展的时代主题，是基于国家间共同利益构建中非命运共同体，在平等互利基础上开展合作，落实共商共建共享的全球治理观。（4分） 有利于推动建设相互尊重、公平正义、合作共赢的新型国际关系，有利于中非携手推进现代化，构建人类命运共同体。（4分） 评分标准说明： 本题8分 中非达成一系列战略性共识符合和平与发展（1分）的时代主题， 是基于国家间共同利益（1分）构建中非命运共同体， 在“平等互利”（1分）基础上开展合作， 落实共商共建共享的全球治理观（1分）。 有利于推动建设相互尊重、公平正义、合作共赢的新型国际关系（2分） （注1：如只写新型国际关系1分，
4,36,理论,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量（,2024西城二模Q17,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量，我国加快形成新质生产力、增强科技实力和综合国力，能够以世界上最大的发展中国家身份为世界发展贡献力量。,· 最长命中片段（6 字）：当前国际竞争,我国加快形成新质生产力、增强科技实力和综合国力,17.（9分） 可以从以下角度作答：人类社会发展的进程和趋势，生产力与生产关系，经济基础与上层建筑，马克思主义中国化时代化新的飞跃；经济高质量发展，创新发展；当前国际竞争实质，世界发展的贡献者和推动者，世界多极化，经济全球化；实施科教兴国战略，强化现代化建设人才支撑；等等。 细则： 国家安全与核心利益 实施科教兴国战略，强化现代化建设人才支撑（二十大报告的标题“五”）
5,43,经济全球化,积极参与全球经济治理和经贸规则完善（出现4次）,2026东城一模Q19(3),北京通过国际科创交流、跨境标准对接和制度型开放，积极参与全球经济治理和经贸规则完善，为未来产业链韧性提升营造稳定可预期的规则环境。,· 最长命中片段（7 字）：产业链韧性提升,,19题 (3)8分 【评分细则】4+3+1 ①开放促进韧性：- 4 分 (举措3+落点1) 高水平对外开放举措：3分 坚持引进来与走出去相结合、通过对接国际高标准经贸规则为产业链韧性提升提供制度支撑、开展国际 科创交流合作、发展更高层次开放型经济、打造国际化一流营商环境、稳步扩大制度性开放等 以上写出任2点得3分，写出其它以开放促进韧性的合理举措可酌情给1分 落点：以开放促进产业升级，为未来产业拓展国际空间，提升国际竞争力，筑牢安全基础。 1 分 ②韧性支撑开放：- - 3分(举措2+落点1) 提升产业链韧性举措：2分 强化未来产业关键核心技术自主可控、提高自主创新能力、实现科技自立自强、发挥
6,49,经济全球化,积极参与全球经济治理和经贸规则完善（出现4次）,2026海淀一模Q20,中国标准走出国门，体现我国主动参与国际标准供给和全球经济治理规则完善，有利于提升中国在全球经济治理中的参与度和贡献度。,· 最长命中片段（6 字）：全球经济治理,中国标准走出国门,20.（8 分） 扩大制度型开放，增强我国产品、服务乃至产业链在全球的竞争力，推进高水平对外开放，更好利 用国内国际两个市场、两种资源，推动构建新发展格局；我国在低碳能源、人工智能等领域推动贡 献国际标准，促进全球范围内标准共通、技术共享，推动全球技术创新与绿色转型，同时，我国积 极参与全球经济治理和规则制定，推动全球治理体制向着更加公正合理方向发展。 高三思想政治参考答案 第 6 页
7,56,经济全球化,维护以世界贸易组织为核心的多边贸易体制（出现2次）,2026丰台期末Q20,中拉双方维护以世界贸易组织为核心的多边贸易体制，反对单边主义和保护主义，维护公平、开放、非歧视的国际经贸秩序，为共同现代化创造稳定环境。,· 最长命中片段（7 字）：多边贸易体制，,反对单边主义和保护主义；维护公平、开放、非歧视的国际经贸秩序；为共同现代化创造稳定环境,20．（8分）2025年5月13日，国家主席习近平在中国—拉美和加勒比国家共同体论坛第四届 部长级会议开幕式上宣布，中方愿同拉方携手启动团结、发展、文明、和平、民心“五大工 程”。此举将推动中拉双方在各自现代化征程上并肩前行，共同谱写构建中拉命运共同体新篇 章。“五大工程”的主要内容如下： 坚定维护以联合国为核心的国际体系和以国际法为基础的国际秩序， 团结工程 在国际和地区事务中发出共同声音 共同落实全球发展倡议，坚定维护多边贸易体制，维护全球产业链 发展工程 供应链稳定畅通，维护开放合作的国际环境 共同落实全球文明倡议，树立平等、互鉴、对话、包容的文明观， 文明工程 弘扬和平、发展、公平、正
8,63,经济全球化,为世界新能源产业注入活力，增强经济全球化动力（出现1次）,2025东城期末Q20,我国新能源汽车走向世界，能够促进全球新能源产业升级和绿色转型，为世界经济和经济全球化注入新动力。,· 最长命中片段（7 字）：我国新能源汽车,,20.运用《当代国际政治与经济》知识，写一篇短文，谈谈你对上述材料的认 识（8分） • 评分细则：短文题目1分；分三段1分； • 第一层 中国的贡献（2分） • ①阐述我国新能源汽车产业的发展对世界经济的贡献： • 促进资源优化配置/促进国际贸易/为世界新能源产业注入活力/让经济全球化 更有活力 2分 • （替代：只说我国新能源汽车产业发展好，阐述不充分1分） • ②说明我国用行动为世界气候/环境/绿色/生态保护做贡献 1分 • 第二层：批判欧盟行为(2分） • ①界定欧盟的行为：违背经济规律/贸易保护主义/逆全球化1分 • ②带来的不良影响：破坏市场竞争/破坏市场秩序/不利于自身的发展/损害
9,69,经济全球化,反对贸易保护主义，警惕单边措施破坏多边贸易秩序（出现1次）,2025东城期末Q20,贸易保护主义和单边措施会破坏公平市场竞争和多边贸易秩序，既损害消费者利益，也不利于实施方自身产业升级，最终阻碍世界经济共同发展。,· 最长命中片段（6 字）：贸易保护主义,也不利于实施方自身产业升级,20.运用《当代国际政治与经济》知识，写一篇短文，谈谈你对上述材料的认 识（8分） • 评分细则：短文题目1分；分三段1分； • 第一层 中国的贡献（2分） • ①阐述我国新能源汽车产业的发展对世界经济的贡献： • 促进资源优化配置/促进国际贸易/为世界新能源产业注入活力/让经济全球化 更有活力 2分 • （替代：只说我国新能源汽车产业发展好，阐述不充分1分） • ②说明我国用行动为世界气候/环境/绿色/生态保护做贡献 1分 • 第二层：批判欧盟行为(2分） • ①界定欧盟的行为：违背经济规律/贸易保护主义/逆全球化1分 • ②带来的不良影响：破坏市场竞争/破坏市场秩序/不利于自身的发展/损害
10,76,经济全球化,顺应经济全球化趋势，反对贸易保护主义（出现1次）,2026朝阳期末Q20,经济全球化是不可逆转的历史大势，贸易保护主义会阻碍资源流动和国际分工，不利于世界经济复苏和共同发展，中国外交需要主动维护开放合作的国际经济环境。,· 最长命中片段（6 字）：贸易保护主义,经济全球化是不可逆转的历史大势,20.（8分）结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。 【阅卷细则】聚焦和平发展、政治、经济、我国的国家利益4个角度。 中国特色大国外交主动作为，是顺应世界发展大势、服务国家发展大局的必然选择。（此点不单独赋分，但 在以下4个角度没满分时可加1分） 分以下4个角度单独赋分。 角度1：和乎发展（背景1+目标1） 和平与发展是当今时代的主题（1分）+命运共同体/共同利益/国际新秩序/全球治理（结合材料/做法+目标， 1分） 角度2：政治（背景1+目标1） 多极化/单边主义/霸权强权（1分）+提升发展中国家代表性话语权/维护发展中国家利益/全球南方联合自强 （
11,83,经济全球化,建设开放型世界经济，扩大开放合作（出现1次）,2026朝阳期末Q20,中国坚持高水平对外开放、高质量共建“一带一路”，有利于建设开放型世界经济，推动各国在开放中合作、在合作中共赢。,· 最长命中片段（7 字）：开放型世界经济,中国坚持高水平对外开放、高质量共建“一带一路”；推动各国在开放中合作、在合作中共赢,20.（8分）结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。 【阅卷细则】聚焦和平发展、政治、经济、我国的国家利益4个角度。 中国特色大国外交主动作为，是顺应世界发展大势、服务国家发展大局的必然选择。（此点不单独赋分，但 在以下4个角度没满分时可加1分） 分以下4个角度单独赋分。 角度1：和乎发展（背景1+目标1） 和平与发展是当今时代的主题（1分）+命运共同体/共同利益/国际新秩序/全球治理（结合材料/做法+目标， 1分） 角度2：政治（背景1+目标1） 多极化/单边主义/霸权强权（1分）+提升发展中国家代表性话语权/维护发展中国家利益/全球南方联合自强 （
12,90,经济全球化,坚持开放合作和包容普惠（出现1次）,2026西城二模Q19(2),各国应坚持开放合作和包容普惠，促进数据资源共享和数字能力建设，让更多国家参与数字经济发展并分享发展成果。,· 最长命中片段（4 字）：开放合作,促进数据资源共享和数字能力建设,19. 1纟 结合材料，运用当代国际政治知识，阐释中国参与全球数据治理的逻辑。 （6分） 中国发起成立世界数据组织，顺应数字经济全球化发展趋势，助力弥合全球数字鸿沟，释放数据价值， 促进全球数字经济协同发展，弘扬全人类共同价值。（三选一，1分+材料分析1分）我国发挥自身数 据治理实践优势，秉持共商共建共享，在坚决维护我国数据安全与发展利益基础上，推动构建公正合 理的全球数据治理新秩序，践行人类命运共同体理念，展现大国责任担当。（ （任意三，3分） 【细则】 ①背景解释（2分）: 全球化发展趋势，1分（替代：和平与发展/全人类共同价值/人类共同利益）； 结合材料分析，1分 ②对宗旨原则加以说明（
13,97,政治多极化,共商共建共享的全球治理观（出现11次）,2026顺义二模Q20,中国以共商共建共享理念推进发展合作，通过微电网、乡村打井、物流网络、希望农场、菌草技术和鲁班工坊等实践，把中国发展机遇转化为各国共享的发展成果。,· 最长命中片段（6 字）：共商共建共享,,20.（8分） 可从共商共建共享、新型国际关系，独立自主的外交政策，世界经济发展的重要推动者，中国智慧的生动实践，让经济全球化更有活力等角度做答。 等级水平 等 级 描 述 水平4 观点鲜明，能明确表达自己的见解;紧扣问题，综合运用所学知识展开论述；逻辑严密，条理清晰 水平3 观点比较明确，能表达自己的见解;能扣住问题展开论述，知识运用比较准确；逻辑性较强，有条理 水平2 观点不明确;论述不能集中指向问题，罗列知识;知识运用不正确；论述缺乏逻辑，条理性差 水平1 应答与试题无关;或重复试题内容;或没有应答 【答案示例】总-分-总结构 “今天的中国，明天的世界”深刻揭示了中国发展与世界未来的紧密
14,103,政治多极化,推动构建人类命运共同体（出现7次）,2024海淀二模Q18(1)多极化世界中的民主与全球治理,面对人工智能与大数据带来的两极分化和全球治理代表性不足，各国应推动构建人类命运共同体，共同应对全球性挑战，推动全球治理民主化。,· 最长命中片段（7 字）：人类命运共同体,面对人工智能与大数据带来的两极分化和全球治理代表性不足；共同应对全球性挑战；推动全球治理民主化,（1）【答案】 可从时代主题、世界多极化、人类命运共同体、国际组织等角度作答。 （1）【细则】
15,110,政治多极化,推动国际秩序和全球治理体系更加公正合理（出现6次）,2026西城二模Q19(2),各国应通过多边主义完善全球数据治理，在共同规则下协调数据流动、数据安全和数字经济发展。,· 最长命中片段（6 字）：全球数据治理,,19. 1纟 结合材料，运用当代国际政治知识，阐释中国参与全球数据治理的逻辑。 （6分） 中国发起成立世界数据组织，顺应数字经济全球化发展趋势，助力弥合全球数字鸿沟，释放数据价值， 促进全球数字经济协同发展，弘扬全人类共同价值。（三选一，1分+材料分析1分）我国发挥自身数 据治理实践优势，秉持共商共建共享，在坚决维护我国数据安全与发展利益基础上，推动构建公正合 理的全球数据治理新秩序，践行人类命运共同体理念，展现大国责任担当。（ （任意三，3分） 【细则】 ①背景解释（2分）: 全球化发展趋势，1分（替代：和平与发展/全人类共同价值/人类共同利益）； 结合材料分析，1分 ②对宗旨原则加以说明（
16,116,政治多极化,促进共同发展、维护持久和平，共同推进现代化（出现1次）,2025西城二模Q19(2),中国向最不发达国家开放市场，有利于促进各国共同发展、共同推进现代化，并为维护持久和平夯实发展基础。,· 最长命中片段（7 字）：共同推进现代化,,（2）（5分）发展是解决一切问题的总钥匙。释放各国发展潜力，实现世界各国共同发展，才能保证持久的和平。中国对最不发达国家实行零关税，开放广阔的中国市场，惠民生增福祉，与各国包括最不发达国家共享发展新机遇，开放包容、互利共赢，携手推动建设开放型世界经济，展现了大国担当。 【细则】 ①中国担当：3分 开放广阔的中国市场（或坚持正确义利观）（1分） 与发展中国家共享发展新机遇，惠民生增福祉，实现互利共赢 （2分） （发展中国家/最不发达国家1分，具体说明1分） ②世界意义：2分 推动普惠包容的经济全球化/建设开放型世界经济/促进贸易自由化， 促进共同发展、维护持久和平， 共同推进现代化 （任意1点1
