review_id,bucket,core,status,question,suite,source_chars,sentence,missing_clause,sentence_best_source_match,hit_best_source_match,missing_clause_source_matches,initial_decision
1,时代背景,和平与发展仍是时代主题（出现10次）,✅基本匹配,2026通州期末Q20,2026通州期末,0,全球治理倡议回应世界变乱交织和治理赤字，符合和平与发展时代主题、经济全球化发展趋势和各国人民求和平、谋发展、促合作的共同愿望。,,,,,ACCEPT_REVIEW_STATUS_NO_PATCH
2,时代背景,和平与发展仍是时代主题（出现10次）,✅高度匹配,2025海淀期中Q21(2),2025海淀期中,0,新中国外交所处时代背景不断变化，政治多极化、经济全球化深入发展，和平与发展成为时代主题，外交重点和国际合作方式也随之发展。,外交重点和国际合作方式也随之发展,,,外交重点和国际合作方式也随之发展=>NO_SOURCE_MATCH,ACCEPT_REVIEW_STATUS_NO_PATCH
3,时代背景,和平与发展仍是时代主题（出现10次）,❌细则无支撑片段,2024海淀二模Q18(1)多极化世界中的民主与全球治理,2024海淀二模,18824,和平与发展仍是时代主题，面对人工智能与大数据带来的治理缺口、全球南方诉求增多的现实，各方应在和平与发展的国际潮流中加强对话合作，共同推动全球治理民主化。,面对人工智能与大数据带来的治理缺口、全球南方诉求增多的现实；各方应在和平与发展的国际潮流中加强对话合作；共同推动全球治理民主化,人工智能与,时代主题,面对人工智能与大数据带来的治理缺口、全球南方诉求增多的现实=>人工智能与 | 各方应在和平与发展的国际潮流中加强对话合作=>NO_SOURCE_MATCH | 共同推动全球治理民主化=>全球治理,PATCH_CANDIDATE_UNSUPPORTED_CLAUSE
4,时代背景,和平与发展仍是时代主题（出现10次）,✅高度匹配,"2025延庆一模Q20(2)外交部发言人回应""脱钩断链""",2025延庆一模,0,维护全球产供链韧性和稳定是世界经济可持续发展的重要保障，符合国际社会的共同利益，顺应和平与发展的时代主题。,,,,,ACCEPT_REVIEW_STATUS_NO_PATCH
5,时代背景,和平与发展仍是时代主题（出现10次）,✅高度匹配,2024西城二模Q19中国答案的国际关系新思路,2024西城二模,12761,人类命运共同体理念顺应时代潮流（细则可替代为「和平与发展」），倡导全球协作，推动国际秩序朝着更加公正合理的方向发展。,,倡导全球协作推动国际秩序朝着更加公正合理的方向发展,倡导全球协作推动国际秩序朝着更加公正合理的方向发展,,ACCEPT_REVIEW_STATUS_NO_PATCH
6,时代背景,和平与发展仍是时代主题（出现10次）,✅高度匹配,2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴,2025丰台期末,28753,中非达成一系列战略性共识符合和平与发展的时代主题，为发展中国家联合应对全球挑战提供合作土壤。,为发展中国家联合应对全球挑战提供合作土壤,中非达成一系列战略性共识符合和平与发展的时代主题,中非达成一系列战略性共识符合和平与发展的时代主题,为发展中国家联合应对全球挑战提供合作土壤=>发展中国家,ACCEPT_REVIEW_STATUS_NO_PATCH
7,时代背景,和平与发展仍是时代主题（出现10次）,✅基本匹配,2026西城二模Q19(1),2026西城二模,8210,数字经济发展推动数据跨境流动，全球化发展趋势使数据治理成为各国共同面对的问题，中国参与全球数据治理符合和平与发展、全人类共同价值和人类共同利益。,,中国参与全球数据治理,中国参与全球数据治理,,ACCEPT_REVIEW_STATUS_NO_PATCH
8,时代背景,和平与发展仍是时代主题（出现10次）,✅高度匹配,2026朝阳期末Q20,2026朝阳期末,13755,和平与发展是当今时代的主题，中国携手周边国家共建和平家园、安宁家园，妥善管控矛盾分歧，扩大共同利益，有利于推动周边命运共同体建设和全球治理更加公正合理。,中国携手周边国家共建和平家园、安宁家园；妥善管控矛盾分歧,和平与发展是当今时代的主题,和平与发展是当今时代的主题,中国携手周边国家共建和平家园、安宁家园=>共建和平家园 | 妥善管控矛盾分歧=>妥善管控矛盾分歧,ACCEPT_REVIEW_STATUS_NO_PATCH
9,时代背景,和平与发展仍是时代主题（出现10次）,❌细则无支撑片段,2026海淀期中Q22(1),2026海淀期中,8525,全球治理倡议顺应和平与发展的时代潮流，符合世界各国人民的共同愿望，因此能够获得国际社会广泛认同。,符合世界各国人民的共同愿望,和平与发展的时代潮流符合世界各国人民的共同愿望,时代潮流,符合世界各国人民的共同愿望=>符合世界各国人民的共同愿望,MANUAL_REVIEW_SOURCE_SUPPORT_PRESENT
10,时代背景,和平与发展仍是时代主题（出现10次）,✅高度匹配,2025朝阳期末Q21,2025朝阳期末,0,中国开展中国特色大国外交，促进世界和平与发展，维护和平稳定的国际环境，回应单边霸凌、脱钩断链和意识形态分歧等外部风险，为推进中国式现代化营造稳定的外部条件。,中国开展中国特色大国外交；促进世界和平与发展；回应单边霸凌、脱钩断链和意识形态分歧等外部风险,,,中国开展中国特色大国外交=>NO_SOURCE_MATCH | 促进世界和平与发展=>NO_SOURCE_MATCH | 回应单边霸凌、脱钩断链和意识形态分歧等外部风险=>NO_SOURCE_MATCH,ACCEPT_REVIEW_STATUS_NO_PATCH
