review_id,field,old,new,applied,reason,applied_count
TITLE,subtitle,Claude OCR subtitle,学生厚版 · 237条逐条核实最终版（2026.5.28 · 共104术语/237条目）,YES,学生最终稿去除后台模型标识。,
3,卷面句,和平与发展仍是时代主题，面对人工智能与大数据带来的治理缺口、全球南方诉求增多的现实，各方应在和平与发展的国际潮流中加强对话合作，共同推动全球治理民主化。,和平与发展仍是时代主题，人工智能、大数据带来的治理挑战和全球南方国家诉求上升，要求各方在和平合作框架内推进更有效、更民主的全球治理。,YES,原题材料支撑人工智能、大数据挑战、全球南方发声和民主全球治理，但原句“国际潮流中加强对话合作”表述偏扩展，收紧为材料和开放细则均能支撑的表述。,1
86,卷面句,中拉双方维护以世界贸易组织为核心的多边贸易体制，反对单边主义和保护主义，维护公平、开放、非歧视的国际经贸秩序，为共同现代化创造稳定环境。,中拉双方坚定维护多边贸易体制，维护全球产业链供应链稳定畅通和开放合作的国际环境，有利于扩大双方“发展工程”中的利益汇合点。,YES,原细则/材料写“坚定维护多边贸易体制、维护全球产业链供应链稳定畅通、维护开放合作的国际环境”，未直接写反对单边主义、保护主义和非歧视秩序。,1
91,什么时候写,欧盟对中国新能源汽车征收临时反补贴税，不只是中欧双边争端，也会扭曲市场竞争、抬高消费成本并削弱自身绿色产业转型。,欧盟对中国新能源汽车征收临时反补贴税，不只是中欧双边争端，也会破坏市场竞争、市场秩序，损害消费者利益，并不利于自身发展。,YES,原细则写破坏市场竞争/市场秩序、不利于自身发展、损害消费者利益；未写“削弱自身绿色产业转型”。,1
91,卷面句,贸易保护主义和单边措施会破坏公平市场竞争和多边贸易秩序，既损害消费者利益，也不利于实施方自身产业升级，最终阻碍世界经济共同发展。,贸易保护主义和单边措施会破坏市场竞争和市场秩序，既损害消费者利益，也不利于自身发展，最终阻碍世界经济共同发展。,YES,原细则明确“不利于自身的发展”，未写“实施方自身产业升级”。,1
101,卷面句,中国坚持高水平对外开放、高质量共建“一带一路”，有利于建设开放型世界经济，推动各国在开放中合作、在合作中共赢。,中国坚持高水平对外开放、高质量共建“一带一路”，有利于建设开放型世界经济，促进开放合作、互利共赢和世界经济共同繁荣。,YES,原材料支撑高水平开放与共建“一带一路”，细则角度写开放型世界经济/开放合作/世界经济共同繁荣；原句末尾较口号化，改为细则用语。,1
103,什么时候写,释放数据价值、繁荣数字经济，需要在开放流动和包容发展中提升各国数字经济参与能力。,释放数据价值、繁荣数字经济，需要在开放合作、包容普惠和安全保障中弥合全球数字鸿沟，让更多国家共享数字经济发展成果。,YES,原细则给出主权平等、开放合作、包容普惠、安全保障，材料表格写弥合数据鸿沟、释放数据价值、繁荣数字经济；未直接写“数字能力建设”。,1
103,卷面句,各国应坚持开放合作和包容普惠，促进数据资源共享和数字能力建设，让更多国家参与数字经济发展并分享发展成果。,各国应坚持开放合作和包容普惠，助力弥合全球数字鸿沟、释放数据价值、繁荣数字经济，让更多国家共享数字经济发展成果。,YES,原题材料和细则能支撑弥合数字鸿沟、释放数据价值、繁荣数字经济；“数据资源共享和数字能力建设”证据不足。,1
120,卷面句,面对人工智能与大数据带来的两极分化和全球治理代表性不足，各国应推动构建人类命运共同体，共同应对全球性挑战，推动全球治理民主化。,人工智能、大数据带来的全球治理挑战和代表性不足，说明各国需要以人类命运共同体理念共同应对全球性治理问题，推动全球治理体系更加有效、民主。,YES,原题材料支撑技术挑战、代表性不足和有效民主治理体系；将“全球性挑战/治理民主化”收紧为原材料可直接支撑的治理问题。,1
145,卷面句,金砖国家、二十国集团、上海合作组织等国际组织和合作机制作用增强，为全球南方国家表达诉求、参与全球治理、推动治理民主化提供了重要平台。,金砖国家、二十国集团、上海合作组织等国际组织和合作机制作用增强，为全球南方国家在国际舞台发挥更大作用、发出全球治理声音提供重要平台。,YES,原材料写全球南方崛起、相关国际组织作用增强、南方国家要发出声音；“推动治理民主化”属于合理方向但不够贴近材料原句，故收紧。,1
148,卷面句,中方主张通过磋商解决中欧新能源汽车贸易争端，坚持互利共赢，避免以单边关税破坏开放合作的国际经贸环境。,中方主张通过磋商解决中欧新能源汽车贸易争端，坚持互利共赢，推动贸易自由便利并维护市场秩序。,YES,原细则写和平谈判方式、互利共赢、推动贸易自由便利、维护市场秩序；未直接写“开放合作的国际经贸环境”。,1
155,什么时候写,资料卡列举地缘政治动荡、地区安全问题、经贸科技交流政治化和保护主义上升，推动中国经济开新局需要把发展优势与安全风险统筹起来。,细则强调我国发展的外部环境日趋严峻、风险挑战增多，推动中国经济开新局需要把发展优势与安全风险统筹起来。,YES,原细则写外部环境日趋严峻、风险挑战增多；未直接写“地缘政治动荡、经贸科技交流政治化”。,1
155,卷面句,面对地缘政治动荡、保护主义上升和经贸科技交流政治化，中国应坚持总体国家安全观，统筹发展与安全，以新安全格局保障新发展格局。,面对外部环境日趋严峻、风险挑战增多，中国应坚持总体国家安全观，统筹发展与安全，以新安全格局保障新发展格局。,YES,改用原细则明确表述。,1
