suite_id,suite_name,priority_bucket,present_in_v6_student_md,v6_student_source_lines,old_v3_missing_subjective_rows_A_B,old_v3_missing_choice_rows_C,audit_status,notes
S001,2024海淀一模,1-1,True,2,0,4,CHOICE_GAP_ONLY,
S002,2024西城一模,1-2,True,1,0,8,CHOICE_GAP_ONLY,
S003,2024东城一模,1-3,False,0,9,4,NO_SOURCE_LINE_IN_V6,
S004,2024朝阳一模,1-4,True,5,4,5,PARTIAL_SUBJECTIVE_GAP,
S005,2024丰台一模,1-5,True,3,1,3,PARTIAL_SUBJECTIVE_GAP,
S006,2024石景山一模,1-9,True,3,0,4,CHOICE_GAP_ONLY,
S007,2024门头沟一模,1-9,False,0,0,6,NO_SOURCE_LINE_IN_V6,Formal source-list row absent from standalone suite bundles; use classification bundle plus saved external answer PDF; subjective remains evidence-boundary candidate.
S008,2024海淀二模,2-1,True,1,0,5,CHOICE_GAP_ONLY,
S009,2024西城二模,2-2,True,1,5,5,PARTIAL_SUBJECTIVE_GAP,
S010,2024东城二模,2-3,False,0,11,4,NO_SOURCE_LINE_IN_V6,
S011,2024朝阳二模,2-4,True,1,4,4,PARTIAL_SUBJECTIVE_GAP,
S012,2024丰台二模,2-5,False,0,3,5,NO_SOURCE_LINE_IN_V6,
S013,2024顺义思政二模,2-9,False,0,0,4,NO_SOURCE_LINE_IN_V6,
S014,2024海淀期中,3-1,True,1,0,0,NO_OLD_GAP_BY_THIS_AUDIT,
S015,2024朝阳期中,3-4,True,4,0,6,CHOICE_GAP_ONLY,
S016,2025海淀一模,1-1,True,3,0,4,CHOICE_GAP_ONLY,
S017,2025西城一模,1-2,True,5,0,2,CHOICE_GAP_ONLY,
S018,2025东城一模,1-3,True,5,0,2,CHOICE_GAP_ONLY,
S019,2025朝阳一模,1-4,False,0,0,3,NO_SOURCE_LINE_IN_V6,
S020,2025丰台一模,1-5,True,3,0,2,CHOICE_GAP_ONLY,
S021,2025延庆一模,1-9,True,3,0,2,CHOICE_GAP_ONLY,
S022,2025房山一模,1-9,False,0,0,5,NO_SOURCE_LINE_IN_V6,
S023,2025石景山一模,1-9,True,2,2,4,PARTIAL_SUBJECTIVE_GAP,
S024,2025门头沟一模,1-9,True,2,6,3,PARTIAL_SUBJECTIVE_GAP,
S025,2025顺义一模,1-9,True,3,0,4,CHOICE_GAP_ONLY,
S026,2025海淀二模,2-1,True,7,0,0,NO_OLD_GAP_BY_THIS_AUDIT,
S027,2025西城二模,2-2,True,8,0,0,NO_OLD_GAP_BY_THIS_AUDIT,
S028,2025东城二模,2-3,True,9,0,0,NO_OLD_GAP_BY_THIS_AUDIT,
S029,2025朝阳二模,2-4,True,7,0,0,NO_OLD_GAP_BY_THIS_AUDIT,
S030,2025丰台二模,2-5,True,3,0,2,CHOICE_GAP_ONLY,
S031,2025昌平二模,2-9,True,8,0,1,CHOICE_GAP_ONLY,
S032,2025海淀期中,3-1,False,0,0,0,NO_SOURCE_LINE_IN_V6,
S033,2025海淀期末,4-1,True,5,0,4,CHOICE_GAP_ONLY,
S034,2025西城期末,4-2,True,4,0,3,CHOICE_GAP_ONLY,
S035,2025东城期末,4-3,True,3,0,2,CHOICE_GAP_ONLY,
S036,2025朝阳期末,4-4,True,5,7,2,PARTIAL_SUBJECTIVE_GAP,
S037,2025丰台期末,4-5,True,3,11,1,PARTIAL_SUBJECTIVE_GAP,
S038,2026海淀一模,1-1,False,0,0,6,NO_SOURCE_LINE_IN_V6,
S039,2026西城一模,1-2,True,2,0,4,CHOICE_GAP_ONLY,
S040,2026东城一模,1-3,True,5,0,1,CHOICE_GAP_ONLY,
S041,2026朝阳一模,1-4,True,5,0,4,CHOICE_GAP_ONLY,
S042,2026丰台一模,1-5,False,0,0,3,NO_SOURCE_LINE_IN_V6,
S043,2026延庆一模,1-9,True,3,0,3,CHOICE_GAP_ONLY,
S044,2026房山一模,1-9,False,0,0,3,NO_SOURCE_LINE_IN_V6,
S045,2026石景山一模,1-9,True,3,0,2,CHOICE_GAP_ONLY,
S046,2026门头沟一模,1-9,True,3,0,2,CHOICE_GAP_ONLY,
S047,2026顺义一模,1-9,True,4,0,1,CHOICE_GAP_ONLY,
S048,2026海淀期中,3-1,True,1,4,0,PARTIAL_SUBJECTIVE_GAP,
S049,2026海淀期末,3-1,True,2,0,5,CHOICE_GAP_ONLY,
S050,2026西城期末,3-2,True,3,0,3,CHOICE_GAP_ONLY,
S051,2026东城期末,3-3,True,2,0,2,CHOICE_GAP_ONLY,
S052,2026朝阳期中,3-4,True,4,0,3,CHOICE_GAP_ONLY,
S053,2026朝阳期末,3-4,True,1,0,6,CHOICE_GAP_ONLY,
S054,2026丰台期末,3-5,True,1,0,4,CHOICE_GAP_ONLY,
S055,2026石景山期末,3-9,True,1,1,5,PARTIAL_SUBJECTIVE_GAP,
S056,2026通州期末,3-9,True,2,0,4,CHOICE_GAP_ONLY,
