audit_id,source,norm_year,norm_district,norm_stage,norm_question,question_nature,evidence_grade_initial,covered_by_latest_docx,section,material,trigger,logic,bundle_path,norm_key
V3-FW-0001,2025北京东城高三二模 第16题（东城区25届高三政治二模统测阅卷报告 5.9.pdf）,2025,东城,二模,16,subjective,A,True,物质决定意识，意识对物质具有能动作用,人工智能发展进入加速期，DeepSeek 开源免费、人人可用，“人工智能+”赋能科技创新、产业发展、社会治理、医疗教育、家庭服务等领域；阅卷报告明确指出人工智能的发展基于当前科技水平、社会需求等客观实际。,物质决定意识，意识是对客观存在的反映,材料不是把人工智能浪潮写成凭空出现的主观想象，而是放在技术水平迭代、社会需求扩展和应用场景增多的客观条件中理解。人工智能的认识、评价和应对方案必须以这些客观实际为基础，因此稳定触发“物质决定意识”。,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区二模__2025东城二模.md,2025|东城|二模|16
V3-FW-0003,2024北京朝阳高三二模 第16题（2）（2024年朝阳二模主观题阅卷总结.pdf）,2024,朝阳,二模,16,subjective,A,True,物质决定意识，意识对物质具有能动作用,人工智能从人类对神经元联系、人工神经网络和深度学习的认识中发展出来，又反过来通过数据追踪、分析和输出影响人的生产生活与认识方式。,物质与意识的辩证关系 / 意识对物质具有能动作用,阅卷总结在“为什么”层面明确列出“物质意识”作为可选知识。材料既说明人工智能的发展依托技术实践和客观应用场景，也说明人的认识、设计和价值取向会影响人工智能的发展方向；人工智能作为新的技术条件又会改变人的认识环境。因此该题不能只挂实践、联系和发展，还应补入物质与意识关系。,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024朝阳二模.md,2024|朝阳|二模|16
V3-FW-0004,2025北京丰台高三（上）期末 第16题（丰台期末细则.pptx）,2025,丰台,期末,16,subjective,A,True,一切从实际出发 / 实事求是,“胸中有‘数’”要求在工作生活中做计划、定方案，在国家治理中看大数、看长远；评分标准把“数从哪里来”对应到实践、实际、规律、发挥主观能动性。,一切从实际出发 / 实事求是,“数”不是主观臆想出来的，而是对客观情况、统计数据、百分比和数量界限的把握。材料要求从实际情况中取得“数”，再依据实际确定方案，因此触发“一切从实际出发、实事求是”。,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025丰台期末.md,2025|丰台|期末|16
V3-FW-0005,2025北京朝阳高三（上）期末 第16题（朝阳期末评标.pdf扫描页读图核定）,2025,朝阳,期末,16,subjective,A,True,一切从实际出发 / 实事求是,中国汉代文物出境展出时，与当地策展人沟通，关注当地观众的生活方式、互动体验和现代生活契合点；评分细则要求文化交流既符合本民族文化发展实际，也满足交流对象文化需求，体现全人类共同价值取向。,一切从实际出发 / 实事求是,用文化同世界对话不能只按自我表达逻辑输出，而要同时看中国文化自身实际、传播对象的接受特点和国际交流语境。材料把“当地策展人、普通观众、现代生活契合点”放进来，说明对外文化交流要从具体对象和具体场景出发。,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025朝阳期末.md,2025|朝阳|期末|16
V3-FW-0006,2026北京朝阳高三一模 第1题,2026,朝阳,一模,1,choice,C,False,一切从实际出发 / 实事求是,从“自己动手、丰衣足食”到“不获全胜、决不收兵”，不同时期的实干口号都对应特定历史条件和现实任务。,一切从实际出发 / 实事求是,边区生产自救、新中国建设、改革开放和脱贫攻坚并不是套用同一做法，而是根据不同阶段的客观条件和中心任务选择实践路径。材料中的“自己动手”与“久久为功”都强调从现实问题出发、真抓实干，因此稳定触发实事求是。,data/preprocessed_corpus/gpt_suite_bundles/2026各区模拟题__2026各区一模__2026朝阳一模.md,2026|朝阳|一模|1
V3-FW-0007,2026北京东城高三一模 第1题,2026,东城,一模,1,choice,C,False,一切从实际出发 / 实事求是,面对复杂严峻的国内外环境，我国经济仍交出亮眼成绩单，材料强调只有从实际出发、实事求是，才能持续向新向优。,一切从实际出发 / 实事求是,题干不是抽象歌颂成绩，而是把“复杂环境”与“持续向优”放在一起，说明高质量发展不能脱离现实条件空谈目标。越是在困难环境中越要基于客观情况调整政策和路径，因此稳定触发实事求是。,data/preprocessed_corpus/gpt_suite_bundles/2026各区模拟题__2026各区一模__2026东城一模.md,2026|东城|一模|1
V3-FW-0008,2026北京海淀高三一模 第8题,2026,海淀,一模,8,choice,C,False,一切从实际出发 / 实事求是,树立正确政绩观要求领导干部为民造福、真抓实干、久久为功，并深入基层一线倾听不同声音、掌握实情。,一切从实际出发 / 实事求是,材料反对急功近利的“显绩”冲动，强调到基层调查研究、把握真实情况后再作决策和推进工作。政绩不是凭主观想象包装出来的，而要立足群众需求和客观实际持续用力，因此稳定触发实事求是。,data/preprocessed_corpus/gpt_suite_bundles/2026各区模拟题__2026各区一模__2026海淀一模.md,2026|海淀|一模|8
V3-FW-0009,2025北京朝阳高三一模 第12题,2025,朝阳,一模,12,choice,C,False,一切从实际出发 / 实事求是,发展林下经济既要依托森林、林地及其生态环境，又要研究市场、突出多种经营，防止一哄而上和产销失衡。,一切从实际出发 / 实事求是,林下经济不是看到“绿富双赢”就盲目复制，而要同时看生态资源条件、市场需求和经营结构。材料明确反对一哄而上，强调研究市场、分类经营，说明推进生态产业必须从当地资源禀赋和现实市场出发，因此稳定触发实事求是。,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区一模__2025朝阳一模.md,2025|朝阳|一模|12
V3-FW-0010,2025北京丰台高三（上）期末 第7题,2025,丰台,期末,7,choice,C,True,一切从实际出发 / 实事求是,漫画写“为昨天懊恼，替明天担心，不如把握当下”，正确项强调从当下做起，减少生活迷茫。,一切从实际出发 / 实事求是,题干不是让人沉溺懊悔或空想未来，而是要求回到现实处境和当前行动。只有立足当下真实条件、从现在可做之事着手，才能避免空转和迷茫，因此这一题稳定触发一切从实际出发 / 实事求是。,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025丰台期末.md,2025|丰台|期末|7
V3-FW-0011,2026北京朝阳高三（上）期中 第7题,2026,朝阳,期中,7,choice,C,False,一切从实际出发 / 实事求是,前门商圈以“老字号+国潮”为特色，结合国粹体验、茉莉花茶文化推广和中轴线科技场景，推动城市由规模扩张转向内涵式发展。,一切从实际出发 / 实事求是,材料不是抽象谈“城市更新”，而是立足前门商圈自身的历史资源、文化积淀、消费场景和技术条件来谋划发展路径。内涵式发展之所以成立，正在于从具体区位和资源禀赋出发挖掘城市价值，而不是照搬统一模板，因此稳定触发实事求是。,data/preprocessed_corpus/gpt_suite_bundles/2026各区模拟题__2026各区期末和期中__2026朝阳期中.md,2026|朝阳|期中|7
V3-FW-0012,2025北京东城高三二模 第16题（东城区25届高三政治二模统测阅卷报告 5.9.pdf）,2025,东城,二模,16,subjective,A,True,一切从实际出发 / 实事求是,人工智能浪潮滚滚而来，但阅卷报告要求学生不能盲目乐观或过度恐惧，而要充分认识人工智能的技术现状、应用场景以及潜在风险。,一切从实际出发 / 实事求是,“勇立潮头”不是情绪化拥抱新技术，也不是抽象恐惧技术风险，而是先把人工智能所处的技术水平、现实需求、应用边界和风险条件看清楚，再决定如何发展、规范和使用。材料与细则共同指向“从客观实际出发作判断、定措施”，因此应补入一切从实际出发 / 实事求是栏目。,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区二模__2025东城二模.md,2025|东城|二模|16
V3-FW-0013,2026北京西城高三（上）期末 第21题（西城高三期末评标.pptx）,2026,西城,期末,21,subjective,B,True,一切从实际出发 / 实事求是,五年规划编制坚持开门问策、集思广益，实施过程中又能根据发展变化不断优化规划内容与实施路径。,一切从实际出发 / 实事求是,五年规划不是主观拍板的静态蓝图，而是在广泛汇集民意、把握发展实际、回应阶段任务的基础上形成，并在实践中根据情况变化优化推进。评标 PPT 明确可从“实事求是”作答，因此这道题应补入从实际出发栏目。,data/preprocessed_corpus/gpt_suite_bundles/2026各区模拟题__2026各区期末和期中__2026西城期末.md,2026|西城|期末|21
V3-FW-0014,2024北京东城高三二模 第16题（阅卷总结/16题/16题二模阅卷总结.docx、16题评分细则.pptx）,2024,东城,二模,16,subjective,A,True,一切从实际出发 / 实事求是,桑基鱼塘立足农业实践、尊重人与自然发展规律，因地制宜保护利用，并随时代发展实现生态景观、产业融合、文化研学和乡村振兴结合。,一切从实际出发 / 实事求是,阅卷细则明确把“基于规律和实际（实践）证明桑基鱼塘的科学价值”列为哲学层面，并给出“尊重规律/一切从实际出发”。桑基鱼塘之所以“两千多岁仍未老”，不是因为抽象保留旧形式，而是始终立足当地水土、桑蚕鱼塘系统和现实乡村发展需要，因此应补入从实际出发栏目。,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024东城二模.md,2024|东城|二模|16
V3-FW-0015,2025北京门头沟高三一模 第21题第（2）问（门头沟一模细则.doc）,2025,门头沟,一模,21,subjective,A,True,一切从实际出发 / 实事求是,门头沟服务首都发展大局，立足生态涵养功能定位和资源约束，关闭全部矿山，探索“绿水青山”向“金山银山”转化。,主观与客观、认识与实践具体的历史的统一,评分细则明确允许从“主观与客观、认识与实践具体的历史的统一”作答。材料不是抽象谈转型愿望，而是在首都功能定位、生态规律、产业基础和人民长远利益变化中选择发展路径，因此应作为从实际出发栏目的细化方法论保存。,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区一模__2025门头沟一模.md,2025|门头沟|一模|21
V3-FW-0016,2026北京朝阳高三（上）期末 第16题（2026朝阳期末细则.pdf扫描页读图核定）,2026,朝阳,期末,16,subjective,B,True,一切从实际出发 / 实事求是,细则要求传统戏曲焕发新生命力要“立足时代之基，回答时代之问”，并在补充口径中写明可从实际出发等角度作答。,一切从实际出发 / 实事求是,传统戏曲创新不能只停留在怀旧保护，也不能脱离戏曲艺术特点追逐流量，而要面对当代社会审美、传播方式和人民精神需求来确定转化路径。细则把“立足时代”作为给分链条，说明这一题除联系观点外，还应显性挂入从实际出发。,data/preprocessed_corpus/gpt_suite_bundles/2026各区模拟题__2026各区期末和期中__2026朝阳期末.md,2026|朝阳|期末|16
V3-FW-0019,2026北京朝阳高三（上）期末 第4题,2026,朝阳,期末,4,choice,C,False,主观能动性 / 意识的能动作用,《瑞谷图轴》把“瑞谷”与“鹌鹑”等意象重新组合，通过谐音、寓意和画面经营表达丰收安宁的祝愿。,主观能动性 / 意识的能动作用,材料不是把现实对象原样搬进画面，而是通过人的构思、联想和文化编码，把分散意象转化为具有祝愿意味的艺术表达。作品意义来自主体能动加工和创造性组合，因此稳定触发主观能动性与意识能动作用。,data/preprocessed_corpus/gpt_suite_bundles/2026各区模拟题__2026各区期末和期中__2026朝阳期末.md,2026|朝阳|期末|4
V3-FW-0020,2025北京昌平高三二模 第3题,2025,昌平,二模,3,choice,C,False,主观能动性 / 意识的能动作用,机器人穿红背心、跳秧歌、转手绢，传统秧歌在现代科技加持下焕发新活力，艺术与科技发生跨界融合。,主观能动性 / 意识的能动作用,材料的关键不在“机器会动”这一客观现象本身，而在于人对传统秧歌进行了重新设计、重新编排、重新舞台化和技术化呈现。传统艺术不会自己焕新，必须经过人的构思、选择和创造，才形成新的表达效果，因此更稳地触发到意识的能动作用。,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区二模__2025昌平二模.md,2025|昌平|二模|3
V3-FW-0022,2026北京朝阳高三（上）期中 第18题（用户提供正式阅卷细则）,2026,朝阳,期中,18,subjective,A,True,主观能动性 / 意识的能动作用,反对理由示例指出，过度依赖人工智能提供情绪价值，会削弱现实交往能力。,主观能动性 / 意识依赖于物质,现实交往能力不是由工具替人自动生成的，而是在真实社会关系和交往实践中形成。材料强调“过度依赖”会削弱人的现实能力，说明主体不能把情感互动完全外包给技术，而要主动参与现实交往、保持人的能动性，因此可触发主观能动性。,data/preprocessed_corpus/gpt_suite_bundles/2026各区模拟题__2026各区期末和期中__2026朝阳期中.md,2026|朝阳|期中|18
V3-FW-0023,2026北京海淀高三（上）期末 第16题（评分标准）,2026,海淀,期末,16,subjective,A,True,主观能动性 / 意识的能动作用,复制粘贴取代独立探索，网络用语泛化导致书面表达能力弱化，技术便利可能带来思维惰化。,意识的能动作用 / 主观能动性,材料不是把问题简单归因于网络技术本身，而是追问“数字原住民”如何面对技术环境。独立思考、表达训练、判断能力都需要主体主动培养；如果主体放弃能动参与，技术便利就会反过来弱化能力，因此稳定触发主观能动性。,data/preprocessed_corpus/gpt_suite_bundles/2026各区模拟题__2026各区期末和期中__2026海淀期末.md,2026|海淀|期末|16
V3-FW-0024,2025北京东城高三（上）期末 第16题（用户补充讲评PDF答案细则）,2025,东城,期末,16,subjective,A,True,主观能动性 / 意识的能动作用,我们要提高对器物价值的认识，做好搜集、保护、研究工作。,主观能动性 / 意识的能动作用,材料从“器物有什么价值”进一步转向“人应如何认识和保护器物”。文化遗产保护不是自动发生的，必须以对器物历史文化价值的正确认识为前提，再转化为搜集、保护、研究等行动，因此稳定触发意识能动作用。,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025东城期末.md,2025|东城|期末|16
V3-FW-0025,2025北京海淀高三（上）期末 第16题（用户确认PPT给分口径）,2025,海淀,期末,16,subjective,B,True,主观能动性 / 意识的能动作用,老字号、医院、药房等主体围绕药食同源、中药元素、不同消费人群，主动设计石斛曲奇、养生面包、中药咖啡等新产品。,主观能动性 / 意识的能动作用,中医药资源不会自行变成“新时尚”，关键在主体对传统资源、现代消费和产品形式的主动选择、设计与转化。材料突出人的创意、组织和改造活动，因此可以稳定触发主观能动性。,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025海淀期末.md,2025|海淀|期末|16
V3-FW-0026,2025北京丰台高三（上）期末 第16题（丰台期末细则.pptx）,2025,丰台,期末,16,subjective,A,True,主观能动性 / 意识的能动作用,评分标准把“数为何所用”指向做计划、定方案，以及认识对实践的反作用、意识的能动作用。,主观能动性 / 意识的能动作用,材料中的“胸中有数”不是停留在知道数据，而是把对数量、比例、界限的认识转化为计划、方案和治理行动。主体能够依据“数”进行预判、选择和安排，体现意识对实践活动的指导作用。,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025丰台期末.md,2025|丰台|期末|16
V3-FW-0027,2026北京延庆高三一模 第2题,2026,延庆,一模,2,choice,C,False,主观能动性 / 意识的能动作用,机械臂组装、智能客服等场景表明人工智能进入劳动过程，推动劳动形式升级、人机协作深化。,主观能动性 / 意识的能动作用,人工智能不是自然出现的“新主体”，而是人类在认识规律基础上设计、制造和使用的工具。材料既强调技术把劳动推向智能化高效化，也强调人机形成新互补关系，说明劳动变革依赖人的创造和运用，因此触发主观能动性。,data/preprocessed_corpus/gpt_suite_bundles/2026各区模拟题__2026各区一模__2026延庆一模.md,2026|延庆|一模|2
V3-FW-0028,2026北京石景山高三一模 第3题,2026,石景山,一模,3,choice,C,False,主观能动性 / 意识的能动作用,AI写作可以提供素材和思路，但也会表述机械、缺乏原创性；真正高质量写作仍要靠创作者独立思考和创造。,主观能动性 / 意识的能动作用,材料一方面承认AI的效率优势，另一方面明确其不能替代人的特有感知和原创判断。写作不是简单拼装信息，而要靠主体主动选择、加工和表达，因此稳定触发意识能动作用。,data/preprocessed_corpus/gpt_suite_bundles/2026各区模拟题__2026各区一模__2026石景山一模.md,2026|石景山|一模|3
V3-FW-0029,2026北京顺义高三一模 第2题,2026,顺义,一模,2,choice,C,False,主观能动性 / 意识的能动作用,北京题材新戏用现代舞台语言挖掘建都历史和城南风土，在内容与形式统一中重现古都风云。,主观能动性 / 意识的能动作用,建都历史和城市记忆不会自动转化为舞台作品，必须经过编创者对题材的选择、加工和现代表达。材料强调“现代舞台语言演绎历史”，说明意识能够能动地加工客观素材、形成新的文化表达，因此触发主观能动性。,data/preprocessed_corpus/gpt_suite_bundles/2026各区模拟题__2026各区一模__2026顺义一模.md,2026|顺义|一模|2
V3-FW-0030,2026北京海淀高三一模 第2题,2026,海淀,一模,2,choice,C,False,主观能动性 / 意识的能动作用,中国传统插花追求“虽由人作，宛若天成”，通过有限花材、疏密高低布局和道法自然的审美取向表达情志。,主观能动性 / 意识的能动作用,插花作品不会自然长成“如画苑布置”的效果，而要靠创作者依据对象特点主动取舍、组合和营构。材料既保留自然之美，又体现人的审美加工和情感表达，因此稳定触发意识的能动作用。,data/preprocessed_corpus/gpt_suite_bundles/2026各区模拟题__2026各区一模__2026海淀一模.md,2026|海淀|一模|2
V3-FW-0031,2025北京海淀高三（上）期末 第4题,2025,海淀,期末,4,choice,C,True,主观能动性 / 意识的能动作用,京西稻主题曲由AI编曲、AI演唱，但主题、场景和文化表达都服务于“科技与文化的和鸣”这一人的创作意图。,主观能动性 / 意识的能动作用,材料并没有把AI写成独立创作主体，而是把技术放进人的文化表达和主题建构之中。科技如何进入创作、服务什么主题、呈现何种文化效果，都取决于人的选择、设计和运用，因此稳定触发主观能动性。,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025海淀期末.md,2025|海淀|期末|4
