source,section,kind,norm_key,covered_by_latest_docx
2026朝阳二模 第16题,矛盾就是对立统一,主观题,2026|朝阳|二模|16,True
2026朝阳二模 第16题,辩证否定 / 守正创新,主观题,2026|朝阳|二模|16,True
2026朝阳二模 第16题,矛盾的特殊性 / 具体问题具体分析,主观题,2026|朝阳|二模|16,True
2026朝阳二模 第16题,价值观的导向作用,主观题,2026|朝阳|二模|16,True
2026朝阳二模 第21题,系统观念 / 系统优化,主观题,2026|朝阳|二模|21,True
2026朝阳二模 第21题,量变与质变 / 适度原则,主观题,2026|朝阳|二模|21,True
2026东城二模 第16题,实践是认识的基础,主观题,2026|东城|二模|16,True
2026东城二模 第16题,辩证否定 / 守正创新,主观题,2026|东城|二模|16,True
2026海淀二模 第16题,联系的普遍性 / 联系的观点（总）,主观题,2026|海淀|二模|16,True
2026海淀二模 第16题,实践与认识（总）,主观题,2026|海淀|二模|16,True
2026西城二模 第16题,矛盾的普遍性和特殊性,主观题,2026|西城|二模|16,True
2026西城二模 第16题,实践是认识的基础,主观题,2026|西城|二模|16,True
2026西城二模 第20题,人民群众,主观题,2026|西城|二模|20,True
2026西城二模 第20题,一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,主观题,2026|西城|二模|20,True
2026西城二模 第20题,发展的观点 / 发展的普遍性,主观题,2026|西城|二模|20,True
2026丰台二模 第16题,尊重客观规律与发挥主观能动性相结合,主观题,2026|丰台|二模|16,True
2026丰台二模 第16题,系统观念 / 系统优化,主观题,2026|丰台|二模|16,True
2026丰台二模 第16题,矛盾的特殊性 / 具体问题具体分析,主观题,2026|丰台|二模|16,True
2026丰台二模 第16题,价值观的导向作用,主观题,2026|丰台|二模|16,True
2026丰台二模 第22题,两点论与重点论,主观题,2026|丰台|二模|22,True
2026丰台二模 第22题,系统观念 / 系统优化,主观题,2026|丰台|二模|22,True
2026房山二模 第16题,尊重客观规律与发挥主观能动性相结合,主观题,2026|房山|二模|16,True
2026房山二模 第16题,系统观念 / 系统优化,主观题,2026|房山|二模|16,True
2026房山二模 第16题,量变与质变 / 适度原则,主观题,2026|房山|二模|16,True
2026房山二模 第16题,价值观的导向作用,主观题,2026|房山|二模|16,True
2026房山二模 第18（2）题,辩证否定 / 守正创新,主观题,2026|房山|二模|18,True
2026房山二模 第21题,人民群众,主观题,2026|房山|二模|21,True
2026房山二模 第21题,矛盾的普遍性,主观题,2026|房山|二模|21,True
2026石景山二模 第17（3）题,联系的普遍性 / 联系的观点（总）,主观题,2026|石景山|二模|17,True
2026石景山二模 第17（3）题,矛盾就是对立统一,主观题,2026|石景山|二模|17,True
2026石景山二模 第17（3）题,实践与认识（总）,主观题,2026|石景山|二模|17,True
2026石景山二模 第20题,系统观念 / 系统优化,主观题,2026|石景山|二模|20,True
2026顺义二模 第16题,矛盾就是对立统一,主观题,2026|顺义|二模|16,True
2026顺义二模 第16题,两点论与重点论,主观题,2026|顺义|二模|16,True
2026顺义二模 第16题,人民群众,主观题,2026|顺义|二模|16,True
2026顺义二模 第16题,价值观的导向作用,主观题,2026|顺义|二模|16,True
2026顺义二模 第16题,价值判断与价值选择,主观题,2026|顺义|二模|16,True
2026顺义二模 第16题,社会存在与社会意识,主观题,2026|顺义|二模|16,True
2026顺义二模 第16题,辩证否定 / 守正创新,主观题,2026|顺义|二模|16,True
2026朝阳二模 第3题,实践与认识（总）,选择题,2026|朝阳|二模|3,True
2026朝阳二模 第3题,社会存在与社会意识,选择题,2026|朝阳|二模|3,True
2026朝阳二模 第4题,系统观念 / 系统优化,选择题,2026|朝阳|二模|4,True
2026东城二模 第2题,辩证否定 / 守正创新,选择题,2026|东城|二模|2,True
2026东城二模 第4题,矛盾就是对立统一,选择题,2026|东城|二模|4,True
2026海淀二模 第4题,联系的客观性,选择题,2026|海淀|二模|4,True
2026西城二模 第3题,联系的普遍性 / 联系的观点（总）,选择题,2026|西城|二模|3,True
2026西城二模 第4题,系统观念 / 系统优化,选择题,2026|西城|二模|4,True
2026石景山二模 第1题,系统观念 / 系统优化,选择题,2026|石景山|二模|1,True
2026石景山二模 第2题,矛盾就是对立统一,选择题,2026|石景山|二模|2,True
2026顺义二模 第3题,实践是认识的基础,选择题,2026|顺义|二模|3,True
2026房山二模 第2题,社会存在与社会意识,选择题,2026|房山|二模|2,True
2026房山二模 第5题,主观能动性 / 意识的能动作用,选择题,2026|房山|二模|5,True
