priority_group,suite,question_no,prior_index_rows,prior_terms_for_location_only,prior_evidence_levels_for_recheck,prior_status_for_recheck,current_codex_status,claudecode_status,notes
P0硬样本,2026通州期末,20,7,共商共建共享全球治理观; 和平与发展是当今时代的主题/时代主题; 经济全球化是历史发展的客观趋势/顺应各国人民愿望; 符合《联合国宪章》的宗旨和原则; 推动构建国际政治经济新秩序/倡导国际关系民主化/践行真正的多边主义/坚持正确义利观/兼顾利益; 推动构建人类命运共同体; 贡献中国智慧/中国方案/勇于大国担当,P0_verified_scoring_rule,closed_P0,needs_source_recheck,assigned,旧索引仅用于定位和查漏；本轮条目需回源/细则复核
P0硬样本,2026朝阳期中,17,9,处理好自力更生和对外开放的关系; 核心技术自主可控/把握创新主动权/创新驱动; 积极参与经济全球化/充分利用两个市场两种资源/国际交流合作/参与国际分工; 处理好发展和安全的关系/统筹发展和安全; 总体国家安全观/底线思维/维护国家科技经济安全; 经济高质量发展/注入新动能/经济平稳可持续; 处理好中国发展和世界发展的关系; 维护本国利益/谋求本国发展/满足人民美好生活需要; 兼顾他国合理关切/正确义利观/贡献中国智慧和中国方案/大国责任/人类命运共同体,P0_verified_scoring_rule; docx_细则三层结构; excluded_not_relevant,closed_P0; excluded_boundary,needs_source_recheck,assigned,旧索引仅用于定位和查漏；本轮条目需回源/细则复核
海淀重点,2025海淀期中,16,1,贸易摩擦;充分利用国际组织赋予的权利;积极参与全球经济治理和规则制定;充分利用国际国内两种资源两个市场,P1_reference_answer,provisional_P1,needs_source_recheck,assigned,旧索引仅用于定位和查漏；本轮条目需回源/细则复核
海淀重点,2025海淀期中,21,1,政治多极化经济全球化深入发展/和平与发展是时代主题/独立自主的基本立场/以和平共处五项原则为基本准则/维护世界和平促进共同发展,P1_reference_answer,provisional_P1,needs_source_recheck,assigned,旧索引仅用于定位和查漏；本轮条目需回源/细则复核
海淀重点,2025海淀期末,22,1,人类命运共同体;中国智慧中国方案,P2_teaching_or_lecture,provisional_P2,needs_source_recheck,assigned,旧索引仅用于定位和查漏；本轮条目需回源/细则复核
海淀重点,2025海淀二模,21,6,联合国是最具普遍性代表性权威性的政府间国际组织/集体安全机制核心/实践多边主义最佳场所; 联合国三大支柱：维护世界和平、推动共同发展、促进人类文明进步; 联合国成为中国开展多边合作的主要舞台; 中国是联合国创始会员国/安理会常任理事国/最大发展中国家/国际政治经济格局重要力量; 坚定维护以联合国为核心的国际体系/维护《联合国宪章》宗旨和原则; 贡献中国智慧和中国方案/推动完善全球治理/构建新型国际关系/全人类共同价值/推动构建人类命运共同体,P1_with_P0_supplement,closed_P1_P0_supplement,needs_source_recheck,assigned,旧索引仅用于定位和查漏；本轮条目需回源/细则复核
东城重点,2024东城一模,16,1,国际关系民主化/推进构建新型国际关系/推动构建人类命运共同体,pptx_slide26_试题分析_含阅卷细则,,needs_source_recheck,assigned,旧索引仅用于定位和查漏；本轮条目需回源/细则复核
东城重点,2024东城一模,20,1,深入融入经济全球化;两个市场两种资源联动效应;推进制度型开放,pptx_slide64_试题分析,,needs_source_recheck,assigned,旧索引仅用于定位和查漏；本轮条目需回源/细则复核
朝阳重点,2026朝阳一模,20,9,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量; 坚持创新驱动战略/科技实力日益增强/成为全球创新策源地; 坚持正确义利观/展现大国责任与担当/贡献中国智慧和中国方案; 推动构建人类命运共同体; 充分利用国内国际两个市场两种资源; 推动贸易投资自由化便利化; 推动经济全球化朝着更加开放包容普惠平衡共赢的方向发展; 推动建设合作共赢的新型国际关系/坚持共商共建共享; 和平与发展是当今时代的主题,P0_verified_scoring_rule,closed_P0,needs_source_recheck,assigned,旧索引仅用于定位和查漏；本轮条目需回源/细则复核
郊区样本,2026顺义一模,20,5,共同利益; 和平与发展是时代主题/世界大势; 构建人类命运共同体（习近平外交思想核心理念）; 独立自主的和平外交政策/外交政策宗旨/正确义利观/合作共赢/新型国际关系; 推动经济全球化朝着普惠、平衡、共赢方向发展（南南合作典范）,P0_verified_scoring_rule,closed_P0,needs_source_recheck,assigned,旧索引仅用于定位和查漏；本轮条目需回源/细则复核
西城重点,2026西城期末,20,1,贡献中国方案/推动构建合作共赢全球治理体系/展现大国担当,unknown_needs_visual_check,provisional_blocker,needs_source_recheck,assigned,旧索引仅用于定位和查漏；本轮条目需回源/细则复核
