suite,question_no,prior_rows_for_location_only,prior_evidence_levels_for_recheck,current_required_action,promotion_status
2026通州期末,20,7,P0_verified_scoring_rule,read_source_and_assign_P0_P1_P2_or_blocked,not_promoted
2026朝阳期中,17,9,P0_verified_scoring_rule; docx_细则三层结构; excluded_not_relevant,read_source_and_assign_P0_P1_P2_or_blocked,not_promoted
2025海淀期中,16,1,P1_reference_answer,read_source_and_assign_P0_P1_P2_or_blocked,not_promoted
2025海淀期中,21,1,P1_reference_answer,read_source_and_assign_P0_P1_P2_or_blocked,not_promoted
2025海淀期末,22,1,P2_teaching_or_lecture,read_source_and_assign_P0_P1_P2_or_blocked,not_promoted
2025海淀二模,21,6,P1_with_P0_supplement,read_source_and_assign_P0_P1_P2_or_blocked,not_promoted
2024东城一模,16,1,pptx_slide26_试题分析_含阅卷细则,read_source_and_assign_P0_P1_P2_or_blocked,not_promoted
2024东城一模,20,1,pptx_slide64_试题分析,read_source_and_assign_P0_P1_P2_or_blocked,not_promoted
2026朝阳一模,20,9,P0_verified_scoring_rule,read_source_and_assign_P0_P1_P2_or_blocked,not_promoted
2026顺义一模,20,5,P0_verified_scoring_rule,read_source_and_assign_P0_P1_P2_or_blocked,not_promoted
2026西城期末,20,1,unknown_needs_visual_check,read_source_and_assign_P0_P1_P2_or_blocked,not_promoted
