question_id,year,district,stage,question_no,subquestion,module_decision,question_packet_path,rubric_status,compilation_status,framework_candidate_status,notes
S02_Q19,2024,朝阳,一模,19,none,法律与生活,03_source_packets/S02_Q19.md,locked,pending,pending,诚信原则促进市场经济；试卷未附答案
S03_Q17,2024,朝阳,二模,17,none,法律与生活,03_source_packets/S03_Q17.md,locked,pending,pending,平台用工劳动关系认定与仲裁；needs_review:设问无《法律与生活》书名
S04_NOTFOUND,2024,朝阳,期中,-,-,no_xuanbier_legal_question,03_source_packets/S04_NOTFOUND.md,n/a,n/a,n/a,期中无选必二法律题；主观题为历史唯物/哲文/逻辑/经济/当代国际
S05_Q19,2024,海淀,一模,19,none,法律与生活,03_source_packets/S05_Q19.md,locked,pending,pending,虚拟数字人侵权；试卷未附答案
S06_NOTFOUND,2024,海淀,期中,-,-,no_xuanbier_legal_question,03_source_packets/S06_NOTFOUND.md,n/a,n/a,n/a,期中无选必二；扫描需OCR；经济/政法/当代国际/基层民主
S08_Q17,2024,丰台,一模,17,none,法律与生活,03_source_packets/S08_Q17.md,locked,pending,pending,好意同乘减责；第二部分图片版OCR抽取
S10_Q19,2024,海淀,二模,19,none,法律与生活,03_source_packets/S10_Q19.md,locked,pending,pending,遗赠扶养协议纠纷
S11_Q17,2024,石景山,一模,17,none,法律与生活,03_source_packets/S11_Q17.md,locked,pending,pending,碳排放权交易合同/民法基本原则；inline参考答案；needs_review:设问未写《法律与生活》全称
S12_Q18,2024,西城,一模,18,(1)(2)(3),法律与生活,03_source_packets/S12_Q18.md,locked,pending,pending,赡养纠纷模拟庭审；needs_review:设问'运用法治知识'
S13_Q16,2024,西城,二模,16,none,法律与生活,03_source_packets/S13_Q16.md,locked,pending,pending,食品安全惩罚性赔偿
S14_NOTFOUND,2024,顺义,二模,-,-,no_xuanbier_legal_question,03_source_packets/S14_NOTFOUND.md,n/a,n/a,n/a,已复核确认：Q17财产制度→经济社会发展为综合/经济，非选必二
S15_Q19,2025,东城,一模,19,表格①②③,法律与生活,03_source_packets/S15_Q19.md,locked,pending,pending,装修合同/劳动仲裁/遗产管理；inline yes；needs_review:设问无书名(同卷Q17为法治知识)
S16_Q19,2025,丰台,一模,19,none,法律与生活,03_source_packets/S16_Q19.md,locked,pending,pending,技术秘密侵权/惩罚性赔偿；括注'法治相关知识'；needs_review;score_conflict:原题页未印分值;试卷参考答案8分;正式细则6分
S17_Q19,2025,延庆,一模,19,none,法律与生活,03_source_packets/S17_Q19.md,locked,pending,pending,网购'仅退款'调解；inline注'原试题无答案仅供参考'
S18_Q19,2025,房山,一模,19,none,法律与生活,03_source_packets/S18_Q19.md,locked,pending,pending,技术秘密侵权法治价值；needs_review:设问无书名(IP民事);score_verified:原题页未印分值;正式细则8分
S19_Q19,2025,朝阳,一模,19,none,法律与生活,03_source_packets/S19_Q19.md,locked,pending,pending,消法§55三倍赔偿；细则已定位:阅卷总结19题.doc(待STEP_03锁定)
S20_Q18,2025,海淀,一模,18,none,法律与生活,03_source_packets/S20_Q18.md,locked,pending,pending,主题乐园年卡格式条款；同卷Q19为政治与法治
S21_Q20,2025,石景山,一模,20,表格①②,法律与生活,03_source_packets/S21_Q20.md,locked,pending,pending,研发委托合同/软件不正当竞争；needs_review:设问无书名
S22_Q20,2025,西城,一模,20,none,综合(含法律与生活),03_source_packets/S22_Q20.md,locked,pending,pending,集体协商/集体合同；设问'综合运用经济和法律的知识'，法律部分为劳动法
S23_Q20,2025,门头沟,一模,20,表格①②③,法律与生活,03_source_packets/S23_Q20.md,locked,pending,pending,著作权侵权/劳动合同诚信；needs_review:设问无书名(同卷Q17政法)
S24_Q19,2025,顺义,一模,19,(1)(2),法律与生活,03_source_packets/S24_Q19.md,locked,pending,pending,邻里纠纷调解/企业名称裁决；(2)括注法治知识；inline'仅供参考'
S25_Q19,2025,东城,二模,19,表格①②③④,法律与生活,03_source_packets/S25_Q19.md,locked,pending,pending,未成年文身/名誉权/格式条款；needs_review:表栏'民法原则'+民事内容
S26_Q19,2025,丰台,二模,19,(2),法律与生活,03_source_packets/S26_Q19.md,locked,pending,pending,AI侵权司法建议；Q19(1)为逻辑与思维
S27_Q20,2025,昌平,二模,20,(1)(2),法律与生活,03_source_packets/S27_Q20.md,locked,pending,pending,AI图片著作权+信用卡欠款
S28_Q20,2025,朝阳,二模,20,(1)(2),法律与生活,03_source_packets/S28_Q20.md,locked,pending,pending,可视门铃摄像头侵犯隐私权
S30_Q18,2025,西城,二模,18,none,法律与生活,03_source_packets/S30_Q18.md,locked,pending,pending,未成年人打赏 民法典157条
S31_Q19,2025,东城,期末,19,(1)(2)(3),综合(含法律与生活),03_source_packets/S31_Q19.md,locked,pending,pending,电动自行车充电；设问并列《法律与生活》和《政治与法治》；主观题未附标准答案
S32_Q19,2025,丰台,期末,19,none,法律与生活,03_source_packets/S32_Q19.md,locked,pending,pending,不能胜任调岗解除劳动合同；试卷仅等级量表
S33_Q20,2025,朝阳,期末,20,表格①②③④,法律与生活,03_source_packets/S33_Q20.md,locked,pending,pending,著作权/数据不正当竞争/旅游侵权；needs_review:设问无书名(答案'侵权责任过错责任');case3_result4_resolved_by_pptx
S34_Q21,2025,海淀,期中,21,(1),法律与生活,03_source_packets/S34_Q21.md,locked,pending,pending,离婚夫妻共同债务清偿；needs_review:设问'法治知识'；Q21(2)当代国际；页眉实为2024.11
S35_Q21,2025,海淀,期末,21,none,法律与生活,03_source_packets/S35_Q21.md,locked,pending,pending,竞业限制及其限制原因
S36_Q19,2025,西城,期末,19,none,法律与生活,03_source_packets/S36_Q19.md,locked,pending,pending,AI唤醒词反不正当竞争；needs_review:设问'法律知识'无书名
S37_Q18,2026,东城,一模,18,none,法律与生活,03_source_packets/S37_Q18.md,locked,pending,pending,司法守护向新力(知产/惩罚性赔偿/恶意诉讼)
S39_Q18,2026,延庆,一模,18,(1),法律与生活,03_source_packets/S39_Q18.md,locked,pending,pending,AI仿冒主持人侵权/诉讼请求；Q18(2)为逻辑与思维
S41_Q18,2026,朝阳,一模,18,none,法律与生活,03_source_packets/S41_Q18.md,locked,pending,pending,司法守护向新力(与S37同源题干)；含【答案】【详解】
S43_Q18,2026,石景山,一模,18,表格①②③,综合(含法律与生活),03_source_packets/S43_Q18.md,locked,pending,pending,"举证责任分配 刑事/行政/民事；案例三民事侵权属选必二；needs_review:跨模块,本组校正后纳入"
S44_Q17,2026,西城,一模,17,none,法律与生活,03_source_packets/S44_Q17.md,locked,pending,pending,民法典物权编推动绿色发展；设问'运用法律相关知识'(豁免)；docx无答案
S46_Q18,2026,门头沟,一模,18,(1),法律与生活,03_source_packets/S46_Q18.md,locked,pending,pending,环境民事公益诉讼调解；Q18(2)为逻辑与思维；试卷未附答案
S47_Q18,2026,顺义,一模,18,none,法律与生活,03_source_packets/S47_Q18.md,locked,pending,pending,就业性别歧视+竞业限制；试卷未附答案
S48_Q19,2026,东城,二模,19,none,法律与生活,03_source_packets/S48_Q19.md,locked,pending,pending,商业诋毁+合同违约+劳动者赔偿；同套细则:东城二模19题阅卷细则.pdf
S49_Q17,2026,丰台,二模,17,none,综合(含法律与生活),03_source_packets/S49_Q17.md,locked,pending,pending,饲养动物侵权 民法典1245+调解；设问'综合运用法治知识'；needs_review
S51_Q18,2026,朝阳,二模,18,none,法律与生活,03_source_packets/S51_Q18.md,locked,pending,pending,高空抛坠物人格权/举证倒置/相邻关系；教师版内嵌阅卷细则
S52_Q18,2026,海淀,二模,18,(2),综合(含法律与生活),03_source_packets/S52_Q18.md,locked,pending,pending,知识产权出质/作价出资/职务发明奖酬；目标(2)，Q18(1)为逻辑与思维
S53_Q19,2026,石景山,二模,19,none,法律与生活,03_source_packets/S53_Q19.md,locked,pending,pending,校园欺凌惩教并行(治安管理处罚法+民法典)
S54_Q18,2026,西城,二模,18,(1)(2)(3)(4),综合(含法律与生活),03_source_packets/S54_Q18.md,locked,pending,pending,生成式AI幻觉侵权；目标(1)凭《民法典》依据；needs_review；(4)为逻辑与思维
S56_Q18,2026,东城,期末,18,(1),法律与生活,03_source_packets/S56_Q18.md,locked,pending,pending,无人机买卖合同违约+产品瑕疵侵权；目标(1)
S58_NOTFOUND,2026,朝阳,期中,-,-,no_xuanbier_legal_question,03_source_packets/S58_NOTFOUND.md,n/a,n/a,n/a,期中无选必二；6题为经社/当代国际/哲学/哲学与文化/逻辑与思维
S60_NOTFOUND,2026,海淀,期中,-,-,no_xuanbier_legal_question,03_source_packets/S60_NOTFOUND.md,n/a,n/a,n/a,期中无选必二；Q20检察公益诉讼属政治与法治；无细则仅期中讲评
