question_id,suite_id,year_district_stage,target_qno,module_decision,rubric_source_path,rubric_format,evidence_type,rubric_extract_method,rubric_status,notes
S01_Q19,S01,2024/东城/一模,19,法律与生活,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/细则.pptx,pptx,formal_rubric,ocr_render,locked,诉讼时效及其不适用情形；扫描OCR；含《法律与生活》书名；试卷未附答案
S02_Q19,S02,2024/朝阳/一模,19,法律与生活,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/补充材料/细则.docx,docx,formal_rubric,textutil,locked,诚信原则促进市场经济；试卷未附答案
S03_Q17,S03,2024/朝阳/二模,17,法律与生活,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/补充材料/细则.docx,docx,formal_rubric,textutil,locked,平台用工劳动关系认定与仲裁；needs_review:设问无《法律与生活》书名
S04_NOTFOUND,S04,//,n/a,no_xuanbier_legal_question,n/a,n/a,n/a,n/a,n/a,
S05_Q19,S05,2024/海淀/一模,19,法律与生活,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx,docx,formal_rubric,textutil,locked,虚拟数字人侵权；试卷未附答案
S06_NOTFOUND,S06,//,n/a,no_xuanbier_legal_question,n/a,n/a,n/a,n/a,n/a,
S07_Q19,S07,2024/东城/二模,19(1)(2),法律与生活,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/19题/19（1）.docx ; /Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/19题/19（2）.docx,mixed(doc+docx),formal_rubric,textutil,locked,买卖/仓储合同纠纷·撰写民事起诉状；扫描OCR；needs_review:设问无书名(同卷Q18政法)；试卷未附答案
S08_Q17,S08,2024/丰台/一模,17,法律与生活,/Users/wanglifei/Desktop/2024模拟题/丰台一模/细则/细则.docx,docx,formal_rubric,textutil,locked,好意同乘减责；第二部分图片版OCR抽取
S09_Q17,S09,2024/丰台/二模,17,法律与生活,/Users/wanglifei/Desktop/2024模拟题/丰台二模/细则/细则.docx,docx,formal_rubric,textutil,locked,民法典绿色原则与环境侵权；扫描OCR；含《法律与生活》书名；试卷未附答案
S10_Q19,S10,2024/海淀/二模,19,法律与生活,/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx,docx,formal_rubric,textutil,locked,遗赠扶养协议纠纷
S11_Q17,S11,2024/石景山/一模,17,法律与生活,/Users/wanglifei/Desktop/2024模拟题/石景山一模/细则/细则.pptx,pptx,formal_rubric,ocr_render,locked,碳排放权交易合同/民法基本原则；inline参考答案；needs_review:设问未写《法律与生活》全称
S12_Q18,S12,2024/西城/一模,18(1)(2)(3),法律与生活,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/细则.docx,docx,formal_rubric,textutil,locked,赡养纠纷模拟庭审；needs_review:设问'运用法治知识'
S13_Q16,S13,2024/西城/二模,16,法律与生活,/Users/wanglifei/Desktop/2024模拟题/西城二模/细则/细则.docx,docx,formal_rubric,textutil,locked,食品安全惩罚性赔偿
S14_NOTFOUND,S14,//,n/a,no_xuanbier_legal_question,n/a,n/a,n/a,n/a,n/a,
S15_Q19,S15,2025/东城/一模,19表格①②③,法律与生活,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/细则/细则.pdf,pdf,formal_rubric,fitz_text,locked,装修合同/劳动仲裁/遗产管理；inline yes；needs_review:设问无书名(同卷Q17为法治知识)
S16_Q19,S16,2025/丰台/一模,19,法律与生活,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/细则/细则.docx,docx,formal_rubric,textutil,locked,技术秘密侵权/惩罚性赔偿；括注'法治相关知识'；needs_review;score_conflict:原题页未印分值;试卷参考答案8分;正式细则6分
S17_Q19,S17,2025/延庆/一模,19,法律与生活,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/细则/细则.docx,docx,formal_rubric,textutil,locked,网购'仅退款'调解；inline注'原试题无答案仅供参考'
S18_Q19,S18,2025/房山/一模,19,法律与生活,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025房山一模/细则/细则.pdf,pdf,formal_rubric,fitz_text,locked,技术秘密侵权法治价值；needs_review:设问无书名(IP民事);score_verified:原题页未印分值;正式细则8分
S19_Q19,S19,2025/朝阳/一模,19,法律与生活,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025朝阳一模/细则/补充材料/20250329高3阅卷总结19题 合同欺诈  阐释论证.doc,doc,formal_rubric,textutil,locked,消法§55三倍赔偿；细则已定位:阅卷总结19题.doc(待STEP_03锁定)
S20_Q18,S20,2025/海淀/一模,18,法律与生活,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025海淀一模/细则/细则.docx,docx,formal_rubric,ocr_render,locked,主题乐园年卡格式条款；同卷Q19为政治与法治
S21_Q20,S21,2025/石景山/一模,20表格①②,法律与生活,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/细则/细则.doc,doc,formal_rubric,textutil,locked,研发委托合同/软件不正当竞争；needs_review:设问无书名
S22_Q20,S22,2025/西城/一模,20,综合(含法律与生活),/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025西城一模/细则/细则.docx,docx,formal_rubric,textutil,locked,集体协商/集体合同；设问'综合运用经济和法律的知识'，法律部分为劳动法
S23_Q20,S23,2025/门头沟/一模,20表格①②③,法律与生活,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/细则/细则.doc,doc,formal_rubric,textutil,locked,著作权侵权/劳动合同诚信；needs_review:设问无书名(同卷Q17政法)
S24_Q19,S24,2025/顺义/一模,19(1)(2),法律与生活,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025顺义一模/细则/细则.docx,docx,formal_rubric,textutil,locked,邻里纠纷调解/企业名称裁决；(2)括注法治知识；inline'仅供参考'
S25_Q19,S25,2025/东城/二模,19表格①②③④,法律与生活,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/细则/细则.pdf,pdf,formal_rubric,fitz_text,locked,未成年文身/名誉权/格式条款；needs_review:表栏'民法原则'+民事内容
S26_Q19,S26,2025/丰台/二模,19(2),法律与生活,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/19.(2).docx,docx,formal_rubric,textutil,locked,AI侵权司法建议；Q19(1)为逻辑与思维
S27_Q20,S27,2025/昌平/二模,20(1)(2),法律与生活,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/细则/细则.pptx,pptx,formal_rubric,pptx_text,locked,AI图片著作权+信用卡欠款
S28_Q20,S28,2025/朝阳/二模,20(1)(2),法律与生活,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025朝阳二模/细则/细则.docx,docx,formal_rubric,textutil,locked,可视门铃摄像头侵犯隐私权
S29_Q18,S29,2025/海淀/二模,18,法律与生活,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/细则/细则.docx,docx,formal_rubric,textutil,locked,模拟法庭·商标在先权利争议；扫描OCR；needs_review:设问'运用法治知识'无书名(同卷Q17政法)；试卷未附答案
S30_Q18,S30,2025/西城/二模,18,法律与生活,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025西城二模/细则/细则.docx,docx,formal_rubric,textutil,locked,未成年人打赏 民法典157条
S31_Q19,S31,2025/东城/期末,19(1)(2)(3),综合(含法律与生活),/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/细则/细则.pdf,pdf,formal_rubric,fitz_text,locked,电动自行车充电；设问并列《法律与生活》和《政治与法治》；主观题未附标准答案
S32_Q19,S32,2025/丰台/期末,19,法律与生活,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/细则/细则.pptx,pptx,formal_rubric,pptx_text,locked,不能胜任调岗解除劳动合同；试卷仅等级量表
