source_root,suite_label,suite_path,year,district,exam_stage,paper_file,canonical_rubric,canonical_rubric_score,rubric_candidate_count,file_count,needs_review
2024各区模拟题,其他材料,2024各区一模/2024东城一模/其他材料,2024,东城,一模,北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,,,0,1,yes
2024各区模拟题,细则,2024各区一模/2024东城一模/细则,2024,东城,一模,,2024东城一模细则.pptx,37,1,1,no
2024各区模拟题,试卷,2024各区一模/2024东城一模/试卷,2024,东城,一模,北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治试卷(1).pdf,,,0,1,yes
2024各区模拟题,细则,2024各区一模/2024丰台一模/细则,2024,丰台,一模,,2024丰台一模细则.docx,53,1,1,no
2024各区模拟题,试卷,2024各区一模/2024丰台一模/试卷,2024,丰台,一模,2024北京丰台高三一模政治试题及答案.pdf,,,0,2,yes
2024各区模拟题,其他材料,2024各区一模/2024朝阳一模/其他材料,2024,朝阳,一模,202404朝阳高三政治一模试卷讲评.pptx,202404朝阳高三政治质量检测一参考答案 上交版.docx,53,1,2,no
2024各区模拟题,细则,2024各区一模/2024朝阳一模/细则,2024,朝阳,一模,,2024朝阳一模细则.pptx,37,1,1,no
2024各区模拟题,试卷,2024各区一模/2024朝阳一模/试卷,2024,朝阳,一模,202404朝阳高三一模试题.pdf,,,0,1,yes
2024各区模拟题,其他材料,2024各区一模/2024海淀一模/其他材料,2024,海淀,一模,一模政治-答案.docx,,,0,1,yes
2024各区模拟题,细则,2024各区一模/2024海淀一模/细则,2024,海淀,一模,,2024海淀一模细则.docx,53,1,1,no
2024各区模拟题,试卷,2024各区一模/2024海淀一模/试卷,2024,海淀,一模,高三政治：一模试题.pdf,,,0,1,yes
2024各区模拟题,其他材料,2024各区一模/2024石景山一模/其他材料,2024,石景山,一模,,,,0,1,yes
2024各区模拟题,试卷,2024各区一模/2024石景山一模/试卷,2024,石景山,一模,2024北京石景山高三一模政治（教师版带答案）.docx,,,0,1,yes
2024各区模拟题,其他材料,2024各区一模/2024西城一模/其他材料,2024,西城,一模,2024.4高三统一测试思想政治答案.docx,~$24.4西城高三统一测试思想政治答案 阅卷细则（调整）.docx,58,1,3,no
2024各区模拟题,细则,2024各区一模/2024西城一模/细则,2024,西城,一模,,2024西城一模细则.docx,53,1,1,no
2024各区模拟题,试卷,2024各区一模/2024西城一模/试卷,2024,西城,一模,2024.4高三统一测试思想政治试卷.docx,,,0,1,yes
2024各区模拟题,其他材料,2024各区二模/2024东城二模/其他材料,2024,东城,二模,002北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治答案.pdf,,,0,1,yes
2024各区模拟题,16题,2024各区二模/2024东城二模/细则/2024东城二模细则/16题,2024,东城,二模,,16题评分细则.pptx,42,1,2,no
2024各区模拟题,17题,2024各区二模/2024东城二模/细则/2024东城二模细则/17题,2024,东城,二模,,,,0,2,yes
2024各区模拟题,18题,2024各区二模/2024东城二模/细则/2024东城二模细则/18题,2024,东城,二模,,,,0,2,yes
2024各区模拟题,19题,2024各区二模/2024东城二模/细则/2024东城二模细则/19题,2024,东城,二模,,,,0,2,yes
2024各区模拟题,21题,2024各区二模/2024东城二模/细则/2024东城二模细则/21题,2024,东城,二模,,,,0,3,yes
2024各区模拟题,试卷,2024各区二模/2024东城二模/试卷,2024,东城,二模,001北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治.pdf,,,0,1,yes
2024各区模拟题,细则,2024各区二模/2024丰台二模/细则,2024,丰台,二模,,2024丰台二模细则.docx,53,1,1,no
2024各区模拟题,试卷,2024各区二模/2024丰台二模/试卷,2024,丰台,二模,丰台高三二模政治试卷.pdf,,,0,1,yes
2024各区模拟题,其他材料,2024各区二模/2024朝阳二模/其他材料,2024,朝阳,二模,,004202405朝阳高三政治质量检测二参考答案（以PDF为准）.docx,53,1,1,no
2024各区模拟题,细则,2024各区二模/2024朝阳二模/细则,2024,朝阳,二模,,2024朝阳二模细则.pdf,53,1,1,no
2024各区模拟题,试卷,2024各区二模/2024朝阳二模/试卷,2024,朝阳,二模,003202405朝阳高三二模政治试题.pdf,,,0,1,yes
2024各区模拟题,其他材料,2024各区二模/2024海淀二模/其他材料,2024,海淀,二模,高三二模：政治答案(2).docx,,,0,1,yes
2024各区模拟题,细则,2024各区二模/2024海淀二模/细则,2024,海淀,二模,,2024海淀二模细则.docx,53,1,1,no
2024各区模拟题,试卷,2024各区二模/2024海淀二模/试卷,2024,海淀,二模,高三二模：政治试题（以PDF为准）(1).docx,,,0,2,yes
2024各区模拟题,其他材料,2024各区二模/2024西城二模/其他材料,2024,西城,二模,~$模拟测试思想政治试卷.docx,,,0,4,yes
2024各区模拟题,细则,2024各区二模/2024西城二模/细则,2024,西城,二模,,2024西城二模细则.docx,53,1,1,no
2024各区模拟题,试卷,2024各区二模/2024西城二模/试卷,2024,西城,二模,高三模拟测试思想政治试卷.docx,,,0,1,yes
2024各区模拟题,细则,2024各区二模/2024顺义思政二模/细则,2024,顺义,二模,,2024顺义思政二模细则.docx,53,1,1,no
2024各区模拟题,试卷,2024各区二模/2024顺义思政二模/试卷,2024,顺义,二模,,,,0,1,yes
2024各区模拟题,其他材料,2024各区期中/2024朝阳期中/其他材料,2024,朝阳,期中,,2024.11期中政治朝阳评标2.docx,53,2,2,no
2024各区模拟题,细则,2024各区期中/2024朝阳期中/细则,2024,朝阳,期中,,2024朝阳期中细则.rtf,40,1,1,no
2024各区模拟题,试卷,2024各区期中/2024朝阳期中/试卷,2024,朝阳,期中,202411朝阳高三政治 期中1试题(1).pdf,,,0,2,yes
2024各区模拟题,细则,2024各区期中/2024海淀期中/细则,2024,海淀,期中,,2024海淀期中细则.pdf,53,1,1,no
2024各区模拟题,试卷,2024各区期中/2024海淀期中/试卷,2024,海淀,期中,海淀区2024～2025学年第一学期期中练习政治试题.pdf,,,0,1,yes
2024各区模拟题,202404各区一模试题分类（按模块）,其他材料/202404各区一模试题分类（按模块）,2024,,一模,,,,0,7,yes
2025各区模拟题,细则,2025各区一模/2025东城一模/细则,2025,东城,一模,,2025东城一模细则.pdf,53,1,1,no
2025各区模拟题,试卷,2025各区一模/2025东城一模/试卷,2025,东城,一模,2025北京东城高三一模政治（教师版）.pdf,,,0,1,yes
2025各区模拟题,细则,2025各区一模/2025丰台一模/细则,2025,丰台,一模,,2025丰台一模细则.docx,53,1,1,no
2025各区模拟题,试卷,2025各区一模/2025丰台一模/试卷,2025,丰台,一模,2025北京丰台高三一模政治（教师版）.pdf,,,0,1,yes
2025各区模拟题,细则,2025各区一模/2025延庆一模/细则,2025,延庆,一模,,2025延庆一模细则.docx,53,1,1,no
2025各区模拟题,试卷,2025各区一模/2025延庆一模/试卷,2025,延庆,一模,2025北京延庆高三一模政治（教师版）.pdf,,,0,1,yes
2025各区模拟题,细则,2025各区一模/2025房山一模/细则,2025,房山,一模,,2025房山一模细则.pdf,53,1,1,no
2025各区模拟题,试卷,2025各区一模/2025房山一模/试卷,2025,房山,一模,2025北京房山高三一模政治（教师版）.pdf,,,0,1,yes
2025各区模拟题,其他材料,2025各区一模/2025朝阳一模/其他材料,2025,朝阳,一模,高三政治一模试卷讲评.pptx,,,0,4,yes
2025各区模拟题,细则,2025各区一模/2025朝阳一模/细则,2025,朝阳,一模,,2025朝阳一模细则.pdf,53,1,1,no
2025各区模拟题,试卷,2025各区一模/2025朝阳一模/试卷,2025,朝阳,一模,2025北京朝阳高三一模政治（教师版）.pdf,,,0,1,yes
2025各区模拟题,其他材料,2025各区一模/2025海淀一模/其他材料,2025,海淀,一模,,,,0,1,yes
2025各区模拟题,细则,2025各区一模/2025海淀一模/细则,2025,海淀,一模,,2025海淀一模细则.docx,53,1,1,no
2025各区模拟题,试卷,2025各区一模/2025海淀一模/试卷,2025,海淀,一模,2025北京海淀高三一模政治（教师版）.pdf,,,0,1,yes
2025各区模拟题,细则,2025各区一模/2025石景山一模/细则,2025,石景山,一模,,2025石景山一模细则.doc,53,1,1,no
2025各区模拟题,试卷,2025各区一模/2025石景山一模/试卷,2025,石景山,一模,2025北京石景山高三一模政治（教师版）.pdf,,,0,1,yes
2025各区模拟题,细则,2025各区一模/2025西城一模/细则,2025,西城,一模,,2025西城一模细则.docx,53,1,1,no
2025各区模拟题,试卷,2025各区一模/2025西城一模/试卷,2025,西城,一模,2025北京西城高三一模政治（教师版）.pdf,,,0,1,yes
2025各区模拟题,细则,2025各区一模/2025门头沟一模/细则,2025,门头沟,一模,,2025门头沟一模细则.doc,53,1,1,no
2025各区模拟题,试卷,2025各区一模/2025门头沟一模/试卷,2025,门头沟,一模,2025北京门头沟高三一模政治（教师版）.pdf,,,0,1,yes
2025各区模拟题,细则,2025各区一模/2025顺义一模/细则,2025,顺义,一模,,2025顺义一模细则.docx,53,1,1,no
2025各区模拟题,试卷,2025各区一模/2025顺义一模/试卷,2025,顺义,一模,2025北京顺义高三一模政治（教师版）.pdf,,,0,1,yes
2025各区模拟题,细则,2025各区二模/2025东城二模/细则,2025,东城,二模,,2025东城二模细则.pdf,53,1,1,no
2025各区模拟题,试卷,2025各区二模/2025东城二模/试卷,2025,东城,二模,2025北京东城高三二模政治（教师版）.pdf,,,0,1,yes
2025各区模拟题,2025丰台二模评标细则,2025各区二模/2025丰台二模/细则/2025丰台二模细则/2025丰台二模评标细则,2025,丰台,二模,,,,0,8,yes
2025各区模拟题,试卷,2025各区二模/2025丰台二模/试卷,2025,丰台,二模,2025北京丰台高三二模政治（教师版）.pdf,,,0,1,yes
2025各区模拟题,细则,2025各区二模/2025昌平二模/细则,2025,昌平,二模,,2025昌平二模细则.pptx,37,1,1,no
2025各区模拟题,试卷,2025各区二模/2025昌平二模/试卷,2025,昌平,二模,2025北京昌平高三二模政治（教师版）.pdf,,,0,1,yes
2025各区模拟题,其他材料,2025各区二模/2025朝阳二模/其他材料,2025,朝阳,二模,,,,0,1,yes
2025各区模拟题,细则,2025各区二模/2025朝阳二模/细则,2025,朝阳,二模,,2025朝阳二模细则.docx,53,1,1,no
2025各区模拟题,试卷,2025各区二模/2025朝阳二模/试卷,2025,朝阳,二模,2025北京朝阳高三二模政治（教师版）.pdf,,,0,1,yes
2025各区模拟题,其他材料,2025各区二模/2025海淀二模/其他材料,2025,海淀,二模,,2025年海淀二模评标实录.docx,25,1,2,no
