suite_id,source_count,paper_sources,rubric_sources,marking_report_sources,reference_answer_sources,ready_sources,excluded_sources,matrix_rows
2024_unknown_district_unknown_stage,2,2,0,0,0,2,0,1
2024_unknown_district_一模,7,0,0,0,0,7,0,1
2024_东城_一模,3,1,2,0,0,3,0,23
2024_东城_二模,13,1,12,0,0,13,0,22
2024_丰台_一模,3,1,1,0,1,3,0,21
2024_丰台_二模,2,1,1,0,0,2,0,24
2024_朝阳_一模,3,1,2,0,0,3,0,21
2024_朝阳_二模,3,1,2,0,0,3,0,21
2024_朝阳_期中,3,1,2,0,0,3,0,22
2024_海淀_一模,3,1,2,0,0,3,0,22
2024_海淀_二模,4,2,2,0,0,4,0,22
2024_海淀_期中,2,1,1,0,0,2,0,22
2024_石景山_一模,2,1,1,0,0,2,0,24
2024_西城_一模,3,1,2,0,0,3,0,19
2024_西城_二模,5,1,2,2,0,5,0,19
2024_顺义_二模,2,1,1,0,0,2,0,23
2025_东城_一模,2,1,1,0,0,2,0,22
2025_东城_二模,2,1,1,0,0,2,0,23
2025_东城_期末,3,1,2,0,0,3,0,26
2025_丰台_一模,2,1,1,0,0,2,0,22
2025_丰台_二模,9,1,8,0,0,9,0,21
2025_丰台_期末,2,1,1,0,0,2,0,23
2025_延庆_一模,2,1,1,0,0,2,0,23
2025_房山_一模,2,1,1,0,0,2,0,22
2025_昌平_二模,2,1,1,0,0,2,0,21
2025_朝阳_一模,6,1,4,1,0,6,0,23
2025_朝阳_二模,3,2,1,0,0,3,0,21
2025_朝阳_期末,3,2,1,0,0,3,0,21
2025_海淀_一模,3,2,1,0,0,3,0,21
2025_海淀_二模,4,1,2,1,0,4,0,22
2025_海淀_期中,2,1,1,0,0,2,0,24
2025_海淀_期末,2,1,1,0,0,2,0,28
2025_石景山_一模,2,1,1,0,0,2,0,22
2025_西城_一模,2,1,1,0,0,2,0,22
2025_西城_二模,2,1,1,0,0,2,0,22
2025_西城_期末,2,1,1,0,0,2,0,21
2025_门头沟_一模,2,1,1,0,0,2,0,22
2025_顺义_一模,2,1,1,0,0,2,0,23
2026_东城_一模,12,2,10,0,0,12,0,21
2026_东城_二模,8,1,7,0,0,8,0,23
2026_东城_期末,2,1,1,0,0,2,0,21
2026_丰台_一模,2,1,1,0,0,2,0,26
2026_丰台_二模,2,1,1,0,0,2,0,21
2026_丰台_期末,2,1,1,0,0,2,0,24
2026_延庆_一模,2,1,1,0,0,2,0,23
2026_房山_一模,2,1,1,0,0,2,0,23
2026_房山_二模,2,1,1,0,0,2,0,6
2026_朝阳_一模,2,1,1,0,0,2,0,24
2026_朝阳_二模,2,1,1,0,0,2,0,22
2026_朝阳_期中,2,1,1,0,0,2,0,22
2026_朝阳_期末,2,1,1,0,0,2,0,28
2026_海淀_一模,2,1,1,0,0,2,0,22
2026_海淀_二模,2,1,1,0,0,2,0,22
2026_海淀_期中,2,1,0,1,0,2,0,21
2026_海淀_期末,2,1,1,0,0,2,0,28
2026_石景山_一模,2,1,1,0,0,2,0,21
2026_石景山_二模,2,1,1,0,0,2,0,23
2026_石景山_期末,1,1,0,0,0,0,1,1
2026_西城_一模,3,2,1,0,0,3,0,21
2026_西城_二模,2,1,1,0,0,2,0,20
2026_西城_期末,3,0,3,0,0,3,0,22
2026_通州_一模,2,1,1,0,0,2,0,22
2026_通州_期末,2,1,1,0,0,2,0,21
2026_门头沟_一模,2,1,1,0,0,2,0,21
2026_顺义_一模,2,1,1,0,0,2,0,21
2026_顺义_二模,2,1,1,0,0,2,0,21
