question_id,node_names,sentence_id,sentence,source_rubric_atom_ids,use_condition
CC0002_2024_丰台_一模_17,分关系·定责任 + 推价值,CC0002_2024_丰台_一模_17_S01,法理依据：法院判决应以事实为依据，以法律为准绳，为必踩点,R_CC0002_2024_丰台_一模_17_M17_01|R_CC0002_2024_丰台_一模_17_M17_02|R_CC0002_2024_丰台_一模_17_M17_03|R_CC0002_2024_丰台_一模_17_M17_04|R_CC0002_2024_丰台_一模_17_M17_05|R_CC0002_2024_丰台_一模_17_M17_06,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。
CC0002_2024_丰台_一模_17,分关系·定责任 + 推价值,CC0002_2024_丰台_一模_17_S02,法理依据：双方形成好意同乘，需明确权利义务,R_CC0002_2024_丰台_一模_17_M17_01|R_CC0002_2024_丰台_一模_17_M17_02|R_CC0002_2024_丰台_一模_17_M17_03|R_CC0002_2024_丰台_一模_17_M17_04|R_CC0002_2024_丰台_一模_17_M17_05|R_CC0002_2024_丰台_一模_17_M17_06,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。
CC0002_2024_丰台_一模_17,分关系·定责任 + 推价值,CC0002_2024_丰台_一模_17_S03,涉及侵权责任一般规定，,R_CC0002_2024_丰台_一模_17_M17_01|R_CC0002_2024_丰台_一模_17_M17_02|R_CC0002_2024_丰台_一模_17_M17_03|R_CC0002_2024_丰台_一模_17_M17_04|R_CC0002_2024_丰台_一模_17_M17_05|R_CC0002_2024_丰台_一模_17_M17_06,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。
CC0002_2024_丰台_一模_17,分关系·定责任 + 推价值,CC0002_2024_丰台_一模_17_S04,法理依据：结合好意同乘事故减轻赔偿责任的条件和案件事实进行说明，,R_CC0002_2024_丰台_一模_17_M17_01|R_CC0002_2024_丰台_一模_17_M17_02|R_CC0002_2024_丰台_一模_17_M17_03|R_CC0002_2024_丰台_一模_17_M17_04|R_CC0002_2024_丰台_一模_17_M17_05|R_CC0002_2024_丰台_一模_17_M17_06,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。
CC0002_2024_丰台_一模_17,分关系·定责任 + 推价值,CC0002_2024_丰台_一模_17_S05,现实意义：维护双方合法权益，,R_CC0002_2024_丰台_一模_17_M17_01|R_CC0002_2024_丰台_一模_17_M17_02|R_CC0002_2024_丰台_一模_17_M17_03|R_CC0002_2024_丰台_一模_17_M17_04|R_CC0002_2024_丰台_一模_17_M17_05|R_CC0002_2024_丰台_一模_17_M17_06,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。
CC0002_2024_丰台_一模_17,分关系·定责任 + 推价值,CC0002_2024_丰台_一模_17_S06,现实意义：保障公正司法，,R_CC0002_2024_丰台_一模_17_M17_01|R_CC0002_2024_丰台_一模_17_M17_02|R_CC0002_2024_丰台_一模_17_M17_03|R_CC0002_2024_丰台_一模_17_M17_04|R_CC0002_2024_丰台_一模_17_M17_05|R_CC0002_2024_丰台_一模_17_M17_06,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。
CC0002_2024_丰台_一模_17,分关系·定责任 + 推价值,CC0002_2024_丰台_一模_17_S07,现实意义：弘扬社会主义核心价值观、促进社会和谐或绿色出行，,R_CC0002_2024_丰台_一模_17_M17_01|R_CC0002_2024_丰台_一模_17_M17_02|R_CC0002_2024_丰台_一模_17_M17_03|R_CC0002_2024_丰台_一模_17_M17_04|R_CC0002_2024_丰台_一模_17_M17_05|R_CC0002_2024_丰台_一模_17_M17_06,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。
CC0025_2024_朝阳_二模_17,分关系·定责任 + 排维权步骤 + 推价值,CC0025_2024_朝阳_二模_17_S01,17.结合材料，说明仲裁委员会作出上述裁决的理由，并分析该典型案例的意义,R_CC0025_2024_朝阳_二模_17_01|R_CC0025_2024_朝阳_二模_17_02|R_CC0025_2024_朝阳_二模_17_03|R_CC0025_2024_朝阳_二模_17_04|R_CC0025_2024_朝阳_二模_17_05|R_CC0025_2024_朝阳_二模_17_06|R_CC0025_2024_朝阳_二模_17_07|R_CC0025_2024_朝阳_二模_17_08|R_CC0025_2024_朝阳_二模_17_09|R_CC0025_2024_朝阳_二模_17_10|R_CC0025_2024_朝阳_二模_17_11|R_CC0025_2024_朝阳_二模_17_12,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。"
CC0025_2024_朝阳_二模_17,分关系·定责任 + 排维权步骤 + 推价值,CC0025_2024_朝阳_二模_17_S02,原答案：甲公司通过平台向王某派单，并依据制度对王某进行奖惩，具有较强的人格从属性,R_CC0025_2024_朝阳_二模_17_01|R_CC0025_2024_朝阳_二模_17_02|R_CC0025_2024_朝阳_二模_17_03|R_CC0025_2024_朝阳_二模_17_04|R_CC0025_2024_朝阳_二模_17_05|R_CC0025_2024_朝阳_二模_17_06|R_CC0025_2024_朝阳_二模_17_07|R_CC0025_2024_朝阳_二模_17_08|R_CC0025_2024_朝阳_二模_17_09|R_CC0025_2024_朝阳_二模_17_10|R_CC0025_2024_朝阳_二模_17_11|R_CC0025_2024_朝阳_二模_17_12,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。"
CC0025_2024_朝阳_二模_17,分关系·定责任 + 排维权步骤 + 推价值,CC0025_2024_朝阳_二模_17_S03,甲公司占有王某提供货物运输服务所需的数据信息，单方制定服务费用结算标准，具有明显,R_CC0025_2024_朝阳_二模_17_01|R_CC0025_2024_朝阳_二模_17_02|R_CC0025_2024_朝阳_二模_17_03|R_CC0025_2024_朝阳_二模_17_04|R_CC0025_2024_朝阳_二模_17_05|R_CC0025_2024_朝阳_二模_17_06|R_CC0025_2024_朝阳_二模_17_07|R_CC0025_2024_朝阳_二模_17_08|R_CC0025_2024_朝阳_二模_17_09|R_CC0025_2024_朝阳_二模_17_10|R_CC0025_2024_朝阳_二模_17_11|R_CC0025_2024_朝阳_二模_17_12,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。"
CC0025_2024_朝阳_二模_17,分关系·定责任 + 排维权步骤 + 推价值,CC0025_2024_朝阳_二模_17_S04,王某从事的货物运输服务属于甲公司业务的组成部分，具有较强的组织从属,R_CC0025_2024_朝阳_二模_17_01|R_CC0025_2024_朝阳_二模_17_02|R_CC0025_2024_朝阳_二模_17_03|R_CC0025_2024_朝阳_二模_17_04|R_CC0025_2024_朝阳_二模_17_05|R_CC0025_2024_朝阳_二模_17_06|R_CC0025_2024_朝阳_二模_17_07|R_CC0025_2024_朝阳_二模_17_08|R_CC0025_2024_朝阳_二模_17_09|R_CC0025_2024_朝阳_二模_17_10|R_CC0025_2024_朝阳_二模_17_11|R_CC0025_2024_朝阳_二模_17_12,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。"
CC0025_2024_朝阳_二模_17,分关系·定责任 + 排维权步骤 + 推价值,CC0025_2024_朝阳_二模_17_S05,所以，双方之间存在事实上的劳动关系，对王某的仲裁请求应当予以支持,R_CC0025_2024_朝阳_二模_17_01|R_CC0025_2024_朝阳_二模_17_02|R_CC0025_2024_朝阳_二模_17_03|R_CC0025_2024_朝阳_二模_17_04|R_CC0025_2024_朝阳_二模_17_05|R_CC0025_2024_朝阳_二模_17_06|R_CC0025_2024_朝阳_二模_17_07|R_CC0025_2024_朝阳_二模_17_08|R_CC0025_2024_朝阳_二模_17_09|R_CC0025_2024_朝阳_二模_17_10|R_CC0025_2024_朝阳_二模_17_11|R_CC0025_2024_朝阳_二模_17_12,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。"
CC0025_2024_朝阳_二模_17,分关系·定责任 + 排维权步骤 + 推价值,CC0025_2024_朝阳_二模_17_S06,该案例有利于指导各地仲裁机构、人民法院适应平台经济发展带来的新情况、新问题，,R_CC0025_2024_朝阳_二模_17_01|R_CC0025_2024_朝阳_二模_17_02|R_CC0025_2024_朝阳_二模_17_03|R_CC0025_2024_朝阳_二模_17_04|R_CC0025_2024_朝阳_二模_17_05|R_CC0025_2024_朝阳_二模_17_06|R_CC0025_2024_朝阳_二模_17_07|R_CC0025_2024_朝阳_二模_17_08|R_CC0025_2024_朝阳_二模_17_09|R_CC0025_2024_朝阳_二模_17_10|R_CC0025_2024_朝阳_二模_17_11|R_CC0025_2024_朝阳_二模_17_12,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。"
CC0025_2024_朝阳_二模_17,分关系·定责任 + 排维权步骤 + 推价值,CC0025_2024_朝阳_二模_17_S07,提高以事实为依据、以法律为准绳进行公正裁决的能力,R_CC0025_2024_朝阳_二模_17_01|R_CC0025_2024_朝阳_二模_17_02|R_CC0025_2024_朝阳_二模_17_03|R_CC0025_2024_朝阳_二模_17_04|R_CC0025_2024_朝阳_二模_17_05|R_CC0025_2024_朝阳_二模_17_06|R_CC0025_2024_朝阳_二模_17_07|R_CC0025_2024_朝阳_二模_17_08|R_CC0025_2024_朝阳_二模_17_09|R_CC0025_2024_朝阳_二模_17_10|R_CC0025_2024_朝阳_二模_17_11|R_CC0025_2024_朝阳_二模_17_12,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。"
CC0025_2024_朝阳_二模_17,分关系·定责任 + 排维权步骤 + 推价值,CC0025_2024_朝阳_二模_17_S08,有利于保障新就业形态劳动者权益，,R_CC0025_2024_朝阳_二模_17_01|R_CC0025_2024_朝阳_二模_17_02|R_CC0025_2024_朝阳_二模_17_03|R_CC0025_2024_朝阳_二模_17_04|R_CC0025_2024_朝阳_二模_17_05|R_CC0025_2024_朝阳_二模_17_06|R_CC0025_2024_朝阳_二模_17_07|R_CC0025_2024_朝阳_二模_17_08|R_CC0025_2024_朝阳_二模_17_09|R_CC0025_2024_朝阳_二模_17_10|R_CC0025_2024_朝阳_二模_17_11|R_CC0025_2024_朝阳_二模_17_12,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。"
CC0045_2024_海淀_二模_19,分关系·定责任 + 推价值,CC0045_2024_海淀_二模_19_S01,在本案判决中，人民法院确认居委会提供的遗赠扶养协议，认定居委会的赡养行为，充分肯定居委会对老人养老送终所起的作用,R_CC0045_2024_海淀_二模_19_01,结合材料，运用《法律与生活》知识，分析本案判决的社会价值。
CC0045_2024_海淀_二模_19,分关系·定责任 + 推价值,CC0045_2024_海淀_二模_19_S02,本案判决不仅实现了个案上的公平正义，更倡导全社会积极助力养老，促进“不尽孝者少分或者不分遗产”的司法理念深入人心,R_CC0045_2024_海淀_二模_19_01,结合材料，运用《法律与生活》知识，分析本案判决的社会价值。
CC0045_2024_海淀_二模_19,分关系·定责任 + 推价值,CC0045_2024_海淀_二模_19_S03,判决有利于弘扬尊老、敬老、爱老、助老的中华传统美德，让崇尚和践行社会主义核心价值观成为人们的自觉行动和全体社会的良好风尚,R_CC0045_2024_海淀_二模_19_01,结合材料，运用《法律与生活》知识，分析本案判决的社会价值。
CC0054_2024_石景山_一模_17,分关系·定责任 + 推价值,CC0054_2024_石景山_一模_17_S01,甲公司参与比选并向乙公司报价，内容具体确定，属于要约,R_CC0054_2024_石景山_一模_17_M17_01|R_CC0054_2024_石景山_一模_17_M17_02|R_CC0054_2024_石景山_一模_17_M17_03|R_CC0054_2024_石景山_一模_17_M17_04|R_CC0054_2024_石景山_一模_17_M17_05|R_CC0054_2024_石景山_一模_17_M17_06,运用法律知识，结合案情，说明甲乙两公司合同成立的理由，并从民法基本原则角 度阐述该司法判决的意义。
CC0054_2024_石景山_一模_17,分关系·定责任 + 推价值,CC0054_2024_石景山_一模_17_S02,乙公司确认甲公司中标并送达中标通知，属于承诺,R_CC0054_2024_石景山_一模_17_M17_01|R_CC0054_2024_石景山_一模_17_M17_02|R_CC0054_2024_石景山_一模_17_M17_03|R_CC0054_2024_石景山_一模_17_M17_04|R_CC0054_2024_石景山_一模_17_M17_05|R_CC0054_2024_石景山_一模_17_M17_06,运用法律知识，结合案情，说明甲乙两公司合同成立的理由，并从民法基本原则角 度阐述该司法判决的意义。
CC0054_2024_石景山_一模_17,分关系·定责任 + 推价值,CC0054_2024_石景山_一模_17_S03,中标通知书送达甲公司，双方合同成立，合同成立部分共,R_CC0054_2024_石景山_一模_17_M17_01|R_CC0054_2024_石景山_一模_17_M17_02|R_CC0054_2024_石景山_一模_17_M17_03|R_CC0054_2024_石景山_一模_17_M17_04|R_CC0054_2024_石景山_一模_17_M17_05|R_CC0054_2024_石景山_一模_17_M17_06,运用法律知识，结合案情，说明甲乙两公司合同成立的理由，并从民法基本原则角 度阐述该司法判决的意义。
CC0054_2024_石景山_一模_17,分关系·定责任 + 推价值,CC0054_2024_石景山_一模_17_S04,法院判决引导碳排放配额交易主体遵循诚信原则、公平原则、绿色原则,R_CC0054_2024_石景山_一模_17_M17_01|R_CC0054_2024_石景山_一模_17_M17_02|R_CC0054_2024_石景山_一模_17_M17_03|R_CC0054_2024_石景山_一模_17_M17_04|R_CC0054_2024_石景山_一模_17_M17_05|R_CC0054_2024_石景山_一模_17_M17_06,运用法律知识，结合案情，说明甲乙两公司合同成立的理由，并从民法基本原则角 度阐述该司法判决的意义。
CC0054_2024_石景山_一模_17,分关系·定责任 + 推价值,CC0054_2024_石景山_一模_17_S05,判决有利于推动企业转型升级，兼顾经济效益和社会效益,R_CC0054_2024_石景山_一模_17_M17_01|R_CC0054_2024_石景山_一模_17_M17_02|R_CC0054_2024_石景山_一模_17_M17_03|R_CC0054_2024_石景山_一模_17_M17_04|R_CC0054_2024_石景山_一模_17_M17_05|R_CC0054_2024_石景山_一模_17_M17_06,运用法律知识，结合案情，说明甲乙两公司合同成立的理由，并从民法基本原则角 度阐述该司法判决的意义。
CC0054_2024_石景山_一模_17,分关系·定责任 + 推价值,CC0054_2024_石景山_一模_17_S06,判决有利于维护碳排放权交易市场正常秩序、推动要素市场化改革、落实双碳决策,R_CC0054_2024_石景山_一模_17_M17_01|R_CC0054_2024_石景山_一模_17_M17_02|R_CC0054_2024_石景山_一模_17_M17_03|R_CC0054_2024_石景山_一模_17_M17_04|R_CC0054_2024_石景山_一模_17_M17_05|R_CC0054_2024_石景山_一模_17_M17_06,运用法律知识，结合案情，说明甲乙两公司合同成立的理由，并从民法基本原则角 度阐述该司法判决的意义。
