canonical_node,source_suite,question_no,inserted_heading
价值观的导向作用,2026东城二模,Q16,24. 2026东城二模 第16题（主观题）
价值观的导向作用,2026朝阳二模,Q16,25. 2026朝阳二模 第16题（主观题）
价值观的导向作用,2026丰台二模,Q16,26. 2026丰台二模 第16题（主观题）
价值观的导向作用,2026顺义二模,Q16,27. 2026顺义二模 第16题（主观题）
人民群众,2026顺义二模,Q16,25. 2026顺义二模 第16题（主观题）
实践是认识的基础,2026东城二模,Q16,23. 2026东城二模 第16题（主观题）
实践是认识的基础,2026西城二模,Q16,24. 2026西城二模 第16题（主观题）
实践是认识的基础,2026顺义二模,Q16,25. 2026顺义二模 第16题（主观题）
实践与认识（总）,2026海淀二模,Q16,27. 2026海淀二模 第16题（主观题）
实践与认识（总）,2026石景山二模,Q17(3),28. 2026石景山二模 第17(3)题（主观题）
两点论与重点论,2026顺义二模,Q16,10. 2026顺义二模 第16题（主观题）
主要矛盾和次要矛盾,2025海淀一模,Q22,3. 2025海淀一模 第22题（主观题）
矛盾的普遍性和特殊性,2026西城二模,Q16,15. 2026西城二模 第16题（主观题）
矛盾的特殊性 / 具体问题具体分析,2026东城二模,Q16,24. 2026东城二模 第16题（主观题）
矛盾的特殊性 / 具体问题具体分析,2026朝阳二模,Q16,25. 2026朝阳二模 第16题（主观题）
矛盾的特殊性 / 具体问题具体分析,2026丰台二模,Q16,26. 2026丰台二模 第16题（主观题）
矛盾就是对立统一,2026朝阳二模,Q16,33. 2026朝阳二模 第16题（主观题）
矛盾就是对立统一,2026通州一模,Q18,34. 2026通州一模 第18题（主观题）
矛盾就是对立统一,2026石景山二模,Q17(3),35. 2026石景山二模 第17(3)题（主观题）
辩证否定 / 守正创新,2026东城二模,Q16,17. 2026东城二模 第16题（主观题）
辩证否定 / 守正创新,2026朝阳二模,Q16,18. 2026朝阳二模 第16题（主观题）
辩证否定 / 守正创新,2026通州一模,Q18,19. 2026通州一模 第18题（主观题）
辩证否定 / 守正创新,2026顺义二模,Q16,20. 2026顺义二模 第16题（主观题）
量变与质变 / 适度原则,2026朝阳二模,Q21,15. 2026朝阳二模 第21题（主观题）
量变与质变 / 适度原则,2026房山二模,Q16,16. 2026房山二模 第16题（主观题）
发展的观点 / 发展的普遍性,2026丰台二模,Q16,28. 2026丰台二模 第16题（主观题）
系统观念 / 系统优化,2026东城二模,Q16,19. 2026东城二模 第16题（主观题）
系统观念 / 系统优化,2026朝阳二模,Q21,20. 2026朝阳二模 第21题（主观题）
系统观念 / 系统优化,2026丰台二模,Q16,21. 2026丰台二模 第16题（主观题）
系统观念 / 系统优化,2026房山二模,Q16,22. 2026房山二模 第16题（主观题）
系统观念 / 系统优化,2025海淀一模,Q22,23. 2025海淀一模 第22题（主观题）
联系的普遍性 / 联系的观点（总）,2026海淀二模,Q16,29. 2026海淀二模 第16题（主观题）
联系的普遍性 / 联系的观点（总）,2026石景山二模,Q17(3),30. 2026石景山二模 第17(3)题（主观题）
尊重客观规律与发挥主观能动性相结合,2026丰台二模,Q16,19. 2026丰台二模 第16题（主观题）
尊重客观规律与发挥主观能动性相结合,2026房山二模,Q16,20. 2026房山二模 第16题（主观题）
物质决定意识,2026东城二模,Q16,6. 2026东城二模 第16题（主观题）
价值观的导向作用,2026朝阳二模,Q1,28. 2026朝阳二模 第1题（选择题）
实践是认识的基础,2026朝阳二模,Q3,26. 2026朝阳二模 第3题（选择题）
社会存在与社会意识,2026朝阳二模,Q3,12. 2026朝阳二模 第3题（选择题）
联系的多样性,2026朝阳二模,Q4,7. 2026朝阳二模 第4题（选择题）
系统观念 / 系统优化,2026朝阳二模,Q4,24. 2026朝阳二模 第4题（选择题）
系统观念 / 系统优化,2026石景山二模,Q1,25. 2026石景山二模 第1题（选择题）
矛盾就是对立统一,2026石景山二模,Q2,36. 2026石景山二模 第2题（选择题）
整体与部分,2026石景山二模,Q3,16. 2026石景山二模 第3题（选择题）
矛盾的特殊性 / 具体问题具体分析,2026石景山二模,Q3,27. 2026石景山二模 第3题（选择题）
实践是认识的基础,2026石景山二模,Q9,27. 2026石景山二模 第9题（选择题）
人民群众,2026石景山二模,Q9,26. 2026石景山二模 第9题（选择题）
