path,root,year,district,exam_type,role,suffix,size
/Users/wanglifei/Desktop/2024模拟题/北京2024各区《经济与社会》考题-wlfwlf.docx,/Users/wanglifei/Desktop/2024模拟题,2024,,,other,.docx,3158520
/Users/wanglifei/Desktop/2024模拟题/北京及2024各区《经济与社会》考题-wlf.pdf,/Users/wanglifei/Desktop/2024模拟题,2024,,,other,.pdf,2437451
/Users/wanglifei/Desktop/2024模拟题/丰台一模/细则/细则.docx,/Users/wanglifei/Desktop/2024模拟题,2024,丰台,一模,rubric,.docx,24557
/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题,2024,丰台,一模,paper,.pdf,4148690
/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/补充材料/2024北京丰台高三一模政治试题及答案.pdf,/Users/wanglifei/Desktop/2024模拟题,2024,丰台,一模,answer,.pdf,458340
/Users/wanglifei/Desktop/2024模拟题/石景山一模/细则/细则.pptx,/Users/wanglifei/Desktop/2024模拟题,2024,石景山,一模,rubric,.pptx,10536645
/Users/wanglifei/Desktop/2024模拟题/石景山一模/试卷/试卷.docx,/Users/wanglifei/Desktop/2024模拟题,2024,石景山,一模,paper,.docx,353125
/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf,/Users/wanglifei/Desktop/2024模拟题,2024,朝阳,二模,rubric,.pdf,558870
/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/补充材料/细则.docx,/Users/wanglifei/Desktop/2024模拟题,2024,朝阳,二模,rubric,.docx,28300
/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题,2024,朝阳,二模,paper,.pdf,686177
/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/细则.docx,/Users/wanglifei/Desktop/2024模拟题,2024,西城,一模,rubric,.docx,48086
/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/补充材料/2024.4高三统一测试思想政治答案.docx,/Users/wanglifei/Desktop/2024模拟题,2024,西城,一模,rubric,.docx,42156
/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx,/Users/wanglifei/Desktop/2024模拟题,2024,西城,一模,paper,.docx,2046293
/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx,/Users/wanglifei/Desktop/2024模拟题,2024,顺义,二模,rubric,.docx,32521
/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/试卷/试卷.docx,/Users/wanglifei/Desktop/2024模拟题,2024,顺义,二模,paper,.docx,13156426
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/补充材料/细则.pdf,/Users/wanglifei/Desktop/2024模拟题,2024,东城,二模,rubric,.pdf,3561061
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/18题/18（2）.docx,/Users/wanglifei/Desktop/2024模拟题,2024,东城,二模,rubric,.docx,1472682
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/18题/18(1).docx,/Users/wanglifei/Desktop/2024模拟题,2024,东城,二模,rubric,.docx,1488308
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/16题/16题评分细则.pptx,/Users/wanglifei/Desktop/2024模拟题,2024,东城,二模,rubric,.pptx,42333
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/16题/16题二模阅卷总结.docx,/Users/wanglifei/Desktop/2024模拟题,2024,东城,二模,rubric,.docx,1030669
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/21题/20小题二模阅卷总结.docx,/Users/wanglifei/Desktop/2024模拟题,2024,东城,二模,rubric,.docx,941301
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/21题/21.docx,/Users/wanglifei/Desktop/2024模拟题,2024,东城,二模,rubric,.docx,840466
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/21题/21题(1).pptx,/Users/wanglifei/Desktop/2024模拟题,2024,东城,二模,rubric,.pptx,1014166
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/17题/17(1).docx,/Users/wanglifei/Desktop/2024模拟题,2024,东城,二模,rubric,.docx,887638
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/17题/17-2.docx,/Users/wanglifei/Desktop/2024模拟题,2024,东城,二模,rubric,.docx,819612
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/19题/19（2）.docx,/Users/wanglifei/Desktop/2024模拟题,2024,东城,二模,rubric,.docx,20052
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/19题/19（1）.docx,/Users/wanglifei/Desktop/2024模拟题,2024,东城,二模,rubric,.docx,1545984
/Users/wanglifei/Desktop/2024模拟题/东城二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题,2024,东城,二模,paper,.pdf,18119420
/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修1.docx,/Users/wanglifei/Desktop/2024模拟题,2024,,一模,paper,.docx,568828
/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必1.docx,/Users/wanglifei/Desktop/2024模拟题,2024,,一模,paper,.docx,1940457
/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修2 .docx,/Users/wanglifei/Desktop/2024模拟题,2024,,一模,paper,.docx,1633889
/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必3.doc,/Users/wanglifei/Desktop/2024模拟题,2024,,一模,paper,.doc,674304
/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修4.docx,/Users/wanglifei/Desktop/2024模拟题,2024,,一模,paper,.docx,1517404
/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必2.docx,/Users/wanglifei/Desktop/2024模拟题,2024,,一模,paper,.docx,779706
/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修3.docx,/Users/wanglifei/Desktop/2024模拟题,2024,,一模,paper,.docx,366309
/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx,/Users/wanglifei/Desktop/2024模拟题,2024,海淀,一模,rubric,.docx,67046
/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/补充材料/一模政治-答案.docx,/Users/wanglifei/Desktop/2024模拟题,2024,海淀,一模,rubric,.docx,22184
/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题,2024,海淀,一模,paper,.pdf,658903
/Users/wanglifei/Desktop/2024模拟题/丰台二模/细则/细则.docx,/Users/wanglifei/Desktop/2024模拟题,2024,丰台,二模,rubric,.docx,58578
/Users/wanglifei/Desktop/2024模拟题/丰台二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题,2024,丰台,二模,paper,.pdf,10551122
/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/细则.docx,/Users/wanglifei/Desktop/2024模拟题,2024,朝阳,期中,rubric,.docx,29099
/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/补充材料/2024.11期中政治朝阳评标2.docx,/Users/wanglifei/Desktop/2024模拟题,2024,朝阳,期中,rubric,.docx,121373
/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题,2024,朝阳,期中,paper,.pdf,532797
/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/补充材料/202411朝阳高三政治 期中1试题(1).pdf,/Users/wanglifei/Desktop/2024模拟题,2024,朝阳,期中,paper,.pdf,532797
/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/细则.pptx,/Users/wanglifei/Desktop/2024模拟题,2024,朝阳,一模,rubric,.pptx,7699972
/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/补充材料/细则.docx,/Users/wanglifei/Desktop/2024模拟题,2024,朝阳,一模,rubric,.docx,29215
/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题,2024,朝阳,一模,paper,.pdf,1324697
/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/其他材料/202404朝阳高三政治一模试卷讲评.pptx,/Users/wanglifei/Desktop/2024模拟题,2024,朝阳,一模,paper,.pptx,7699972
/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx,/Users/wanglifei/Desktop/2024模拟题,2024,海淀,二模,rubric,.docx,535443
/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/补充材料/高三二模：政治答案(2).docx,/Users/wanglifei/Desktop/2024模拟题,2024,海淀,二模,rubric,.docx,22380
/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题,2024,海淀,二模,paper,.pdf,513944
/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/补充材料/高三二模：政治试题（以PDF为准）(1).docx,/Users/wanglifei/Desktop/2024模拟题,2024,海淀,二模,paper,.docx,253229
/Users/wanglifei/Desktop/2024模拟题/2024海淀期中/细则/细则.pdf,/Users/wanglifei/Desktop/2024模拟题,2024,海淀,期中,rubric,.pdf,5808964
/Users/wanglifei/Desktop/2024模拟题/2024海淀期中/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题,2024,海淀,期中,paper,.pdf,4988708
/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/细则.pptx,/Users/wanglifei/Desktop/2024模拟题,2024,东城,一模,rubric,.pptx,18611296
/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,/Users/wanglifei/Desktop/2024模拟题,2024,东城,一模,rubric,.pdf,2611809
