h2,title,label,hits,bad_candidates,text
追求认识的客观性,1. 2026顺义一模 第19题第（2）问（主观题）,为什么能想到,科学思维、客观性、想象,想象,【为什么能想到】 科学思维要求认识与对象一致。题目问“如何体现科学思维特征”，材料呈现研发团队进入真实养老场景、面对老人居家照护的真实困难，说明产品功能被真实对象和真实需求约束，而不是从概念想象中推出，所以触发客观性。
追求认识的客观性,1. 2026顺义一模 第19题第（2）问（主观题）,答案落点,科学思维、客观性、想象,想象,【答案落点】 该企业把社区、养老院蹲点观察到的老人真实照护需求作为研发依据，围绕服务对象的行动能力、照护痛点和生活场景设计产品，使机器人功能与养老服务的客观情况相一致，而不是凭主观想象确定研发方向，体现科学思维追求认识客观性。
追求认识的客观性,2. 2026顺义二模 第18题第（1）问（主观题）,为什么能想到,科学思维、客观性、矛盾、矛盾律,矛盾、矛盾律,【为什么能想到】 材料中有两组可圈出的信号：一组是企业前后说法在同一事故原因上发生冲突，能引出矛盾律和一致性要求；另一组是企业先推给前车突然变道，后来又承认系统感知延迟，说明它没有如实揭示系统缺陷。评价结论二时，关键就落在科学思维客观性：认识应从实际出发，如实反映客观对象。
追求认识的客观性,4. 2024海淀二模 第17题第（1）问（主观题）,为什么能想到,科学思维、客观性、想象,想象,【为什么能想到】 科学思维首先要看认识是否尊重客观实际。材料反复强调“全面、真实、准确了解”，说明这次调查不是凭经验想象居民生活，也不是为了证明预设结论，而是通过真实数据和真实活动把居民时间利用状况呈现出来，所以应落在追求认识客观性上。
追求认识的客观性,6. 2025石景山一模 第19题（主观题）,答案落点,科学思维、客观性、想象,想象,【答案落点】 获奖同学坚持科学思维追求认识客观性，从真实社会问题出发，通过文献查阅、问卷调研、访谈和实验数据了解情况，使公共建议建立在事实、资料和证据之上，而不是停留在热情表达或主观想象。
结果具有预见性,5. 2024丰台二模 第18题第（2）问（主观题）,答案落点,科学思维、预见性、综合,综合,【答案落点】 准确预测冰雪经济发展前景，有助于依据政策、市场增长和交流平台等信号把握产业趋势，体现科学思维结果具有预见性；但预测不是推动高质量发展的充分条件，还要针对场地布局、产业链、标准、人才和核心技术等短板综合施策。
结果具有可检验性,5. 2026海淀一模 第17题第（2）问（主观题）,为什么能想到,可检验性、想象,想象,【为什么能想到】 可检验性看的是建议能否回到实践中验证。材料暴露出原调研方案和真实无障碍使用情况之间有距离，说明改进不能凭主观想象定稿，而要让修改后的问题设置、样本选择和资料来源接受实际调查效果检验。看到“具体可行的改进建议”，就要想到建议既要从事实出发，也要能被真实调研过程验证。
整体性,4. 2026房山一模 第18题第（1）问（主观题）,为什么能想到,矛盾,矛盾,【为什么能想到】 材料把“常态蓝天”写成系统治理、精准施策、久久为功三组治理动作。产业、能源、交通、用地四大结构一起调，多污染物协同控制，这不是单点治理，而是把相关要素放在联系中整体把握；重点区域、重点行业、重点时段分区分类、一企一策，说明治理还要在整体中分清不同矛盾；从雾霾困扰到常态蓝天靠持续治理，说明整体治理要随着过程推进不断巩固。
矛盾分析法,1. 2026朝阳期中(2025-11) 第20题（主观题）,为什么能想到,分析、矛盾,分析,【为什么能想到】 材料把“机遇”放在新征程背景中，不是让你单向乐观，而是要求同时看见机遇与挑战的对立统一。科技革命、产业基础、外部压力和内部短板共同说明，机遇是在矛盾双方及其转化条件中展开的；只有把推动力量和制约因素一起分析，才能判断新征程中的发展动力。
矛盾分析法,1. 2026朝阳期中(2025-11) 第20题（主观题）,答案落点,分析、矛盾分析法、矛盾,分析,【答案落点】 面对机遇，要坚持矛盾分析法，既看到有利条件，也看到风险挑战，分析机遇和挑战相互联系、相互转化的条件；通过主动作为把有利条件转化为发展优势，把压力和短板转化为改革创新的动力。
