order,question_id,visible_title,question_type_group,has_complete_options,has_subjective_trap,has_subjective_action,has_subjective_tongleiti,has_choice_label_correct,has_choice_label_trap,meets_recheck_requirement,note
1,Q-2025海淀二模-20,2025 海淀二模第20题,主观题,,是,是,是,,,是,
2,Q-2025海淀期末-17-1,2025 海淀期末第17题第(1)问,主观题,,是,是,是,,,是,
3,Q-2025海淀期末-18,2025 海淀期末第18题,主观题,,是,是,是,,,是,
4,Q-2024海淀二模-17-1,2024 海淀二模第17题第(1)问,主观题,,是,是,是,,,是,
5,Q-2024海淀二模-17-2,2024 海淀二模第17题第(2)问,主观题,,是,是,是,,,是,
6,Q-2025西城二模-16-2,2025 西城二模第16题第(2)问,主观题,,是,是,是,,,是,
7,Q-2025西城二模-16-3,2025 西城二模第16题第(3)问,主观题,,是,是,是,,,是,
8,Q-2024西城一模-19-2,2024 西城一模第19题第(2)问,主观题,,是,是,是,,,是,
9,Q-2024西城一模-19-3,2024 西城一模第19题第(3)问,主观题,,是,是,是,,,是,
10,Q-2024西城一模-19-5,2024 西城一模第19题第(5)问,主观题,,是,是,是,,,是,
11,Q-2026东城一模-19-4,2026 东城一模第19题第(4)问,主观题,,是,是,是,,,是,
12,Q-2026东城期末-17-2,2026 东城期末第17题第(2)问,主观题,,是,是,是,,,是,
13,Q-2025东城期末-18-2,2025 东城期末第18题第(2)问,主观题,,是,是,是,,,是,
14,Q-2026朝阳期中-20,2026 朝阳期中第20题,主观题,,是,是,是,,,是,
15,Q-2026朝阳期中-21-2,2026 朝阳期中第21题第(2)问,主观题,,是,是,是,,,是,
16,Q-2024朝阳一模-20-1,2024 朝阳一模第20题第(1)问,主观题,,是,是,是,,,是,
17,Q-2024朝阳一模-20-2,2024 朝阳一模第20题第(2)问,主观题,,是,是,是,,,是,
18,Q-2024朝阳二模-19-1,2024 朝阳二模第19题第(1)问,主观题,,是,是,是,,,是,
19,Q-2024朝阳二模-19-2,2024 朝阳二模第19题第(2)问,主观题,,是,是,是,,,是,
20,Q-2024朝阳期中-18,2024 朝阳期中第18题,主观题,,是,是,是,,,是,
21,Q-2024朝阳期中-19,2024 朝阳期中第19题,主观题,,是,是,是,,,是,
22,Q-2026丰台一模-18-2,2026 丰台一模第18题第(2)问,主观题,,是,是,是,,,是,
23,Q-2025丰台期末-18-1,2025 丰台期末第18题第(1)问,主观题,,是,是,是,,,是,
24,Q-2026顺义一模-19-1,2026 顺义一模第19题第(1)问,主观题,,是,是,是,,,是,
25,Q-2026顺义一模-19-2,2026 顺义一模第19题第(2)问,主观题,,是,是,是,,,是,
26,Q-2026通州期末-19-2,2026 通州期末第19题第(2)问,主观题,,是,是,是,,,是,
27,Q-2025顺义一模-17-1,2025 顺义一模第17题第(1)问,主观题,,是,是,是,,,是,
28,Q-2025海淀二模-12,2025 海淀二模第12题,选择题,是,,,,是,是,是,
29,Q-2025海淀二模-13,2025 海淀二模第13题,选择题,是,,,,是,是,是,
30,Q-2025海淀期末-2,2025 海淀期末第2题,选择题,是,,,,是,是,是,
31,Q-2025海淀期末-8,2025 海淀期末第8题,选择题,是,,,,是,是,是,
32,Q-2024海淀二模-6,2024 海淀二模第6题,选择题,是,,,,是,是,是,
33,Q-2025西城二模-6,2025 西城二模第6题,选择题,是,,,,是,是,是,
