diagnosis_id,layer,question_id,target,check_item,status,failure_reason,file_position,repair_suggestion,severity
DIAG_0001,A_framework,,current_student_framework,是否只是法律知识/工程分类,FAIL,正文标题和首屏仍是 guarded v2 / Framework v2 / Status / Validation Position，学生首先看到的是工程验收语言而不是考场动作。,12_final_baodian/选必二法律主观题满分宝典.md:1-31,v8 首章必须改为学生场景：看到设问先交什么成品、看到材料先圈什么事实、第一句怎么写。,P0
DIAG_0002,A_framework,,current_student_framework,是否有清晰考场入口,PARTIAL,One-Minute Student Version 有“先挡边界/看设问/判关系”，但没有把具体设问触发词映射为第一步动作，且仍混入低频/开放容器表述。,12_final_baodian/选必二法律主观题满分宝典.md:22-30,重写为“看见/先判/再转/这样写/别这样写”短框架，不放证据和工程状态。,P0
DIAG_0003,A_framework,,current_student_framework,学生是否知道第一步看什么,PARTIAL,当前写了“再看设问”，但节点顺序从边界和六类候选展开，学生遇到合同/侵权/表格/价值题时仍不知道第一句先表态、先分主体还是先填表格。,12_final_baodian/选必二法律主观题满分宝典.md:22-31,以“设问交付物”为第一层：表态判断、裁判理由、表格补全、维权路径、意义价值、开放边界。,P0
DIAG_0004,A_framework,,framework_nodes,节点是否有看到什么—判断什么—写什么—别写什么,FAIL,节点正文有学生启动/教师解释/证据/风险，但不是统一的考场动作格式；学生无法一眼复制运行。,12_final_baodian/选必二法律主观题满分宝典.md:31-180,每个节点必须固定五栏：看见、先判、再转、这样写、别这样写。,P0
DIAG_0005,A_framework,,framework_nodes,节点名称是否学生能记住,PARTIAL,“表格一格一答”较可用，但“私法案例四链”“裁判锚句起手”“意义收束三层”仍像教研术语，不够像考场动作。,12_final_baodian/full_score_sentence_bank.csv:2-13,节点名改成学生动作短句，如“先表态”“一格一句”“先分谁告谁”“价值从规则长出来”。,P1
DIAG_0006,A_framework,,framework_nodes,节点是否太抽象/太细碎,PARTIAL,12 个句库节点里既有边界 gate、open container，又有责任链/公益诉讼等，学生层没有压成极短主干。,12_final_baodian/full_score_sentence_bank.csv:1-13,学生层压到 5-7 个动作；教师层再保留证据节点。,P1
DIAG_0007,A_framework,,framework_nodes,节点是否能生成答案句,PARTIAL,节点有 sentence_template，但多数是泛模板；不能直接告诉学生材料中哪类事实替换到哪一格。,12_final_baodian/full_score_sentence_bank.csv:3-12,满分句库改成“材料信号 -> 法律语言 -> 关键词 -> 推荐考场句”。,P0
DIAG_0008,A_framework,,corpus_policy,当前口径是否符合 53 题闭合基准,FAIL,当前宝典首页和验证摘要仍写 65 questions / 61 formal / 4 reference_only；用户本轮要求唯一闭合语料为 53 boundary-patched corpus。,"12_final_baodian/选必二法律主观题满分宝典.md:11-14,3114-3144",v8 全部正文改为 53 题口径：37 PASS / 11 PASS_RECOVERED / 5 OPEN_OR_REFERENCE，65 只能放历史说明或不用。,P0
DIAG_0009,A_framework,,v7_1_candidate_zip,v7.1 zip 是否可直接作为 v8 基底,FAIL,v7.1 候选稿基于“65 道法律题”并有 source-card repair 队列，和本轮指定 53 题闭合语料不一致；只能作为失败样本和方法参考。,05_reasoner_packets/v7_1_core_artifacts_for_user_gpt_20260521/01_CURRENT_V7_1_CANDIDATE_BAODIAN.md:1-25,v8 只能回到 boundary_patched_20260519 53 题重建；v7.1 的八门等说法需重新用 53 题验证。,P0
DIAG_0010,B_question_run,CC0002_2024_丰台_一模_17,question_by_question_framework_runs_boundary_patched.csv,逐题是否真展示框架运行,PARTIAL,generic_minimum_judgment；answer_or_rubric_dump_not_transfer_sentence；raw_material_pipe_not_layered_for_student；rubric_ids_exist_but_not_explained_one_by_one；no_real_wrong_path,12_final_baodian/question_by_question_framework_runs_boundary_patched.csv:2,v8 必须重写为：入口节点、设问触发、材料事实 -> 法律语言 -> 细则点 -> 满分句、易错路径、迁移提醒。,P1
