check_id,scope,result,severity,details
A01,evidence_lock_register row count,PASS,P0,phase06_evidence_lock_register.csv has 74 data rows; matches Phase05 evidence pool 74 and Phase04 L3+L4 set; same canonical_question_id set
A02,evidence_lock_register L3/L4 split,PASS,P0,status counts L4=4 / L3=70; matches Phase04 phase04_level (L3_A_PLUS_B_TARGET_CONFIRMED=70 / L4_LOCKED_FOR_FUSION=4)
A03,evidence_lock_register module split,PASS,P0,module distribution 推理=38 / 思维=23 / 交叉=13; total=74
A04,evidence_lock_register required fields nonempty,PASS,P0,all 74 rows have nonempty question_id module question_type source_locator answer_locator archive_destination lock_readiness; student_permission=no on all 74 rows
A05,evidence_lock L3/L4 lock_readiness separation,PASS,P0,all L4 rows -> LOCKED_FOR_FRAMEWORK; all L3 rows -> CONFIRMED_FOR_ARCHIVE; no L3 row was upgraded to LOCKED_FOR_FRAMEWORK
A06,thinking_framework_fusion row count,PASS,P0,phase06_thinking_framework_fusion.csv has 36 data rows; module split 思维=23 + 交叉=13 = 36; matches Phase05 thinking_signal_archive 36
A07,thinking_framework_fusion required columns nonempty,PASS,P0,all 36 rows nonempty for question_id 材料信号 可写思维/方法 答题动作 来源例题 framework_node status
A08,reasoning_typology_fusion row count,PASS,P0,phase06_reasoning_typology_fusion.csv has 51 data rows; module split 推理=38 + 交叉=13 = 51; matches Phase05 reasoning_typology_archive 51
A09,reasoning_typology_fusion required columns nonempty,PASS,P0,all 51 rows nonempty for question_id primary_reasoning_type logical_form rule_slogan common_trap answer_action status
A10,cross_mount_lock row count,PASS,P0,phase06_cross_mount_lock.csv has 13 data rows; matches Phase05 cross_question_split_matrix 13 and evidence_lock module=交叉 set
A11,cross dual mount thinking,PASS,P0,all 13 cross IDs present in phase06_thinking_framework_fusion.csv (cross IDs not in thinking fusion = empty set)
A12,cross dual mount reasoning,PASS,P0,all 13 cross IDs present in phase06_reasoning_typology_fusion.csv (cross IDs not in reasoning fusion = empty set)
A13,cross_mount_lock vs evidence_lock cross set parity,PASS,P0,evidence_lock_register module=交叉 set equals cross_mount_lock set; no asymmetric drop into a generic cross bucket
A14,reasoning same-type index Q-2026顺义一模-3 exclusion,PASS,P0,Q-2026顺义一模-3 has 0 occurrences in phase06_reasoning_same_type_index_LOCK_CANDIDATE.md; only present in thinking same-method index (under 辩证思维) which is correct because the row is module=思维
A15,Q11 hard lock answer B,PASS,P0,Q-2024西城一模-11 in evidence_lock has answer_locator=answer_confirmed_B_from_rubric_025_026; reasoning fusion rule_slogan and answer_action both contain pairing B=①③
A16,Q11 retired wrong pairing absence,PASS,P0,no occurrence of B=①④ on the Q-2024西城一模-11 row in any phase06_*.csv or phase06_*.md output; legitimate B=①④ usages elsewhere (Q-2026丰台一模-7 / Q-2026朝阳期中-14) are not contamination of Q11
A17,Q12 hard lock answer D,PASS,P0,Q-2025海淀二模-12 in evidence_lock has answer_locator=answer_confirmed_D_from_supplemental_key; source_locator includes render_008_page_04.png and supplemental answer table page9 12.D
A18,Q13 hard lock answer C,PASS,P0,Q-2025海淀二模-13 in evidence_lock has answer_locator=answer_confirmed_C_from_supplemental_key; source_locator includes render_008_page_04.png and supplemental answer table page9 13.C
A19,Q12 mounting,PASS,P1,Q12 module=思维; present in thinking fusion only; absent from reasoning fusion and cross_mount_lock; this is consistent with Phase05 split (Q12 thinking lane / Q13 reasoning lane / not declared cross)
A20,Q13 mounting,PASS,P1,Q13 module=推理; present in reasoning fusion only; absent from thinking fusion and cross_mount_lock; consistent with Phase05 split
A21,L0 retention row count,PASS,P0,phase06_L0_blocker_retention_register.csv has 288 data rows; matches Phase04 L0_BLOCKED count of 288 with identical canonical_question_id set
A22,L0 excluded_from_opus_input flag,PASS,P0,all 288 rows have excluded_from_opus_input=yes
A23,L0 student_permission flag,PASS,P0,all 288 rows have student_permission=no
A24,L0 blocker_group coverage,WARN,P3,L0 uses 5 blocker_group categories (boundary_closed=201 out_of_scope=50 source_or_locator_issue=34 visual_missing=2 scope_rejected=1) — GPT-5.5 Pro Phase05 digest suggested at-least 8 categories including duplicate_removed support_reference_row answer_missing; absence of those three categories is consistent if no rows fit but it should be confirmed at GPT review that those categories really are empty in this run
A25,Governor evidence-lock gate scope,PASS,P0,phase06_Governor_evidence_lock_gate.md verdict=PASS_INTERNAL_EVIDENCE_LOCK_PENDING_LANEB_GPT and explicitly disclaims student稿 / Claude Opus prose / Word/PDF / final PASS authorization
A26,Confucius framework-value gate scope,PASS,P0,phase06_Confucius_framework_value_gate.md verdict=PASS_INTERNAL_FRAMEWORK_VALUE_PENDING_LANEB_GPT; explicitly states it checks teachability scaffolding only and is not a student稿 authorization
A27,GPT commander review packet scope,PASS,P0,phase06_GPT_commander_review_packet.md state=PHASE06_INTERNAL_GENERATED_PENDING_LANEB_AUDIT_AND_GPT_REVIEW; explicitly forbids student稿 Claude Opus teaching prose Word/PDF final PASS
A28,Phase05 P3 warning F01 freeze,PASS,P1,phase05_patch_freeze_after_laneB_warnings.md records F01 patched (same-type indexes generated from archive membership; Q-2026顺义一模-3 removed from reasoning same-type index); rerun audit PASS_LOCAL_HARD_AUDIT; current Lane B Opus 4.7 max audit independently confirms 0 occurrences in reasoning index
A29,Phase05 P3 warning F02 freeze,PASS,P1,phase05_patch_freeze_after_laneB_warnings.md records F02 patched (archive backcheck report updated to PASS_INTERNAL_ARCHIVE_BACKCHECK; Q11 pairing lock respected); current Lane B audit independently confirms B=①③ on Q11 with no B=①④ contamination
A30,Phase05 Lane B P3 acknowledgement,WARN,P1,both F01 and F02 are documented as pending_B_ack_but_not_blocking_phase06 in phase05_patch_freeze_after_laneB_warnings.md; this Phase06 Lane B audit is the appropriate place to register Lane B acknowledgement and after this audit the warnings can be moved to acknowledged status
A31,thinking fusion row Q-2026朝阳期中-13 答题动作 quality,WARN,P3,row 23 of phase06_thinking_framework_fusion.csv has 答题动作=D (just the answer letter); field is technically nonempty so structural check passes but content is placeholder-like and should be replaced with a proper answer-action description before any Opus locked-input packet
