question_id,year,district,exam_stage,question_no,framework_entrance,secondary_entrance,proposition_path,prompt,card_file,evidence_status,source_check_state,source_check_decision
CC0077_2025_东城_一模_19,2025,东城,一模,19,E1 表格/裁判要点/补链题,纠纷解决；劳动权利义务；遗产管理,形式触发 -> 一格一链 -> 法律关系/法律要件 -> 格内结论。,阅读材料，完成下表。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,not_in_round03_source_check,covered_by_prior_locked_core
CC0084_2025_东城_二模_19,2025,东城,二模,19,E1 表格/裁判要点/补链题,人格权益；消费者权益；格式条款,形式触发 -> 一格一链 -> 法律关系/法律要件 -> 格内结论。,阅读材料，完成下表。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,not_in_round03_source_check,covered_by_prior_locked_core
CC0137_2025_昌平_二模_20,2025,昌平,二模,20,E1 表格/裁判要点/补链题,一格一链,形式触发 -> 一格一链 -> 法律关系/法律要件 -> 格内结论。,阅读材料，运用《法律与生活》知识，完成裁判理由。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,formal_locked,KEEP_CORE
CC0157_2025_朝阳_期末_20,2025,朝阳,期末,20,E1 表格/裁判要点/补链题,数据不正当竞争；旅游安全保障,形式触发 -> 一格一链 -> 法律关系/法律要件 -> 格内结论。,了解案件，分析事实，印证法理，参考示例，完成下表。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,not_in_round03_source_check,covered_by_prior_locked_core
CC0213_2025_门头沟_一模_20,2025,门头沟,一模,20,E1 表格/裁判要点/补链题,著作权；劳动合同诚信,形式触发 -> 一格一链 -> 法律关系/法律要件 -> 格内结论。,结合以下案例，参照所给出完成下表。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,not_in_round03_source_check,covered_by_prior_locked_core
CC0214_2025_门头沟_一模_20_2,2025,门头沟,一模,20,E1 表格/裁判要点/补链题,劳动合同诚信,形式触发 -> 一格一链 -> 法律关系/法律要件 -> 格内结论。,参照案例一，完成案例二的裁判理由。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,not_in_round03_source_check,covered_by_prior_locked_core
CC0289_2026_朝阳_二模_18,2026,朝阳,二模,18,E1 表格/裁判要点/补链题,E6_调解维权纠纷解决证据路径；题源副入口：权利救济路径,形式触发 -> 一格一链 -> 法律关系/法律要件 -> 格内结论。,结合材料，运用《法律与生活》知识，将以上回答补充完整。从以上三个问答中任选其一，谈谈如何依法保护问答中所涉及到的权利。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,formal_locked,KEEP_CORE_MIXED
CC0325_2026_石景山_一模_18,2026,石景山,一模,18,E1 表格/裁判要点/补链题,诉讼程序；举证责任,形式触发 -> 一格一链 -> 法律关系/法律要件 -> 格内结论。,阅读材料，参考示例，分析案件中举证责任的分配方式及理由，完成下表。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,not_in_round03_source_check,covered_by_prior_locked_core
CC0189_2025_石景山_一模_20,2025,石景山,一模,20,E1 表格/裁判要点/补链题,委托合同违约；不正当竞争,形式触发 -> 一格一链 -> 法律关系/法律要件 -> 格内结论。,阅读材料，参考示例，完成下表。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS_RECOVERED,not_in_round03_source_check,covered_by_prior_locked_core
CC0002_2024_丰台_一模_17,2024,丰台,一模,17,E2 判决/裁判/责任理由题,E5_意义价值作用保护推动；题源副入口：法律制度意义,裁判对象 -> 法律关系 -> 要件/过错/程序/责任 -> 裁判结论与边界。,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。,final_baodian_20260523/02_42题按框架解析宝典.md,PASS,not_in_round03_source_check,covered_by_prior_locked_core
