"question_id","district","year","evidence_status","main_entry","framework_entrance","secondary_entrance","source_check_state","source_check_decision","canonical_source_id","guardrail","evidence_files"
"CC0002_2024_丰台_一模_17","丰台","2024","PASS","问法院减轻赔偿责任的理由与意义","E2_判决裁判责任理由","E5_意义价值作用保护推动","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0011_2024_丰台_二模_17","丰台","2024","PASS","问法律规定的生态保护作用","E5_意义价值作用保护推动","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0019_2024_朝阳_一模_19","朝阳","2024","PASS","问法律原则的现实作用","E5_意义价值作用保护推动","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0025_2024_朝阳_二模_17","朝阳","2024","PASS","问仲裁裁决理由与典型意义","E2_判决裁判责任理由","E5_意义价值作用保护推动","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0054_2024_石景山_一模_17","石景山","2024","PASS","问合同成立理由与判决意义","E2_判决裁判责任理由","E5_意义价值作用保护推动","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0063_2024_西城_二模_16","西城","2024","PASS","问判决意义","E5_意义价值作用保护推动","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0077_2025_东城_一模_19","东城","2025","PASS","完成表格 / 一格一链","E1_表格裁判要点补链","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0084_2025_东城_二模_19","东城","2025","PASS","完成表格 / 一案一原则","E1_表格裁判要点补链","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0103_2025_丰台_一模_19","丰台","2025","PASS","问典型案例意义","E5_意义价值作用保护推动","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0119_2025_丰台_期末_19","丰台","2025","PASS","问法院裁判理由","E2_判决裁判责任理由","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0125_2025_延庆_一模_19","延庆","2025","PASS","问调解理由","E6_调解维权纠纷解决证据路径","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0131_2025_房山_一模_19","房山","2025","PASS","问法治价值/意义","E5_意义价值作用保护推动","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0137_2025_昌平_二模_20","昌平","2025","PASS","裁判理由 / 补表 / 完成理由","E1_表格裁判要点补链","","formal_locked","KEEP_CORE","CC0137_2025_昌平_二模_20","CC0137 only supports one-grid-one-chain table reasoning: AI copyright grid and credit-card contract grid. Do not expand into a general AI innovation trunk.","coverage_check_v12_2_council.csv; pending_source_check_20260522.csv"
"CC0143_2025_朝阳_一模_19","朝阳","2025","PASS","问消费者诉求能否支持及理由","E3_诉求请求能否支持","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0150_2025_朝阳_二模_20","朝阳","2025","PASS","问如何保护权利或判决认识","E4_评析认识谈看法","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0157_2025_朝阳_期末_20","朝阳","2025","PASS","完成裁判要点 / 一案一链","E1_表格裁判要点补链","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0180_2025_海淀_期末_20","海淀","2025","PASS","解释法律规则的意义","E5_意义价值作用保护推动","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0181_2025_海淀_期末_21","海淀","2025","PASS","问裁判","E2_判决裁判责任理由","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0195_2025_西城_一模_20","西城","2025","PASS","问做法如何平衡公平与效率","E5_意义价值作用保护推动","","formal_locked","KEEP_CORE","CC0195_2025_西城_一模_20","Keep as law-supported labor-rights fairness/efficiency evidence: union platform + collective contract + labor-rights protection + enterprise lawful employment + efficiency. Do not classify as non-legal economics by default.","coverage_check_v12_2_council.csv; pending_source_check_20260522.csv"
"CC0200_2025_西城_二模_18","西城","2025","PASS","问判决结果 / 责任分担理由","E2_判决裁判责任理由","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0206_2025_西城_期末_19","西城","2025","PASS","问判决分析","E2_判决裁判责任理由","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0213_2025_门头沟_一模_20","门头沟","2025","PASS","完成裁判要点 / 参照示例","E1_表格裁判要点补链","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
"CC0214_2025_门头沟_一模_20_2","门头沟","2025","PASS","裁判理由补写","E1_表格裁判要点补链","","not_in_round03_source_check","covered_by_prior_locked_core","","","coverage_check_v12_2_council.csv"
