question_id,old70_status,current65_status,year,district,exam_stage,question_no,evidence_level,delta_type,replacement_or_tracking_id,reason
CC0001_2024_丰台_一模_16,present,absent,2024,丰台,一模,16,formal,excluded,,剔除：Q16 正文/细则是《政治与法治》四下基层，ask_text 串入 CC0002 法律题。
CC0026_2024_朝阳_二模_18,present,absent,2024,朝阳,二模,18,formal,excluded,,剔除：细则主干为《政治与法治》全过程人民民主，另有选择题/OCR 串页。
CC0047_2024_海淀_二模_21,present,absent,2024,海淀,二模,21,formal,excluded,,剔除：新质/民生综合题，采分来自党、制度、经济、治理、文化等模块。
CC0051_2024_海淀_期中_21_1,present,absent,2024,海淀,期中,21,formal,removed_or_replaced_after_source_audit,,Removed/replaced during suite-exhaustive + ClaudeCode/Cowork correction; see current 65 corpus.
CC0070_2024_顺义_二模_19,present,absent,2024,顺义,二模,19,formal,excluded,,剔除：经济/国际/马克思主义中国化综合题，非法律规则采分。
CC0091_2025_东城_期末_19,present,absent,2025,东城,期末,19,formal,not_counted_parent_unit,,父题含法律小问、利益主体、民主协商小问；整题不计入法律题，法律小问由拆分项承载。
CC0094_2025_东城_期末_19_3,present,absent,2025,东城,期末,19,reference_only,pending_split_not_open,CC0094_2025_东城_期末_19_3_LAW_PENDING,GPT 修正：不能整题 keep_reference_open。小问法律+政治混合，且当前 rubric atoms 串到新能源/欧盟/贸易保护；须拆出法律 2 分相邻关系后再决定。
CC0118_2025_丰台_期末_18_2,present,absent,2025,丰台,期末,18,formal,duplicate_or_reextract_pending,CC0118_2025_丰台_期末_18_2_LAW,跟踪待核：尹某劳动合同小问可能是 CC0119 学生问题页，不宜新增计数。
CC0132_2025_房山_一模_20,present,absent,2025,房山,一模,20,formal,excluded,,剔除：奋斗主题综合论述，非法律规则采分。
CC0168_2025_海淀_二模_20,present,absent,2025,海淀,二模,20,formal,excluded,,剔除：共享发展/国际组织/粮食安全等非选必二法律采分。
CC0182_2025_海淀_期末_22,present,absent,2025,海淀,期末,22,formal,excluded,,剔除：愚公精神综合论述，法律片段为串页或干扰。
CC0218_2025_顺义_一模_16,present,absent,2025,顺义,一模,16,formal,excluded,,剔除：哪吒、哲学与文化、联系发展矛盾等采分，非法律题。
CC0240_2026_东城_二模_21,present,absent,2026,东城,二模,21,formal,excluded,,剔除：金融五篇大文章/党和政府经济职能/辩证思维。
CC0244_2026_东城_期中_18,present,absent,2026,东城,期中,18,formal,removed_or_replaced_after_source_audit,,Removed/replaced during suite-exhaustive + ClaudeCode/Cowork correction; see current 65 corpus.
CC0245_2026_东城_期中_18_2,present,absent,2026,东城,期中,18,formal,removed_or_replaced_after_source_audit,,Removed/replaced during suite-exhaustive + ClaudeCode/Cowork correction; see current 65 corpus.
CC0250_2026_丰台_一模_19,present,absent,2026,丰台,一模,19,formal,excluded,,GPT 明确要求从 v2 开放容器删除：本题为人类命运共同体/2030 议程/可持续发展，复练页法律提示不能带动恢复。
