placement_id,suite,question_no,question_type,family,node,paper_path,rubric_path,paper_anchor_hits,rubric_anchor_hits,choice_option_count,expected_answer,original_answer,answer_match,status,flags,paper_first_misses,rubric_first_misses
P0001,2024朝阳一模,20(1),主观题,充分条件假言推理与判断,有效式：肯定前件或否定后件，方向要走对,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/细则.pptx,10/10,6/6,,,,,PASS,,,
P0002,2026通州期末,19(2),主观题,充分条件假言推理与判断,有效式：肯定前件或否定后件，方向要走对,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/细则/细则.pptx,13/13,18/18,,,,,PASS,,,
P0003,2026东城期末,17(2),主观题,充分条件假言推理与判断,陷阱：后件为真不能倒推前件,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026东城期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026东城期末/细则/细则.pptx,18/18,18/18,,,,,PASS,,,
P0004,2025西城二模,16(2),主观题,充分条件假言推理与判断,陷阱：后件为真不能倒推前件,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025西城二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025西城二模/细则/细则.docx,14/14,16/16,,,,,PASS,,,
P0005,2026海淀期末,20(1),主观题,充分条件假言推理与判断,陷阱：后件为真不能倒推前件,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026海淀期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026海淀期末/细则/细则.pdf,7/7,15/15,,,,,PASS,,,
P0006,2024丰台一模,19(1),主观题,充分条件假言推理与判断,判断构造：把条件补成能推出结果的前件,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/丰台一模/细则/细则.docx,14/14,1/1,,,,,PASS,,,
P0007,2025丰台二模,19(1),主观题,充分条件假言推理与判断,陷阱一：重要条件不等于充分条件,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/19.(1).docx,5/5,18/18,,,,,PASS,,,
P0008,2024丰台二模,18(2),主观题,充分条件假言推理与判断,陷阱一：重要条件不等于充分条件,/Users/wanglifei/Desktop/2024模拟题/丰台二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/丰台二模/细则/细则.docx,18/18,11/11,,,,,PASS,,,
P0009,2025东城二模,18(2),主观题,充分条件假言推理与判断,陷阱二：形式像对，前提未必真,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/细则/细则.pdf,12/12,18/18,,,,,PASS,,,
P0010,2024朝阳一模,20(2),主观题,必要条件假言推理与判断,有效式：少了它不行，结果成立就要回找它,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/细则.pptx,10/10,9/9,,,,,PASS,,,
P0011,2026丰台一模,18(2),主观题,必要条件假言推理与判断,有效式：少了它不行，结果成立就要回找它,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模/细则/细则.pptx,18/18,2/2,,,,,PASS,,,
