suite_id,year,district,stage,suite_name,culture_subjective_status,culture_choice_status,framework_slots,evidence_level,worker,governor_status,blocker
S001,2024,海淀,2024各区一模,2024海淀一模,pending,pending,,pending,,pending,
S002,2024,西城,2024各区一模,2024西城一模,pending,pending,,pending,,pending,
S003,2024,东城,2024各区一模,2024东城一模,pending,pending,,pending,,pending,
S004,2024,朝阳,2024各区一模,2024朝阳一模,pending,pending,,pending,,pending,
S005,2024,丰台,2024各区一模,2024丰台一模,pending,pending,,pending,,pending,
S006,2024,石景山,2024各区一模,2024石景山一模,pending,pending,,pending,,pending,
S007,2024,门头沟,2024各区一模,2024门头沟一模,pending,pending,,pending,,pending,
S008,2024,海淀,2024各区二模,2024海淀二模,pending,pending,,pending,,pending,
S009,2024,西城,2024各区二模,2024西城二模,pending,pending,,pending,,pending,
S010,2024,东城,2024各区二模,2024东城二模,pending,pending,,pending,,pending,
S011,2024,朝阳,2024各区二模,2024朝阳二模,pending,pending,,pending,,pending,
S012,2024,丰台,2024各区二模,2024丰台二模,pending,pending,,pending,,pending,
S013,2024,顺义,2024各区二模,2024顺义思政二模,pending,pending,,pending,,pending,
S014,2024,海淀,2024各区期中,2024海淀期中,pending,pending,,pending,,pending,
S015,2024,朝阳,2024各区期中,2024朝阳期中,pending,pending,,pending,,pending,
S016,2025,海淀,2025各区一模,2025海淀一模,pending,pending,,pending,,pending,
S017,2025,西城,2025各区一模,2025西城一模,pending,pending,,pending,,pending,
S018,2025,东城,2025各区一模,2025东城一模,pending,pending,,pending,,pending,
S019,2025,朝阳,2025各区一模,2025朝阳一模,pending,pending,,pending,,pending,
S020,2025,丰台,2025各区一模,2025丰台一模,pending,pending,,pending,,pending,
S021,2025,延庆,2025各区一模,2025延庆一模,pending,pending,,pending,,pending,
S022,2025,房山,2025各区一模,2025房山一模,pending,pending,,pending,,pending,
S023,2025,石景山,2025各区一模,2025石景山一模,pending,pending,,pending,,pending,
S024,2025,门头沟,2025各区一模,2025门头沟一模,pending,pending,,pending,,pending,
S025,2025,顺义,2025各区一模,2025顺义一模,pending,pending,,pending,,pending,
S026,2025,海淀,2025各区二模,2025海淀二模,pending,pending,,pending,,pending,
S027,2025,西城,2025各区二模,2025西城二模,pending,pending,,pending,,pending,
S028,2025,东城,2025各区二模,2025东城二模,pending,pending,,pending,,pending,
S029,2025,朝阳,2025各区二模,2025朝阳二模,pending,pending,,pending,,pending,
S030,2025,丰台,2025各区二模,2025丰台二模,pending,pending,,pending,,pending,
S031,2025,昌平,2025各区二模,2025昌平二模,pending,pending,,pending,,pending,
S032,2025,海淀,2025各区期末,2025海淀期中,pending,pending,,pending,,pending,
S033,2025,海淀,2025各区期末,2025海淀期末,pending,pending,,pending,,pending,
S034,2025,西城,2025各区期末,2025西城期末,pending,pending,,pending,,pending,
S035,2025,东城,2025各区期末,2025东城期末,pending,pending,,pending,,pending,
S036,2025,朝阳,2025各区期末,2025朝阳期末,pending,pending,,pending,,pending,
S037,2025,丰台,2025各区期末,2025丰台期末,pending,pending,,pending,,pending,
S038,2026,海淀,2026各区一模,2026海淀一模,pending,pending,,pending,,pending,
S039,2026,西城,2026各区一模,2026西城一模,pending,pending,,pending,,pending,
S040,2026,东城,2026各区一模,2026东城一模,pending,pending,,pending,,pending,
S041,2026,朝阳,2026各区一模,2026朝阳一模,pending,pending,,pending,,pending,
S042,2026,丰台,2026各区一模,2026丰台一模,pending,pending,,pending,,pending,
S043,2026,延庆,2026各区一模,2026延庆一模,pending,pending,,pending,,pending,
S044,2026,房山,2026各区一模,2026房山一模,pending,pending,,pending,,pending,
S045,2026,石景山,2026各区一模,2026石景山一模,pending,pending,,pending,,pending,
S046,2026,门头沟,2026各区一模,2026门头沟一模,pending,pending,,pending,,pending,
S047,2026,顺义,2026各区一模,2026顺义一模,pending,pending,,pending,,pending,
S048,2026,海淀,2026各区期末和期中,2026海淀期中,pending,pending,,pending,,pending,
S049,2026,海淀,2026各区期末和期中,2026海淀期末,pending,pending,,pending,,pending,
S050,2026,西城,2026各区期末和期中,2026西城期末,pending,pending,,pending,,pending,
S051,2026,东城,2026各区期末和期中,2026东城期末,pending,pending,,pending,,pending,
S052,2026,朝阳,2026各区期末和期中,2026朝阳期中,pending,pending,,pending,,pending,
S053,2026,朝阳,2026各区期末和期中,2026朝阳期末,pending,pending,,pending,,pending,
S054,2026,丰台,2026各区期末和期中,2026丰台期末,pending,pending,,pending,,pending,
S055,2026,石景山,2026各区期末和期中,2026石景山期末,pending,pending,,pending,,pending,
S056,2026,通州,2026各区期末和期中,2026通州期末,pending,pending,,pending,,pending,
