类别,题目,缺的角度/考点,旧处理建议,当前处置结论,当前文档状态
A·漏角度,2025海淀期末 第18题,逆向思维,补“逆向思维”角度(官方答案明列逆向+联想),已补,逆向思维条目已存在，超前角度未作为官方答案保留
A·漏角度,2026石景山一模 第17(2),发散思维,补“发散思维”角度(细则列为合法建议),已补,发散思维与聚合思维条目已存在
A·漏角度,2026房山一模 第18(1),矛盾分析法、动态性/量变质变,补两条路径，或在#27注明同题另有两角度,已补主要缺角度,整体性、动态性、矛盾分析法三条已成组；量变质变未硬补，按当前同题说明保留
A·漏角度,2026朝阳期中 第20题,分析综合、量变质变、动态性,补其余辩证思维角度，或在#48扩展说明,已补,动态性、分析与综合、矛盾分析法、量变质变四条已成组
A·漏角度,2025东城期末 第18(2),联想思维,补“联想思维”角度(官方答案含联想),已补,联想思维与发散聚合两条已成组
A·漏角度,2024石景山一模 第19(3),辩证否定观,补“辩证否定观”角度(任选合法答案),已补,分析与综合、辩证否定两条已成组
A·漏角度,2026东城一模 第19(4),超前思维,补“超前思维”角度(细则含此得分点),已补,整体性、发散聚合、超前思维三条已成组
A·待确认,2024朝阳期中 第19题,逆向/联想/发散,确认逆向/联想/发散是否已在他章节收录，否则补,待原卷/答案细则复核,旧表标A·待确认；当前文档未硬补未核实角度
A·存疑,2024东城一模 第18(4),可能为辩证思维(选必三),原卷双栏+扫描分辨率限，疑第2处选必三，待高清原卷核实,待高清原卷复核,旧表标A·存疑；当前文档仅保留18(3)
【B类】形式逻辑主观题——按宝典前言体例归“推理宝典/逻辑规则”姊妹篇，非本册遗漏（请核对姊妹篇是否已收）,,,,非本册范围/形式逻辑或体例项,
—,年份·区县·题号,考点,宝典/姊妹篇现状,非本册范围/形式逻辑或体例项,
B,2026顺义一模 19(1),演绎推理/三段论正误,,非本册范围/形式逻辑或体例项,
B,2024丰台一模 19(1),假言判断(构造真判断),,非本册范围/形式逻辑或体例项,
B,2026西城一模 19(3),三段论四概念/联言/假言同一律,,非本册范围/形式逻辑或体例项,
B,2024朝阳一模 20(1)(2),充分/必要条件假言推理,,非本册范围/形式逻辑或体例项,
B,2024西城二模 18(1),归纳推理+探求因果(共变/求异),,非本册范围/形式逻辑或体例项,
B,2025西城二模 16(2),充分条件假言推理,,非本册范围/形式逻辑或体例项,
B,2026东城期末 17(2),矛盾律+充分/必要条件假言推理,,非本册范围/形式逻辑或体例项,
B,2026海淀期末 20(1),充分条件假言推理(肯定后件式错误),,非本册范围/形式逻辑或体例项,
B,2025顺义一模 17(1),假言判断+相容选言判断,,非本册范围/形式逻辑或体例项,
B,2026西城期末 19(2),不完全归纳推理,,非本册范围/形式逻辑或体例项,
B,2024海淀一模 18(2),不完全归纳推理,,非本册范围/形式逻辑或体例项,
B,2025海淀一模 21(1),演绎推理(写一个演绎推理),,非本册范围/形式逻辑或体例项,
B,2024丰台二模 18(1),三段论补全,,非本册范围/形式逻辑或体例项,
B,2025朝阳期末 19题,矛盾律/排中律/三段论,,非本册范围/形式逻辑或体例项,
B,2025丰台期末 18(1),必要条件假言+联言判断保真,,非本册范围/形式逻辑或体例项,
B,2024朝阳期中 18题,不完全归纳+类比推理评析,,非本册范围/形式逻辑或体例项,
B,2025房山一模 16(2),三段论编写,,非本册范围/形式逻辑或体例项,
B,2026朝阳一模 17(1)前半,不完全归纳推理识别,,非本册范围/形式逻辑或体例项,
B,2025朝阳二模 17题,不完全归纳推理,,非本册范围/形式逻辑或体例项,
B,2026东城二模 18题(识别部分),类比推理识别(#104已注归推理线),,非本册范围/形式逻辑或体例项,
B,2026丰台一模 18(2),必要条件假言+三段论大项扩大,,非本册范围/形式逻辑或体例项,
B,2024朝阳二模 19(1)②/19(2),类比推理 / 联言判断保真,,非本册范围/形式逻辑或体例项,
B,2025朝阳一模 17(1),必要条件假言推理规则,,非本册范围/形式逻辑或体例项,
B,2026通州期末 19(2),充分+必要条件假言推理正误,,非本册范围/形式逻辑或体例项,
B,2025东城二模 18(2),充分条件假言推理+前提真假,,非本册范围/形式逻辑或体例项,
B,2026朝阳二模 19(1),下定义(种差+属概念)及规则,,非本册范围/形式逻辑或体例项,
B,2025丰台二模 16(2),三段论演绎推理,,非本册范围/形式逻辑或体例项,
B,2026海淀二模 20(1),三段论演绎推理,,非本册范围/形式逻辑或体例项,
B,2024西城一模 19(2)(3),定义构成/概念外延关系,,非本册范围/形式逻辑或体例项,
B,2025石景山一模 19题②点,归纳推理可靠性(算A或B待定),,非本册范围/形式逻辑或体例项,
【存疑/体例待统一】,,,,非本册范围/形式逻辑或体例项,
综合题纳入标准不一：宝典对“综合运用所学”的开放大题(如2026丰台期末20、西城一模16#105、海淀二模21、顺义一模21、丰台一模22等)处理不一(部分纳入部分排除)。建议统一体例，并对纳入的综合题加“本书只就其中XX思维角度训练、非该题唯一答案”注。,,,,非本册范围/形式逻辑或体例项,
细则缺失影响核验：2026海淀期中、2025丰台期末、2026丰台期末、2024石景山一模、2025海淀期末等细则文件为空/缺，相关条目采分结构未能完全核验，建议补齐原始细则后复核。,,,,非本册范围/形式逻辑或体例项,
2025石景山一模19题“归纳推理可靠性”2分得分点：归本册(科学思维)还是姊妹篇(形式逻辑)需编者定夺。,,,,非本册范围/形式逻辑或体例项,
