当前条目#,一级章节,思维方法,题目,结构检查,结构备注,同题说明检查,正文清洁检查,清洁备注,旧审核优先级,旧审核问题摘要,当前处置,当前核对说明,准确性结论,全面性结论,备注
1,一、科学思维,追求认识的客观性,1. 2026顺义一模 第19题第（2）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,无后台痕迹,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
2,一、科学思维,追求认识的客观性,2. 2026顺义二模 第18题第（1）问（主观题）,通过,四个核心字段齐全,非同题组/无需说明,通过,无后台痕迹,中,设问/题号/分值：⚠️ 设问漏标分值“（6分）”。；分类·同题组·角度：⚠️ 本题(顺义二模18(1))“结论一”属形式逻辑(矛盾律/思维一致性)，本条只收科学思维客观性，宜注明结论一另属逻辑规则线。,已按旧审核处理,设问已含分值；已加形式逻辑边界提醒,通过,通过,旧表匹配：方法+题名精确匹配
3,一、科学思维,追求认识的客观性,3. 2025丰台一模 第18题第（1）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,中,阐释质量：中　落点“建立在现实依据之上”未说明材料提供了哪些现实依据，轻微空泛。,已按旧审核处理,答案落点已补材料关键词,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
4,一、科学思维,追求认识的客观性,4. 2024海淀二模 第17题第（1）问（主观题）,通过,四个核心字段齐全,非同题组/无需说明,通过,无后台痕迹,高,设问/题号/分值：❌ 分值错误：【设问说明】写“原题9分”，经核原题为7分（第17题整题11分=(1)7分+(2)4分）。须改为7分。,已按旧审核处理,海淀二模17(1)已写7分,通过,通过,旧表匹配：方法+题名精确匹配
5,一、科学思维,追求认识的客观性,5. 2026海淀一模 第17题（建议部分）（主观题）,通过,四个核心字段齐全,有同题说明,通过,无后台痕迹,旧表未覆盖,新增补充条或题名重构后未在旧表逐条行中出现,本轮新增补充已核,当前通过结构、同题组、正文清洁检查；旧 Claude 表未逐条覆盖该新增补充条,通过,通过（同题组已说明）,不伪装为旧 Claude 逐条核过，按本轮核对结论保留
6,一、科学思维,追求认识的客观性,6. 2025石景山一模 第19题（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,中,分类·同题组·角度：⚠️ 同题采分合并：2025石景山一模19题细则将“客观性+可检验性”合为同一个2分采分点，本条(#6客观性)与#21(可检验性)分列两条，宜加注“同题二者合计2分，非各得2分”。；阐释质量：中　落点方向散乱，客观性与可检验性混写，学生方向不明。,已按旧审核处理,已加同题说明,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
7,一、科学思维,追求认识的客观性,7. 2024丰台一模 第19题第（2）问（主观题）,通过,四个核心字段齐全,非同题组/无需说明,通过,无后台痕迹,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过,旧表匹配：方法+题名精确匹配
8,一、科学思维,追求认识的客观性,8. 2025门头沟一模 第21题第（1）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,无后台痕迹,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
9,一、科学思维,追求认识的客观性,9. 2025西城一模 第17题（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
10,一、科学思维,追求认识的客观性,10. 2026西城二模 第18题第（4）问（主观题）,通过,四个核心字段齐全,有同题说明,通过,细则仅在同题说明中,—,旧审核未列实质问题,通过,旧审核无重大问题；当前结构与正文清洁检查通过,通过,通过（同题组已说明）,旧表匹配：方法+题名精确匹配
