bucket,second_level,core_point,frequency,entry_count,reason
时代背景,时代主题与世界大势,和平与发展仍是时代主题,10,10,和平与发展、时代主题属于宏观世界大势
时代背景,百年变局与外部风险,百年变局与外部风险挑战,2,2,材料背景侧重变局、风险和外部挑战
时代背景,全球治理议题与共同挑战,气候变化给全人类带来巨大风险和挑战，气候治理已成为全球治理的重要议题之一,1,1,气候变化等全球性问题作为共同挑战进入时代背景
理论,国家利益与国家安全,维护国家利益是主权国家对外活动的出发点和落脚点,3,3,解释主权国家行为的出发点和安全底线
理论,共同利益与合作基础,国家间共同利益是国家合作的基础,7,7,解释国家间合作为什么能够成立
理论,国际竞争与综合国力,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量,4,4,解释竞争实质、科技经济实力和综合国力
理论,国际竞争与综合国力,科教兴国战略与人才强国战略（细则用语：人才与国际竞争力的关系；出现1次）,,1,解释竞争实质、科技经济实力和综合国力
经济全球化,两个市场两种资源与国际分工,处理好自力更生和对外开放的关系，参与经济全球化和国际分工,1,1,围绕市场资源联动、国际分工和国内国际循环
经济全球化,全球经济治理、规则制定与权益维护,参与全球经济治理和规则制定，为企业出海营造国际环境,1,1,围绕经济治理、规则制定、标准和权益维护
经济全球化,经济全球化趋势与开放型世界经济,顺应经济全球化趋势，主动融入并推动深化,3,3,围绕经济全球化方向、开放型世界经济和共享成果
经济全球化,两个市场两种资源与国际分工,利用两个市场两种资源优化全球资源配置,9,9,围绕市场资源联动、国际分工和国内国际循环
经济全球化,数字经济、绿色转型与新兴领域,数字贸易与数字经济跨境流通,1,1,围绕数字经济、科技创新、绿色转型和未来产业
经济全球化,贸易投资自由化便利化与制度型开放,提高开放型经济水平,1,1,围绕市场开放、制度型开放和贸易投资便利化
经济全球化,贸易投资自由化便利化与制度型开放,发展更高层次开放型经济并稳步扩大制度型开放,1,1,围绕市场开放、制度型开放和贸易投资便利化
经济全球化,经济全球化趋势与开放型世界经济,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,9,9,围绕经济全球化方向、开放型世界经济和共享成果
经济全球化,贸易投资自由化便利化与制度型开放,对最不发达国家实行零关税，推动普惠包容的经济全球化,1,1,围绕市场开放、制度型开放和贸易投资便利化
经济全球化,贸易投资自由化便利化与制度型开放,推进贸易和投资自由化便利化,6,6,围绕市场开放、制度型开放和贸易投资便利化
经济全球化,产业链供应链与开放安全,维护全球产业链供应链稳定畅通,3,3,围绕产业链供应链稳定和开放安全
经济全球化,贸易投资自由化便利化与制度型开放,中国扩大高水平对外开放与制度型开放,6,6,围绕市场开放、制度型开放和贸易投资便利化
经济全球化,数字经济、绿色转型与新兴领域,我国的未来产业有非常广阔的国际市场，为未来产业“走出去”提供了可能,1,1,围绕数字经济、科技创新、绿色转型和未来产业
经济全球化,全球经济治理、规则制定与权益维护,积极参与全球经济治理和经贸规则完善,4,4,围绕经济治理、规则制定、标准和权益维护
经济全球化,全球经济治理、规则制定与权益维护,参与国际标准制定，提升国际规则话语权,3,3,围绕经济治理、规则制定、标准和权益维护
经济全球化,数字经济、绿色转型与新兴领域,以开放促进产业升级，为未来产业拓展国际空间，提升国际竞争力，筑牢安全基础,1,1,围绕数字经济、科技创新、绿色转型和未来产业
经济全球化,产业链供应链与开放安全,统筹开放与安全，维护产业链供应链安全稳定,1,1,围绕产业链供应链稳定和开放安全
经济全球化,全球经济治理、规则制定与权益维护,充分运用国际规则，利用国际组织赋予的权利，对话磋商，积极维护自身权益,1,1,围绕经济治理、规则制定、标准和权益维护
经济全球化,数字经济、绿色转型与新兴领域,加强技术创新、提高产品质量，增强竞争力,1,1,围绕数字经济、科技创新、绿色转型和未来产业
经济全球化,经济全球化趋势与开放型世界经济,实施出口市场多元化战略，减少对单一市场的依赖,1,1,围绕经济全球化方向、开放型世界经济和共享成果
经济全球化,数字经济、绿色转型与新兴领域,以科学技术的发展推动建设创新型、开放型世界经济,1,1,围绕数字经济、科技创新、绿色转型和未来产业
经济全球化,贸易保护主义、多边贸易体制与开放环境,维护多边贸易体制,2,2,回应贸易壁垒、单边措施和多边贸易秩序
经济全球化,经济全球化趋势与开放型世界经济,推进普惠包容的经济全球化，推动构建更加开放、包容的全球经济格局,2,2,围绕经济全球化方向、开放型世界经济和共享成果
经济全球化,经济全球化趋势与开放型世界经济,促进全球资源优化配置和国际贸易发展,1,1,围绕经济全球化方向、开放型世界经济和共享成果
经济全球化,数字经济、绿色转型与新兴领域,为世界新能源产业注入活力，增强经济全球化动力,1,1,围绕数字经济、科技创新、绿色转型和未来产业
经济全球化,贸易保护主义、多边贸易体制与开放环境,反对贸易保护主义，警惕单边措施破坏多边贸易秩序,1,1,回应贸易壁垒、单边措施和多边贸易秩序
经济全球化,两个市场两种资源与国际分工,推动建设开放型世界经济，深化国际分工与合作,1,1,围绕市场资源联动、国际分工和国内国际循环
经济全球化,产业链供应链与开放安全,维护全球产业链供应链稳定畅通，服务共同现代化,1,1,围绕产业链供应链稳定和开放安全
经济全球化,贸易保护主义、多边贸易体制与开放环境,维护开放合作的国际经济环境,1,1,回应贸易壁垒、单边措施和多边贸易秩序
经济全球化,数字经济、绿色转型与新兴领域,促进全球范围内标准共通、技术共享，推动全球技术创新与绿色转型,1,1,围绕数字经济、科技创新、绿色转型和未来产业
经济全球化,经济全球化趋势与开放型世界经济,互利共赢的开放战略,1,1,围绕经济全球化方向、开放型世界经济和共享成果
经济全球化,两个市场两种资源与国际分工,内外联通畅通国内国际双循环，提升国际循环质量,1,1,围绕市场资源联动、国际分工和国内国际循环
经济全球化,经济全球化趋势与开放型世界经济,推进普惠包容的经济全球化,1,1,围绕经济全球化方向、开放型世界经济和共享成果
经济全球化,经济全球化趋势与开放型世界经济,建设开放型世界经济,1,1,围绕经济全球化方向、开放型世界经济和共享成果
经济全球化,贸易保护主义、多边贸易体制与开放环境,顺应经济全球化趋势，反对贸易保护主义,1,1,回应贸易壁垒、单边措施和多边贸易秩序
经济全球化,经济全球化趋势与开放型世界经济,建设开放型世界经济，扩大开放合作,1,1,围绕经济全球化方向、开放型世界经济和共享成果
经济全球化,经济全球化趋势与开放型世界经济,共享经济全球化成果，促进世界经济共同繁荣,1,1,围绕经济全球化方向、开放型世界经济和共享成果
经济全球化,经济全球化趋势与开放型世界经济,坚持开放合作和包容普惠,1,1,围绕经济全球化方向、开放型世界经济和共享成果
经济全球化,全球经济治理、规则制定与权益维护,"企业和政府可利用国际组织赋予的权利，积极参与全球经济治理和规则制定，为企业""出海""营造良好的国际环境",1,1,围绕经济治理、规则制定、标准和权益维护
政治多极化,全球治理观与治理体系变革,共商共建共享的全球治理观,11,11,围绕共商共建共享和全球治理体系改革
政治多极化,国际关系民主化与新型国际关系,推动国际关系民主化,3,3,围绕国家间关系形态和民主化方向
政治多极化,人类命运共同体与共同现代化,推动构建人类命运共同体,7,7,围绕命运共同体和共同现代化的国际秩序取向
政治多极化,国际关系民主化与新型国际关系,相互尊重、公平正义、合作共赢的新型国际关系,4,4,围绕国家间关系形态和民主化方向
政治多极化,多边主义、国际秩序与国际法治,推动国际秩序和全球治理体系更加公正合理,6,6,围绕多边主义、法治原则和公正合理国际秩序
政治多极化,人类命运共同体与共同现代化,促进共同发展、维护持久和平，共同推进现代化,1,1,围绕命运共同体和共同现代化的国际秩序取向
政治多极化,多边主义、国际秩序与国际法治,践行真正的多边主义,2,2,围绕多边主义、法治原则和公正合理国际秩序
政治多极化,全球治理观与治理体系变革,坚持开放合作、共享共赢、包容互鉴、共商共建,1,1,围绕共商共建共享和全球治理体系改革
政治多极化,气候治理、安全治理与文明互鉴,坚持共同但有区别的责任，要求发达国家为完善全球气候治理承担更多责任,1,1,围绕具体全球治理议题和治理逻辑转换
政治多极化,气候治理、安全治理与文明互鉴,跨国公司等全球企业，尤其是工业领域企业，应致力于技术创新，加快绿色低碳转型，努力降低碳排放,1,1,围绕具体全球治理议题和治理逻辑转换
政治多极化,世界多极化、全球南方与发展中国家,世界多极化与全球南方联合自强,3,3,围绕多极化格局和发展中国家力量变化
政治多极化,世界多极化、全球南方与发展中国家,国际组织,1,1,围绕多极化格局和发展中国家力量变化
政治多极化,气候治理、安全治理与文明互鉴,超越集团政治、实力至上和少数国家垄断价值定义的治理逻辑,1,1,围绕具体全球治理议题和治理逻辑转换
政治多极化,国际关系民主化与新型国际关系,在平等互利基础上开展合作，实现互利共赢,2,2,围绕国家间关系形态和民主化方向
政治多极化,国际关系民主化与新型国际关系,推动国际关系民主化、和平解决国际争端,1,1,围绕国家间关系形态和民主化方向
政治多极化,世界多极化、全球南方与发展中国家,世界多极化是当今国际形势的突出特点,1,1,围绕多极化格局和发展中国家力量变化
政治多极化,多边主义、国际秩序与国际法治,以主权平等、国际法治等原则推动全球治理体系变革完善,1,1,围绕多边主义、法治原则和公正合理国际秩序
政治多极化,多边主义、国际秩序与国际法治,坚持主权平等与安全保障,1,1,围绕多边主义、法治原则和公正合理国际秩序
政治多极化,多边主义、国际秩序与国际法治,推动全球治理体系变革完善，建立更加公正合理的国际政治经济新秩序,1,1,围绕多边主义、法治原则和公正合理国际秩序
中国,政策,坚持总体国家安全观，统筹发展与安全，以新安全格局保障新发展格局,2,2,中国外交政策、国家安全和对外关系准则
中国,智慧,贡献中国智慧、中国方案、中国力量,7,7,中国主张、中国方案、全球倡议和理念供给
中国,责任,坚持正确义利观,5,5,中国行动、发展合作、南南合作、气候治理和负责任大国担当
中国,地位,中国综合国力、国际地位和话语权提升,2,2,中国在国际体系中的身份、实力和影响力
中国,政策,习近平外交思想指导中国特色大国外交（外交为民、服务中国式现代化）,2,2,中国外交政策、国家安全和对外关系准则
中国,政策,新中国外交始终服务国家性质并坚持党对外交统一集中领导,1,1,中国外交政策、国家安全和对外关系准则
中国,政策,中国坚持独立自主的和平外交政策,4,4,中国外交政策、国家安全和对外关系准则
中国,政策,和平共处五项原则是我国对外关系基本准则,1,1,中国外交政策、国家安全和对外关系准则
中国,责任,与发展中国家共享发展新机遇，惠民生增福祉，实现互利共赢,1,1,中国行动、发展合作、南南合作、气候治理和负责任大国担当
中国,智慧,中国推动构建人类命运共同体,14,14,中国主张、中国方案、全球倡议和理念供给
