check_id,severity,status,evidence,comment
P0_01_required_files_exist,P0,PASS,"09_student_draft/phase09_student_draft_CONTROLLED_FROM_29.md=present; phase09_student_draft_control_matrix.csv=present; phase09_question_id_backcheck.csv=present; phase09_opus_or_codex_change_log.csv=present; phase09_internal_terms_scan.md=present; phase09_QID_risk_register.md=present; 08_review/phase09_codexA_student_draft_verification.md=present","All six Phase09 student-draft files plus Codex A verification are present in run directory."
P0_02_control_matrix_29_rows_id_set_equals_freeze,P0,PASS,"control_matrix data rows=29; freeze data rows=29; QID set diff vs phase08_opus_prototype_input_freeze.csv=∅","Both files contain identical 29 question_ids: Q-2024朝阳一模-7/9/20-1/20-2; Q-2024朝阳二模-19-1/19-2; Q-2024朝阳期中-7/9; Q-2024海淀二模-17-1/17-2; Q-2024西城一模-19-2/19-3/19-5; Q-2025东城期末-13; Q-2025丰台期末-7/8; Q-2025海淀二模-20; Q-2025海淀期末-17-1/18; Q-2025西城二模-16-2/16-3; Q-2025顺义一模-7; Q-2026东城一模-19-4; Q-2026丰台一模-18-2; Q-2026朝阳期中-20/21-2; Q-2026通州期末-19-2; Q-2026顺义一模-19-1/19-2."
P0_03_draft_built_from_29_no_pool_expansion,P0,PASS,"phase09_student_draft_CONTROLLED_FROM_29.md section count: 思维=12 + 边界陷阱=1 + 推理=11 + 交叉=5 = 29; control_matrix.no_expansion_policy column = 'no_74_pool_no_45_hold_no_288_L0_no_hard_excluded_expansion' for all 29 rows","Section count exactly matches the 29 frozen prototype rows; no spillover from 74-row evidence pool, 45 hold rows, or 288 L0 rows detected in body."
P0_04_no_hard_excluded_expansion,P0,PASS,"Q-2024西城一模-11 only at line 323 inside 同类题索引; Q-2025海淀二模-12 only at line 146 inside 同类题索引; Q-2025海淀二模-13 not in file (zero hits); Q-2026顺义一模-3 only at lines 34/74/124 inside 同类题索引 (all 思维 sections)","Hard-excluded IDs appear only as same-type index references with no answers, options, or explanations expanded. Q-2026顺义一模-3 is correctly confined to 思维-side same-type lists per GPT digest."
P0_05_no_q11_wrong_pairing,P0,PASS,"grep for 'B=①④' / 'B（①④）' / 'B(①④)' in phase09_student_draft_CONTROLLED_FROM_29.md = 0 hits; phase09_internal_terms_scan.md reports q11_wrong_pairing_hit: NO","Q-2024西城一模-11 wrong-answer hardlock is not violated."
P0_06_no_forbidden_internal_terms,P0,PASS,"grep for Phase07/Phase08/packet/source locator/lane/Governor/Confucius/L3/L4/B-choice-signal/LOCKED_FOR_FUSION/primary_reasoning_type/rule_slogan//Users//@L\d+/细则\d+ = 0 hits in body","No internal pipeline terminology, source locators, or rubric ids in student-facing draft."
P0_07_no_final_artifact_authorization,P0,PASS,"grep for 'final PASS' / '终稿' / '最终稿' / '宝典成品' / 'Word' / 'PDF' / 'docx' = 0 hits","Student draft does not claim final artifact status."
P0_08_q2025fengtai7_boundary_trap,P0,PASS,"Section header at line 138 sits inside '## 二、边界陷阱'; line 141 explicitly says '这道题是边界陷阱：答案落在哲学唯物论的"从实际出发、从当下做起"，选必三"超前思维"只是干扰项'","Q-2025丰台期末-7 is correctly framed as a boundary trap with answer point on 哲学唯物论, with 选必三 超前思维 explicitly labelled as distractor."
P0_09_q2025shunyi7_corrected_to_da_xiang,P0,PASS,"Line 243: 'A 项的推理实际问题是"大项不当扩大"：大项"青年"在肯定前提中不周延，却在否定结论中周延；A 把它说成"小项不当扩大"，所以 A 的逻辑分析错误'; line 245: '真实错误应是大项不当扩大，不是小项不当扩大'","Phase08 contradictory expression replaced; correctly states real fallacy is 大项不当扩大 and A's mislabel is 小项不当扩大."
P0_10_q2026shunyi19_2_scientific_primary,P0,PASS,"control_matrix entry 29: primary_mount=思维, secondary_mount=推理; student draft line 343: '#### 主讲线：思维方法' / line 349: '#### 辅助线：推理结构'; line 347 易错陷阱: '主讲线是科学思维，不是典型三段论'","Mount inversion correctly applied; reasoning side is auxiliary only."
