source_id,suite_id,suite,source_role,path,suffix,exists,status,reading_method,char_count,hit_count,text_path,render_dir,visual_risk,evidence_use,notes
001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf,S-2026顺义一模,2026顺义一模,paper,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/试卷/试卷.pdf,.pdf,True,extracted,pymupdf_text_plus_render,9110,13,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf.txt,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/renders/001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf,visual_source;render_available,raw_exam_source,phase03 clean raw-source registry
002_Desktop_2026模拟题_2026各区一模_2026顺义一模_细则_细则.pptx,S-2026顺义一模,2026顺义一模,rubric_or_answer,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/细则/细则.pptx,.pptx,True,extracted,python_pptx,3958,12,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/002_Desktop_2026模拟题_2026各区一模_2026顺义一模_细则_细则.pptx.txt,,visual_source,raw_exam_source,phase03 clean raw-source registry
003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf,S-2026朝阳期中,2026朝阳期中,paper,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,.pdf,True,extracted,pymupdf_text_plus_render,8354,11,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf.txt,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/renders/003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf,visual_source;render_available,raw_exam_source,phase03 clean raw-source registry
004_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_细则_细则.docx,S-2026朝阳期中,2026朝阳期中,rubric_or_answer,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/细则/细则.docx,.docx,True,extracted,python_docx,4763,16,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/004_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_细则_细则.docx.txt,,low,raw_exam_source,phase03 clean raw-source registry
005_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_细则_补充材料_细则.docx,S-2026朝阳期中,2026朝阳期中,rubric_or_answer,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/细则/补充材料/细则.docx,.docx,True,extracted,python_docx,4763,16,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/005_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_细则_补充材料_细则.docx.txt,,low,raw_exam_source,phase03 clean raw-source registry
006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf,S-2026通州期末,2026通州期末,paper,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/试卷/试卷.pdf,.pdf,True,extracted,pymupdf_text_plus_render,8702,13,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf.txt,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/renders/006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf,visual_source;render_available,raw_exam_source,phase03 clean raw-source registry
007_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_细则_细则.pptx,S-2026通州期末,2026通州期末,rubric_or_answer,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/细则/细则.pptx,.pptx,True,extracted,python_pptx,6172,12,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/007_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_细则_细则.pptx.txt,,visual_source,raw_exam_source,phase03 clean raw-source registry
008_Desktop_2025模拟题_2025各区二模_2025海淀二模_试卷_试卷.pdf,S-2025海淀二模,2025海淀二模,paper,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/试卷/试卷.pdf,.pdf,True,extracted,pymupdf_text_plus_render,167,0,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/008_Desktop_2025模拟题_2025各区二模_2025海淀二模_试卷_试卷.pdf.txt,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/renders/008_Desktop_2025模拟题_2025各区二模_2025海淀二模_试卷_试卷.pdf,visual_source;thin_text_pdf;render_available,raw_exam_source,phase03 clean raw-source registry
009_Desktop_2025模拟题_2025各区二模_2025海淀二模_细则_细则.docx,S-2025海淀二模,2025海淀二模,rubric_or_answer,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/细则/细则.docx,.docx,True,extracted,python_docx,2777,4,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/009_Desktop_2025模拟题_2025各区二模_2025海淀二模_细则_细则.docx.txt,,low,raw_exam_source,phase03 clean raw-source registry
010_Desktop_2025模拟题_2025各区二模_2025海淀二模_细则_补充材料_2025年海淀二模评标实录.docx,S-2025海淀二模,2025海淀二模,support_or_lecture,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/细则/补充材料/2025年海淀二模评标实录.docx,.docx,True,extracted,python_docx,2083,5,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/010_Desktop_2025模拟题_2025各区二模_2025海淀二模_细则_补充材料_2025年海淀二模评标实录.docx.txt,,support_boundary,support_or_locator_after_pairing,phase03 clean raw-source registry
011_Desktop_2025模拟题_2025各区二模_2025海淀二模_其他材料_2025届二模考试讲评0510.pdf,S-2025海淀二模,2025海淀二模,support_or_lecture,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/其他材料/2025届二模考试讲评0510.pdf,.pdf,True,extracted,pymupdf_text_plus_render,13035,10,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/011_Desktop_2025模拟题_2025各区二模_2025海淀二模_其他材料_2025届二模考试讲评0510.pdf.txt,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/renders/011_Desktop_2025模拟题_2025各区二模_2025海淀二模_其他材料_2025届二模考试讲评0510.pdf,visual_source;support_boundary;render_available,support_or_locator_after_pairing,phase03 clean raw-source registry
012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,S-2025东城期末,2025东城期末,paper,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/试卷/试卷.pdf,.pdf,True,extracted,pymupdf_text_plus_render,22031,65,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf.txt,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/renders/012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,visual_source;render_available,raw_exam_source,phase03 clean raw-source registry
013_Desktop_2025模拟题_2025各区期末_2025东城期末_细则_细则.pdf,S-2025东城期末,2025东城期末,rubric_or_answer,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/细则/细则.pdf,.pdf,True,extracted,pymupdf_text_plus_render,3521,8,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/013_Desktop_2025模拟题_2025各区期末_2025东城期末_细则_细则.pdf.txt,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/renders/013_Desktop_2025模拟题_2025各区期末_2025东城期末_细则_细则.pdf,visual_source;render_available,raw_exam_source,phase03 clean raw-source registry
014_Desktop_2025模拟题_2025各区期末_2025东城期末_细则_补充材料_东城期末.pptx,S-2025东城期末,2025东城期末,rubric_or_answer,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/细则/补充材料/东城期末.pptx,.pptx,True,extracted,python_pptx,4413,10,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/014_Desktop_2025模拟题_2025各区期末_2025东城期末_细则_补充材料_东城期末.pptx.txt,,visual_source,raw_exam_source,phase03 clean raw-source registry
015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx,S-2025海淀期末,2025海淀期末,paper,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期末/试卷/试卷.docx,.docx,True,extracted,python_docx,10225,10,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/priority_queue_sources/text/015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx.txt,,low,raw_exam_source,phase03 clean raw-source registry
