source_id,path,file_name,file_type,source_kind,category_hint,locator_status,non_text_status,evidence_use,notes
FRAMEWORK_thinking,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/00_source_pdfs/逻辑与思维_思维部分_原文件.pdf,逻辑与思维_思维部分_原文件.pdf,pdf,user_framework_or_uploaded_pdf,thinking,current_run_source_copy_from_user_upload,needs_render_or_existing_extraction_check,framework_learning_not_exam_evidence,"Raw framework PDF copy; use for framework learning, not as old conclusion."
FRAMEWORK_reasoning,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/00_source_pdfs/逻辑与思维_推理部分_原文件.pdf,逻辑与思维_推理部分_原文件.pdf,pdf,user_framework_or_uploaded_pdf,reasoning,current_run_source_copy_from_user_upload,needs_render_or_existing_extraction_check,framework_learning_not_exam_evidence,"Raw framework PDF copy; use for framework learning, not as old conclusion."
SRC_0003,/Users/wanglifei/Desktop/北京高考政治/选必三_逻辑与思维_思维部分_框架+三年题链_穷尽版.md,选必三_逻辑与思维_思维部分_框架+三年题链_穷尽版.md,md,user_framework_or_uploaded_pdf,thinking,primary_source_root,structured_text_possible,candidate_needs_verification,
SRC_0004,/Users/wanglifei/Desktop/北京高考政治/codex_连续任务_选必三_任务进度文档.md,codex_连续任务_选必三_任务进度文档.md,md,other,possible,primary_source_root,structured_text_possible,candidate_needs_verification,
SRC_0005,/Users/wanglifei/Desktop/北京高考政治/codex_连续任务_选必三_任务步骤文档.md,codex_连续任务_选必三_任务步骤文档.md,md,other,possible,primary_source_root,structured_text_possible,candidate_needs_verification,
SRC_0006,/Users/wanglifei/Desktop/北京高考政治/选必三_逻辑与思维_思维部分_逐题材料-思维路径积累_穷尽版.md,选必三_逻辑与思维_思维部分_逐题材料-思维路径积累_穷尽版.md,md,user_framework_or_uploaded_pdf,thinking,primary_source_root,structured_text_possible,candidate_needs_verification,
SRC_0007,/Users/wanglifei/Desktop/北京高考政治/选必三_逻辑与思维_思维部分_零基础满分课稿.md,选必三_逻辑与思维_思维部分_零基础满分课稿.md,md,user_framework_or_uploaded_pdf,thinking,primary_source_root,structured_text_possible,candidate_needs_verification,
SRC_0008,/Users/wanglifei/Desktop/北京高考政治/codex_continuous/jobs/选必三_思维触发穷尽/DEVELOPMENT_PLAN.md,DEVELOPMENT_PLAN.md,md,other,possible,primary_source_root,structured_text_possible,candidate_needs_verification,
SRC_0009,/Users/wanglifei/Desktop/北京高考政治/codex_continuous/jobs/选必三_思维触发穷尽/PROGRESS.md,PROGRESS.md,md,other,possible,primary_source_root,structured_text_possible,candidate_needs_verification,
SRC_0010,/Users/wanglifei/Desktop/北京高考政治/codex_continuous/jobs/选必三_思维触发穷尽/START_JOB.sh,START_JOB.sh,sh,other,possible,primary_source_root,structured_text_possible,candidate_needs_verification,
