key,count,sample_title,sample_core_heading,sample_samegroup_text
2025朝阳二模Q21,16,2. 2025朝阳二模Q21（周边工作新局面）,核心答题点：共同利益是合作的基础,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，按“中国的发展需要—区域的发展需要—世界的发展需要”三层组织；同一关键词不重复，语言要有层次、无知识错误
· 从中国的发展需要角度看（3分）：必要性1分，可写周边国家众多、符合我国与周边国家地理环境和文化发展状况、国际形势出现深刻变化；重要性任意两点2分，可写实现发展繁荣的重要基础、提高开放型经济水平、维护国家安全、为国家发展创造良好外部环境、运筹外交全局、推动构建人类命运共同体
· 从区域的发展需要角度看（3分）：共同的国家利益是国际合作基础，中国与周边国家有广泛共同利益，或写我国坚持独立自主的和平外交政策、维护世界和平、促进共同发展，任意一点1分；与周边国家开展贸易，促进经济融合和共同发展、促进区域经济一体化、促进区域贸易和投资自由化便利化，任意一点1分；创新区域合作机制、搭建合作平台，维护地区和平稳定或区域安全，推动构建周边国家命运共同体，任意一点1分
· 从世界的发展需要角度看（2分）：携手周边国家推动建设以合作共赢为核心的新型国际关系、推动国际关系民主化、实现真正的多边主义、推动全球治理变革，任意一点1分；通过区域经济合作维护和推动全球自由贸易、多边贸易，或推动经济全球化朝开放、包容、普惠、平衡、共赢方向发展，任意一点1分
· 答题提醒：同一个关键词不重复计分；整体语言要有层次、有问题意识，不能把知识点机械堆在一起"
2025丰台二模Q20,13,18. 2025丰台二模Q20,核心答题点：共商共建共享的全球治理观,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，四个角度，每角度2分
· 发展中国家身份与全球南方：作为世界上最大的发展中国家，中国是国际政治经济格局中的重要力量，积极参与全球治理，为推动全球南方实现现代化发挥作用
· 国际组织参与：中国积极参与联合国、金砖国家、二十国集团、博鳌亚洲论坛等国际组织，在全球治理体系中发挥重要参与者、贡献者和改革者作用
· 联合国与多边主义：作为联合国安理会常任理事国，遵守《联合国宪章》宗旨和原则，践行多边主义，维护多边体制的权威性和有效性
· 人类命运共同体与全球治理方向：推动构建人类命运共同体，遵循平等、开放、合作、共享等原则，坚持共商共建共享，推动全球治理体系朝更加公正合理方向发展"
2026东城期末Q20,12,12. 2026东城期末Q20,核心答题点：相互尊重、公平正义、合作共赢的新型国际关系,"【同题组】 （按原题答题层次）
· 答题层次：本题7分，按四大倡议、系统推动、实践层面组织
· 学理总说：携手构建人类命运共同体，就是要建设持久和平、普遍安全、共同繁荣、开放包容、清洁美丽的世界
· 四大倡议层（4分）：全球发展倡议以发展促繁荣，可写坚持互利共赢、坚持正确义利观、共商共建共享、发展合作中共享机遇；全球安全倡议以安全保稳定，可写相互尊重、平等协商、筑牢安全屏障、在安全互信中维护和平；全球文明倡议以文明增互信，可写文明交流互鉴、增进相互理解与信任、倡导平等包容的文明观、弘扬全人类共同价值；全球治理倡议以治理求公正，可写完善全球治理、在公平治理中实现共赢。四个层次写出1点得1分，4点得4分
· 系统推动层（2分）：四大全球倡议相互促进、有机统一于人类命运共同体核心内涵“五个世界”，发展是物质根基，安全是和平屏障，文明是精神纽带，治理是制度保障，共同成为推动构建人类命运共同体的战略引领
· 实践层面（1分）：四大全球倡议从中国主张到国际共识，从合作理念到共同行动，不断谱写构建人类命运共同体新篇章"
2026顺义二模Q20,12,10. 2026顺义二模Q20,核心答题点：推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，按评标参考角度组织
· 总述：中国发展与世界未来紧密关联，中国式现代化具有世界意义
· 国际政治角度：世界和平的建设者、国际秩序的维护者；中国坚持独立自主的和平外交政策，推动构建人类命运共同体，推动新型国际关系和共商共建共享的全球治理
· 国际经济角度：世界经济发展的重要推动者；坚持对外开放基本国策和互利共赢开放战略，推动普惠包容的经济全球化，改善发展中国家民生，推动全球经济治理体系更加公正合理
· 总结角色：以更加开放的姿态做全球发展的贡献者、国际秩序的维护者，促进世界共同发展、持续发展，推动建设共同繁荣的世界"
2025东城期末Q20,10,2. 2025东城期末Q20——评价欧盟对中国新能源汽车征收临时反补贴税,核心答题点：维护国家利益是主权国家对外活动的出发点和落脚点,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，短文题，按题目、分段、中国贡献、批判欧盟行为、中国态度或做法组织
· 短文题目（1分）；分三段（1分）
· 中国贡献层（2分）：我国新能源汽车产业发展促进全球资源优化配置、国际贸易发展，为世界新能源产业注入活力、让经济全球化更有活力；中国用行动为世界气候、环境、绿色、生态保护作贡献
· 批判欧盟行为层（2分）：欧盟征收临时反补贴税违背经济规律，属于贸易保护主义或逆全球化；会破坏市场竞争和市场秩序，不利于欧盟自身发展并损害消费者利益
· 中国态度或做法层（2分）：坚定维护本国利益，坚持互利共赢，通过和平谈判解决争议，推动贸易自由化便利化，维护市场秩序"
2024朝阳二模Q20,9,1. 2024朝阳二模Q20,核心答题点：气候变化给全人类带来巨大风险和挑战，气候治理已成为全球治理的重要议题之一,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，基本原则2分，各方达成共识6分
· 基本原则（2分）：平等（1分；有平等/公平/公正/多边主义/协商一致一词即可）；开放（1分；有开放/合作/共享/共赢/包容/求同存异/共商共建一词即可）
· 共识一：为什么完善全球气候治理（1分）：气候变化给全人类带来巨大风险和挑战，气候治理已成为全球治理的重要议题之一；或写气候变化是全球性挑战、应对气候变化是人类共同责任
· 共识二：如何完善全球气候治理（5分）：各主权国家和国际组织携手建立公平合理、合作共赢的全球气候治理体系；可替代为共商共建共享全球治理观、公平正义合作共赢的新型国际关系、共同利益是国家合作的基础，并推动构建人类命运共同体；不同国家从各自实际出发落实责任，尤其发达国家为完善全球气候治理承担更多责任；跨国公司等全球企业尤其工业领域企业致力于技术创新，加快绿色低碳转型，降低碳排放。答出1个角度2分、2个角度4分、3个角度5分
理论
合作"
2024海淀二模Q18(1),8,3. 2024海淀二模Q18(1)多极化世界中的民主与全球治理,核心答题点：和平与发展仍是时代主题,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，时政述评定档
· 背景层：和平与发展，世界多极化，霸权主义、强权政治等现实挑战
· 原因层：共同利益或国家利益是国家合作的基础
· 做法与意义层：坚持共商共建共享的全球治理观，推动构建人类命运共同体，推动国际关系民主化，依托国际组织或发挥联合国作用
· 定档提示：一个知识1-3分，两个知识4-6分，三个知识7-8分；必须扣住所选议题论述，有逻辑。经济全球化不得分，选错议题酌情扣分"
2025海淀期中Q21(2),8,2. 2025海淀期中Q21(2),核心答题点：和平与发展仍是时代主题,"【同题组】 （按原题答题层次）
· 答题层次：本小题围绕新中国外交的“变”与“不变”展开
· 变的方面：新中国外交的时代背景不断变化，政治多极化、经济全球化深入发展，和平与发展成为时代主题；中国的综合国力不断增强，国际地位不断提升，承担越来越多的国际责任；外交指导思想与时俱进，习近平外交思想为新时代中国特色大国外交提供根本遵循和行动指南
· 不变的方面：新中国外交始终服务于我国人民民主专政的国家性质；坚持独立自主的基本立场；贯彻维护世界和平、促进共同发展的宗旨；以维护我国的主权、安全和发展利益、促进世界和平与发展为基本目标；坚持以和平共处五项原则作为我国对外关系的基本准则"
2026房山一模Q19,8,"3. 2026房山一模Q19海南""一线放开""自由便利",核心答题点：推进贸易和投资自由化便利化,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，按四个封关助力国际循环层次组织
· 消费/市场层（2分）：发挥超大规模市场优势；降低成本、提高效率，促进货物和服务贸易升级/要素自由流动/资源优化配置/贸易投资自由化便利化
· 生产/产业层（2分）：关税节约投入技术研发，提升企业竞争力，推动产业升级/优化产业结构，融入全球产业分工和合作
· 投资/营商层（2分）：优化营商环境，吸引外商投资/高水平引进来
· 中国方案/制度型开放层（2分）：制度型开放；为助力国际循环提供中国方案，以国内大循环吸引全球资源要素，增强国内国际两个市场两种资源联动效应"
2024丰台二模Q19,7,7. 2024丰台二模Q19,核心答题点：在平等互利基础上开展合作，实现互利共赢,"【同题组】 （按原题答题层次）
· 答题层次：本题6分，三个角度各2分，必须写“做了什么+效果或意义”
· 角度一：中国如何承担大国责任，并分析其发挥建设性作用（2分）
· 角度二：中国如何通过南南合作帮助发展中国家发展，并分析其贡献中国智慧、中国方案或中国力量（2分）
· 角度三：中国如何通过区域合作促进区域环境改善，并分析其推动构建人类命运共同体（2分）
· 答题提醒：只概括材料做法、没有效果或意义，最高2分；做法与效果意义匹配不准，酌情扣分"
2025昌平二模Q21,7,6. 2025昌平二模Q21,核心答题点：推进贸易和投资自由化便利化,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，按三项举措加意义组织
· 扩大重点领域开放试点：电信、医疗等领域开放，放宽市场准入（1分）；吸引更多外资进入各领域，可引入先进技术和管理经验，有利于我国充分利用国内国际两个市场两种资源、建设现代化产业体系、提高对外开放的质量和效益（任选2个给2分）
· 加大服务保障力度：规范监管和保护知识产权、扩大免签范围等（1分）；有利于加强各国人员交流和经贸合作，营造市场化、法治化、国际化的营商环境，增强外资投资中国的信心（任选1个给1分）
· 持续打造“投资中国”品牌：开放领域不断拓展和投资中国行动实施（1分）；有利于打造高水平开放合作平台，提升中国在全球经济治理中的话语权和影响力，推动构建更加开放、包容的全球经济格局（任选2个给2分）
· 答题提醒：举措加意义、知识点加材料；充分利用两个市场两种资源、加强贸易合作、提高开放型经济发展水平、推动经济全球化发展等可按材料对应给分"
2026顺义一模Q21,7,18. 2026顺义一模Q21,核心答题点：和平与发展仍是时代主题,"【同题组】 （按原题答题层次）
· 答题提醒：综合题，8分任意4个角度；本题选必一对应国政经角度2分
· 国政经角度：和平与发展是当今时代主题；中国式现代化是走和平发展道路的现代化；坚持多边主义，坚持互利共赢，倡导人类命运共同体；为世界和平与发展提供中国智慧、中国方案"
2026西城二模Q19(1),6,7. 2026西城二模Q19(1),核心答题点：和平与发展仍是时代主题,"【同题组】 （按原题答题层次）
· 答题层次：本题6分，按背景解释、宗旨原则、世界意义三层组织
· 背景解释（2分）：全球化发展趋势1分；替代可写和平与发展、全人类共同价值、人类共同利益；结合材料分析1分
· 宗旨原则说明（2分）：共商共建共享1分，变通可写国际关系民主化等；结合材料说明我国参与全球数据组织的实践1分，可写实践经验、安全与发展、大国担当
· 对世界的意义（2分，任意二）：构建公正合理的全球数据治理新秩序；推动包容普惠的经济全球化或共同推动现代化；推动构建人类命运共同体"
2026海淀期中Q22(1),5,20. 2026海淀期中Q22(1),核心答题点：和平与发展仍是时代主题,"【同题组】 （按原题答题层次）
· 答题层次：本题6分，说明全球治理倡议为什么能获得国际社会广泛认同
· 时代与共同愿望：全球治理倡议顺应和平与发展的时代潮流，符合世界各国人民的共同愿望
· 核心理念：奉行主权平等、遵守国际法治、践行多边主义、倡导以人为本、注重行动导向
· 宗旨原则与治理路径：坚定捍卫《联合国宪章》宗旨和原则，秉持共商共建共享的全球治理观，直面全球治理突出问题，为建设更加公正合理的全球治理体系指引方向"
2025朝阳一模Q20,4,14. 2025朝阳一模Q20,核心答题点：推进贸易和投资自由化便利化,"【同题组】 （按原题答题层次）
· 作答提示：围绕产业链供应链新态势的应对方向组织，不只写开放合作
· 态势判断：题面涉及断链风险、绿色认证、数字技术和国际规则竞争
· 应对方向：多元化布局、区域化合作、绿色化转型、数字化加速
· 总体落点：通过高水平对外开放、参与全球治理和畅通国内国际双循环，在全球产业变革中赢得主动"
2026门头沟一模Q21,4,1. 2026门头沟一模Q21,核心答题点：互利共赢的开放战略,"【同题组】 （按原题答题层次）
· 答题层次：本题10分，选必一重点看材料三的国政经角度，不按全题综合题展开
· 国政经角度：结合材料三，用《当代国际政治与经济》知识阐释中国为世界提供确定性，可写大国担当、互利共赢的开放战略、构建人类命运共同体等；材料逻辑是中国与世界经济深度联动、与全球各方共享机遇、对外投资和跨国企业在华投资
· 迁移提醒：材料一主要对应中国特色社会主义、哲学或思维；材料二主要对应《经济与社会》，不要把两部分都扩成选必一同题组"
