question_id,changed_field,before_packet_text,after_prototype_text,change_type,answer_changed,status_changed,question_deleted,question_added,pairing_changed
Q-2024朝阳一模-7,整体结构,"审计字段(材料信号/可写思维方法/答题动作/答案落点/易错陷阱/同类题)按 CSV 列直陈;same_method_auto_by_framework_node=创新思维 标记。","教学小标题串成""为什么能想到→答题动作→答案落点→易错陷阱→同类题"";不暴露 framework_node 标记;答案、易错陷阱、同类题完整保留。",structure_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
Q-2024朝阳一模-9,整体结构,"审计字段直陈;risk_note 含 same_method_auto_by_framework_node=辩证思维。","教学小标题化;同类题以分号串保留(含 Q-2026顺义一模-3 仅作 ID 引用);framework_node 标记不暴露。",structure_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
Q-2024海淀二模-17-1,整体结构,"细则028 表1 三角度赋分:科学思维(客观性/预见性,2分)+创新思维(三新/发散聚合/超前,3分)+辩证思维(整体性/分析综合,2分);A-formal确认。","转化为教学动作""三角度多挂载、按表格化采分;科学思维 2 分 / 创新思维 3 分 / 辩证思维 2 分;每个分点必须结合材料分析"";不写 L57-61/A-formal 等审计字。",structure_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
Q-2024海淀二模-17-2,整体结构,"细则028 感性具体1分+思维抽象/思维具体1分+相互依赖2分;严禁颠倒;A-formal确认。","转化为""调查了解 = 感性具体(1分);分析研究 = 思维抽象 + 思维具体(1分);两阶段相互依赖(2分)"";方向严禁颠倒锁定。",structure_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
Q-2025丰台期末-7,整体结构,"Lane B 标注 ""哲学题_选必三超前思维作干扰_答案非选必三""。","转写为""答案落点不在选必三超前思维而在哲学唯物论从实际出发"";不暴露 Lane B 字眼;答案 C 不变。",structure_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
Q-2025丰台期末-8,答题动作 表述,"答题动作:""②发散思维表达和平向往=诗词从多个意象发散表达+④形象思维触及和平本质=以白天鹅翅膀_门_红酒等具体形象""。","加一句教学解释:""多个具体意象向同一主题'和平'发散,正是发散思维;以白天鹅翅膀、门、红酒等具体形象触及和平本质,正是形象思维""。答案 D 与 ②④ 选项不变。",wording_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
Q-2025海淀二模-20,整体结构 + 角度池表述,"risk_note ""维持LOCKED_FOR_FUSION;Phase03 Lane B已做视觉确认;009+010+011三源完全一致;角度池赋分6分从3选2;上限6分""。","转化为""选 2 上限 6 分,矛盾相关至多 2 分;不是三点全必答""教学语言;不暴露 Phase03 / Lane B / 文件号字眼;LOCKED_FOR_FUSION 状态不更改。",structure_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
Q-2025海淀期末-17-1,整体结构,"细则015 客观性规则 + 材料分析 + A-formal确认。","转化为""从实际出发 + 如实反映对象 + 把握客观规律;毛巾毛细作用吸水高度有限非永动""教学动作;不暴露细则015/A-formal 字眼。",structure_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
Q-2025海淀期末-18,整体结构,"细则015 逆向思维(对事物结构顺序的已有认识进行反向思考)+联想思维(同化性迁移);A-formal确认。","转化为""逆向 = 人找书→书找人;联想 = 赤印意象→建筑设计(同化性迁移)""教学动作;不暴露细则015/A-formal。",structure_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
Q-2025西城二模-16-3,整体结构,"risk_note ""A/B conflict resolved by sub-question split; 16(3) is thinking/innovation""。","转写为""子问拆分后第(3)问归思维 / 创新""教学语言;不暴露 A/B/lane/conflict 字眼。",structure_only,must_be_no,must_be_no,must_be_no,must_be_no,must_be_no
