section,item_id,name,看到什么,必须同时满足什么条件,正确答法,不能进入/禁止误判,正式支撑题,恢复支撑题,开放参考题,待回源题,边界提醒
A_设问分诊,A1,诉求能否支持/法院为什么支持,设问问“诉求能否支持”“法院为什么支持/酌情减轻/判决结果”,必须能锁定一个具体诉求或处理结果，并能找到对应材料事实与法律依据,先表态；再用法律规则对材料事实作证明；最后落到支持/不支持/责任边界,不能一见法院就写公正司法；不能一见协议就写合同成立；不能把意义价值当主入口,CC0002_2024_丰台_一模_17;CC0143_2025_朝阳_一模_19,CC0305_2026_海淀_一模_18_3;CC0373_2026_顺义_一模_18,,,同一题有多个诉求时，一诉求一链，不要合成万能结论
A_设问分诊,A2,裁判理由/补表/完成理由,设问要求“完成裁判理由”“说明裁决理由”“完成表格”,必须有处理结果或表格空格可倒推法律理由,一格一链：处理结果 -> 法律规则 -> 材料事实 -> 责任/后果,不能把每格都塞进同一个合同或纠纷解决框架；不能把细则文字当材料,CC0025_2024_朝阳_二模_17;CC0054_2024_石景山_一模_17;CC0137_2025_昌平_二模_20;CC0238_2026_东城_二模_19,,,,补表题最怕跨小问串材料，先分格再写
A_设问分诊,A3,评析/谈认识,设问问“评析某主体行为”“谈谈对判决/做法/惩教并行的认识”,必须先确定被评析对象是谁、做了什么、侵害或履行了什么,一主体一链：行为定性 -> 法律后果 -> 应然要求/价值收束,不能写成道德评价；不能把多个主体混成一句“不诚信”,CC0238_2026_东城_二模_19;CC0244_2026_东城_期中_18,CC0332_2026_石景山_二模_19,CC0040_2024_海淀_一模_19,,评析题不是喊口号，是给行为定法律性质
A_设问分诊,A4,意义/价值/作用,设问问“意义”“社会价值”“法治价值”“如何推动绿色发展/保护创新”,必须先有具体法律规则或判决路径，价值必须从规则和材料推出,规则 -> 材料事实 -> 保护谁/规范谁/救济谁 -> 价值,不能裸写全面依法治国；不能只写“有利于创新/发展/公平”,CC0011_2024_丰台_二模_17;CC0063_2024_西城_二模_16;CC0103_2025_丰台_一模_19;CC0131_2025_房山_一模_19;CC0340_2026_西城_一模_17,CC0045_2024_海淀_二模_19,,CC0276_2026_房山_二模_17,意义题不是最后加一句价值，是前面规则自然推出价值
A_设问分诊,A5,调解/维权/解决纠纷,设问问“如何调解”“如何依法保护权利”“如何解决/治理风险”,必须出现具体权利或纠纷路径，且材料给出可操作事实,方案/路径 -> 法律理由 -> 材料依据；需要时写调解而非直接判案,不能把所有法院题都写成纠纷解决；不能直接判决化,CC0125_2025_延庆_一模_19;CC0254_2026_丰台_二模_18;CC0289_2026_朝阳_二模_18,,CC0380_2026_顺义_二模_18_2,CC0283_2026_朝阳_一模_18,有“调解”才优先写调解作用；没有路径事实不要硬写程序
A_设问分诊,A6,法律责任及法律依据,设问问“涉及的法律责任及法律依据”“法院判决理由/裁判依据”,必须先锁定具体私法关系和被侵害权利,权利/义务 -> 违法或违约事实 -> 责任方式,不能泛化成“违法要担责”；不能只列法条名,CC0244_2026_东城_期中_18;CC0254_2026_丰台_二模_18,,,CC0206_2025_西城_期末_19,责任题要落到责任方式，不要停在价值
A_设问分诊,A7,规定/制度如何发挥作用,设问问“规定如何推动/保护/规范”“制度作用”,必须能指出具体制度怎样改变行为或保护权利,制度规则 -> 主体行为边界 -> 责任/激励 -> 价值,不能把制度作用写成政治制度套话,CC0011_2024_丰台_二模_17;CC0340_2026_西城_一模_17,,CC0311_2026_海淀_二模_18,CC0318_2026_海淀_期中_18_2,制度题也要有材料动作，不是背目录
B_材料分诊,B1,好意同乘交通损害,材料出现无偿搭乘、交通事故、搭乘人受损、驾驶人无故意或重大过失,必须同时有无偿帮忙搭乘和交通损害责任边界,无偿搭乘不是合同主轴；按侵权责任和公平减责写，兼顾安全义务与责任边界,禁止命中合同成立、人格权主轴、消费者、平台用工,CC0002_2024_丰台_一模_17,,,,这是独立触发，不要因为“搭乘约定”误判为合同题
B_材料分诊,B2,民法绿色原则/生态环境保护,材料出现民法典绿色原则、节约资源保护生态、排污破坏环境、法院判令停止侵害/修复/赔偿,必须有生态环境事实或绿色义务，不是单纯经济发展,写绿色原则如何约束民事活动；侵权责任如何修复环境和公共利益,无具体作品/商标/专利侵权时，不得命中知识产权侵权主轴,CC0011_2024_丰台_二模_17;CC0340_2026_西城_一模_17,,,,有专利技术可写技术支撑，但不能把生态题改成知产侵权题；动物损害调解另入 B3。
B_材料分诊,B3,饲养动物损害与融情调解,材料出现饲养动物造成损害、饲养人/管理人责任、法院调解方案兼顾赔偿和行为约束,必须有动物致害事实和法院以法律责任促成调解,先写饲养动物损害责任，再写调解如何定分止争、兼顾情理和生态修复,禁止命中合同、消费者、知识产权、非法律串页,CC0254_2026_丰台_二模_18,,,,这是法理+调解题，不是经济发展题
