framework_point,所属部分,作为主入口题数,作为副入口题数,作为主材料触发题数,作为副材料触发题数,formal_count,recovered_count,open_reference_count,典型题,是否核心,是否仅参考,禁止误用说明
A1 诉求能否支持/法院为什么支持,设问分诊,4,0,0,0,2,2,0,CC0002_2024_丰台_一模_17;CC0143_2025_朝阳_一模_19;CC0305_2026_海淀_一模_18_3,是,否,不能一见法院就写公正司法；不能一见协议就写合同成立；不能把意义价值当主入口
A2 裁判理由/补表/完成理由,设问分诊,4,0,0,0,4,0,0,CC0025_2024_朝阳_二模_17;CC0054_2024_石景山_一模_17;CC0137_2025_昌平_二模_20,是,否,不能把每格都塞进同一个合同或纠纷解决框架；不能把细则文字当材料
A3 评析/谈认识,设问分诊,4,0,0,0,2,1,1,CC0238_2026_东城_二模_19;CC0244_2026_东城_期中_18;CC0332_2026_石景山_二模_19,是,否,不能写成道德评价；不能把多个主体混成一句“不诚信”
A4 意义/价值/作用,设问分诊,6,0,0,0,5,1,0,CC0011_2024_丰台_二模_17;CC0063_2024_西城_二模_16;CC0103_2025_丰台_一模_19,是,否,不能裸写全面依法治国；不能只写“有利于创新/发展/公平”
A5 调解/维权/解决纠纷,设问分诊,4,0,0,0,3,0,1,CC0125_2025_延庆_一模_19;CC0254_2026_丰台_二模_18;CC0289_2026_朝阳_二模_18,是,否,不能把所有法院题都写成纠纷解决；不能直接判决化
A6 法律责任及法律依据,设问分诊,2,0,0,0,2,0,0,CC0244_2026_东城_期中_18;CC0254_2026_丰台_二模_18,是,否,不能泛化成“违法要担责”；不能只列法条名
A7 规定/制度如何发挥作用,设问分诊,3,0,0,0,2,0,1,CC0011_2024_丰台_二模_17;CC0340_2026_西城_一模_17;CC0311_2026_海淀_二模_18,是,否,不能把制度作用写成政治制度套话
B1 好意同乘交通损害,材料分诊,0,0,1,0,1,0,0,CC0002_2024_丰台_一模_17,是,否,禁止命中合同成立、人格权主轴、消费者、平台用工
B2 民法绿色原则/生态环境保护,材料分诊,0,0,2,0,2,0,0,CC0011_2024_丰台_二模_17;CC0340_2026_西城_一模_17,是,否,无具体作品/商标/专利侵权时，不得命中知识产权侵权主轴
B3 饲养动物损害与融情调解,材料分诊,0,0,1,0,1,0,0,CC0254_2026_丰台_二模_18,是,否,禁止命中合同、消费者、知识产权、非法律串页
B4 平台用工事实劳动关系,材料分诊,0,0,2,0,1,0,1,CC0025_2024_朝阳_二模_17;CC0162_2025_海淀_一模_18,是,否,禁止命中普通合同题、消费者题、知识产权题
B5 合同成立/履行/违约,材料分诊,0,0,2,0,2,0,0,CC0054_2024_石景山_一模_17;CC0200_2025_西城_二模_18,是,否,禁止把平台用工合作协议、好意同乘、普通诉讼都塞进合同
B6 消费者欺诈/惩罚性赔偿,材料分诊,0,0,2,0,1,1,0,CC0143_2025_朝阳_一模_19;CC0305_2026_海淀_一模_18_3,是,否,禁止命中平台用工三从属性；禁止只写诚信经营
B7 知假买假/食品安全边界,材料分诊,0,0,1,0,1,0,0,CC0063_2024_西城_二模_16,是,否,不能把所有食品安全题都机械写三倍赔偿到底
B8 知识产权/技术秘密/不正当竞争,材料分诊,0,0,5,0,3,0,2,CC0103_2025_丰台_一模_19;CC0131_2025_房山_一模_19;CC0137_2025_昌平_二模_20,是,否,禁止只有“创新”就写知识产权；禁止把生态技术应用题当知产侵权
B9 人格权/隐私/名誉/个人信息/人身权,材料分诊,0,0,2,0,1,1,0,CC0289_2026_朝阳_二模_18;CC0305_2026_海淀_一模_18_3,是,否,禁止泛写人格尊严；禁止把摄像头题写成治安管理
B10 相邻关系/物权边界,材料分诊,0,0,2,0,2,0,0,CC0340_2026_西城_一模_17;CC0289_2026_朝阳_二模_18,是,否,禁止写成社区治理套话或必修三基层自治
B11 家庭继承/养老赡养,材料分诊,0,0,2,0,1,1,0,CC0061_2024_西城_一模_18;CC0045_2024_海淀_二模_19,是,否,禁止只写传统美德；禁止把遗产争议写成普通合同
B12 劳动竞业/平等就业,材料分诊,0,0,2,0,1,1,0,CC0181_2025_海淀_期末_21;CC0373_2026_顺义_一模_18,是,否,禁止把竞业限制直接写成不正当竞争；禁止忽略劳动者权益
B13 未成年人校园欺凌惩教并行,材料分诊,0,0,1,0,0,1,0,CC0332_2026_石景山_二模_19,是,否,禁止只写严惩；禁止只写教育感化
C1 有合同字样但不是合同题,禁止误判,0,0,0,0,2,0,0,CC0025_2024_朝阳_二模_17;CC0002_2024_丰台_一模_17,是,否,把平台用工合作协议、好意同乘、遗赠扶养全部塞进合同
C2 有平台字样但不是劳动题,禁止误判,0,0,0,0,1,0,0,CC0143_2025_朝阳_一模_19,是,否,把机票代销平台消费者欺诈写成平台用工
