framework_node,parent_path,入正文题,选择题陷阱题,辅助挂载题,辅助理解题,同类索引题,blocked题,excluded题,证据等级集合,备注
创新思维-思路新方法新结果新（思维特征）,创新思维>思维特征,Q-2025东城期末-18-2;Q-2026东城一模-19-4,,,,,,,A-formal,东城期末细则第一层；登月服整体定性为创新思维（思路新方法新结果新即多向性跨越性独特性） / 19（4）.pptx 创新思维知识1分支持点；中关村'坚持实践+多向思考+敢用新手段+让原创落地'体现创新思维特征
创新思维-联想思维,创新思维>联想,Q-2025东城期末-18-2,,,,,,,A-formal,东城期末细则第二层第（2）点；登月服飞天飘带+火箭尾焰造型联想
创新思维-发散思维与聚合思维,创新思维>发散与聚合,Q-2025东城期末-18-2;Q-2026东城一模-19-4,,,,,,,A-formal,东城期末细则第二层第（1）点；登月服聚焦核心问题（聚合）+综合考虑不同需要（发散） / 19（4）.pptx 创新思维子方法支持点；中关村发散拓展应用场景+聚合围绕成果转化轴心整合资源
创新思维-超前思维,创新思维>超前思维,Q-2025东城期末-18-2;Q-2026东城一模-19-4,,,,,,,A-formal,东城期末细则第二层第（3）点；登月服提前预判月面环境和航天员需求并据此设计细节 / 19（4）.pptx 超前思维支持点；中关村理性分析转化矛盾+做出预见+健全制度+谋划长远布局
辩证思维-整体性·系统优化,辩证思维>整体性,Q-2026东城一模-19-4,Q-2025东城期末-5,,,,,,A-formal;B-choice-signal,教师版参考解析确认C(②④)；社区道路改造对应整体性 / 19（4）.pptx 系统观念知识1分支持点；中关村全链条统筹基础研究/技术研发/成果转化/产业应用
辩证思维-动态性,辩证思维>动态性,,Q-2025东城期末-5,,,,,,B-choice-signal,教师版参考解析确认C(②④)；要在整体和动态中认识和优化社区环境
辩证思维-矛盾分析法,辩证思维>矛盾分析法,,Q-2025东城期末-5,,,,,,B-choice-signal,教师版参考解析确认C(②④)；改造把入口窄/直角转弯与居民通行需要的矛盾解决
辩证思维-分析与综合,辩证思维>分析综合,,Q-2026东城一模-5,,Q-2026东城一模-19-1,,,,A-support;B-choice-signal,试卷参考答案确认B；通过分析综合海量数据获得规律性认识 / 19（1）.pptx 替代知识含'分析与综合统一'；调查研究法理由支持点；不入正文（题干未限定运用《逻辑与思维》）
认识发展历程-思维抽象与思维具体,认识发展历程>思维抽象+思维具体,,Q-2026东城一模-6,,,,,,B-choice-signal,答案D；'画马'活动B项'用科技手段和抽象思维表达运动创意'是抽象思维误用陷阱（具体形象不是思维抽象）
推理-逻辑思维基本要求-矛盾律,推理>逻辑思维基本要求>矛盾律,Q-2026东城期末-17-2,Q-2026东城期末-7,,,,,,A-formal;B-choice-signal,2026东城期末细则Slide41；主张1联言判断两支不能同真违反矛盾律2分 / 2026东城期末细则Slide10-11；吴老师与王老师矛盾必有一真一假
推理-演绎推理-三段论·中项不周延,推理>演绎>三段论>中项不周延,Q-2026东城期末-17-2,Q-2025东城期末-13;Q-2026东城期末-6,,,,,,A-formal;B-choice-signal,2026东城期末细则Slide43；主张3中项'采用XX模式'两次都不周延2分 / 试卷参考答案13.B；①③共同犯中项不周延错误 / 2026东城期末细则Slide8-9；A/C/D 选项犯中项不周延错误，需选B加入大前提保真
推理-演绎推理-三段论·大项不当扩大,推理>演绎>三段论>大项不当扩大,,Q-2025东城期末-13;Q-2026东城期末-6,,,,,,B-choice-signal,试卷参考答案13.B；②犯大项不当扩大错误（'三盘六针'前提不周项在结论中周延） / 2026东城期末细则Slide8-9；A选项犯中项不周+大项不当扩大错误
推理-演绎推理-三段论·四概念错误,推理>演绎>三段论>四概念,,Q-2025东城期末-13;Q-2026东城期末-6,,,,,,B-choice-signal,试卷参考答案13.B；④'智能温控系统'同名不同义犯四概念错误 / 2026东城期末细则Slide8-9；D选项'部分生物成矿矿物'与'纯净无辐射独居石'引入第四个项犯四概念错误
