node_id,类型,框架点,核心题支撑,核心题数量,OPEN_OR_REFERENCE,缺源/边界题,备注
S01,设问入口,问诉求/裁判理由,2025朝阳一模__Q19;2025昌平二模__Q20;2026石景山一模__Q18,3,,2025丰台期末__Q19,核心矩阵只统计核心锁源题；开放和缺源不抬高覆盖数。
S02,设问入口,问评析/判断,2025东城二模__Q19;2025海淀期中__Q21;2026东城一模__Q18,3,,,核心矩阵只统计核心锁源题；开放和缺源不抬高覆盖数。
S03,设问入口,问意义/价值/法治价值,2025房山一模__Q19;2025顺义一模__Q19;2024海淀二模__Q19;2024朝阳二模__Q17,4,,,核心矩阵只统计核心锁源题；开放和缺源不抬高覆盖数。
S04,设问入口,完成下表/以案说法,2025东城一模__Q19;2025东城二模__Q19;2025石景山一模__Q20;2025昌平二模__Q20;2026石景山一模__Q18,5,,,核心矩阵只统计核心锁源题；开放和缺源不抬高覆盖数。
S05,设问入口,问'如何守护X力/护航X发展',2026东城一模__Q18;2026朝阳一模__Q18;2025石景山一模__Q20,3,,,核心矩阵只统计核心锁源题；开放和缺源不抬高覆盖数。
S06,设问入口,问调解/维权/路径,2025顺义一模__Q19,1,,2025延庆一模__Q19;2025顺义一模__Q19,核心矩阵只统计核心锁源题；开放和缺源不抬高覆盖数。
M01,材料触发,合同效力/履约/违约,2025东城一模__Q19;2025石景山一模__Q20;2025昌平二模__Q20,3,,2024石景山一模__Q17;2025丰台期末__Q19,核心矩阵只统计核心锁源题；开放和缺源不抬高覆盖数。
M02,材料触发,格式条款/捆绑销售/隐藏费用,2025东城二模__Q19;2025朝阳一模__Q19,2,,,核心矩阵只统计核心锁源题；开放和缺源不抬高覆盖数。
M03,材料触发,消费者欺诈/退一赔三/知情权,2025朝阳一模__Q19,1,,,核心矩阵只统计核心锁源题；开放和缺源不抬高覆盖数。
M04,材料触发,平台用工/三从属性/新就业形态,2024朝阳二模__Q17,1,,,核心矩阵只统计核心锁源题；开放和缺源不抬高覆盖数。
