question_id,suite,qno,subq,decision,reason,category,evidence_level,paper_file,rubric_file,card_file
2024朝阳二模__Q17,2024朝阳二模,17,0,core_candidate,explicit law cue + formal rubric,"合同, 劳动/平台用工, 纠纷解决",formal,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf,source_lock_cards/2024朝阳二模__Q17__sub0.md
2024海淀二模__Q19,2024海淀二模,19,2,core_candidate,explicit law cue + formal rubric,"合同, 婚姻/继承/监护, 纠纷解决, 法律意义/规则",formal,/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx,source_lock_cards/2024海淀二模__Q19__sub2.md
2024西城一模__Q18,2024西城一模,18,3,core_candidate,explicit law cue + formal rubric,"合同, 婚姻/继承/监护, 法律意义/规则",formal,/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/细则.docx,source_lock_cards/2024西城一模__Q18__sub3.md
2025东城一模__Q17,2025东城一模,17,0,core_candidate,explicit law cue + formal rubric,"劳动/平台用工, 物权/相邻关系/绿色原则",formal,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/细则/细则.pdf,source_lock_cards/2025东城一模__Q17__sub0.md
2025东城一模__Q19,2025东城一模,19,0,core_candidate,explicit law cue + formal rubric,"合同, 婚姻/继承/监护, 纠纷解决, 法律意义/规则",formal,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/细则/细则.pdf,source_lock_cards/2025东城一模__Q19__sub0.md
2025东城二模__Q19,2025东城二模,19,0,core_candidate,explicit law cue + formal rubric,"合同, 消费者, 纠纷解决, 法律意义/规则",formal,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/细则/细则.pdf,source_lock_cards/2025东城二模__Q19__sub0.md
2025丰台一模__Q19,2025丰台一模,19,0,core_candidate,explicit law cue + formal rubric,"合同, 知识产权/不正当竞争, 侵权/多主体/好意同乘, 纠纷解决",formal,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/细则/细则.docx,source_lock_cards/2025丰台一模__Q19__sub0.md
2025房山一模__Q19,2025房山一模,19,0,core_candidate,explicit law cue + formal rubric,"知识产权/不正当竞争, 侵权/多主体/好意同乘, 纠纷解决",formal,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025房山一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025房山一模/细则/细则.pdf,source_lock_cards/2025房山一模__Q19__sub0.md
2025昌平二模__Q20,2025昌平二模,20,2,core_candidate,explicit law cue + formal rubric,"劳动/平台用工, 知识产权/不正当竞争, 纠纷解决, 法律意义/规则",formal,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/细则/细则.pptx,source_lock_cards/2025昌平二模__Q20__sub2.md
2025朝阳一模__Q19,2025朝阳一模,19,0,core_candidate,explicit law cue + lecture-explicit scoring,"消费者, 劳动/平台用工, 纠纷解决, 法律意义/规则",lecture_explicit_scoring,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025朝阳一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025朝阳一模/细则/补充材料/20250329高3阅卷总结19题 合同欺诈  阐释论证.doc,source_lock_cards/2025朝阳一模__Q19__sub0.md
2025朝阳二模__Q20,2025朝阳二模,20,1,core_candidate,explicit law cue + formal rubric,"物权/相邻关系/绿色原则, 法律意义/规则",formal,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025朝阳二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025朝阳二模/细则/细则.docx,source_lock_cards/2025朝阳二模__Q20__sub1.md
2025海淀期中__Q21,2025海淀期中,21,1,core_candidate,explicit law cue + formal rubric,"婚姻/继承/监护, 纠纷解决, 法律意义/规则",formal,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中/细则/细则.docx,source_lock_cards/2025海淀期中__Q21__sub1.md
2025石景山一模__Q20,2025石景山一模,20,0,core_candidate,explicit law cue + formal rubric,"合同, 消费者, 劳动/平台用工, 知识产权/不正当竞争, 侵权/多主体/好意同乘",formal,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/细则/细则.doc,source_lock_cards/2025石景山一模__Q20__sub0.md
