question_id,suite,qno,subq,decision,reason,category,evidence_level,paper_file,rubric_file,card_file
2024朝阳二模__Q17,2024朝阳二模,17,0,core_candidate,explicit law cue + formal rubric,"合同, 劳动/平台用工, 纠纷解决",formal,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf,source_lock_cards/2024朝阳二模__Q17__sub0.md
2024朝阳二模__Q18,2024朝阳二模,18,,excluded,no law sub-Q found (not 选必二),,missing,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,,
2024朝阳期中__Q19,2024朝阳期中,19,,excluded,no law sub-Q found (not 选必二),,missing,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/试卷.pdf,,
2024朝阳期中__Q20,2024朝阳期中,20,,excluded,no law sub-Q found (not 选必二),,missing,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/试卷.pdf,,
2024海淀一模__Q17,2024海淀一模,17,3,core_candidate,explicit law cue + lecture-explicit scoring,未分类,lecture_explicit_scoring,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/补充材料/一模政治-答案.docx,source_lock_cards/2024海淀一模__Q17__sub3.md
2024海淀二模__Q19,2024海淀二模,19,2,core_candidate,explicit law cue + formal rubric,"合同, 婚姻/继承/监护, 纠纷解决, 法律意义/规则",formal,/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx,source_lock_cards/2024海淀二模__Q19__sub2.md
2024石景山一模__Q17,2024石景山一模,17,0,deferred,no rubric found,"合同, 纠纷解决",missing,/Users/wanglifei/Desktop/2024模拟题/石景山一模/试卷/试卷.docx,,source_lock_cards/2024石景山一模__Q17__sub0.md
2024西城一模__Q18,2024西城一模,18,3,core_candidate,explicit law cue + formal rubric,"合同, 婚姻/继承/监护, 法律意义/规则",formal,/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/细则.docx,source_lock_cards/2024西城一模__Q18__sub3.md
2024顺义思政二模__Q19,2024顺义思政二模,19,1,core_candidate,explicit law cue + formal rubric,"婚姻/继承/监护, 纠纷解决",formal,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/试卷/试卷.docx,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx,source_lock_cards/2024顺义思政二模__Q19__sub1.md
2025东城一模__Q17,2025东城一模,17,0,core_candidate,explicit law cue + formal rubric,"劳动/平台用工, 物权/相邻关系/绿色原则",formal,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/细则/细则.pdf,source_lock_cards/2025东城一模__Q17__sub0.md
