suite_name,year_root,stage,full_path,file_count,paper_like_files,rubric_like_files
2024东城一模,2024各区模拟题,2024各区一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模,3,2,2
2024丰台一模,2024各区模拟题,2024各区一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模,3,2,2
2024朝阳一模,2024各区模拟题,2024各区一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模,4,3,3
2024海淀一模,2024各区模拟题,2024各区一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模,3,2,2
2024石景山一模,2024各区模拟题,2024各区一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模,2,1,1
2024西城一模,2024各区模拟题,2024各区一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模,5,4,3
2024东城二模,2024各区模拟题,2024各区二模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模,13,2,12
2024丰台二模,2024各区模拟题,2024各区二模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024丰台二模,2,1,1
2024朝阳二模,2024各区模拟题,2024各区二模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024朝阳二模,3,2,2
2024海淀二模,2024各区模拟题,2024各区二模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024海淀二模,4,3,2
2024西城二模,2024各区模拟题,2024各区二模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模,6,3,4
2024顺义思政二模,2024各区模拟题,2024各区二模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024顺义思政二模,2,1,1
2024朝阳期中,2024各区模拟题,2024各区期中,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024朝阳期中,5,4,3
2024海淀期中,2024各区模拟题,2024各区期中,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024海淀期中,2,1,1
2025东城一模,2025各区模拟题,2025各区一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025东城一模,2,1,1
2025丰台一模,2025各区模拟题,2025各区一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025丰台一模,2,1,1
2025延庆一模,2025各区模拟题,2025各区一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025延庆一模,2,1,1
2025房山一模,2025各区模拟题,2025各区一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025房山一模,2,1,1
2025朝阳一模,2025各区模拟题,2025各区一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模,6,2,5
2025海淀一模,2025各区模拟题,2025各区一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025海淀一模,3,1,1
2025石景山一模,2025各区模拟题,2025各区一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025石景山一模,2,1,1
2025西城一模,2025各区模拟题,2025各区一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025西城一模,2,1,1
2025门头沟一模,2025各区模拟题,2025各区一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025门头沟一模,2,1,1
2025顺义一模,2025各区模拟题,2025各区一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025顺义一模,2,1,1
2025东城二模,2025各区模拟题,2025各区二模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025东城二模,2,1,1
2025丰台二模,2025各区模拟题,2025各区二模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025丰台二模,9,1,8
2025昌平二模,2025各区模拟题,2025各区二模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025昌平二模,2,1,1
2025朝阳二模,2025各区模拟题,2025各区二模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025朝阳二模,3,1,1
2025海淀二模,2025各区模拟题,2025各区二模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025海淀二模,4,1,3
2025西城二模,2025各区模拟题,2025各区二模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025西城二模,2,1,1
2025东城期末,2025各区模拟题,2025各区期末,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025东城期末,3,1,2
2025丰台期末,2025各区模拟题,2025各区期末,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025丰台期末,2,1,1
2025朝阳期末,2025各区模拟题,2025各区期末,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025朝阳期末,3,1,1
2025海淀期中,2025各区模拟题,2025各区期末,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025海淀期中,2,1,1
2025海淀期末,2025各区模拟题,2025各区期末,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025海淀期末,2,1,1
2025西城期末,2025各区模拟题,2025各区期末,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025西城期末,2,1,1
2026东城一模,2026各区模拟题,2026各区一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模,24,3,20
2026丰台一模,2026各区模拟题,2026各区一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026丰台一模,4,2,1
