source_id,scoring_file_path,file_type,file_header_or_title,verified_evidence_level,p0_indicator,p1_indicator,p2_indicator,content_verified_method,xuanbiyi_terms_found,selected_xuanbiyi_terms,module_boundary_notes,recheck_status,recheck_finding
2026通州期末_细则,2026各区期末和期中/2026通州期末/细则/细则.pptx,pptx,"无独立标题但slide15显示""评分细则""",P0_verified_scoring_rule,yes,no,no,python-pptx_slide15_extracted,共商共建共享全球治理观;时代主题/经济全球化/顺应各国人民愿望;联合国宪章;国际新秩序/国际关系民主化/多边主义/正确义利观;人类命运共同体;贡献中国智慧和中国方案/大国担当,all_six_points_confirmed,none,closed,PASS: slide15明确标注评分细则六点结构与用户规格完全吻合
2026朝阳期中_细则,2026各区期末和期中/2026朝阳期中/细则/细则.docx,docx,无标题直接呈现评分结构,P0_verified_scoring_rule,yes,no,no,python-docx_full_text_extracted,两个市场两种资源;参与经济全球化;核心技术自主可控;总体国家安全观;正确义利观;人类命运共同体;贡献中国智慧和中国方案,Layer2 分说2:高质量发展属必修二;Layer1 分说1:创新驱动/新发展理念边界需检查,closed,PASS: 三层总说分说结构完整 选必一边界已在细则文本中可区分,
2025海淀期末_细则,2025各区期末/2025海淀期末/细则/细则.pptx,pptx,Slide1: 海淀区小学教师在线研修课程 2025-01-18,P2_teaching_or_lecture,no,no,yes,python-pptx_slide61_62_extracted,人类命运共同体;中国智慧中国方案,Slide62中选必一作为可选知识列表非固定采分点,partial_closed,P2: 文件是教师研修PPT但slide61明标22.细则; 选必一可选知识已确认; Q22选必一内容可用但证据层级为P2非P0; 用户要求must-include时可以P2证据级别录入,
2026西城期末_细则,2026各区期末和期中/2026西城期末/细则/细则.pdf,pdf,无法提取(扫描件),unknown_needs_visual_check,unknown,unknown,unknown,pdfminer_failed_only_5chars,unknown,unknown,需OCR后才能分类,blocked,BLOCKED: 扫描PDF无法文字提取 需OCR工具处理
2026西城期末_评标PPTX,2026各区期末和期中/2026西城期末/细则/补充材料/西城高三期末评标.pptx,pptx,无标题,P2_teaching_or_lecture,no,no,yes,python-pptx_all_slides_extracted,无选必一专题评分; 含双循环/两种资源(必修二语境),12张幻灯片均未呈现Q20选必一评分细则,partial_closed,P2但不含Q20选必一评分信息,
2026西城期末_参考答案,2026各区期末和期中/2026西城期末/细则/补充材料/高三思想政治参考答案.pdf,pdf,高三政治 参考答案,P1_reference_answer,no,yes,no,pdfminer_full_text_extracted,Q20提及推动构建公平合理合作共赢的全球气候治理体系; 贡献中国方案,Q20 is about 气候治理 but no formal scoring structure,partial_closed,P1参考答案: Q20原始设问未包含在内; 仅答案文字无法确认细则位置; 选必一terms推断存在待OCR细则确认,
2024东城一模_细则,2024东城一模/细则/细则.pptx,pptx,Slide1: 高三政治 试题分析,P2_teaching_or_lecture,no,no,yes,python-pptx_slide26_slide64_extracted,Slide26含: 国际关系民主化/推进构建新型国际关系/推动构建人类命运共同体; Slide64含: 经济全球化/两个市场两种资源/推进制度型开放,slide64的高水平对外开放属必修二; 推进制度型开放边界视评分定义,partial_closed,P2: 文件标题为试题分析但含16题阅卷细则和Q20评分信息; 不能升级为P0但内容可用P2级别录入; 须标注证据层级,
2025海淀期中_细则,2025各区期末/2025海淀期中/细则/细则.docx,docx,海淀区2024-2025学年高三年级第一学期期中练习,P1_reference_answer,no,yes,no,python-docx_full_text_extracted,Q16(2): 贸易摩擦/充分利用国际组织赋予的权利/积极参与全球经济治理和规则制定/两种资源两个市场; Q21(2): 政治多极化经济全球化深入发展/和平与发展时代主题/独立自主基本立场/和平共处五项原则/维护国家主权安全发展利益,Q16(2)含 充分利用国际国内两种资源两个市场 需确认是否必修二; Q21(2)含独立自主和平发展均属选必一,partial_closed,P1参考答案: 文字可读; 用户确认另有图片表格形式正式细则未找到; Q16(2)和Q21(2)选必一内容确认但证据层级为P1,
2025海淀二模_细则,2025各区二模/2025海淀二模/细则/细则.docx,docx,未提取标题,P1_reference_answer,no,yes,no,python-docx_paragraphs26-44_extracted,Q21: 联合国地位/集体安全/多边主义/三大支柱/多边合作主要舞台/中国地位/维护体系/贡献智慧方案,Q21全部6个得分点均已提取,Q20=哲学不入选必一; Q22=综合短文混合模块,closed,P1: 细则.docx为参考答案格式含评分结构，Q21条目完整; 评标实录.docx升格为P0补充证据
2025海淀二模_评标实录,2025各区二模/2025海淀二模/细则/补充材料/2025年海淀二模评标实录.docx,docx,文件名含评标实录,P0_verified_scoring_record,yes,no,no,python-docx_meta_discussion_extracted,Q21联合国80周年背景/材料一联合国作用/材料二中国在联合国表现,元讨论确认Q21评分逻辑两个维度,none,closed,P0: 文件为评标讨论实录，记录阅卷组长讨论结论，作为细则.docx的P0补充证据
