entry_id,source_id,year,district_or_exam_scope,exam_type,question_no,sub_question_no,question_type,module,unit_or_topic,material_trigger,scoring_term,term_function,why_this_term,answer_landing,evidence_level,evidence_source_type,needs_visual_check,needs_codex_compare,old_final_quality_reference_used,status
TZ2026_Q20_01,2026通州期末,2026,通州,期末,20,none,主观题_阐释理解,选必一,政治多极化_全球治理观,"材料呈现上海合作组织+峰会推出全球治理倡议，设问要求运用选必一知识谈""正逢其时指引方向彰显担当""",共商共建共享全球治理观,scoring_anchor_P0,全球治理倡议的核心理念直接对应该治理观,第1采分点1分必答,P0_verified_scoring_rule,pptx_slide15_评分细则,no,yes,no,closed_P0
TZ2026_Q20_02,2026通州期末,2026,通州,期末,20,none,主观题_阐释理解,选必一,时代背景,"材料中""正逢其时""触发对时代背景的解读",和平与发展是当今时代的主题/时代主题,scoring_anchor_P0,解释倡议为何正逢其时需先写时代背景,第2采分点共2分(时代主题/经济全球化/顺应各国人民愿望任写),P0_verified_scoring_rule,pptx_slide15_评分细则,no,yes,no,closed_P0
TZ2026_Q20_03,2026通州期末,2026,通州,期末,20,none,主观题_阐释理解,选必一,时代背景_经济全球化,"材料""正逢其时""触发经济全球化历史趋势的解释",经济全球化是历史发展的客观趋势/顺应各国人民愿望,scoring_anchor_P0,经济全球化作为时代背景补充或替代项,第2采分点共2分(与时代主题并列可替换),P0_verified_scoring_rule,pptx_slide15_评分细则,no,yes,no,closed_P0
TZ2026_Q20_04,2026通州期末,2026,通州,期末,20,none,主观题_阐释理解,选必一,联合国_国际法,"材料提到全球治理倡议援引国际准则，设问问""指引方向""",符合《联合国宪章》的宗旨和原则,scoring_anchor_P0,全球治理倡议与联合国宪章宗旨一脉相承是合法性来源,第3采分点1分,P0_verified_scoring_rule,pptx_slide15_评分细则,no,yes,no,closed_P0
TZ2026_Q20_05,2026通州期末,2026,通州,期末,20,none,主观题_阐释理解,选必一,政治多极化_国际秩序,"材料倡议推动更公平国际秩序，设问问""指引方向""",推动构建国际政治经济新秩序/倡导国际关系民主化/践行真正的多边主义/坚持正确义利观/兼顾利益,scoring_anchor_P0,任意一点解释方向指引内容，共2分,第4采分点共2分任意一点1分共2分,P0_verified_scoring_rule,pptx_slide15_评分细则,no,yes,no,closed_P0
TZ2026_Q20_06,2026通州期末,2026,通州,期末,20,none,主观题_阐释理解,选必一,中国_目标理念,"材料""指引方向""触发最终价值目标",推动构建人类命运共同体,scoring_anchor_P0,全球治理倡议指向人类共同未来是最高层目标,第5采分点1分,P0_verified_scoring_rule,pptx_slide15_评分细则,no,yes,no,closed_P0
TZ2026_Q20_07,2026通州期末,2026,通州,期末,20,none,主观题_阐释理解,选必一,中国_担当,"材料""彰显担当""直接对应该术语，设问含彰显担当字样",贡献中国智慧/中国方案/勇于大国担当,scoring_anchor_P0,"设问关键词""彰显担当""直接锁定该采分点",第6采分点1分,P0_verified_scoring_rule,pptx_slide15_评分细则,no,yes,no,closed_P0
CY2026Q17_L1T,2026朝阳期中,2026,朝阳,期中,17,none,主观题_阐述关系,选必一,中国_自主开放,材料甲乙丙三同学讨论AI+发展涉及自力更生与对外开放两个维度,处理好自力更生和对外开放的关系,scoring_anchor_P0_layer_summary,层总说是写出该层其余分说得分的前提,第1层总说1分,P0_verified_scoring_rule,docx_细则三层结构,no,yes,no,closed_P0
CY2026Q17_L1S1,2026朝阳期中,2026,朝阳,期中,17,none,主观题_阐述关系,选必一,中国_自主创新,甲同学强调核心技术不能受制于人直接触发自主可控,核心技术自主可控/把握创新主动权/创新驱动,scoring_anchor_P0_sublayer,第1层分说1: 自主方向1分,P0_verified_scoring_rule,docx_细则三层结构,no,yes,no,closed_P0,
CY2026Q17_L1S2,2026朝阳期中,2026,朝阳,期中,17,none,主观题_阐述关系,选必一,经济全球化,丙同学提全球南方合作触发参与全球化维度,积极参与经济全球化/充分利用两个市场两种资源/国际交流合作/参与国际分工,scoring_anchor_P0_sublayer,第1层分说2: 开放方向1分,P0_verified_scoring_rule,docx_细则三层结构,no,yes,no,closed_P0,
CY2026Q17_L2T,2026朝阳期中,2026,朝阳,期中,17,none,主观题_阐述关系,选必一,中国_安全,乙同学指出AI+面临数据安全系统安全等非传统安全威胁,处理好发展和安全的关系/统筹发展和安全,scoring_anchor_P0_layer_summary,层总说1分,P0_verified_scoring_rule,docx_细则三层结构,no,yes,no,closed_P0,
CY2026Q17_L2S1,2026朝阳期中,2026,朝阳,期中,17,none,主观题_阐述关系,选必一,中国_安全观,乙同学非传统安全威胁触发总体安全观术语,总体国家安全观/底线思维/维护国家科技经济安全,scoring_anchor_P0_sublayer,第2层分说1: 安全方向1分,P0_verified_scoring_rule,docx_细则三层结构,no,yes,no,closed_P0,
CY2026Q17_L2S2_BOUNDARY,2026朝阳期中,2026,朝阳,期中,17,none,主观题_阐述关系,必修二_边界排除,发展与安全关系,第2层分说2属必修二,经济高质量发展/注入新动能/经济平稳可持续,excluded_module_boundary,属必修二不录入选必一主表,excluded,excluded_not_relevant,docx_细则,no,no,no,excluded_boundary
CY2026Q17_L3T,2026朝阳期中,2026,朝阳,期中,17,none,主观题_阐述关系,选必一,中国_全球责任,丙同学全球南方合作触发中国发展与世界发展关系的总说,处理好中国发展和世界发展的关系,scoring_anchor_P0_layer_summary,第3层总说1分,P0_verified_scoring_rule,docx_细则三层结构,no,yes,no,closed_P0,
CY2026Q17_L3S1,2026朝阳期中,2026,朝阳,期中,17,none,主观题_阐述关系,选必一,理论_国家利益,第3层分说1: 维护本国利益方向,维护本国利益/谋求本国发展/满足人民美好生活需要,scoring_anchor_P0_sublayer,第3层分说1: 本国方向1分,P0_verified_scoring_rule,docx_细则三层结构,no,yes,no,closed_P0,
CY2026Q17_L3S2,2026朝阳期中,2026,朝阳,期中,17,none,主观题_阐述关系,选必一,中国_担当理念,第3层分说2: 兼顾他国合理关切和国际责任,兼顾他国合理关切/正确义利观/贡献中国智慧和中国方案/大国责任/人类命运共同体,scoring_anchor_P0_sublayer,第3层分说2: 世界方向1分,P0_verified_scoring_rule,docx_细则三层结构,no,yes,no,closed_P0,
XC2026Q20,2026西城期末,2026,西城,期末,20,none,主观题_气候治理,选必一_probable,气候治理_中国行动,材料关于中国落实巴黎协定/碳市场/绿色转型行动，设问问选必一知识，参考答案含贡献中国方案/构建合作共赢治理体系,贡献中国方案/推动构建合作共赢全球治理体系/展现大国担当,unknown_pending_P0_verification,需OCR细则.pdf后确认正式采分点,unknown_pending,unknown_needs_visual_check,pdf_scanned,yes,yes,no,provisional_blocker
HY2025Q22,2025海淀期末,2025,海淀,期末,22,none,主观题_综合短文,选必一,中国全球责任,愚公移山综合短文含多书知识，可选用人类命运共同体和中国智慧中国方案,人类命运共同体;中国智慧中国方案,optional_knowledge_P2,Slide62列为可选用选必一知识非固定采分点,可选非必答，综合运用加分,P2_teaching_or_lecture,pptx_teacher_training_slide62,no,yes,no,provisional_P2
HY2025Q16_2,2025海淀期中,2025,海淀,期中,16,2,主观题_经济全球化,选必一,经济全球化_贸易,咖啡企业出海背景下面临贸易摩擦和全球经济治理问题，设问含充分利用国际组织权利,贸易摩擦;充分利用国际组织赋予的权利;积极参与全球经济治理和规则制定;充分利用国际国内两种资源两个市场,scoring_term_in_reference_answer,选必一经济全球化和政治多极化链关键术语,需在参考答案层级验证,P1_reference_answer,docx_reference_answer_text,no,yes,no,provisional_P1
HY2025Q21_2,2025海淀期中,2025,海淀,期中,21,2,主观题_外交,选必一,中国外交政策,新中国外交时代背景变化，外交始终坚持独立自主/和平发展宗旨/维护主权安全发展利益,政治多极化经济全球化深入发展/和平与发展是时代主题/独立自主的基本立场/以和平共处五项原则为基本准则/维护世界和平促进共同发展,scoring_term_in_reference_answer,选必一时代背景和中国外交基本原则,需在参考答案层级验证,P1_reference_answer,docx_reference_answer_text,no,yes,no,provisional_P1
DC2024Q16,2024东城一模,2024,东城,一模,16,none,主观题_文化国际,选必一_boundary,文化与国际关系,"Q16是哲学文化混合题，slide26明确含""推进构建新型国际关系(国际关系民主化)/推动构建人类命运共同体""",国际关系民主化/推进构建新型国际关系/推动构建人类命运共同体,scoring_term_in_P2_analysis,属16题作答示例中的论证部分，含选必一，证据层级P2,P2_teaching_or_lecture,pptx_slide26_试题分析_含阅卷细则,no,yes,no,provisional_P2,
DC2024Q20,2024东城一模,2024,东城,一模,20,none,主观题_经济政策,选必一_boundary,经济全球化_对外开放,"Q20关于促消费政策，slide64含""深入融入经济全球化/两个市场两种资源联动/推进制度型开放""，4选3评分规则",深入融入经济全球化;两个市场两种资源联动效应;推进制度型开放,scoring_term_in_P2_analysis,选必一经济全球化链关键点，证据在试题分析PPTX中,P2_teaching_or_lecture,pptx_slide64_试题分析,no,yes,no,provisional_P2,
HY2026_1mo_Q20,2026海淀一模,2026,海淀,一模,20,none,主观题,选必一,unknown_pending,材料内容未提取设问未确认,unknown,unknown,未提取原始材料触发,unknown,P0_candidate,pdf_细则,no,yes,no,provisional_needs_content_check
CY1mo2026_Q20_01,2026朝阳一模,2026,朝阳,一模,20,none,主观题_阐述原因,选必一,理论_综合国力,材料呈现中国科技创新与全球供应链支撑能力，设问问注入稳定性的根本原因,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量,scoring_anchor_P0_required,国力竞争理论是分析中国能注入稳定性的理论出发点,必答点①第1分,P0_verified_scoring_rule,docx_北京市朝阳区高三政治阅卷细则,no,yes,no,closed_P0
CY1mo2026_Q20_02,2026朝阳一模,2026,朝阳,一模,20,none,主观题_阐述原因,选必一,中国_创新驱动,材料列举中国芯片AI新能源等科技突破成就,坚持创新驱动战略/科技实力日益增强/成为全球创新策源地,scoring_anchor_P0_required,创新驱动战略是中国科技实力增强的政策路径,必答点①第2分,P0_verified_scoring_rule,docx_北京市朝阳区高三政治阅卷细则,no,yes,no,closed_P0
CY1mo2026_Q20_03,2026朝阳一模,2026,朝阳,一模,20,none,主观题_阐述原因,选必一,中国_义利观担当,材料描述中国分享减贫生态经验，正能量关键词触发大国担当,坚持正确义利观/展现大国责任与担当/贡献中国智慧和中国方案,scoring_anchor_P0_optional,义利观和大国担当解释中国向世界贡献正能量的价值理念,选答角度②第1分,P0_verified_scoring_rule,docx_北京市朝阳区高三政治阅卷细则,no,yes,no,closed_P0
CY1mo2026_Q20_04,2026朝阳一模,2026,朝阳,一模,20,none,主观题_阐述原因,选必一,政治多极化_人类命运共同体,正能量指向超越零和博弈的共同未来，触发人类命运共同体,推动构建人类命运共同体,scoring_anchor_P0_optional,人类命运共同体是中国注入正能量的最高层价值目标,选答角度②第1分,P0_verified_scoring_rule,docx_北京市朝阳区高三政治阅卷细则,no,yes,no,closed_P0
CY1mo2026_Q20_05,2026朝阳一模,2026,朝阳,一模,20,none,主观题_阐述原因,选必一,经济全球化_两个市场,材料强调中国超大规模市场对全球供应链拉动作用,充分利用国内国际两个市场两种资源,scoring_anchor_P0_optional,两个市场两种资源是中国稳定性向全球传导的经济路径,选答角度③第1分,P0_verified_scoring_rule,docx_北京市朝阳区高三政治阅卷细则,no,yes,no,closed_P0
CY1mo2026_Q20_06,2026朝阳一模,2026,朝阳,一模,20,none,主观题_阐述原因,选必一,经济全球化_贸易便利化,材料中中国推动与各国贸易合作持续扩大,推动贸易投资自由化便利化,scoring_anchor_P0_optional,贸易投资自由化便利化是中国推动全球经济稳定的开放行动,选答角度③第1分,P0_verified_scoring_rule,docx_北京市朝阳区高三政治阅卷细则,no,yes,no,closed_P0
CY1mo2026_Q20_07,2026朝阳一模,2026,朝阳,一模,20,none,主观题_阐述原因,选必一,经济全球化_方向,材料中中国推动建立更公平的国际经济秩序,推动经济全球化朝着更加开放包容普惠平衡共赢的方向发展,scoring_anchor_P0_optional,推动全球化方向是中国注入稳定性的全球经济治理路径,选答角度③第1分,P0_verified_scoring_rule,docx_北京市朝阳区高三政治阅卷细则,no,yes,no,closed_P0
CY1mo2026_Q20_08,2026朝阳一模,2026,朝阳,一模,20,none,主观题_阐述原因,选必一,政治多极化_新型国际关系,材料中中国推动多边合作平台和共建倡议,推动建设合作共赢的新型国际关系/坚持共商共建共享,scoring_anchor_P0_optional,新型国际关系和共商共建共享是政治层面注入稳定性的路径,选答角度③第1分,P0_verified_scoring_rule,docx_北京市朝阳区高三政治阅卷细则,no,yes,no,closed_P0
CY1mo2026_Q20_09,2026朝阳一模,2026,朝阳,一模,20,none,主观题_阐述原因,选必一,时代背景_时代主题,设问问注入稳定性的原因，时代主题是背景层出发点,和平与发展是当今时代的主题,scoring_anchor_P0_optional,时代主题是中国和平发展道路的根本依据,选答角度③第1分,P0_verified_scoring_rule,docx_北京市朝阳区高三政治阅卷细则,no,yes,no,closed_P0
SY1mo2026_Q20_01,2026顺义一模,2026,顺义,一模,20,none,主观题_阐述逻辑,选必一,理论_共同利益,科技小院双赢模式触发国际合作的理论基础,共同利益,scoring_anchor_P0_required,共同利益是南南合作的理论基石,1分必答,P0_verified_scoring_rule,pptx_slide9_2026顺义一模评分细则,no,yes,no,closed_P0
