suite_id,year,district,exam_type,exam_paper_path,scoring_rule_path,scoring_rule_type,status,notes
2026通州期末,2026,通州,期末,2026模拟题/2026各区期末和期中/2026通州期末/试卷/试卷.pdf,2026模拟题/2026各区期末和期中/2026通州期末/细则/细则.pptx,pptx,in_scope,Q20 must-check six-point structure
2026朝阳期中,2026,朝阳,期中,2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,2026模拟题/2026各区期末和期中/2026朝阳期中/细则/细则.docx,docx,in_scope,Q17 must-check total/sublayer structure; also 补充材料/细则.docx
2026西城期末,2026,西城,期末,2026模拟题/2026各区期末和期中/2026西城期末/试卷/试卷.pdf,2026模拟题/2026各区期末和期中/2026西城期末/细则/细则.pdf,pdf,in_scope,Q20 must-include; also 补充材料/西城高三期末评标.pptx
2026东城期末,2026,东城,期末,2026模拟题/2026各区期末和期中/2026东城期末/试卷/试卷.pdf,2026模拟题/2026各区期末和期中/2026东城期末/细则/细则.pptx,pptx,in_scope,
2026丰台期末,2026,丰台,期末,2026模拟题/2026各区期末和期中/2026丰台期末/试卷/试卷.pdf,2026模拟题/2026各区期末和期中/2026丰台期末/细则/细则.pdf,pdf,in_scope,
2026朝阳期末,2026,朝阳,期末,2026模拟题/2026各区期末和期中/2026朝阳期末/试卷/试卷.pdf,2026模拟题/2026各区期末和期中/2026朝阳期末/细则/细则.pdf,pdf,in_scope,
2026海淀期中,2026,海淀,期中,2026模拟题/2026各区期末和期中/2026海淀期中/试卷/试卷.docx,2026模拟题/2026各区期末和期中/2026海淀期中/其他材料/期中讲评20251106.pdf,pdf,uncertain,Only 讲评 PDF available; no separate 细则 file; need to check for 选必一
2026海淀期末,2026,海淀,期末,2026模拟题/2026各区期末和期中/2026海淀期末/试卷/试卷.pdf,2026模拟题/2026各区期末和期中/2026海淀期末/细则/细则.pdf,pdf,excluded,User confirmed no 选必一 content
2026朝阳一模,2026,朝阳,一模,2026模拟题/2026各区一模/2026朝阳一模/试卷/试卷.pdf,2026模拟题/2026各区一模/2026朝阳一模/细则/细则.docx,docx,in_scope,
2026顺义一模,2026,顺义,一模,2026模拟题/2026各区一模/2026顺义一模/试卷/试卷.pdf,2026模拟题/2026各区一模/2026顺义一模/细则/细则.pptx,pptx,in_scope,
2026海淀一模,2026,海淀,一模,2026模拟题/2026各区一模/2026海淀一模/试卷/试卷.pdf,2026模拟题/2026各区一模/2026海淀一模/细则/细则.pdf,pdf,in_scope,
2026东城一模,2026,东城,一模,2026模拟题/2026各区一模/2026东城一模/试卷/试卷.pdf,2026模拟题/2026各区一模/2026东城一模/细则/细则.pdf,pdf+pptx,in_scope,Also has per-question pptx rubrics under 分题细则/
2026丰台一模,2026,丰台,一模,2026模拟题/2026各区一模/2026丰台一模/试卷/试卷.pdf,2026模拟题/2026各区一模/2026丰台一模/细则/细则.pptx,pptx,in_scope,
2026延庆一模,2026,延庆,一模,2026模拟题/2026各区一模/2026延庆一模/试卷/试卷.pdf,2026模拟题/2026各区一模/2026延庆一模/细则/细则.docx,docx,uncertain,Outer district; module boundary needs checking
2026房山一模,2026,房山,一模,2026模拟题/2026各区一模/2026房山一模/试卷/试卷.pdf,2026模拟题/2026各区一模/2026房山一模/细则/细则.docx,docx,uncertain,Outer district; module boundary needs checking
2026西城一模,2026,西城,一模,2026模拟题/2026各区一模/2026西城一模/试卷/试卷.docx,2026模拟题/2026各区一模/2026西城一模/细则/细则.docx,docx,in_scope,
2026石景山一模,2026,石景山,一模,2026模拟题/2026各区一模/2026石景山一模/试卷/试卷.pdf,2026模拟题/2026各区一模/2026石景山一模/细则/细则.doc,doc,uncertain,Not 石景山期末; still need to check
2026门头沟一模,2026,门头沟,一模,2026模拟题/2026各区一模/2026门头沟一模/试卷/试卷.pdf,2026模拟题/2026各区一模/2026门头沟一模/细则/细则.docx,docx,uncertain,Outer district; module boundary needs checking
2025海淀期中,2025,海淀,期中,2025模拟题/2025各区期末/2025海淀期中/试卷/试卷.pdf,2025模拟题/2025各区期末/2025海淀期中/细则/细则.docx,docx,in_scope,Q16(2) and Q21(2) must-check; 贸易摩擦/国际组织/全球经济治理
2025海淀期末,2025,海淀,期末,2025模拟题/2025各区期末/2025海淀期末/试卷/试卷.docx,2025模拟题/2025各区期末/2025海淀期末/细则/细则.pptx,pptx,in_scope,Q22 must-check; 人类命运共同体/中国智慧中国方案
2025东城期末,2025,东城,期末,2025模拟题/2025各区期末/2025东城期末/试卷/试卷.pdf,2025模拟题/2025各区期末/2025东城期末/细则/细则.pdf,pdf,in_scope,Also 补充材料/东城期末.pptx
2025丰台期末,2025,丰台,期末,2025模拟题/2025各区期末/2025丰台期末/试卷/试卷.pdf,2025模拟题/2025各区期末/2025丰台期末/细则/细则.pptx,pptx,in_scope,
2025朝阳期末,2025,朝阳,期末,2025模拟题/2025各区期末/2025朝阳期末/试卷/试卷.pdf,2025模拟题/2025各区期末/2025朝阳期末/细则/细则.pdf,pdf,in_scope,Also 其他材料/朝阳高三期末2025.pptx
2025西城期末,2025,西城,期末,2025模拟题/2025各区期末/2025西城期末/试卷/试卷.pdf,2025模拟题/2025各区期末/2025西城期末/细则/细则.pdf,pdf,in_scope,
2025海淀二模,2025,海淀,二模,2025模拟题/2025各区二模/2025海淀二模/试卷/试卷.pdf,2025模拟题/2025各区二模/2025海淀二模/细则/细则.docx,docx,in_scope,Also 补充材料/2025年海淀二模评标实录.docx and 其他材料/讲评.pdf
2025东城二模,2025,东城,二模,2025模拟题/2025各区二模/2025东城二模/试卷/试卷.pdf,2025模拟题/2025各区二模/2025东城二模/细则/细则.pdf,pdf,in_scope,
2025丰台二模,2025,丰台,二模,2025模拟题/2025各区二模/2025丰台二模/试卷/试卷.pdf,分题细则_docx,docx,in_scope,Per-question rubric docx files
2025昌平二模,2025,昌平,二模,2025模拟题/2025各区二模/2025昌平二模/试卷/试卷.pdf,2025模拟题/2025各区二模/2025昌平二模/细则/细则.pptx,pptx,uncertain,Outer district; module boundary needs checking
2025朝阳二模,2025,朝阳,二模,2025模拟题/2025各区二模/2025朝阳二模/试卷/试卷.pdf,2025模拟题/2025各区二模/2025朝阳二模/细则/细则.docx,docx,in_scope,
2025西城二模,2025,西城,二模,2025模拟题/2025各区二模/2025西城二模/试卷/试卷.pdf,2025模拟题/2025各区二模/2025西城二模/细则/细则.docx,docx,in_scope,
2025海淀一模,2025,海淀,一模,2025模拟题/2025各区一模/2025海淀一模/试卷/试卷.pdf,2025模拟题/2025各区一模/2025海淀一模/细则/细则.docx,docx,in_scope,
2025东城一模,2025,东城,一模,2025模拟题/2025各区一模/2025东城一模/试卷/试卷.pdf,2025模拟题/2025各区一模/2025东城一模/细则/细则.pdf,pdf,in_scope,
2025丰台一模,2025,丰台,一模,2025模拟题/2025各区一模/2025丰台一模/试卷/试卷.pdf,2025模拟题/2025各区一模/2025丰台一模/细则/细则.docx,docx,uncertain,
2025延庆一模,2025,延庆,一模,2025模拟题/2025各区一模/2025延庆一模/试卷/试卷.pdf,2025模拟题/2025各区一模/2025延庆一模/细则/细则.docx,docx,uncertain,Outer district
2025房山一模,2025,房山,一模,2025模拟题/2025各区一模/2025房山一模/试卷/试卷.pdf,2025模拟题/2025各区一模/2025房山一模/细则/细则.pdf,pdf,uncertain,Outer district
2025朝阳一模,2025,朝阳,一模,2025模拟题/2025各区一模/2025朝阳一模/试卷/试卷.pdf,2025模拟题/2025各区一模/2025朝阳一模/细则/细则.pdf,pdf,in_scope,Also 补充材料 阅卷总结 doc files
2025石景山一模,2025,石景山,一模,2025模拟题/2025各区一模/2025石景山一模/试卷/试卷.pdf,2025模拟题/2025各区一模/2025石景山一模/细则/细则.doc,doc,uncertain,
2025西城一模,2025,西城,一模,2025模拟题/2025各区一模/2025西城一模/试卷/试卷.pdf,2025模拟题/2025各区一模/2025西城一模/细则/细则.docx,docx,in_scope,
2025门头沟一模,2025,门头沟,一模,2025模拟题/2025各区一模/2025门头沟一模/试卷/试卷.pdf,2025模拟题/2025各区一模/2025门头沟一模/细则/细则.doc,doc,uncertain,Outer district
2025顺义一模,2025,顺义,一模,2025模拟题/2025各区一模/2025顺义一模/试卷/试卷.pdf,2025模拟题/2025各区一模/2025顺义一模/细则/细则.docx,docx,uncertain,
2024东城一模,2024,东城,一模,2024模拟题/2024东城一模/试卷/试卷.pdf,2024模拟题/2024东城一模/细则/细则.pptx,pptx,in_scope,Q16 and Q20 must-check; 阅卷细则PPT
2024朝阳一模,2024,朝阳,一模,2024模拟题/2024朝阳一模/试卷/试卷.pdf,2024模拟题/2024朝阳一模/细则/细则.pptx,pptx,in_scope,Also 补充材料/细则.docx and 其他材料/讲评.pptx
2024朝阳二模,2024,朝阳,二模,2024模拟题/2024朝阳二模/试卷/试卷.pdf,2024模拟题/2024朝阳二模/细则/细则.pdf,pdf,in_scope,Also 补充材料/细则.docx
2024朝阳期中,2024,朝阳,期中,2024模拟题/2024朝阳期中/试卷/试卷.pdf,2024模拟题/2024朝阳期中/细则/细则.docx,docx,in_scope,Also 补充材料/2024.11期中政治朝阳评标2.docx
2024海淀一模,2024,海淀,一模,2024模拟题/2024海淀一模/试卷/试卷.pdf,2024模拟题/2024海淀一模/细则/细则.docx,docx,in_scope,
2024海淀期中,2024,海淀,期中,2024模拟题/2024海淀期中/试卷/试卷.pdf,2024模拟题/2024海淀期中/细则/细则.pdf,pdf,in_scope,
2024东城二模,2024,东城,二模,2024模拟题/东城二模/试卷/试卷.pdf,分题细则_pptx_docx,pptx+docx,in_scope,Has per-question 阅卷总结 and scoring rule files
2024丰台一模,2024,丰台,一模,2024模拟题/丰台一模/试卷/试卷.pdf,2024模拟题/丰台一模/细则/细则.docx,docx,uncertain,
2024丰台二模,2024,丰台,二模,2024模拟题/丰台二模/试卷/试卷.pdf,2024模拟题/丰台二模/细则/细则.docx,docx,uncertain,
2024海淀二模,2024,海淀,二模,2024模拟题/海淀二模/试卷/试卷.pdf,2024模拟题/海淀二模/细则/细则.docx,docx,in_scope,
2024石景山一模,2024,石景山,一模,2024模拟题/石景山一模/试卷/试卷.docx,2024模拟题/石景山一模/细则/细则.pptx,pptx,uncertain,
2024西城一模,2024,西城,一模,2024模拟题/西城一模/试卷/试卷.docx,2024模拟题/西城一模/细则/细则.docx,docx,in_scope,Also 补充材料/阅卷细则（调整）
2024西城二模,2024,西城,二模,2024模拟题/西城二模/试卷/试卷.docx,2024模拟题/西城二模/细则/细则.docx,docx,in_scope,
2024顺义二模,2024,顺义,二模,2024模拟题/顺义思政二模/试卷/试卷.docx,2024模拟题/顺义思政二模/细则/细则.docx,docx,uncertain,
2024各区一模分类汇编选必一,2024,各区,一模汇编,2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必1.docx,same_file,docx,in_scope,Compiled 选必一 content across multiple districts
2026石景山期末,2026,石景山,期末,N/A,N/A,N/A,excluded,No scoring rules; all modules excluded by user policy
