entry_no,heading,qid_or_title,fake_prompt,meta_answer_instruction,node_specific,trigger_sufficient,answer_sentence_sufficient,action
1,1. 2024丰台一模 Q19(2)（主观题）,2024丰台一模 Q19(2)（主观题）,True,True,True,True,False,rewrite_from_source
2,2. 2024西城一模 Q19(5)（主观题）,2024西城一模 Q19(5)（主观题）,True,True,True,True,False,rewrite_from_source
3,3. 2024海淀二模 Q17(1)（主观题）,2024海淀二模 Q17(1)（主观题）,True,True,True,True,False,rewrite_from_source
4,4. 2025丰台一模 Q18(1)（主观题）,2025丰台一模 Q18(1)（主观题）,True,True,False,True,False,rewrite_from_source
5,5. 2025石景山一模 Q19（主观题）,2025石景山一模 Q19（主观题）,True,True,True,True,False,rewrite_from_source
6,6. 2025门头沟一模 Q21(1)（主观题）,2025门头沟一模 Q21(1)（主观题）,True,True,True,True,False,rewrite_from_source
7,7. 2026东城一模 Q19(1)（主观题）,2026东城一模 Q19(1)（主观题）,True,True,True,True,False,rewrite_from_source
8,8. 2026海淀一模 Q17(2)（主观题）,2026海淀一模 Q17(2)（主观题）,True,True,False,True,False,rewrite_from_source
9,9. 2026门头沟一模 Q18(2)（主观题）,2026门头沟一模 Q18(2)（主观题）,True,True,False,True,False,rewrite_from_source
10,10. 2026顺义一模 Q19(2)（主观题）,2026顺义一模 Q19(2)（主观题）,True,True,True,True,False,rewrite_from_source
11,11. 2026海淀期末 Q20(2)（主观题）,2026海淀期末 Q20(2)（主观题）,True,True,True,True,False,rewrite_from_source
12,12. 2026丰台期末 Q20（主观题）,2026丰台期末 Q20（主观题）,True,True,True,True,False,rewrite_from_source
13,13. 2024丰台一模 Q19(2)（主观题）,2024丰台一模 Q19(2)（主观题）,True,True,True,True,False,rewrite_from_source
14,14. 2024西城一模 Q19(5)（主观题）,2024西城一模 Q19(5)（主观题）,True,True,True,True,False,rewrite_from_source
15,15. 2026东城一模 Q19(1)（主观题）,2026东城一模 Q19(1)（主观题）,True,True,True,True,False,rewrite_from_source
