"file","line","bucket","core","count"
"CLAUDECODE_BATCH_001.md","5","时代背景","和平与发展仍是时代主题，经济全球化深入发展","2"
"CLAUDECODE_BATCH_001.md","38","理论","国家利益是国家生存和发展的权益，维护我国主权、安全和发展利益","1"
"CLAUDECODE_BATCH_001.md","59","经济全球化","处理好自力更生和对外开放的关系（参与经济全球化、国际分工、开放型经济、共商共建共享）","1"
"CLAUDECODE_BATCH_001.md","82","经济全球化","企业和政府利用国际组织赋予的权利，积极参与全球经济治理和规则制定，为企业""出海""营造良好国际环境","1"
"CLAUDECODE_BATCH_001.md","104","政治多极化","共商共建共享的全球治理观","1"
"CLAUDECODE_BATCH_001.md","122","政治多极化","推动构建国际新秩序、倡导国际关系民主化、践行多边主义、坚持正确义利观、兼顾各方合理利益","1"
"CLAUDECODE_BATCH_001.md","144","政治多极化","推动构建人类命运共同体","3"
"CLAUDECODE_BATCH_001.md","186","政治多极化","推进构建新型国际关系（国际关系民主化）","1"
"CLAUDECODE_BATCH_001.md","209","中国","贡献中国智慧、中国方案、勇于大国担当","2"
"CLAUDECODE_BATCH_001.md","241","中国","统筹发展和安全，坚持总体国家安全观（处理好发展和安全的关系）","1"
"CLAUDECODE_BATCH_001.md","266","中国","处理好中国发展和世界发展的关系（维护本国利益与兼顾他国关切，正确义利观，大国责任，共同体方向）","1"
"CLAUDECODE_BATCH_001.md","291","中国","中国综合国力不断增强，国际地位不断提升，承担越来越多的国际责任","1"
"CLAUDECODE_BATCH_001.md","311","中国","外交指导思想与时俱进，习近平外交思想为新时代中国特色大国外交提供根本遵循和行动指南","1"
"CLAUDECODE_BATCH_001.md","331","中国","中国国际影响力和话语权不断提升","1"
"CLAUDECODE_BATCH_001.md","350","中国","新中国外交始终服务于我国人民民主专政的国家性质","1"
"CLAUDECODE_BATCH_001.md","369","中国","坚持独立自主的和平外交政策——独立自主基本立场、维护世界和平促进共同发展宗旨、和平共处五项原则","1"
"CLAUDECODE_BATCH_001.md","392","联合国","符合《联合国宪章》宗旨和原则","1"
"CLAUDECODE_BATCH_002.md","9","理论","国家间共同利益是国家合作的基础","1"
"CLAUDECODE_BATCH_002.md","30","经济全球化","对标国际规则、规制、管理、标准，推进制度型开放，深入融入经济全球化","1"
"CLAUDECODE_BATCH_002.md","49","经济全球化","逐步放宽市场准入、依托超大市场吸引全球资源要素、增强国内国际两个市场两种资源联动效应","1"
"CLAUDECODE_BATCH_002.md","68","经济全球化","促进数字科技产品的贸易和使用，促进全球经济创新发展","1"
"CLAUDECODE_BATCH_002.md","86","经济全球化","搭建交流合作平台、促进相互投资贸易、为各国企业创造有利机遇，更好利用两个资源两个市场","1"
"CLAUDECODE_BATCH_002.md","105","经济全球化","数字平台、电子商务降低贸易成本，促进产品全球流通，共享中国发展机遇","1"
"CLAUDECODE_BATCH_002.md","124","经济全球化","促进数字经济领域投资和贸易自由化、便利化","1"
"CLAUDECODE_BATCH_002.md","142","经济全球化","提高开放型经济水平 / 建设高层次开放型经济","1"
"CLAUDECODE_BATCH_002.md","161","经济全球化","推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展","2"
"CLAUDECODE_BATCH_002.md","190","经济全球化","推动普惠包容的经济全球化 / 建设开放型世界经济 / 促进贸易自由化","1"
"CLAUDECODE_BATCH_002.md","212","政治多极化","维护发展中国家的利益（替代：完善全球治理 / 推进国际关系民主化）","1"
"CLAUDECODE_BATCH_002.md","231","政治多极化","促进共同发展、维护持久和平 / 共同推进现代化","1"
"CLAUDECODE_BATCH_002.md","252","中国","与发展中国家共享发展新机遇，惠民生增福祉，实现互利共赢","1"
"CLAUDECODE_BATCH_002.md","271","中国","开放广阔的中国市场 / 坚持正确义利观","1"
"CLAUDECODE_BATCH_002.md","290","中国","开辟中国特色大国外交的新境界 / 构建人类命运共同体的新实践","1"
"CLAUDECODE_BATCH_002.md","309","中国","中国作为联合国创始会员国、安理会常任理事国、世界上最大的发展中国家、国际政治经济格局中的重要力量","1"
"CLAUDECODE_BATCH_002.md","330","中国","贡献中国智慧和中国方案——完善全球治理 / 构建新型国际关系 / 全人类共同价值 / 正确义利观 / 构建人类命运共同体","1"
"CLAUDECODE_BATCH_002.md","349","中国","中国平等开放、合作共享的全球治理理念","1"
