suite_guess,question,likely_xuanbiyi,audit_status,final_location_by_suite_key,p0_or_v2_hit,v2_source_path_hit,v2_closure,matched_terms,book_named,has_scoring_context,choice_like_without_scoring,paper_source,rubric_source,paper_context,rubric_context,adjudication,adjudication_reason,action
2024一模,Q19,yes,new_or_unmatched_candidate_needs_triage,absent,no,no,,当代国际政治与经济；国际政治与经济；经济全球化；国际竞争；全球治理；供应链；产业链,yes,no,no,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编选必1.docx,,自由化便利化；通过运用先进技术降低成本、提高效率，推动全球供应链高质量发展；通过畅通全球供应链产业链，增强经济全球化活力，推动各国合作共赢。 2.（石景山一模19（2）） 新能源汽车已成为全球汽车产业转型发展的主要方向，也是促进世界经济持续增长的重要引擎。2023 年，我国全年汽车整车出口 491 万辆，同比增长 57.9%，首次跃居全球第一。其中，新能源汽车出口 120.3 万辆，同比增长 77.6%。出海大势之下，中国新能源汽车不但“走了出去”，也在悄悄“扎下根来”。以某企业为例，在继泰国等多国设厂后，计划采用全球先进的工艺设备和高度自动化的生产流程，在匈牙利建设全球领先的新能源汽车整车制造基地。匈牙利是欧洲重要的交通枢纽，拥有雄厚的工业基础，为该企业在当地建设工厂提供了良好的契机。生产基地的建设将创造数千,,CLOSED_DUPLICATE_CLASSIFICATION_SOURCE,分类汇编片段实际标注为石景山一模19(2)，对应题源已在终稿以2024石景山一模Q19展开；不是新增套卷题。,no_backfill
2024一模,Q21,yes,new_or_unmatched_candidate_needs_triage,absent,no,no,,经济全球化；供应链；产业链,no,no,no,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编选必1.docx,,，我国的创新指数位居全球第12位，已进入创新型国家行列。 中部、西部地区生产总值占全国的比重由2012年的21.3%、19.6%提高到了2022年的22.1%、21.4%。 2012至2022年，我国以年均3%的能源消费增速支撑了超过6%的经济增长。 我国已成为140多个国家和地区的主要贸易伙伴，进出口总额居世界第一。 2012至2023年，我国城乡居民人均可支配收入从1.65万元增至3.92万元。 资料卡三 资料卡三 资料卡四 资料卡四 地缘政治动荡，局部冲突频发，地区安全问题此起彼伏，全球性问题加剧。 个别国家泛化国家安全，把经贸科技交流政治化，筑起“小院高墙”。 发展鸿沟拉大，世界经济复苏艰难，经济增长动能不足，我国外部需求收缩。 经济全球化遇逆流，保护主义上升，全球产业链供应链出现本地化发展趋势。 地缘,,CLOSED_EXCLUDED_CLASSIFICATION_STRAY_CONTEXT,分类汇编窗口只含资料卡和经济全球化/供应链背景词，未定位正式主观题设问和评分细则。,no_backfill
2024朝阳一模,Q20,yes,new_or_unmatched_candidate_needs_triage,absent,no,no,,新型国际关系；人类命运共同体；和平共处五项原则,no,yes,no,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治质量检测一参考答案 上交版.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治一模试卷讲评.pptx,信原则要求经营者依法、诚信经营，保护消费者的合法权益。这不仅有利于平衡经营者与消费者之间的关系，而且有助于守法诚信的经营者扩大市场，并最终增进社会整体福祉。 20.（9分） （1）（5分） 以上推理属于充分条件假言推理。 充分条件假言判断，前件真，后件一定真，后件假，前件一定假。 考古发掘中已发掘出地底下有大量炭化竹节，故后件假，则前件假，即该区域当时广泛生长着竹子，以上推理成立。 （2）（4分） ①只有A区域古代气候较为温暖，A区域古代才能广泛生长着竹子， ②古代A区域广泛生长着竹子，,平衡、解决信息不对称问题） 有助于守法诚信的经营者扩大市场，并最终增进社会整体福祉。（激发市场活力/社会和谐稳定） （写出以上任意1点给1分，总分不超过2分） 20（1）参考答案： 以上推理属于充分条件假言推理。 充分条件假言判断，前件真，后件一定真，后件假，前件一定假。 考古发掘中已发掘出地底下有大量炭化竹节，故后件假，则前件假，即该区域当时广泛生长着竹子，以上推理成立。 细则： 推理类型： 充分条件假言推理（1分），没有替代，其他表述都不给分。 理由：充分条件假言判断，前件真，后件一定真，后件假，前件一定假。（2分） 替代：肯定前件，就能肯定后件/肯定前件式/前真后必真 考古发掘中已发掘出地底下有大量炭化竹节，故后件假，则前件假，即该区域当时广泛生长着竹子，以上推理成立。（2分） 结合材料分析，踩意。 20,CLOSED_EXCLUDED_OTHER_MODULE_LOGIC,题面和细则均为充分条件假言推理，属于逻辑与思维，不属于选必一。,no_backfill
2024海淀一模,Q16,yes,new_or_unmatched_candidate_needs_triage,absent,no,no,,人类命运共同体,no,yes,no,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\试卷\高三政治：一模试题.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\细则\2024海淀一模细则.docx,D．作为金砖国家成员，基于国家安全打造人类命运共同体 高三年级（思想政治） 第 5 页（共 8 页） 第二部分 本部分共 5 题，共 55 分。 16． （8 分）中国新一代载人飞船命名为“梦舟” ，月面着陆器命名为“揽月” 。 中国空间站建造完成后，登陆月球成为中国人探索太空的下一个目标。按计划，我国将在 2030 年前实现载人登陆月球开展科学探索。为实现这一目标，我国已于 2023 年底完成关键技术 攻关和方案研制工作。目前，长征十号运载火箭、 “梦舟”载人飞船、 “揽月”着陆器和登月服等已 完成方案阶段的各项研制工作，全面进入初样研 制阶段。 “梦舟”寓意载人月球探测承载中国人的航 天梦，开启探索太空的新征程，也体现了与神 舟、天舟飞船家族的体系传承。 “揽月”取自毛 泽东同志诗词“可上九天揽月” ，彰显,，共45分。 1．B 2．A 3．C 4．D 5．C6．B 7．C8．D9．B10．D11．C12．B13．A14．D 15．A 本部分共5题，共55分。 16.（8分）可从发挥主观能动性、联系的观点、发展的观点、实践的观点、民族精神等角度作答。 【细则】 （20分） 第一问,CLOSED_EXCLUDED_OTHER_MODULE_PHILOSOPHY,设问明示运用《哲学与文化》解释探索宇宙何以自信，人类命运共同体来自前置选择题残留。,no_backfill
2024海淀一模,Q17,yes,new_or_unmatched_candidate_needs_triage,absent,no,no,,国际竞争；高水平对外开放,no,yes,no,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\试卷\高三政治：一模试题.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\细则\2024海淀一模细则.docx,”取自毛 泽东同志诗词“可上九天揽月” ，彰显中国人探 索宇宙、登陆月球的自信。 结合材料，运用《哲学与文化》知识，谈谈中国人探索宇宙、登陆月球何以自信。 17． （20 分）高质量发展是新时代的硬道理。 材料一 哈尔滨的雪花、上海的“繁花” ……借助现代交通工具，南北互换式旅游成为触手 可及的浪漫，也带动了国内南北多省份“隐藏款土特产”走俏。 ◇ 黑龙江抚远市 2014 年从北美引进蔓越莓，现拥有全国最大的蔓越莓种植基地，其种植面 积超 4200 亩，每亩收益至少能达 6 万元，相当于过去 50 亩水稻或 100 亩玉米的收益。 ◇ 安徽霍邱县鹅肝以及各种鹅副产品的年产值达近 20 亿元，占全国鹅肥肝产量三成以上， 鹅肝产业发展辐射带动当地近 8000 人就业，从业人员年收入 5-8 万元。 ◇ 四川雅安市借,15．A 本部分共5题，共55分。 16.（8分）可从发挥主观能动性、联系的观点、发展的观点、实践的观点、民族精神等角度作答。 【细则】 （20分） 第一问17（1）依靠科技，因地制宜发展农村“隐藏款土特产”，促进当地特色产业发展和经济结构优化，推动乡村产业振兴。国内南北多省份“隐藏款土特产”走俏，满足人民美好生活需要，促进当地就业，增加村民收入，推动区域协调发展。坚持扩大内需与深化供给侧结构性改革相结合，推进高水平对外开放。 角度 表述 现代化产业体系 2分 促进当地特色产业发展 / 经济结构优化 / 发展现代农业 / 深化供给侧结构性改革 推进乡村振兴 2分 增加就业、村民收入、满足人民群众美好生活需要、共同富裕 促进区域协调发展 1分 协调/ 优势互补 推进高水平对外开放 2分 国内国际双循环/ 新发展格,CLOSED_EXCLUDED_BIXIU2_ECONOMY,题目主线为高质量发展、乡村振兴、现代化产业体系和高水平对外开放，细则未以《当代国际政治与经济》设问或独立采分。,no_backfill
2024西城一模,Q16,yes,new_or_unmatched_candidate_needs_triage,absent,no,no,,经济全球化；国际组织,no,yes,no,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\试卷\2024.4高三统一测试思想政治试卷.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\细则\2024西城一模细则.docx,腾四海》④“龙腾四海”显示了新兴国际组织活力，这是经济全球化发展的结果 A．①③ B．①④ C．②③ D．②④ 第二部分 本部分共4题，共55分。 16．（7分） 2023年6月1日，新版《北京市未成年人保护条例》（以下简称《条例》）施行。《条例》将“最有利于未成年人”原则放在重要位置，在与《中华人民共和国未成年保护法》保持一致的基础上，补充和细化规范了网络保护、剧本杀、网络欺凌预警等社会公众普遍关心的问题。 在修法过程中，北京市人大常委会以首善标准推进《条例》修订工作： 【倾听】广泛听取未成年人及其家长、人大代表、专家学者、学校教师等方面的意见和建议。 最担心的就是孩子沉迷于手机网络游戏。 最担心的就是孩子沉迷于手机网络游戏。 对网络游戏、网络直播打赏、算法推荐和在线教育等问题应高度关注，加强对未成年人的保护,7．A 8．D 9．D 10．A 11．B 12．C 13．B 14．A 15．C 第二部分共 6 题，共 55 分。 16．（7分） 市人大坚持社会主义法制统一和地方立法特色，（1分，二选一）以问题为导向，回应社会关切，坚持科学立法、民主立法，（2分，二选一）立良善之法，立管用之法；（1分，二选一）践行全过程人民民主，（1分）广泛听取各方意见建议，保障公民的知情权、参与权和表达权。（1分，多选一）（材料分析，1分） 细则： 法制统一和地方立法特色，变通：法律体系、法治体系、法律层级、依法立法 立良善之法，立管用之法，变通：提高立法质量 民主立法，变通：广泛听取社情民意、广开言路、集思广益、健全立法机关和社会公众沟通机制、立法体现人民意志 全过程人民民主：人民当家作主 【附中版调整】 依法立法（1+1材料）：维,CLOSED_EXCLUDED_POLITICS_AND_LAW,题目和细则为人大立法、科学立法、全过程人民民主；经济全球化来自选择题前文。,no_backfill
2024西城二模,Q16,yes,new_or_unmatched_candidate_needs_triage,absent,no,no,,国家利益；产业链,no,yes,no,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模\试卷\高三模拟测试思想政治试卷.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模\细则\2024西城二模细则.docx,据2023年监测情况显示，我国的生鲜乳乳脂肪平均值3.91g/100g，乳蛋白平均值3.28g/100g，菌落总数平均值11.04万CFU/mL，体细胞数平均值16.32万个/mL，这些营养卫生指标均已达到奶业发达国家水平。 新闻报道（部分） 近年来，我国生鲜乳例行监测抽检合格率多年来保持在99.5%以上，违禁添加物持续零检出。根据2023年监测情况显示，我国的生鲜乳乳脂肪平均值3.91g/100g，乳蛋白平均值3.28g/100g，菌落总数平均值11.04万CFU/mL，体细胞数平均值16.32万个/mL，这些营养卫生指标均已达到奶业发达国家水平。4． 某校学生做市场调查，发现不少消费者对上述监测结论有疑虑，总觉得进口奶更安全可靠。同学们拟向相关主管部门提出建议，以下合理的是 ①贯彻落实绿色发展理念，科学宏观,7．A 8．C 9．B 10．B 11．B 12．A 13．C 14．A 15．C 第二部分共 4 题，共 55 分。 16．（8分） 经营者应依法、诚信经营，保护消费者的合法权益。（2分，多选一）人民法院支持市民甲就首单购买行为适用食品安全法中的惩罚性赔偿请求，以此打击违法生产经营行为，维护了消费者的合法权益。（1分，材料分析） 民事主体行使民事权利时不能超过正当的界限，并且不得滥用民事权利损害国家利益、社会公共利益或者他人合法权益。（2分，二选一）市民甲的加购行为超出了正常的生活消费需要，人民法院对甲就加购行为提出的惩罚性赔偿请求不予支持，有利于引导消费者诚信、理性维权。（1分，材料分析） 人民法院的判决，体现了保证食品安全和维护生产经营秩序两种价值取向的平衡，有利于服务和保障经济社会高质量发展。（2分，多,CLOSED_EXCLUDED_LAW,题目和细则为消费者维权、民事权利边界和食品安全，不属于选必一。,no_backfill
2024顺义二模,Q20,yes,new_or_unmatched_candidate_needs_triage,absent,no,no,,人类命运共同体,no,yes,no,,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024顺义思政二模\细则\2024顺义思政二模细则.docx,,展，构建人类命运共同体。谋划发展新质生产力是政府的职责所在。 以人民为中心的发展理念，有利于满足人民日益增长的美好生活需要，提升人民的幸福感、安全感、获得感。 20.（1）把我国建成富强民主文明和谐美丽的社会主义现代化强国 （2）可以中国共产党的领导、实践和认识、科学的世界观和方法论、一切从实际出发、价值观等角度回答。 思想政治参考答案 第 page3 页（共 numpages 3 页）,CLOSED_EXCLUDED_OTHER_MODULE_COMPREHENSIVE,细则要求从党的领导、实践认识、科学世界观和价值观等角度回答，人类命运共同体只是上一段残留。,no_backfill
2025东城二模,Q21,yes,new_or_unmatched_candidate_needs_triage,absent,no,no,,当代国际政治与经济；国际政治与经济,yes,yes,no,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025东城二模\试卷\2025北京东城高三二模政治（教师版）.pdf,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025东城二模\细则\2025东城二模细则.pdf,》全面实施，发出 全球人工智能治理倡议…… 结合材料，运用《当代国际政治与经济》知识，写一篇小论文。 要求：自拟题目、观点明确、逻辑清晰，200 字左右。 21.(10 分)小小联系点，民主大气象。 2014 年，党中央提出建立基层立法联系点制度，2023 年该制度写入立法法，中国的民主之路越走越宽。 十多年来，全国人大常委会法工委先后设立 54 个基层立法联系点，就 185 件次法律草案、立法规划稿征求 群众“原汁原味”的意见建议 30520 多条，有 3300 多条真知灼见被立法研究吸纳。我国现行有效的 300 多件 法律中，有 142 件征求过联系点意见。 国家设置的基层立法联系点已覆盖全国，地域、人文、经济社会特色鲜明。上海虹桥联系点设在虹桥国际 中央法务区；新疆库车、云南大理联系点地处边疆民族地区；山,合材料，太宽泛。 （三）教学启示 ①考前依然要强调回归教材，继续加强对核心主干知识的准确理解。 ②强化训练分析“设问”和“材料”的能力，把握主旨和关键信息。 21.结合材料，综合运用所学，谈谈“小小联系点”蕴含的“民主大气象”。（10 分） （一）本题标准和变通 1.逻辑结构：说明小小联系点是什么——具体阐明小小联系点是如何体现民主大气象的 2.第一层：说明小小联系点是什么 2 分 党以人民为中心； 民主实践； 人大制度； 对民主政治规律的认识； 全过程人民民主…… 3.第二层：具体阐明小小联系点是如何体现民主大气象的 表达规范：归纳材料中主旨做法+具体体现民主气象的内容 分值总共 6 分，等级赋分；准确把握主旨归纳做法，赋分4 分；遵循表达规范，做法+ 意义的表达，赋分2 分；能够跨模块综合如哲学，如未综合，,CLOSED_EXCLUDED_ADJACENT_TO_Q20,Q20为选必一小论文且已入终稿；Q21是基层立法联系点与全过程人民民主，不属于选必一。,no_backfill
2025东城期末,Q21,yes,new_or_unmatched_candidate_needs_triage,absent,no,no,,当代国际政治与经济；国际政治与经济,yes,no,no,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025东城期末\试卷\2025北京东城高三（上）期末政治（教师版）.pdf,,继续磋商，就解决争议进行深入交流。 运用《当代国际政治与经济》知识，写一篇短文，谈谈你对上述材料的认识。 要求：题目自拟，观点明确，逻辑清晰，200 字左右。 21．（10 分）中国式现代化，民生为大。 材料一：民生无小事枝叶总关情 第7页/共20页 材料二：发展向前 民生向暖 发展为民生 2023 年，全国居民人均可支配收入已达 39218 元， 比上年实际增长 6.1%。 截至 2023 年底，全国基本医疗保险参保约 13.34 亿 人，覆盖率达 95%以上。 2023 年，我国高等教育毛入学率超过 60%，规模位 居世界第一。 截至 2023 年底，全国共有体育场地 459.3 万个，面 积达 40.7 亿平方米。 …… 治理重民生 全国人大加强民生领域立法，居民意见通过基层立 法联系点搭上国家立法“直通,,CLOSED_EXCLUDED_ADJACENT_TO_Q20,选必一短文在Q20，已入终稿；Q21是中国式现代化民生议题。,no_backfill
