year_root,year,district,stage,suite_guess,role,suffix,size,mtime,sha256,relative_path,source_path,cache_status,cache_method,cache_chars,cache_text_path,cache_render_dir
2024各区模拟题,2023,东城,一模,2023东城一模,answer,.pdf,2611809,2025-03-22T22:33:16,7b4eece2963205d8ac02ef13063307a3dad70cf6542b6169f3ed34276f16e115,2024各区一模\2024东城一模\其他材料\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\其他材料\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,rendered-ocr-needed,pdf-text+render,0,,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\7b4eece2963205d8
2024各区模拟题,2024,东城,一模,2024东城一模,rubric,.pptx,18611296,2026-04-01T16:30:59,4b2073bcc9e26f626b49b66dd6e0c64ec93650292d50719806830d7aea9fa3ce,2024各区一模\2024东城一模\细则\2024东城一模细则.pptx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\细则\2024东城一模细则.pptx,text-extracted,pptx-xml,9254,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\texts\4b2073bcc9e26f62_2024东城一模细则.txt,
2024各区模拟题,2023,东城,一模,2023东城一模,paper,.pdf,12078779,2025-03-22T22:33:16,74cdfac9253763bf12c9443d036ebbeab12693ba7015a2f335d19ccfcab6d96b,2024各区一模\2024东城一模\试卷\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治试卷(1).pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\试卷\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治试卷(1).pdf,rendered-ocr-needed,pdf-text+render,0,,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\74cdfac9253763bf
2024各区模拟题,2024,丰台,一模,2024丰台一模,rubric,.docx,24557,2025-03-22T22:33:14,950d6b2d3cdda441625d9b2a0c2329d7ae34212d804c3fe005a66b23fb369a49,2024各区一模\2024丰台一模\细则\2024丰台一模细则.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\细则\2024丰台一模细则.docx,text-extracted,docx-xml,4579,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\texts\950d6b2d3cdda441_2024丰台一模细则.txt,
2024各区模拟题,2024,丰台,一模,2024丰台一模,answer,.pdf,458340,2025-03-22T22:33:14,5f5486bfc3baab2bc1a8e43b06b8aac6377e1402d4402e5d0bb90ad292755521,2024各区一模\2024丰台一模\试卷\2024北京丰台高三一模政治试题及答案.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\试卷\2024北京丰台高三一模政治试题及答案.pdf,text-extracted,pypdf,8880,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\texts\5f5486bfc3baab2b_2024北京丰台高三一模政治试题及答案.txt,
2024各区模拟题,2024,丰台,一模,2024丰台一模,paper,.pdf,4148690,2025-03-22T22:33:14,4800d0b858f0ede60439e12a5beb3bc2fc32754fa602054f5f6fd74ce4bb6bc4,2024各区一模\2024丰台一模\试卷\丰台高三一模政治试卷终版.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\试卷\丰台高三一模政治试卷终版.pdf,text-extracted,pypdf,984,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\texts\4800d0b858f0ede6_丰台高三一模政治试卷终版.txt,
2024各区模拟题,2024,朝阳,一模,2024朝阳一模,rubric,.pptx,7699972,2025-03-22T22:33:38,d64506799887753ee409ebc7e63cf977de6843f62f7ebb327b6cca74477a8272,2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治一模试卷讲评.pptx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治一模试卷讲评.pptx,text-extracted,pptx-xml,10935,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\texts\d64506799887753e_202404朝阳高三政治一模试卷讲评.txt,
2024各区模拟题,2024,朝阳,一模,2024朝阳一模,answer,.docx,29215,2025-03-22T22:33:16,f6013d54b52c02dcf40a2ff1f845c124598281324f98545a577914b901e7688c,2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治质量检测一参考答案 上交版.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治质量检测一参考答案 上交版.docx,text-extracted,docx-xml,1902,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\texts\f6013d54b52c02dc_202404朝阳高三政治质量检测一参考答案_上交版.txt,
2024各区模拟题,2024,朝阳,一模,2024朝阳一模,rubric,.pptx,7699972,2026-04-01T15:47:23,d64506799887753ee409ebc7e63cf977de6843f62f7ebb327b6cca74477a8272,2024各区一模\2024朝阳一模\细则\2024朝阳一模细则.pptx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\细则\2024朝阳一模细则.pptx,text-extracted,pptx-xml,10935,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\texts\d64506799887753e_2024朝阳一模细则.txt,
2024各区模拟题,2024,朝阳,一模,2024朝阳一模,paper,.pdf,1324697,2025-03-22T22:33:16,25b655e73b7424e7aa7bb467e71553461c8133b8e7e161e6d9de575176b949cc,2024各区一模\2024朝阳一模\试卷\202404朝阳高三一模试题.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\试卷\202404朝阳高三一模试题.pdf,text-extracted,pypdf,6948,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\texts\25b655e73b7424e7_202404朝阳高三一模试题.txt,
2024各区模拟题,2024,海淀,一模,2024海淀一模,answer,.docx,22184,2025-03-22T22:33:16,98d1d762f302004f8166a9f61d972313912724efef27025c64f909cc1b585c65,2024各区一模\2024海淀一模\其他材料\一模政治-答案.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\其他材料\一模政治-答案.docx,text-extracted,docx-xml,1641,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\texts\98d1d762f302004f_一模政治-答案.txt,
2024各区模拟题,2024,海淀,一模,2024海淀一模,rubric,.docx,67046,2025-03-22T22:33:16,b692254ceb1b81747ef1b03d5e5f42daeb261dab7b8951bcbb992980e56ad378,2024各区一模\2024海淀一模\细则\2024海淀一模细则.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\细则\2024海淀一模细则.docx,text-extracted,docx-xml,3032,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\texts\b692254ceb1b8174_2024海淀一模细则.txt,
2024各区模拟题,2024,海淀,一模,2024海淀一模,paper,.pdf,658903,2025-03-22T22:33:16,4bc0edec2a08a90ef83b813fd06a431d5ee7a1fc68cf77bd65b2c98d553d2eaa,2024各区一模\2024海淀一模\试卷\高三政治：一模试题.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\试卷\高三政治：一模试题.pdf,text-extracted,pypdf,8265,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\texts\4bc0edec2a08a90e_高三政治_一模试题.txt,
2024各区模拟题,2024,石景山,一模,2024石景山一模,other,.pptx,10536645,2025-03-22T22:33:16,935b8ea1e01b3ba5839af0dcf7680952bcfce7b3d5f389c487f2d4c2b5581e83,2024各区一模\2024石景山一模\其他材料\2024年石景山一模.pptx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模\其他材料\2024年石景山一模.pptx,text-extracted,pptx-xml,12457,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\texts\935b8ea1e01b3ba5_2024年石景山一模.txt,
2024各区模拟题,2024,石景山,一模,2024石景山一模,answer,.docx,353125,2025-03-22T22:33:16,f581620be44a4c2cae69e737697ee15d754603627ddd385dd6be1c207c5e43f6,2024各区一模\2024石景山一模\试卷\2024北京石景山高三一模政治（教师版带答案）.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模\试卷\2024北京石景山高三一模政治（教师版带答案）.docx,text-extracted,docx-xml,9185,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\texts\f581620be44a4c2c_2024北京石景山高三一模政治_教师版带答案.txt,
2024各区模拟题,2024,西城,一模,2024西城一模,answer,.docx,42156,2025-03-22T22:33:13,91e28443e7a1bb0e34bca296c1123a8f31b6e7ed15bdb682f73f9dd8f5a8a0a2,2024各区一模\2024西城一模\其他材料\2024.4高三统一测试思想政治答案.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\其他材料\2024.4高三统一测试思想政治答案.docx,text-extracted,docx-xml,1760,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\texts\91e28443e7a1bb0e_2024.4高三统一测试思想政治答案.txt,
2024各区模拟题,2024,西城,一模,2024西城一模,rubric,.docx,48086,2025-03-22T22:33:13,f7bcf000f212cc694cabd0e1acf8ba29e5aa99810d2d5d25e839024388f97271,2024各区一模\2024西城一模\细则\2024西城一模细则.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\细则\2024西城一模细则.docx,text-extracted,docx-xml,3145,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\texts\f7bcf000f212cc69_2024西城一模细则.txt,
2024各区模拟题,2024,西城,一模,2024西城一模,paper,.docx,2046293,2025-03-22T22:33:14,2aa2ee045f75ecd86ef7f244b034451ef8d587c96ea3805c41189bcb09b43e74,2024各区一模\2024西城一模\试卷\2024.4高三统一测试思想政治试卷.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\试卷\2024.4高三统一测试思想政治试卷.docx,text-extracted,docx-xml,7314,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\texts\2aa2ee045f75ecd8_2024.4高三统一测试思想政治试卷.txt,
2024各区模拟题,2023,东城,二模,2023东城二模,answer,.pdf,3561061,2025-03-22T22:33:15,8db78abe18de23092b76d0e9c9e32751026a31b07b1c3fad790b52daa3dbf842,2024各区二模\2024东城二模\其他材料\002北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治答案.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\其他材料\002北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治答案.pdf,rendered-ocr-needed,pdf-text+render,0,,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\8db78abe18de2309
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.docx,1030669,2025-03-22T22:33:15,3fe06deac367805d39bc33669269116e42be7e0e03a8f09f14961f5b37532691,2024各区二模\2024东城二模\细则\2024东城二模细则\16题\16题二模阅卷总结.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\16题\16题二模阅卷总结.docx,text-extracted,docx-xml,1663,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\texts\3fe06deac367805d_16题二模阅卷总结.txt,
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.pptx,42333,2025-03-22T22:33:15,896b0f378cbdeb1f970df2a3b24e3cd6fdcb261cfd3ad4cd94b167d6d0a98e08,2024各区二模\2024东城二模\细则\2024东城二模细则\16题\16题评分细则.pptx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\16题\16题评分细则.pptx,text-extracted,pptx-xml,1459,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\texts\896b0f378cbdeb1f_16题评分细则.txt,
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.docx,887638,2025-03-22T22:33:15,47c34e3af056b334dd996f812b5d42727be3702de4feafbae10f229544f7bd08,2024各区二模\2024东城二模\细则\2024东城二模细则\17题\17(1).docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\17题\17(1).docx,text-extracted,docx-xml,809,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\texts\47c34e3af056b334_17_1.txt,
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.docx,819612,2025-03-22T22:33:15,72fd64a3dddd2c89bbd06e5e6328db85aeec5424a2831210e2a8e9bc114c1530,2024各区二模\2024东城二模\细则\2024东城二模细则\17题\17-2.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\17题\17-2.docx,text-extracted,docx-xml,1141,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\texts\72fd64a3dddd2c89_17-2.txt,
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.docx,1488308,2025-03-22T22:33:15,4238b9f0bc92fe5b3f58323b74891534a8d8f75090bde8bdfbe250ad6eb8b270,2024各区二模\2024东城二模\细则\2024东城二模细则\18题\18(1).docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\18题\18(1).docx,text-extracted,docx-xml,1118,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\texts\4238b9f0bc92fe5b_18_1.txt,
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.docx,1472682,2025-03-22T22:33:15,6c445538df98876c8f6403311e9861f6eb6e197842299ee1eaa4b6e128e47774,2024各区二模\2024东城二模\细则\2024东城二模细则\18题\18（2）.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\18题\18（2）.docx,text-extracted,docx-xml,1952,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\texts\6c445538df98876c_18_2.txt,
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.docx,1545984,2025-03-22T22:33:15,d682ecb2695e5e33707dce0cdd1b130fe562eee0beb49bd6a6062cb1e8565394,2024各区二模\2024东城二模\细则\2024东城二模细则\19题\19（1）.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\19题\19（1）.docx,text-extracted,docx-xml,1542,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\texts\d682ecb2695e5e33_19_1.txt,
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.docx,20052,2025-03-22T22:33:15,5c18cbecb82d97a6baea3a713f8752aa6b823aac2abaa987d8f4667a7dd3e6c8,2024各区二模\2024东城二模\细则\2024东城二模细则\19题\19（2）.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\19题\19（2）.docx,text-extracted,docx-xml,578,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\texts\5c18cbecb82d97a6_19_2.txt,
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.docx,941301,2025-03-22T22:33:15,4c98484a2246ecdd9e1f7c2d58679a3fe54dbb2e95ea6d588c3220e6ea00bf13,2024各区二模\2024东城二模\细则\2024东城二模细则\21题\20小题二模阅卷总结.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\21题\20小题二模阅卷总结.docx,text-extracted,docx-xml,728,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\texts\4c98484a2246ecdd_20小题二模阅卷总结.txt,
