audit_status,suite_guess,role,relative_path,render_dir,replacement_count,rubric_replacement_count,paper_answer_replacement_count,replacement_examples,reason
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2023东城一模,answer,2024各区一模\2024东城一模\其他材料\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\7b4eece2963205d8,1,1,0,2024各区一模\2024东城一模\细则\2024东城一模细则.pptx,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2023东城一模,paper,2024各区一模\2024东城一模\试卷\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治试卷(1).pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\74cdfac9253763bf,1,1,0,2024各区一模\2024东城一模\细则\2024东城一模细则.pptx,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2023东城二模,answer,2024各区二模\2024东城二模\其他材料\002北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治答案.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\8db78abe18de2309,11,11,0,2024各区二模\2024东城二模\细则\2024东城二模细则\16题\16题二模阅卷总结.docx；2024各区二模\2024东城二模\细则\2024东城二模细则\16题\16题评分细则.pptx,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2023东城二模,paper,2024各区二模\2024东城二模\试卷\001北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\da9fdcae666d3412,11,11,0,2024各区二模\2024东城二模\细则\2024东城二模细则\16题\16题二模阅卷总结.docx；2024各区二模\2024东城二模\细则\2024东城二模细则\16题\16题评分细则.pptx,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2024丰台二模,paper,2024各区二模\2024丰台二模\试卷\丰台高三二模政治试卷.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\57ddd500c48eeec9,1,1,0,2024各区二模\2024丰台二模\细则\2024丰台二模细则.docx,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2025朝阳一模,rubric,2025各区一模\2025朝阳一模\细则\2025朝阳一模细则.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\f5f683a900508fd2,5,4,1,2025各区一模\2025朝阳一模\其他材料\20250329高3阅卷总结17 1题 具身智能 任会波组 阐释论证.doc；2025各区一模\2025朝阳一模\其他材料\20250329高3阅卷总结18题 社区治理 汤桃玲组 探究建构.doc；2025各区一模\2025朝阳一模\试卷\2025北京朝阳高三一模政治（教师版）.pdf,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2025朝阳二模,paper,2025各区二模\2025朝阳二模\其他材料\扫描全能王 2025-05-13 21.42.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\613f35ecb7c41e67,2,1,1,2025各区二模\2025朝阳二模\细则\2025朝阳二模细则.docx；2025各区二模\2025朝阳二模\试卷\2025北京朝阳高三二模政治（教师版）.pdf,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2025海淀二模,paper,2025各区二模\2025海淀二模\试卷\2025北京海淀高三二模政治.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\7ff16fecb25f793f,3,3,0,2025各区二模\2025海淀二模\其他材料\2025届二模考试讲评0510.pdf；2025各区二模\2025海淀二模\其他材料\2025年海淀二模评标实录.docx,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2025朝阳期末,rubric,2025各区期末\2025朝阳期末\细则\2025朝阳期末细则.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\953eaee3f98d8598,2,0,1,2025各区期末\2025朝阳期末\试卷\2025北京朝阳高三（上）期末政治（教师版）.pdf,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2026东城一模,paper,2026各区一模\2026东城一模\2026东城一模 原卷扫描版.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\34b21a3a804e567c,20,18,2,2026各区一模\2026东城一模\26东城一模细则.pdf；2026各区一模\2026东城一模\东城一模评标细则（勿传）\16.pptx；2026各区一模\2026东城一模\2026北京东城高三一模政治（教师版）.pdf；2026各区一模\2026东城一模\试卷\2026北京东城高三一模政治（教师版）.pdf,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2026东城一模,rubric,2026各区一模\2026东城一模\东城一模细则.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\eaae525d6ec9cabb,20,18,2,2026各区一模\2026东城一模\26东城一模细则.pdf；2026各区一模\2026东城一模\东城一模评标细则（勿传）\16.pptx；2026各区一模\2026东城一模\2026北京东城高三一模政治（教师版）.pdf；2026各区一模\2026东城一模\试卷\2026北京东城高三一模政治（教师版）.pdf,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2026东城一模,rubric,2026各区一模\2026东城一模\其他材料\东城一模细则.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\eaae525d6ec9cabb,20,18,2,2026各区一模\2026东城一模\26东城一模细则.pdf；2026各区一模\2026东城一模\东城一模评标细则（勿传）\16.pptx；2026各区一模\2026东城一模\2026北京东城高三一模政治（教师版）.pdf；2026各区一模\2026东城一模\试卷\2026北京东城高三一模政治（教师版）.pdf,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2026东城一模,paper,2026各区一模\2026东城一模\试卷\2026东城一模 原卷扫描版.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\34b21a3a804e567c,20,18,2,2026各区一模\2026东城一模\26东城一模细则.pdf；2026各区一模\2026东城一模\东城一模评标细则（勿传）\16.pptx；2026各区一模\2026东城一模\2026北京东城高三一模政治（教师版）.pdf；2026各区一模\2026东城一模\试卷\2026北京东城高三一模政治（教师版）.pdf,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2026丰台一模,paper,2026各区一模\2026丰台一模\丰台一模.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\6e8f2df5ef86ff9e,2,1,0,2026各区一模\2026丰台一模\细则\2026丰台一模细则.pptx,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2026丰台一模,paper,2026各区一模\2026丰台一模\试卷\丰台一模.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\6e8f2df5ef86ff9e,2,1,0,2026各区一模\2026丰台一模\细则\2026丰台一模细则.pptx,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2026房山一模,paper,2026各区一模\2026房山一模\2026北京房山高三一模政治.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\e37482eff39f3618,2,2,0,2026各区一模\2026房山一模\26 房山一模评标 全.docx；2026各区一模\2026房山一模\细则\2026房山一模细则.docx,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2026房山一模,paper,2026各区一模\2026房山一模\试卷\2026北京房山高三一模政治.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\e37482eff39f3618,2,2,0,2026各区一模\2026房山一模\26 房山一模评标 全.docx；2026各区一模\2026房山一模\细则\2026房山一模细则.docx,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2026海淀一模,paper,2026各区一模\2026海淀一模\2026海淀一模 试卷扫描版_去水印.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\03e0412bb80579d8,2,2,0,2026各区一模\2026海淀一模\26海淀一模政治评分标准.pdf；2026各区一模\2026海淀一模\细则\2026海淀一模细则.pdf,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2026海淀一模,paper,2026各区一模\2026海淀一模\试卷\2026海淀一模 试卷扫描版_去水印.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\03e0412bb80579d8,2,2,0,2026各区一模\2026海淀一模\26海淀一模政治评分标准.pdf；2026各区一模\2026海淀一模\细则\2026海淀一模细则.pdf,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2026西城一模,paper,2026各区一模\2026西城一模\2026北京西城高三一模政治.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\5581e0237e861511,4,2,2,2026各区一模\2026西城一模\细则\2026西城一模细则.docx；2026各区一模\2026西城一模\高三一模阅卷细则26.04(1).docx；2026各区一模\2026西城一模\试卷\高三统一测试思想政治试卷.docx；2026各区一模\2026西城一模\高三统一测试思想政治试卷.docx,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2026西城一模,paper,2026各区一模\2026西城一模\试卷\2026北京西城高三一模政治.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\5581e0237e861511,4,2,2,2026各区一模\2026西城一模\细则\2026西城一模细则.docx；2026各区一模\2026西城一模\高三一模阅卷细则26.04(1).docx；2026各区一模\2026西城一模\试卷\高三统一测试思想政治试卷.docx；2026各区一模\2026西城一模\高三统一测试思想政治试卷.docx,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2026通州一模,paper,2026各区一模\2026通州一模\2026北京通州高三一模政治.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\dced3f3054457ebc,1,1,0,2026各区一模\2026通州一模\26 通州一模评标.pdf,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2026西城二模,rubric,2026各区二模\2026西城二模\细则\西城二模评标.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\f414cf7940ad8202,1,0,1,2026各区二模\2026西城二模\试卷\2026北京西城高三二模政治（教师版）.docx,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2026顺义二模,paper,2026各区二模\2026顺义二模\26顺义二模(1).pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\fb15943f37f694ac,1,1,0,2026各区二模\2026顺义二模\26顺义二模评标.doc,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2026丰台期末,paper,2026各区期末和期中\2026丰台期末\2026北京丰台高三（上）期末政治.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\6553ff85e09d299a,2,2,0,2026各区期末和期中\2026丰台期末\丰台高三期末主观题评标.pdf；2026各区期末和期中\2026丰台期末\细则\2026丰台期末细则.pdf,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2026丰台期末,paper,2026各区期末和期中\2026丰台期末\试卷\2026北京丰台高三（上）期末政治.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\6553ff85e09d299a,2,2,0,2026各区期末和期中\2026丰台期末\丰台高三期末主观题评标.pdf；2026各区期末和期中\2026丰台期末\细则\2026丰台期末细则.pdf,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_VISUAL_RENDER_REVIEW,2026朝阳期末,paper,2026各区期末和期中\2026朝阳期末\2026北京朝阳高三（上）期末政治.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\e1a49527cb4c175f,0,0,0,,已视觉复核试卷渲染页5-8：Q17政治与法治，Q18法律与生活/逻辑与思维，Q19经济与社会，Q20明确《当代国际政治与经济》，Q21综合运用所学但非明确选必一。
CLOSED_BY_VISUAL_RENDER_REVIEW,2026朝阳期末,rubric,2026各区期末和期中\2026朝阳期末\2026朝阳期末细则.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\487b2d15b3a3ac2b,0,0,0,,已视觉复核细则渲染页1-4：Q20细则给出和平发展、政治、经济、国家利益四角度；终稿已以2026朝阳期末Q20多点展开。
CLOSED_BY_VISUAL_RENDER_REVIEW,2026朝阳期末,rubric,2026各区期末和期中\2026朝阳期末\细则\2026朝阳期末细则.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\487b2d15b3a3ac2b,0,0,0,,同一细则重复路径；视觉结论同上。
CLOSED_BY_VISUAL_RENDER_REVIEW,2026朝阳期末,paper,2026各区期末和期中\2026朝阳期末\试卷\2026北京朝阳高三（上）期末政治.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\e1a49527cb4c175f,0,0,0,,同一试卷重复路径；视觉结论同上。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2025海淀期中,rubric,2026各区期末和期中\2026海淀期中\期中讲评20251106.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\e65381bd22912637,2,0,2,2026各区期末和期中\2026海淀期中\2025北京海淀高三（上）期中政治（教师版）.docx；2026各区期末和期中\2026海淀期中\试卷\2025北京海淀高三（上）期中政治（教师版）.docx,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2026海淀期中,rubric,2026各区期末和期中\2026海淀期中\细则\2026海淀期中细则.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\e65381bd22912637,2,0,2,2026各区期末和期中\2026海淀期中\2025北京海淀高三（上）期中政治（教师版）.docx；2026各区期末和期中\2026海淀期中\试卷\2025北京海淀高三（上）期中政治（教师版）.docx,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2026西城期末,rubric,2026各区期末和期中\2026西城期末\2026西城期末细则.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\54715a1e650d940e,4,2,2,2026各区期末和期中\2026西城期末\其他材料\西城高三期末评标.pptx；2026各区期末和期中\2026西城期末\西城高三期末评标.pptx；2026各区期末和期中\2026西城期末\2026北京西城高三（上）期末政治（教师版）.pdf；2026各区期末和期中\2026西城期末\试卷\2026北京西城高三（上）期末政治（教师版）.pdf,同套卷存在可读文本材料，可作为扫描件替代源。
CLOSED_BY_SAME_SUITE_TEXT_EXTRACTED_SOURCE,2026西城期末,rubric,2026各区期末和期中\2026西城期末\细则\2026西城期末细则.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\14_full_source_recrawl_20260525\cache\renders\54715a1e650d940e,4,2,2,2026各区期末和期中\2026西城期末\其他材料\西城高三期末评标.pptx；2026各区期末和期中\2026西城期末\西城高三期末评标.pptx；2026各区期末和期中\2026西城期末\2026北京西城高三（上）期末政治（教师版）.pdf；2026各区期末和期中\2026西城期末\试卷\2026北京西城高三（上）期末政治（教师版）.pdf,同套卷存在可读文本材料，可作为扫描件替代源。
