doc_order,entry_id,source_file,extract_path,line_range,exists
161,Q0161,SRC_EXAM_2026_HAIDIAN_YIMO_Q20.txt,05_source_backcheck/slice_033/SRC_EXAM_2026_HAIDIAN_YIMO_Q20.txt,339-355,True
161,Q0161,SRC_RUBRIC_2026_HAIDIAN_YIMO_Q20.txt,05_source_backcheck/slice_033/SRC_RUBRIC_2026_HAIDIAN_YIMO_Q20.txt,85-89,True
162,Q0162,SRC_EXAM_2026_DONGCHENG_ERMO_Q20_3.txt,05_source_backcheck/slice_033/SRC_EXAM_2026_DONGCHENG_ERMO_Q20_3.txt,119-127;151-154,True
162,Q0162,SRC_RUBRIC_2026_DONGCHENG_ERMO_Q20_3.txt,05_source_backcheck/slice_033/SRC_RUBRIC_2026_DONGCHENG_ERMO_Q20_3.txt,16-39,True
163,Q0163,SRC_EXAM_2026_FENGTAI_ERMO_Q20.txt,05_source_backcheck/slice_033/SRC_EXAM_2026_FENGTAI_ERMO_Q20.txt,343-362;487-492,True
163,Q0163,SRC_RUBRIC_2026_FENGTAI_ERMO_Q20_PPTX_MISMATCH.txt,05_source_backcheck/slice_033/SRC_RUBRIC_2026_FENGTAI_ERMO_Q20_PPTX_MISMATCH.txt,mismatch/absence evidence,True
164,Q0164,SRC_EXAM_2026_MENTOUGOU_YIMO_Q21.txt,05_source_backcheck/slice_033/SRC_EXAM_2026_MENTOUGOU_YIMO_Q21.txt,357-371,True
164,Q0164,SRC_RUBRIC_2026_MENTOUGOU_YIMO_Q21.txt,05_source_backcheck/slice_033/SRC_RUBRIC_2026_MENTOUGOU_YIMO_Q21.txt,133-149,True
165,Q0165,SRC_EXAM_2026_SHUNYI_ERMO_Q20.txt,05_source_backcheck/slice_033/SRC_EXAM_2026_SHUNYI_ERMO_Q20.txt,350-362,True
165,Q0165,SRC_RUBRIC_2026_SHUNYI_ERMO_Q20.txt,05_source_backcheck/slice_033/SRC_RUBRIC_2026_SHUNYI_ERMO_Q20.txt,71-88,True
