paragraph,module,subsection,core_point,ordinal,source_label,title_tail,card_id,evidence_status,card_path,材料触发点,设问,为什么能想到,答案落点,同题组,prompt_check,answer_check,think_check,samegroup_check,qa_flags
68,时代背景,机遇,和平与发展仍是时代主题,1,2026通州期末Q20,,2026_通州_期末_Q20,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_通州_期末_Q20.md,设问评价全球治理倡议为何“正逢其时”，题面呈现百年变局、地区动荡、逆全球化和治理赤字，作答要先说明该倡议符合和平与发展、经济全球化和各国人民共同愿望的时代背景。,结合材料，运用《当代国际政治与经济》知识，谈谈你对“全球治理倡议正逢其时、指引方向彰显担当”的理解。,"题面用""正逢其时""""指引方向""""彰显担当""三个评价词，并把百年变局、地区动荡、逆全球化、治理赤字四类外部压力同时摆出，说明出题人要的是把答案的支点放在""时代是否需要这个倡议""。设问要""理解""倡议价值，不是复述倡议条目；必须先给出倡议被提出的时代依据，再把它接到合作、治理、共同愿望等具体作用上。先用""和平与发展仍是时代主题""统摄答题方向，把材料里的治理赤字、变乱交织接为时代呼唤的细节，最后承接全球治理倡议对完善治理体系的作用。",全球治理倡议回应世界变乱交织和治理赤字，符合和平与发展时代主题、经济全球化发展趋势和各国人民求和平、谋发展、促合作的共同愿望。,（本题8分）,EXACT,NO_MATCH,PRESENT,OK,
78,时代背景,机遇,和平与发展仍是时代主题,2,2025海淀期中Q21(2),,2025_海淀_期中_Q21_2,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_海淀_期中_Q21_2.md,设问分析外交的“变”，题面把新中国外交放在不同历史阶段和国际格局演进中，作答应从外部时代背景变化说明外交内容和任务的调整。,结合材料，运用《当代国际政治与经济》知识，分析新中国外交的“变”与“不变”。,"题面把新中国外交按历史阶段铺开，强调阶段之间存在差异；这些差异由外部国际格局的演进推动，不是中国主观偏好的变化。需要说明""变""的逻辑，重在解释外交为何随时代主题而调整，不能把外交阶段照搬罗列。先点出政治多极化、经济全球化深入发展、时代主题指向和平与发展，再把外交重点和合作方式的发展接为时代背景调整后的具体回应。",新中国外交所处时代背景不断变化，政治多极化、经济全球化深入发展，和平与发展成为时代主题，外交重点和国际合作方式也随之发展。,,EXACT,PARTIAL,PRESENT,OK,
87,时代背景,机遇,和平与发展仍是时代主题,3,2024海淀二模Q18(1),多极化世界中的民主与全球治理,2024_海淀_二模_Q18_1,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_海淀_二模_Q18_1.md,"资料包同时呈现全球南方崛起、人工智能与大数据带来的两极分化和全球治理代表性不足；要把这些现象解释为""全球治理民主化""的现实条件，必须先回到""和平与发展仍是时代主题""——只有时代主题没变，全球治理改革才能在和平合作的框架内推进，而不是走向阵营对抗。",任选一个议题，参考资料包中的内容，运用《当代国际政治与经济》知识，围绕所选的议题写一篇时政述评。（8分）要求：观点明确；知识运用准确、贴切；论述合乎逻辑，条理清晰。,"资料包同时呈现全球南方崛起、人工智能与大数据带来的两极分化、全球治理代表性不足；这一组现象既是全球治理改革的压力源，也是合作而非对抗的现实条件。时政述评要""观点明确""""论述合乎逻辑""，必须先给改革定一个时代基底，再展开方向，否则容易写成现象罗列。先用和平与发展仍是时代主题立住和平合作框架，再点明AI治理缺口和全球南方诉求增多等现实，最后指向推动全球治理民主化。",和平与发展仍是时代主题，人工智能、大数据带来的治理挑战和全球南方国家诉求上升，要求各方在和平合作框架内推进更有效、更民主的全球治理。,（本题8分）,PARTIAL,NO_MATCH,PRESENT,OK,
94,时代背景,机遇,和平与发展仍是时代主题,4,2025延庆一模Q20(2),"外交部发言人回应""脱钩断链""",2025_延庆_一模_Q20_2,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_延庆_一模_Q20_2.md,"材料二中个别国家鼓噪""脱钩断链""和供应链""去风险""，与近70个国家和地区企业到链博会寻找""链""通中外方案形成对照；要论证供应链合作的正当性，必须用时代主题判定""合作""才是符合潮流的方向，""脱钩""违背潮流。",假如你是外交部发言人，请结合材料二，运用《当代国际政治与经济》知识，对上述提问做出回应。,"材料把""脱钩断链""""去风险""与近70个国家和地区企业齐聚链博会的事实做正反对照；对照本身就在暗示""合作""是潮流，""脱钩""逆潮流。以外交部发言人身份回应，要在政治表态层面立住正当性，必须先给出时代判定，再用国际社会的共同行动证明这种判定。先说明和平与发展仍是时代主题、维护产供链稳定符合共同利益，再举近70国企业齐聚链博会作为顺势合作的事实，最后否定""脱钩断链""逻辑。",维护全球产供链韧性和稳定是世界经济可持续发展的重要保障，符合国际社会的共同利益，顺应和平与发展的时代主题。,,EXACT,PARTIAL,PRESENT,OK,
104,时代背景,机遇,和平与发展仍是时代主题,5,2024西城二模Q19,中国答案的国际关系新思路,2024_西城_二模_Q19,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_西城_二模_Q19.md,题面把恃强凌弱、零和博弈、结盟对抗作为旧国际关系的问题，需要把中国答案放回当今世界主题之下，说明它顺应而非违背和平与发展的时代潮流。,结合材料，阐述中国答案所体现的处理国际关系的新思路。,"题面把恃强凌弱、零和博弈、结盟对抗集中呈现为""旧""国际关系问题；这些""旧""问题与时代主题的方向相反，""新思路""必须放回时代潮流之中才能立住。设问需要说明中国答案的""新思路""，重在新旧对照；先要交代时代潮流仍是和平合作而非对抗，再展开中国答案的具体内容。先用和平与发展仍是时代主题立判，强调中国答案顺应时代而非违逆；再把题干中恃强凌弱、零和博弈、结盟对抗接为旧逻辑，最后承接中国答案的合作共赢内容。",人类命运共同体理念顺应时代潮流，也可从和平与发展的时代主题角度展开，倡导全球协作，推动国际秩序朝着更加公正合理的方向发展。,,EXACT,PARTIAL,PRESENT,OK,
113,时代背景,机遇,和平与发展仍是时代主题,6,2025丰台期末Q20,——中非达成战略性共识的理论逻辑和价值意蕴,2025_丰台_期末_Q20,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_丰台_期末_Q20.md,题面写中非围绕落实全球发展、安全、文明倡议，共同反对脱钩断链、单边主义和保护主义形成共识，题目让学生说明中非为什么能在此时达成战略共识。回答前要先将这一合作放回时代背景，说明发展中国家联合自强符合和平与发展时代主题，下面的共同利益、平等互利、新型国际关系才有立足点。,阅读材料，运用《当代国际政治与经济》知识，阐明中非达成一系列战略性共识的理论逻辑和价值意蕴。,"题面把中非围绕全球发展、安全、文明三大倡议形成共识，并共同反对脱钩断链、单边主义和保护主义，南方国家在外部压力下并肩抱团的画面已经显形。题目让学生阐明""理论逻辑和价值意蕴""，要解释共识能在此时达成的世界条件，而不是逐条复述共识内容。先把答案放回和平与发展的时代主题，再点出发展中国家联合自强是顺应这一主题的合作方式，最后承接共同利益、平等互利、新型国际关系等具体支撑。",中非达成一系列战略性共识符合和平与发展的时代主题，为发展中国家联合应对全球挑战提供合作土壤。,,EXACT,PARTIAL,PRESENT,OK,
122,时代背景,机遇,和平与发展仍是时代主题,7,2026西城二模Q19(1),,2026_西城_二模_Q19_1,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_西城_二模_Q19_1.md,数据跨境流动和数字经济发展形成全球性议题，中国参与全球数据治理要先说明全球化背景和共同价值基础。,结合材料，运用当代国际政治知识，阐释中国参与全球数据治理的逻辑。,"数据跨境流动和数字经济发展正在变成全球性议题，单一国家无法独立解决；这种全球性正是中国参与治理的前提。设问问中国参与的""逻辑""，先要给治理为何成立的全球性框架，再展开中国主张。先用和平与发展、经济全球化趋势开题，再点出数据治理是各国共同面对的问题，最后承接中国参与的合理性。",数字经济发展推动数据跨境流动，全球化发展趋势使数据治理成为各国共同面对的问题，中国参与全球数据治理符合和平与发展、全人类共同价值和人类共同利益。,（本题6分）,EXACT,NO_MATCH,PRESENT,OK,
130,时代背景,机遇,和平与发展仍是时代主题,8,2026朝阳期末Q20,,2026_朝阳_期末_Q20,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期末_Q20.md,题目指向分析中国特色大国外交更有作为的必要性，材料呈现“构建周边命运共同体—妥善管控矛盾分歧—让人民远离冲突和战争—共建安宁家园—培育战略互信”的关系链，要求从时代主题和中国外交的共同体目标说明主动作为的理由。,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,"材料呈现""构建周边命运共同体—妥善管控矛盾分歧—让人民远离冲突和战争—共建安宁家园—培育战略互信""的关系链，从命运共同体目标到战略互信落点形成完整逻辑链。题目让学生分析中国特色大国外交""为什么要""更有作为，要解释主动作为的时代理由和外交目标，不是描述外交动作本身。先把答案接到和平与发展仍是时代主题、中国外交服务于命运共同体目标，再点出周边命运共同体建设需要主动管控分歧，最后承接更有作为是顺应世界发展大势的必然选择。",和平与发展是当今时代的主题，中国携手周边国家共建和平家园、安宁家园，妥善管控矛盾分歧，扩大共同利益，有利于推动周边命运共同体建设和全球治理更加公正合理。,（本题8分）,EXACT,NO_MATCH,PRESENT,OK,
140,时代背景,机遇,和平与发展仍是时代主题,9,2025朝阳期末Q21,,2025_朝阳_期末_Q21,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_朝阳_期末_Q21.md,题面把世界动荡冲突、单边霸凌、脱钩断链和意识形态分歧作为外部风险，问中国特色大国外交如何营造外部环境；总体外部环境的根本前提是把答案先放回和平与发展的时代主题，再把促进世界和平与发展和维护和平稳定的国际环境作为方向。,结合材料，运用《当代国际政治与经济》知识，说明如何通过开展中国特色大国外交为推进中国式现代化营造良好外部环境。,"题面把世界动荡冲突、单边霸凌、脱钩断链、意识形态分歧四类外部风险并列摆出；这些风险共同指向""营造外部环境""这件事不能只靠技术性应对，必须回到时代主题给方向。设问问""如何""为中国式现代化营造良好外部环境，重在指明方向；必须先用时代主题给出大势判断，再把外交动作接为方向上的回应。先说明和平与发展仍是时代主题、中国外交以促进世界和平与发展为目标，再点出维护和平稳定的国际环境，最后接四类外部风险的应对动作。",中国开展中国特色大国外交，促进世界和平与发展，维护和平稳定的国际环境，回应单边霸凌、脱钩断链和意识形态分歧等外部风险，为推进中国式现代化营造稳定的外部条件。,,EXACT,NO_MATCH,PRESENT,OK,
151,时代背景,机遇,和平与发展仍是时代主题,10,2026顺义一模Q20,,2026_顺义_一模_Q20,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_顺义_一模_Q20.md,"设问问南南合作""典范""的深层逻辑。要回答""为什么是典范""，必须把科技小院与发展中国家共享农业技术、降低成本、培养人才接回经济全球化方向的""普惠、平衡、共赢""——这是材料里明确列入国际经济层的答题核心。",结合材料，运用《当代国际政治与经济》知识，阐述科技小院成为南南合作典范的深层逻辑。,"设问问南南合作""典范""的深层逻辑。要回答""为什么是典范""，必须把科技小院与发展中国家共享农业技术、降低成本、培养人才接回经济全球化方向的""普惠、平衡、共赢""——这是材料里明确列入国际经济层的关键落点。 这不是单个材料细节，而是通向该术语的线索。它提示学生先看世界大势和外部环境，再用“和平与发展仍是时代主题”给材料定方向。问法追问成立根据，材料事实要上升为理论支点。 抓住这条线，就能把材料转换为：和平与发展是当今时代主题，科技小院顺应世界大势，以农业合作助力发展中国家共同发展，成为南南合作典范。",和平与发展是当今时代主题，科技小院顺应世界大势，以农业合作助力发展中国家共同发展，成为南南合作典范。,,EXACT,NO_MATCH,PRESENT,OK,
