card_id,source_label,source_path,exists,is_desktop
2026_通州_期末_Q20,2026通州期末Q20,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/试卷/试卷.pdf,YES,YES
2026_通州_期末_Q20,2026通州期末Q20,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/细则/细则.pptx,YES,YES
2025_海淀_期中_Q21_2,2025海淀期中Q21(2),/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中/试卷/试卷.pdf,YES,YES
2025_海淀_期中_Q21_2,2025海淀期中Q21(2),/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中/细则/细则.docx,YES,YES
2024_海淀_二模_Q18_1,2024海淀二模Q18(1),/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/补充材料/高三二模：政治试题（以PDF为准）(1).docx,YES,YES
2024_海淀_二模_Q18_1,2024海淀二模Q18(1),/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/试卷.pdf,YES,YES
2024_海淀_二模_Q18_1,2024海淀二模Q18(1),/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx,YES,YES
2024_海淀_二模_Q18_1,2024海淀二模Q18(1),/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/补充材料/高三二模：政治答案(2).docx,YES,YES
2025_延庆_一模_Q20_2,2025延庆一模Q20(2),/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/试卷/试卷.pdf,YES,YES
2025_延庆_一模_Q20_2,2025延庆一模Q20(2),/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/细则/细则.docx,YES,YES
2024_西城_二模_Q19,2024西城二模Q19,/Users/wanglifei/Desktop/2024模拟题/西城二模/试卷/试卷.docx,YES,YES
2024_西城_二模_Q19,2024西城二模Q19,/Users/wanglifei/Desktop/2024模拟题/西城二模/细则/细则.docx,YES,YES
2024_西城_二模_Q19,2024西城二模Q19,/Users/wanglifei/Desktop/2024模拟题/西城二模/细则/补充材料/高三模拟测试思想政治答案.docx,YES,YES
2025_丰台_期末_Q20,2025丰台期末Q20,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/试卷/试卷.pdf,YES,YES
2025_丰台_期末_Q20,2025丰台期末Q20,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/细则/细则.pptx,YES,YES
2026_西城_二模_Q19_1,2026西城二模Q19(1),/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/试卷/2026北京西城高三二模政治（教师版）.docx,YES,YES
2026_西城_二模_Q19_1,2026西城二模Q19(1),/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/细则/西城二模评标.pdf,YES,YES
